Date,Open,High,Low,Close,Volume
09/21/2023,"..130.78","..153.98","..153.00","..130.78","345"
09/20/2023,"..130.78","..154.88","..149.00","..130.78","151"
09/19/2023,"..130.78","..153.98","..146.00","..130.78","866"
09/18/2023,"..153.00","..155.00","..152.05","..130.78","507"
09/14/2023,"..149.00","..155.93","..149.00","..130.78","888"
09/13/2023,"..149.90","..154.90","..145.52","..130.78","1,486"
09/12/2023,"..130.78","..149.90","..146.00","..130.78","399"
09/11/2023,"..130.78","..145.00","..142.00","..130.78","119"
09/07/2023,"..130.78","..145.00","..141.21","..130.78","1,290"
09/06/2023,"..130.78","..143.49","..139.00","..130.78","172"
09/05/2023,"..130.78","..144.00","..140.00","..130.78","381"
09/04/2023,"..130.78","..143.80","..138.03","..130.78","409"
08/31/2023,"..130.78","..145.00","..140.00","..130.78","966"
08/30/2023,"..130.78","..140.00","..136.00","..130.78","604"
08/29/2023,"..130.78","..138.50","..137.89","..130.78","256"
08/24/2023,"..130.78","..134.64","..134.40","..130.78","278"
08/23/2023,"..130.78","..134.40","..132.05","..130.78","121"
08/22/2023,"..130.78","..134.40","..131.51","..130.78","566"
08/21/2023,"..130.78","..134.40","..134.40","..130.78","2"
08/17/2023,"..130.78","..134.50","..131.60","..130.78","17"
08/16/2023,"..130.78","..133.00","..130.11","..130.78","391"
08/15/2023,"..130.78","..132.00","..131.12","..130.78","42"
08/14/2023,"..130.78","..134.85","..130.30","..130.78","1,108"
08/10/2023,"..130.78","..135.19","..130.50","..130.78","177"
08/09/2023,"..130.78","..131.05","..131.00","..130.78","100"
08/08/2023,"..130.00","..137.00","..129.20","..130.78","4,348"
08/07/2023,"..130.62","..130.00","..130.00","..130.00","2,792"
08/03/2023,"..130.62","..130.31","..127.00","..130.62","1,501"
08/02/2023,"..130.62","..132.50","..130.00","..130.62","99"
08/01/2023,"..132.12","..135.00","..130.00","..130.62","6,165"
07/31/2023,"..126.90","..151.50","..129.72","..132.12","5,968"
07/27/2023,"..126.90","..132.00","..129.77","..126.90","721"
07/26/2023,"..126.90","..131.99","..129.67","..126.90","847"
07/25/2023,"..126.90","..135.45","..130.00","..126.90","764"
07/24/2023,"..126.90","..135.85","..130.31","..126.90","703"
07/19/2023,"..126.90","..136.00","..130.31","..126.90","556"
07/18/2023,"..126.90","..136.00","..129.52","..126.90","624"
07/17/2023,"..126.90","..132.52","..130.00","..126.90","2,134"
07/13/2023,"..126.90","..132.50","..131.59","..126.90","762"
07/12/2023,"..126.90","..135.98","..131.02","..126.90","206"
07/11/2023,"..126.90","..137.00","..130.02","..126.90","1,049"
07/10/2023,"..126.90","..135.00","..133.75","..126.90","100"
07/06/2023,"..126.90","..140.00","..134.00","..126.90","249"
07/05/2023,"..126.90","..138.99","..135.00","..126.90","875"
07/04/2023,"..126.90","..145.00","..135.00","..126.90","984"
06/26/2023,"..126.90","..138.20","..135.00","..126.90","616"
06/22/2023,"..126.90","..144.99","..133.00","..126.90","385"
06/21/2023,"..126.90","..137.00","..132.15","..126.90","363"
06/20/2023,"..126.90","..138.00","..131.10","..126.90","31"
06/19/2023,"..126.90","..138.10","..135.00","..126.90","900"
06/15/2023,"..126.90","..143.99","..135.01","..126.90","112"
06/14/2023,"..126.90","..145.00","..139.16","..126.90","907"
06/13/2023,"..126.90","..145.00","..140.29","..126.90","294"
06/12/2023,"..126.90","..145.00","..140.00","..126.90","122"
06/08/2023,"..126.90","..148.50","..141.10","..126.90","560"
06/07/2023,"..126.90","..148.99","..140.00","..126.90","94"
06/06/2023,"..126.90","..150.49","..139.25","..126.90","51"
06/05/2023,"..126.90","..151.00","..137.31","..126.90","306"
06/01/2023,"..126.90","..151.84","..136.50","..126.90","76"
05/31/2023,"..126.90","..151.97","..141.99","..126.90","1,243"
05/30/2023,"..126.90","..142.90","..136.11","..126.90","100"
05/29/2023,"..126.90","..142.90","..136.10","..126.90","476"
05/25/2023,"..126.90","..139.20","..135.51","..126.90","118"
05/24/2023,"..126.90","..139.25","..135.51","..126.90","696"
05/23/2023,"..126.90","..136.00","..135.50","..126.90","1,216"
05/22/2023,"..126.90","..139.24","..135.62","..126.90","329"
05/18/2023,"..126.90","..139.00","..135.53","..126.90","260"
05/17/2023,"..126.90","..139.49","..135.50","..126.90","308"
05/16/2023,"..126.90","..139.94","..135.53","..126.90","576"
05/15/2023,"..126.90","..138.75","..135.02","..126.90","359"
05/11/2023,"..126.90","..139.00","..133.65","..126.90","150"
05/10/2023,"..126.90","..140.00","..132.00","..126.90","337"
05/09/2023,"..126.90","..136.00","..131.40","..126.90","333"
05/08/2023,"..126.90","..133.00","..130.00","..126.90","59"
05/03/2023,"..126.90","..133.95","..130.01","..126.90","349"
05/02/2023,"..126.90","..134.97","..130.00","..126.90","106"
05/01/2023,"..126.90","..135.95","..127.50","..126.90","145"
04/27/2023,"..126.90","..138.50","..131.10","..126.90","474"
04/26/2023,"..126.90","..132.00","..126.00","..126.90","917"
04/19/2023,"..126.90","..130.45","..130.45","..126.90","56"
04/18/2023,"..126.90","..130.50","..124.61","..126.90","1,151"
04/13/2023,"..126.90","..128.00","..123.45","..126.90","114"
04/12/2023,"..126.90","..127.50","..123.30","..126.90","84"
04/11/2023,"..126.90","..124.26","..123.07","..126.90","1,560"
04/10/2023,"..126.90","..126.89","..122.10","..126.90","430"
04/06/2023,"..126.90","..125.00","..123.10","..126.90","266"
04/05/2023,"..126.90","..123.35","..123.03","..126.90","610"
