Date,Open,High,Low,Close,Volume
09/21/2023,"..51.00","..51.51","..50.50","..51.19","33,949"
09/20/2023,"..53.14","..53.65","..50.15","..51.00","554,788"
09/19/2023,"..51.60","..54.00","..52.00","..53.14","528,146"
09/18/2023,"..52.62","..52.78","..50.03","..51.60","115,672"
09/14/2023,"..52.51","..53.47","..52.20","..52.95","52,385"
09/13/2023,"..52.00","..53.60","..51.30","..52.51","398,379"
09/12/2023,"..51.00","..52.20","..49.00","..52.00","351,175"
09/11/2023,"..52.40","..52.94","..50.06","..51.00","187,697"
09/07/2023,"..48.88","..52.20","..49.05","..51.00","536,646"
09/06/2023,"..47.99","..49.50","..47.95","..48.88","236,072"
09/05/2023,"..47.05","..48.10","..47.03","..47.99","98,553"
09/04/2023,"..46.00","..47.30","..45.90","..47.05","134,392"
08/31/2023,"..46.63","..46.63","..45.60","..45.62","39,590"
08/30/2023,"..47.00","..47.32","..46.57","..46.63","26,881"
08/29/2023,"..46.49","..47.80","..46.50","..47.00","99,706"
08/28/2023,"..46.36","..48.20","..46.25","..46.49","103,916"
08/24/2023,"..45.49","..45.90","..45.31","..45.31","20,475"
08/23/2023,"..45.50","..45.99","..45.40","..45.49","29,853"
08/22/2023,"..45.67","..45.85","..45.25","..45.50","41,254"
08/21/2023,"..45.82","..45.84","..45.30","..45.67","15,965"
08/17/2023,"..46.00","..46.49","..45.80","..45.95","14,251"
08/16/2023,"..46.06","..46.49","..45.81","..46.00","65,262"
08/15/2023,"..46.47","..46.60","..45.75","..46.06","21,450"
08/14/2023,"..46.27","..47.00","..46.33","..46.47","38,589"
08/10/2023,"..45.43","..45.65","..45.15","..45.50","42,805"
08/09/2023,"..45.47","..45.55","..45.00","..45.43","59,544"
08/08/2023,"..45.53","..45.89","..45.20","..45.47","36,962"
08/07/2023,"..45.63","..45.90","..45.41","..45.53","59,421"
08/03/2023,"..45.95","..46.00","..45.50","..45.83","37,473"
08/02/2023,"..45.78","..46.00","..45.30","..45.95","69,793"
08/01/2023,"..45.00","..46.00","..45.01","..45.78","54,672"
07/31/2023,"..45.09","..45.58","..44.74","..45.00","31,427"
07/27/2023,"..44.95","..45.50","..44.90","..45.17","11,996"
07/26/2023,"..45.75","..45.86","..44.75","..44.95","43,530"
07/25/2023,"..45.51","..46.00","..45.45","..45.75","12,342"
07/24/2023,"..45.78","..46.59","..45.35","..45.51","104,481"
07/19/2023,"..45.87","..46.75","..45.62","..45.78","33,348"
07/18/2023,"..46.00","..46.88","..45.80","..45.87","13,847"
07/17/2023,"..46.48","..47.98","..45.66","..46.00","57,880"
07/13/2023,"..46.00","..46.68","..45.30","..46.00","32,806"
07/12/2023,"..44.17","..46.00","..44.17","..46.00","79,827"
07/11/2023,"..44.57","..45.70","..43.00","..44.17","30,381"
07/10/2023,"..44.00","..45.00","..44.00","..44.57","20,543"
07/06/2023,"..46.26","..46.54","..44.01","..44.91","20,907"
07/05/2023,"..46.00","..46.99","..46.00","..46.26","13,960"
07/04/2023,"..48.00","..48.44","..45.60","..46.00","74,600"
06/26/2023,"..48.00","..49.00","..47.62","..48.00","159,153"
06/22/2023,"..45.94","..45.75","..45.19","..45.28","28,674"
06/21/2023,"..45.93","..46.20","..45.52","..45.94","85,902"
06/20/2023,"..45.46","..46.20","..45.30","..45.93","72,171"
06/19/2023,"..45.85","..46.29","..45.00","..45.46","102,400"
06/15/2023,"..46.03","..46.90","..45.11","..45.59","23,945"
06/14/2023,"..46.94","..47.50","..46.00","..46.03","38,778"
06/13/2023,"..47.07","..48.89","..46.81","..46.94","193,293"
06/12/2023,"..46.72","..47.28","..46.50","..47.07","26,630"
06/08/2023,"..45.17","..46.00","..44.85","..45.64","81,571"
06/07/2023,"..45.03","..45.32","..44.88","..45.17","48,363"
06/06/2023,"..45.21","..45.29","..44.82","..45.03","20,473"
06/05/2023,"..45.20","..45.80","..44.88","..45.21","74,698"
06/01/2023,"..45.46","..47.00","..45.00","..45.75","136,612"
05/31/2023,"..46.60","..47.38","..45.03","..45.46","225,317"
05/30/2023,"..46.37","..46.79","..46.35","..46.60","25,101"
05/29/2023,"..46.13","..46.75","..46.21","..46.37","34,940"
05/25/2023,"..46.05","..47.00","..46.05","..46.64","52,163"
05/24/2023,"..44.97","..46.55","..44.85","..46.05","132,498"
05/23/2023,"..45.01","..45.40","..44.60","..44.97","44,626"
05/22/2023,"..45.00","..45.20","..44.20","..45.01","59,923"
05/18/2023,"..44.00","..44.20","..43.00","..44.00","93,597"
05/17/2023,"..45.00","..45.88","..44.00","..44.00","142,824"
05/16/2023,"..45.98","..45.71","..44.00","..45.00","112,712"
05/15/2023,"..46.58","..47.65","..45.88","..45.98","48,948"
05/11/2023,"..45.83","..47.89","..46.00","..47.17","171,811"
05/10/2023,"..46.48","..47.21","..44.90","..45.83","171,325"
05/09/2023,"..47.79","..48.48","..46.27","..46.48","272,347"
05/08/2023,"..47.81","..48.50","..47.72","..47.79","178,470"
05/03/2023,"..47.41","..48.00","..46.90","..47.04","70,282"
05/02/2023,"..47.99","..48.47","..47.00","..47.41","98,415"
05/01/2023,"..49.40","..49.98","..47.75","..47.99","104,771"
04/27/2023,"..50.77","..51.30","..49.70","..49.97","250,614"
04/26/2023,"..51.94","..52.51","..50.02","..50.77","73,644"
04/19/2023,"..52.67","..52.97","..51.80","..51.94","47,151"
04/18/2023,"..51.66","..53.99","..51.60","..52.67","35,877"
04/13/2023,"..54.26","..51.93","..49.50","..51.66","85,292"
04/12/2023,"..53.12","..55.99","..53.52","..54.26","170,140"
04/11/2023,"..52.53","..53.50","..52.53","..53.12","63,912"
04/10/2023,"..52.68","..53.57","..52.50","..52.53","66,444"
04/06/2023,"..53.22","..54.36","..52.50","..52.65","56,089"
04/05/2023,"..53.93","..55.44","..53.02","..53.22","84,379"
04/04/2023,"..51.25","..54.20","..51.50","..53.93","160,473"
04/03/2023,"..50.04","..52.00","..50.25","..51.25","95,687"
03/30/2023,"..50.52","..51.50","..50.00","..50.36","51,251"
03/29/2023,"..50.90","..51.51","..50.31","..50.52","100,371"
03/28/2023,"..50.92","..51.94","..49.00","..50.90","90,215"
03/27/2023,"..51.17","..52.75","..50.25","..50.92","74,501"
03/23/2023,"..50.90","..51.93","..50.21","..51.16","19,622"
03/22/2023,"..52.54","..54.90","..50.20","..50.90","133,905"
03/21/2023,"..50.71","..53.28","..52.00","..52.54","45,458"
03/20/2023,"..49.06","..52.50","..49.00","..50.71","163,309"
03/16/2023,"..48.57","..49.50","..45.30","..49.50","138,332"
03/15/2023,"..53.19","..54.98","..44.00","..48.57","137,963"
03/14/2023,"..50.28","..54.80","..49.00","..53.19","187,860"
03/13/2023,"..56.17","..57.50","..49.01","..50.28","131,517"
03/09/2023,"..49.67","..56.00","..50.24","..55.97","332,003"
03/08/2023,"..49.66","..51.85","..49.00","..49.67","419,651"
03/07/2023,"..53.77","..55.00","..48.65","..49.66","525,532"
03/06/2023,"..57.22","..58.80","..53.21","..53.77","263,328"
03/02/2023,"..57.88","..59.00","..57.00","..58.50","95,679"
03/01/2023,"..55.47","..58.20","..55.00","..57.88","104,750"
02/28/2023,"..57.36","..58.23","..55.01","..55.47","84,136"
02/27/2023,"..58.34","..59.99","..56.51","..57.36","106,298"
02/23/2023,"..46.98","..52.90","..45.75","..54.76","530,040"
02/22/2023,"..48.00","..48.99","..45.10","..45.64","62,453"
02/21/2023,"..45.41","..48.00","..43.40","..48.00","247,142"
02/20/2023,"..47.00","..47.50","..45.12","..45.41","278,782"
02/16/2023,"..41.95","..44.93","..41.90","..43.43","100,818"
02/15/2023,"..41.78","..42.30","..41.30","..41.95","31,136"
02/14/2023,"..41.76","..42.48","..41.45","..41.78","45,360"
02/13/2023,"..42.11","..43.66","..41.65","..41.76","26,845"
02/09/2023,"..41.58","..42.50","..41.50","..42.24","48,041"
02/08/2023,"..41.89","..42.70","..41.10","..41.58","38,832"
02/07/2023,"..41.05","..42.00","..41.01","..41.89","27,396"
02/06/2023,"..41.91","..42.00","..40.89","..41.05","21,462"
02/02/2023,"..42.03","..43.98","..41.60","..42.30","37,097"
02/01/2023,"..40.75","..42.97","..39.51","..42.03","94,967"
01/31/2023,"..42.13","..43.00","..40.03","..40.75","132,932"
01/30/2023,"..44.05","..44.90","..42.02","..42.13","74,960"
01/25/2023,"..44.05","..45.27","..44.00","..44.03","123,392"
01/24/2023,"..44.69","..45.74","..43.60","..44.05","82,654"
01/23/2023,"..45.48","..46.40","..44.01","..44.69","104,151"
01/19/2023,"..41.99","..44.25","..42.10","..43.52","96,094"
01/18/2023,"..44.98","..45.89","..41.80","..41.99","148,436"
01/17/2023,"..44.24","..46.50","..44.00","..44.98","165,869"
01/16/2023,"..46.55","..47.99","..43.80","..44.24","141,933"
01/12/2023,"..39.15","..46.83","..39.00","..46.52","780,686"
01/11/2023,"..36.93","..39.50","..36.50","..39.15","360,313"
01/10/2023,"..35.20","..37.30","..34.01","..36.93","346,518"
01/09/2023,"..35.10","..36.10","..35.00","..35.20","330,613"
01/05/2023,"..33.05","..35.78","..33.00","..35.10","449,110"
01/04/2023,"..32.35","..33.40","..30.91","..33.05","350,329"
01/03/2023,"..32.96","..33.45","..32.26","..32.35","138,840"
01/02/2023,"..32.11","..33.50","..32.30","..32.96","161,566"
12/29/2022,"..31.04","..32.50","..31.05","..32.11","234,362"
12/28/2022,"..31.04","..31.59","..30.90","..31.04","88,783"
12/27/2022,"..31.19","..31.70","..30.93","..31.04","141,714"
12/26/2022,"..30.00","..31.30","..30.10","..31.19","46,517"
12/22/2022,"..31.54","..31.98","..30.87","..31.09","92,219"
12/21/2022,"..31.72","..32.00","..31.20","..31.54","62,026"
12/20/2022,"..31.94","..32.49","..31.51","..31.72","47,713"
12/19/2022,"..31.85","..32.15","..31.38","..31.94","66,289"
12/15/2022,"..33.13","..34.49","..31.11","..32.07","212,354"
12/14/2022,"..31.49","..33.30","..31.50","..33.13","331,962"
12/13/2022,"..31.10","..31.60","..30.80","..31.49","121,281"
12/12/2022,"..31.46","..31.50","..29.83","..31.10","197,981"
12/08/2022,"..30.89","..31.49","..30.50","..31.17","322,020"
12/07/2022,"..30.98","..31.79","..30.51","..30.89","443,088"
12/06/2022,"..31.17","..31.67","..30.12","..30.98","201,842"
12/05/2022,"..31.10","..32.40","..31.10","..31.17","496,566"
12/01/2022,"..28.79","..29.75","..28.71","..29.28","310,118"
11/30/2022,"..28.95","..29.48","..28.60","..28.79","140,727"
11/29/2022,"..28.92","..29.63","..28.90","..28.95","225,248"
11/28/2022,"..29.09","..29.55","..28.80","..28.92","131,622"
11/24/2022,"..28.23","..28.73","..28.17","..28.28","97,360"
11/23/2022,"..28.75","..28.88","..28.13","..28.23","98,180"
11/22/2022,"..28.64","..29.34","..28.70","..28.75","128,399"
11/21/2022,"..28.74","..29.10","..28.50","..28.64","108,409"
11/17/2022,"..28.80","..29.44","..28.00","..28.34","363,486"
11/16/2022,"..29.21","..29.60","..28.26","..28.80","217,947"
11/15/2022,"..29.85","..30.20","..29.06","..29.21","91,232"
11/14/2022,"..29.74","..30.50","..29.58","..29.85","146,075"
11/10/2022,"..27.84","..29.01","..27.80","..28.96","214,593"
11/09/2022,"..28.32","..28.88","..27.62","..27.84","82,056"
11/08/2022,"..29.05","..29.40","..28.14","..28.32","76,244"
11/07/2022,"..28.85","..29.70","..28.71","..29.05","199,516"
11/03/2022,"..29.13","..30.40","..27.65","..27.94","603,162"
11/02/2022,"..30.68","..31.25","..28.60","..29.13","411,721"
11/01/2022,"..33.06","..33.92","..30.25","..30.68","453,495"
10/31/2022,"..32.83","..34.00","..32.05","..33.06","190,799"
10/27/2022,"..32.50","..34.33","..32.57","..33.08","172,123"
10/26/2022,"..32.65","..33.39","..32.03","..32.50","175,343"
10/25/2022,"..31.48","..33.00","..31.35","..32.65","198,166"
10/24/2022,"..31.19","..33.55","..30.58","..31.48","235,008"
10/20/2022,"..33.52","..33.79","..31.32","..32.45","127,591"
10/19/2022,"..30.17","..36.20","..30.25","..33.52","483,912"
10/18/2022,"..28.94","..31.00","..28.20","..30.17","241,346"
10/17/2022,"..27.00","..29.40","..27.70","..28.94","290,449"
10/13/2022,"..25.23","..25.89","..25.30","..25.57","14,840"
10/12/2022,"..25.71","..26.50","..25.01","..25.23","45,888"
10/11/2022,"..26.00","..26.47","..25.51","..25.71","19,347"
10/10/2022,"..26.35","..26.98","..26.00","..26.00","71,982"
10/05/2022,"..26.60","..27.00","..26.15","..26.46","57,988"
10/04/2022,"..25.29","..27.00","..25.46","..26.60","325,648"
10/03/2022,"..24.02","..25.62","..23.70","..25.29","90,753"
09/29/2022,"..23.63","..24.35","..23.70","..24.30","52,038"
09/28/2022,"..23.72","..23.99","..23.10","..23.63","42,145"
09/27/2022,"..23.61","..24.00","..23.66","..23.72","63,372"
09/26/2022,"..23.34","..23.90","..23.30","..23.61","78,103"
09/22/2022,"..23.17","..23.40","..22.85","..23.04","192,055"
