Date,Open,High,Low,Close,Volume
09/21/2023,"..20.01","..20.50","..19.90","..20.00","47,960"
09/20/2023,"..20.60","..20.74","..19.90","..20.01","587,095"
09/19/2023,"..20.53","..20.74","..20.51","..20.60","922,674"
09/18/2023,"..20.70","..20.90","..20.50","..20.53","595,874"
09/14/2023,"..20.81","..21.00","..20.70","..20.71","465,000"
09/13/2023,"..20.98","..21.15","..20.70","..20.81","1,270,889"
09/12/2023,"..20.75","..21.12","..20.75","..20.98","15,612"
09/11/2023,"..21.01","..21.30","..20.61","..20.75","1,842,821"
09/07/2023,"..21.24","..21.40","..21.11","..21.24","7,853"
09/06/2023,"..21.39","..21.43","..21.00","..21.24","17,217"
09/05/2023,"..21.10","..21.50","..20.85","..21.39","681,002"
09/04/2023,"..21.01","..21.30","..20.91","..21.10","313,626"
08/31/2023,"..21.21","..21.75","..20.90","..21.08","399,937"
08/30/2023,"..20.76","..21.84","..20.76","..21.21","1,360,115"
08/29/2023,"..21.23","..21.50","..20.71","..20.76","172,988"
08/28/2023,"..21.19","..21.75","..21.05","..21.23","20,511"
08/24/2023,"..20.50","..21.50","..20.60","..21.00","535,811"
08/23/2023,"..21.48","..21.88","..20.50","..20.50","1,242,125"
08/22/2023,"..20.31","..21.50","..20.30","..21.48","323,460"
08/21/2023,"..19.92","..20.50","..19.95","..20.31","256,472"
08/17/2023,"..19.93","..19.95","..19.55","..19.56","36,409"
08/16/2023,"..19.73","..19.99","..19.60","..19.93","34,005"
08/15/2023,"..19.40","..19.79","..19.40","..19.73","44,636"
08/14/2023,"..19.38","..19.50","..19.30","..19.40","480,990"
08/10/2023,"..19.35","..19.60","..19.30","..19.35","899,503"
08/09/2023,"..19.46","..19.80","..19.11","..19.35","58,577"
08/08/2023,"..19.68","..20.00","..19.00","..19.46","44,848"
08/07/2023,"..19.85","..20.20","..19.50","..19.68","22,065"
08/03/2023,"..19.22","..19.55","..19.00","..19.50","282,181"
08/02/2023,"..19.00","..19.50","..18.75","..19.22","224,371"
08/01/2023,"..18.89","..19.05","..18.64","..19.00","80,356"
07/31/2023,"..18.80","..18.91","..18.55","..18.89","177,613"
07/27/2023,"..18.80","..18.80","..18.30","..18.80","13,501"
07/26/2023,"..18.80","..18.99","..18.75","..18.80","13,611"
07/25/2023,"..18.60","..18.97","..18.55","..18.80","1,720,241"
07/24/2023,"..18.59","..18.69","..18.42","..18.60","38,273"
07/19/2023,"..18.46","..18.65","..18.38","..18.59","797,406"
07/18/2023,"..18.41","..18.60","..18.35","..18.46","494,084"
07/17/2023,"..18.41","..18.57","..18.35","..18.41","32,528"
07/13/2023,"..18.58","..19.00","..18.15","..18.50","300,635"
07/12/2023,"..18.52","..18.69","..18.44","..18.58","30,583"
07/11/2023,"..18.42","..18.70","..18.01","..18.52","75,438"
07/10/2023,"..18.42","..18.45","..17.50","..18.42","14,230"
07/06/2023,"..18.40","..18.70","..18.50","..18.64","34,447"
07/05/2023,"..18.40","..18.60","..18.35","..18.40","14,750"
07/04/2023,"..18.30","..18.48","..18.29","..18.40","194,224"
06/26/2023,"..18.55","..18.48","..18.04","..18.30","92,840"
06/22/2023,"..18.40","..18.65","..18.20","..18.55","364,251"
06/21/2023,"..18.33","..18.50","..18.21","..18.40","170,816"
06/20/2023,"..18.12","..18.50","..18.11","..18.33","470,723"
06/19/2023,"..17.88","..18.33","..17.75","..18.12","1,021,473"
06/15/2023,"..17.60","..18.00","..17.50","..17.81","88,340"
06/14/2023,"..17.39","..17.93","..17.41","..17.60","1,922,855"
06/13/2023,"..17.12","..17.95","..17.20","..17.39","1,337,468"
06/12/2023,"..17.12","..17.75","..17.16","..17.12","16,601"
06/08/2023,"..17.80","..18.00","..17.20","..17.47","196,290"
06/07/2023,"..17.94","..18.00","..17.55","..17.80","2,168,717"
06/06/2023,"..17.83","..18.40","..17.56","..17.94","47,671"
06/05/2023,"..18.41","..18.44","..17.50","..17.83","29,200"
06/01/2023,"..18.83","..18.85","..18.02","..18.37","327,420"
05/31/2023,"..18.89","..19.10","..18.40","..18.83","2,273,981"
05/30/2023,"..18.61","..19.28","..18.61","..18.89","1,095,514"
05/29/2023,"..18.48","..18.90","..18.00","..18.61","467,333"
05/25/2023,"..15.98","..16.95","..16.05","..16.60","88,175"
05/24/2023,"..15.85","..16.06","..15.60","..15.98","911,805"
05/23/2023,"..15.84","..15.90","..15.65","..15.85","52,266"
05/22/2023,"..15.55","..15.95","..15.60","..15.84","202,247"
05/18/2023,"..15.30","..15.48","..15.06","..15.23","44,510"
05/17/2023,"..15.30","..15.55","..15.05","..15.30","233,042"
05/16/2023,"..15.39","..15.40","..15.10","..15.30","199,246"
05/15/2023,"..15.69","..15.48","..15.01","..15.39","152,371"
05/11/2023,"..15.50","..15.87","..15.39","..15.42","295,457"
05/10/2023,"..15.52","..15.90","..15.40","..15.50","231,573"
05/09/2023,"..15.69","..15.99","..15.50","..15.52","218,813"
05/08/2023,"..15.64","..15.99","..15.52","..15.69","623,790"
05/03/2023,"..15.59","..15.80","..15.48","..15.50","102,894"
05/02/2023,"..15.59","..16.00","..15.00","..15.59","96,601"
05/01/2023,"..15.97","..16.45","..15.50","..15.59","51,606"
04/27/2023,"..16.08","..17.20","..16.00","..16.60","218,148"
04/26/2023,"..16.00","..16.20","..15.55","..16.08","1,071,608"
04/19/2023,"..15.34","..16.00","..15.12","..16.00","1,246,975"
04/18/2023,"..14.80","..15.75","..14.80","..15.34","576,883"
04/13/2023,"..14.57","..14.85","..14.57","..14.80","409,015"
04/12/2023,"..14.50","..14.89","..14.51","..14.57","41,775"
04/11/2023,"..14.83","..14.90","..14.48","..14.50","471,787"
04/10/2023,"..14.52","..14.90","..14.60","..14.83","57,933"
04/06/2023,"..14.91","..15.10","..14.46","..14.54","378,720"
04/05/2023,"..14.81","..15.10","..14.56","..14.91","46,353"
04/04/2023,"..15.00","..15.09","..14.54","..14.81","40,481"
04/03/2023,"..14.99","..15.23","..14.85","..15.00","1,005,889"
03/30/2023,"..14.54","..14.84","..14.51","..14.53","24,766"
03/29/2023,"..14.74","..15.00","..14.50","..14.54","92,912"
03/28/2023,"..14.95","..14.98","..14.70","..14.74","419,608"
03/27/2023,"..14.93","..15.50","..14.50","..14.95","95,898"
03/23/2023,"..14.60","..15.95","..14.45","..15.02","38,777"
03/22/2023,"..14.90","..17.50","..14.02","..14.60","441,588"
03/21/2023,"..14.57","..15.00","..14.50","..14.79","1,020,971"
03/20/2023,"..14.24","..14.89","..14.26","..14.57","29,495"
03/16/2023,"..13.86","..14.00","..13.05","..13.80","13,508,240"
03/15/2023,"..14.01","..14.30","..13.50","..13.86","1,413,229"
03/14/2023,"..14.05","..14.69","..13.91","..14.01","1,333,866"
03/13/2023,"..13.99","..14.40","..13.80","..14.05","191,062"
03/09/2023,"..14.77","..14.80","..14.00","..14.37","489,222"
03/08/2023,"..15.36","..15.39","..14.51","..14.77","178,806"
03/07/2023,"..15.99","..16.15","..15.00","..15.36","42,381"
03/06/2023,"..15.99","..16.23","..15.50","..15.99","14,921"
03/02/2023,"..16.35","..16.50","..15.52","..15.99","37,595"
03/01/2023,"..16.45","..16.70","..16.01","..16.35","925,831"
02/28/2023,"..16.45","..16.75","..16.05","..16.45","8,165"
02/27/2023,"..16.40","..16.80","..16.21","..16.45","18,225"
02/23/2023,"..16.40","..16.80","..16.10","..16.40","6,739"
02/22/2023,"..16.40","..17.00","..16.40","..16.40","9,556"
02/21/2023,"..16.68","..16.75","..16.00","..16.40","835,318"
02/20/2023,"..16.88","..17.50","..15.80","..16.68","24,051"
02/16/2023,"..17.80","..17.90","..17.50","..17.55","815,257"
02/15/2023,"..17.52","..17.80","..17.52","..17.80","193,891"
02/14/2023,"..17.46","..17.70","..17.47","..17.52","303,708"
02/13/2023,"..17.31","..17.50","..17.00","..17.46","963,644"
02/09/2023,"..16.99","..17.50","..16.65","..17.28","1,956,028"
02/08/2023,"..17.02","..17.20","..16.50","..16.99","839,152"
02/07/2023,"..16.61","..17.13","..16.00","..17.02","474,360"
02/06/2023,"..16.61","..16.70","..15.23","..16.61","14,718"
02/02/2023,"..15.10","..16.98","..14.75","..16.76","442,210"
02/01/2023,"..14.96","..15.10","..14.70","..15.10","707,792"
01/31/2023,"..15.02","..15.08","..14.80","..14.96","279,834"
01/30/2023,"..14.62","..15.20","..14.57","..15.02","518,664"
01/25/2023,"..13.47","..14.50","..13.37","..14.50","674,000"
01/24/2023,"..13.45","..13.50","..13.23","..13.47","56,536"
01/23/2023,"..13.26","..13.50","..13.20","..13.45","820,088"
01/19/2023,"..13.42","..13.50","..13.00","..13.20","29,248"
01/18/2023,"..13.35","..13.45","..13.15","..13.42","32,754"
01/17/2023,"..13.40","..13.50","..12.55","..13.35","81,307"
01/16/2023,"..13.40","..13.55","..13.25","..13.40","21,285"
01/12/2023,"..13.75","..13.90","..13.13","..13.39","383,920"
01/11/2023,"..13.39","..13.99","..13.00","..13.75","141,643"
01/10/2023,"..13.54","..13.69","..13.26","..13.39","28,872"
01/09/2023,"..13.61","..13.92","..13.40","..13.54","26,672"
01/05/2023,"..13.71","..14.00","..13.13","..13.61","136,683"
01/04/2023,"..13.92","..14.10","..13.01","..13.71","189,231"
01/03/2023,"..13.89","..14.60","..13.73","..13.92","79,055"
01/02/2023,"..13.89","..14.12","..13.67","..13.89","19,028"
12/29/2022,"..13.67","..14.00","..13.50","..13.89","194,718"
12/28/2022,"..13.50","..14.28","..13.51","..13.67","1,216,695"
12/27/2022,"..13.52","..13.90","..13.35","..13.50","69,662"
12/26/2022,"..13.93","..13.99","..13.50","..13.52","124,218"
12/22/2022,"..12.64","..15.16","..12.62","..13.64","1,443,187"
12/21/2022,"..12.64","..12.94","..12.60","..12.64","3,304"
12/20/2022,"..12.76","..13.00","..12.55","..12.64","256,385"
12/19/2022,"..12.63","..12.80","..12.60","..12.76","84,809"
12/15/2022,"..12.69","..12.80","..12.51","..12.75","1,355,269"
12/14/2022,"..12.53","..12.74","..12.42","..12.69","1,307,815"
12/13/2022,"..12.41","..12.69","..12.40","..12.53","271,097"
12/12/2022,"..12.44","..12.70","..12.40","..12.41","312,438"
12/08/2022,"..13.18","..13.20","..12.50","..12.87","25,327"
12/07/2022,"..13.08","..13.25","..12.76","..13.18","42,599"
12/06/2022,"..13.08","..13.14","..12.50","..13.08","11,140"
12/05/2022,"..13.05","..13.20","..12.76","..13.08","1,536,408"
12/01/2022,"..12.48","..12.76","..12.41","..12.70","143,000"
11/30/2022,"..12.70","..12.82","..10.81","..12.48","88,528"
11/29/2022,"..12.50","..12.79","..12.46","..12.70","446,023"
11/28/2022,"..12.70","..12.85","..12.41","..12.50","37,732"
11/24/2022,"..12.50","..12.99","..12.42","..12.87","126,531"
11/23/2022,"..12.61","..12.75","..10.10","..12.50","100,615"
11/22/2022,"..12.70","..12.75","..12.51","..12.61","63,658"
11/21/2022,"..13.00","..12.95","..12.50","..12.70","2,389,403"
11/17/2022,"..12.62","..13.38","..12.65","..13.00","1,740,041"
11/16/2022,"..12.75","..12.98","..12.40","..12.62","92,290"
11/15/2022,"..12.33","..12.80","..11.00","..12.75","3,436,712"
11/14/2022,"..12.02","..12.40","..12.00","..12.33","457,382"
