Date,Open,High,Low,Close,Volume
09/21/2023,"..18.70","..19.21","..18.60","..19.00","3,093,919"
09/20/2023,"..17.85","..19.15","..17.95","..18.70","3,939,965"
09/19/2023,"..17.79","..18.00","..17.73","..17.85","2,016,144"
09/18/2023,"..17.43","..17.80","..17.45","..17.79","1,711,076"
09/14/2023,"..17.58","..17.60","..17.32","..17.43","606,783"
09/13/2023,"..17.40","..17.76","..17.40","..17.58","65,487"
09/12/2023,"..17.81","..17.95","..17.39","..17.40","558,472"
09/11/2023,"..18.47","..18.49","..17.77","..17.81","440,674"
09/07/2023,"..17.99","..18.60","..17.95","..18.27","2,509,739"
09/06/2023,"..17.59","..18.03","..17.52","..17.99","704,935"
09/05/2023,"..17.66","..17.70","..17.50","..17.59","31,642"
09/04/2023,"..17.55","..17.68","..17.50","..17.66","74,978"
08/31/2023,"..17.90","..17.99","..17.52","..17.52","191,118"
08/30/2023,"..17.81","..17.90","..17.51","..17.90","116,027"
08/29/2023,"..17.77","..17.95","..17.61","..17.81","82,829"
08/28/2023,"..18.10","..18.25","..17.60","..17.77","438,729"
08/24/2023,"..17.27","..17.58","..17.14","..17.50","497,394"
08/23/2023,"..17.31","..17.44","..17.00","..17.27","416,703"
08/22/2023,"..17.09","..17.39","..16.90","..17.31","377,521"
08/21/2023,"..17.15","..17.24","..17.02","..17.09","410,197"
08/17/2023,"..17.30","..17.40","..17.17","..17.30","127,721"
08/16/2023,"..17.30","..17.42","..17.15","..17.30","119,073"
08/15/2023,"..17.20","..17.35","..17.06","..17.30","278,636"
08/14/2023,"..17.22","..17.49","..17.20","..17.20","183,707"
08/10/2023,"..17.20","..17.40","..17.10","..17.17","65,319"
08/09/2023,"..17.33","..17.50","..17.16","..17.20","693,784"
08/08/2023,"..17.60","..17.76","..17.31","..17.33","306,841"
08/07/2023,"..17.52","..17.70","..17.50","..17.60","187,902"
08/03/2023,"..17.63","..17.70","..17.40","..17.48","89,205"
08/02/2023,"..17.93","..17.91","..17.30","..17.63","278,014"
08/01/2023,"..17.98","..18.05","..17.75","..17.93","675,494"
07/31/2023,"..17.69","..17.98","..17.51","..17.98","432,620"
07/27/2023,"..17.72","..17.80","..17.25","..17.57","162,537"
07/26/2023,"..17.74","..17.80","..17.50","..17.72","82,070"
07/25/2023,"..17.76","..17.97","..17.63","..17.74","387,458"
07/24/2023,"..17.61","..18.01","..17.53","..17.76","749,559"
07/19/2023,"..17.72","..17.80","..17.60","..17.61","144,600"
07/18/2023,"..17.73","..18.00","..17.61","..17.72","338,115"
07/17/2023,"..17.10","..17.90","..17.00","..17.73","1,587,397"
07/13/2023,"..16.83","..17.10","..16.90","..17.00","328,773"
07/12/2023,"..16.90","..17.19","..16.80","..16.83","62,376"
07/11/2023,"..16.88","..17.20","..16.75","..16.90","236,807"
07/10/2023,"..16.69","..16.94","..16.31","..16.88","313,326"
07/06/2023,"..16.80","..17.00","..16.60","..16.86","259,286"
07/05/2023,"..17.26","..17.30","..16.79","..16.80","527,346"
07/04/2023,"..17.06","..17.50","..17.10","..17.26","104,796"
06/26/2023,"..17.01","..17.25","..17.01","..17.06","167,614"
06/22/2023,"..17.48","..17.50","..17.10","..17.22","292,488"
06/21/2023,"..17.61","..17.75","..17.43","..17.48","496,310"
06/20/2023,"..17.75","..18.00","..17.60","..17.61","399,158"
06/19/2023,"..17.74","..17.90","..17.60","..17.75","345,921"
06/15/2023,"..17.70","..17.93","..17.62","..17.87","183,413"
06/14/2023,"..18.03","..18.29","..17.70","..17.70","811,083"
06/13/2023,"..18.00","..18.20","..17.83","..18.03","686,275"
06/12/2023,"..18.30","..18.39","..17.99","..18.00","262,773"
06/08/2023,"..17.85","..18.14","..17.64","..18.00","411,458"
06/07/2023,"..18.30","..18.50","..17.80","..17.85","1,002,503"
06/06/2023,"..17.65","..18.32","..17.63","..18.30","2,355,949"
06/05/2023,"..17.48","..17.90","..17.50","..17.65","536,765"
06/01/2023,"..17.71","..17.90","..17.65","..17.69","183,556"
05/31/2023,"..17.76","..18.17","..17.70","..17.71","1,837,547"
05/30/2023,"..17.61","..18.05","..17.61","..17.76","826,305"
05/29/2023,"..17.68","..17.77","..17.51","..17.61","189,350"
05/25/2023,"..17.72","..17.98","..17.65","..17.89","894,773"
05/24/2023,"..17.15","..17.78","..17.20","..17.72","584,092"
05/23/2023,"..17.09","..17.30","..16.80","..17.15","204,008"
05/22/2023,"..17.07","..17.39","..17.05","..17.09","138,722"
05/18/2023,"..17.14","..17.39","..17.00","..17.37","217,823"
05/17/2023,"..17.06","..17.15","..16.87","..17.14","280,839"
05/16/2023,"..17.20","..17.30","..16.81","..17.06","195,433"
05/15/2023,"..17.44","..17.64","..17.15","..17.20","471,422"
05/11/2023,"..17.67","..17.80","..17.15","..17.15","883,033"
05/10/2023,"..17.83","..17.83","..17.54","..17.67","342,731"
05/09/2023,"..18.00","..18.24","..17.50","..17.60","933,261"
05/08/2023,"..17.70","..18.10","..17.50","..18.00","1,007,412"
05/03/2023,"..18.30","..18.48","..17.80","..17.88","488,855"
05/02/2023,"..18.41","..18.41","..18.11","..18.30","348,738"
05/01/2023,"..18.66","..18.81","..18.20","..18.41","609,937"
04/27/2023,"..18.65","..19.02","..18.69","..18.99","2,148,675"
04/26/2023,"..19.20","..19.20","..18.55","..18.65","1,251,329"
04/19/2023,"..18.25","..19.40","..18.30","..19.20","3,960,952"
04/18/2023,"..17.69","..18.37","..17.62","..18.25","1,801,115"
04/13/2023,"..17.57","..17.87","..17.31","..17.69","398,022"
04/12/2023,"..17.53","..17.80","..17.30","..17.57","667,654"
04/11/2023,"..17.40","..17.62","..17.30","..17.53","309,905"
04/10/2023,"..17.26","..17.45","..17.13","..17.40","300,833"
04/06/2023,"..17.61","..17.80","..17.01","..17.45","232,919"
04/05/2023,"..17.66","..17.99","..17.55","..17.61","196,959"
04/04/2023,"..17.98","..18.00","..17.55","..17.66","393,108"
04/03/2023,"..17.75","..18.10","..17.70","..17.98","939,116"
03/30/2023,"..17.60","..18.10","..17.07","..17.24","2,121,809"
03/29/2023,"..17.00","..17.98","..16.90","..17.60","1,339,667"
03/28/2023,"..17.04","..17.40","..16.50","..17.00","294,388"
03/27/2023,"..17.10","..17.51","..16.81","..17.04","779,444"
03/23/2023,"..16.19","..17.39","..15.93","..16.77","268,075"
