Date,Open,High,Low,Close,Volume
09/21/2023,"..46.50","..46.99","..45.81","..45.81","104,025"
09/20/2023,"..47.15","..47.40","..46.06","..46.50","144,811"
09/19/2023,"..47.04","..47.50","..46.81","..47.15","32,636"
09/18/2023,"..47.08","..47.50","..46.83","..47.04","52,345"
09/14/2023,"..46.65","..47.47","..46.51","..46.75","13,979"
09/13/2023,"..46.47","..47.00","..46.06","..46.65","27,169"
09/12/2023,"..46.15","..46.80","..46.15","..46.47","50,029"
09/11/2023,"..47.44","..47.90","..46.11","..46.15","74,766"
09/07/2023,"..46.97","..47.97","..46.80","..47.64","43,419"
09/06/2023,"..48.48","..48.50","..46.56","..46.97","121,249"
09/05/2023,"..47.08","..48.50","..47.20","..48.48","232,220"
09/04/2023,"..45.60","..48.00","..45.60","..47.08","334,649"
08/31/2023,"..46.58","..46.99","..46.00","..46.00","58,909"
08/30/2023,"..46.98","..47.25","..46.46","..46.58","78,718"
08/29/2023,"..46.03","..47.10","..46.13","..46.98","233,054"
08/28/2023,"..45.81","..46.59","..45.40","..46.03","518,997"
08/24/2023,"..45.61","..45.90","..45.15","..45.44","96,021"
08/23/2023,"..46.00","..46.01","..45.50","..45.61","91,890"
08/22/2023,"..45.00","..46.20","..44.86","..46.00","252,753"
08/21/2023,"..45.17","..45.51","..45.00","..45.00","80,280"
08/17/2023,"..44.96","..45.59","..44.75","..45.25","166,169"
08/16/2023,"..44.18","..45.30","..44.14","..44.96","294,219"
08/15/2023,"..44.54","..44.90","..44.00","..44.18","66,828"
08/14/2023,"..43.93","..45.44","..43.99","..44.54","268,351"
08/10/2023,"..43.40","..44.00","..43.36","..43.90","33,271"
08/09/2023,"..44.07","..44.25","..43.25","..43.40","108,559"
08/08/2023,"..44.27","..44.70","..43.90","..44.07","63,319"
08/07/2023,"..44.16","..44.85","..44.10","..44.27","85,521"
08/03/2023,"..43.15","..44.74","..43.00","..43.84","142,037"
08/02/2023,"..43.40","..43.99","..43.00","..43.15","38,510"
08/01/2023,"..43.15","..44.09","..43.01","..43.40","83,657"
07/31/2023,"..43.22","..43.69","..43.04","..43.15","17,662"
07/27/2023,"..43.49","..43.76","..43.01","..43.11","16,151"
