Date,Open,High,Low,Close,Volume
09/21/2023,"0.34","0.34","0.33","0.34","53,131"
09/20/2023,"0.34","0.34","0.33","0.34","18,900"
09/19/2023,"0.34","0.34","0.34","0.34","69,204"
09/18/2023,"0.34","0.35","0.33","0.34","46,664"
09/14/2023,"0.34","0.34","0.34","0.34","7,239"
09/13/2023,"0.34","0.34","0.34","0.34","79,140"
09/12/2023,"0.34","0.34","0.34","0.34","24,330"
09/11/2023,"0.34","0.34","0.34","0.34","530"
09/07/2023,"0.35","0.35","0.34","0.34","92,707"
09/06/2023,"0.35","0.36","0.35","0.35","6,914"
09/04/2023,"0.35","0.36","0.36","0.35","1,737"
08/31/2023,"0.35","0.36","0.36","0.35","9,019"
08/30/2023,"0.35","0.35","0.35","0.35","15,043"
08/29/2023,"0.35","0.35","0.34","0.35","42,954"
08/28/2023,"0.36","0.36","0.34","0.35","150,010"
08/24/2023,"0.36","0.36","0.36","0.36","540,801"
08/23/2023,"0.36","0.36","0.36","0.36","4,696"
08/22/2023,"0.36","0.36","0.36","0.36","14"
08/21/2023,"0.36","0.36","0.36","0.36","6,653"
08/17/2023,"0.36","0.36","0.35","0.36","11,825"
08/16/2023,"0.36","0.36","0.36","0.36","12,855"
08/15/2023,"0.36","0.37","0.36","0.36","17,190"
08/14/2023,"0.36","0.37","0.37","0.36","5,629"
08/10/2023,"0.36","0.36","0.36","0.36","2,000"
08/09/2023,"0.36","0.37","0.36","0.36","584,650"
08/08/2023,"0.36","0.36","0.36","0.36","8,715"
08/07/2023,"0.36","0.37","0.37","0.36","385"
08/03/2023,"0.35","0.37","0.36","0.36","251,208"
08/02/2023,"0.35","0.37","0.37","0.35","12,000"
08/01/2023,"0.35","0.36","0.35","0.35","26,942"
07/31/2023,"0.35","0.35","0.35","0.35","5,751"
07/27/2023,"0.34","0.34","0.34","0.34","235,031"
07/26/2023,"0.36","0.36","0.34","0.34","177,296"
07/25/2023,"0.36","0.35","0.35","0.36","7,399"
07/24/2023,"0.36","0.36","0.35","0.36","3,419"
07/19/2023,"0.36","0.36","0.35","0.36","19,947"
07/18/2023,"0.37","0.36","0.36","0.36","66,460"
07/17/2023,"0.37","0.36","0.36","0.37","8,996"
07/13/2023,"0.37","0.38","0.38","0.37","790"
07/12/2023,"0.37","0.38","0.37","0.37","6,937"
07/11/2023,"0.37","0.38","0.37","0.37","26,061"
07/10/2023,"0.38","0.38","0.37","0.37","34,022"
07/06/2023,"0.38","0.38","0.38","0.38","16,785"
07/05/2023,"0.38","0.38","0.38","0.38","29,515"
07/04/2023,"0.38","0.39","0.38","0.38","46,027"
06/26/2023,"0.38","0.39","0.38","0.38","5,254"
06/22/2023,"0.38","0.39","0.38","0.38","3,352"
06/21/2023,"0.41","0.39","0.38","0.38","50,025"
06/20/2023,"0.41","0.40","0.39","0.41","267"
06/19/2023,"0.41","0.40","0.40","0.41","935"
06/15/2023,"0.41","0.40","0.39","0.41","1,019"
06/13/2023,"0.41","0.39","0.39","0.41","24,511"
06/12/2023,"0.41","0.40","0.40","0.41","335"
06/08/2023,"0.41","0.40","0.40","0.41","3,847"
06/07/2023,"0.41","0.40","0.40","0.41","7,057"
06/06/2023,"0.41","0.40","0.40","0.41","8,796"
06/05/2023,"0.41","0.41","0.40","0.41","22,718"
05/31/2023,"0.41","0.40","0.40","0.41","2,355"
05/29/2023,"0.41","0.41","0.40","0.41","12,299"
05/25/2023,"0.41","0.41","0.40","0.41","7,313"
05/24/2023,"0.41","0.42","0.39","0.41","4,012"
05/23/2023,"0.41","0.42","0.39","0.41","22,459"
05/22/2023,"0.41","0.41","0.41","0.41","500"
05/18/2023,"0.44","0.41","0.40","0.41","28,471"
05/17/2023,"0.44","0.41","0.41","0.44","360"
05/16/2023,"0.44","0.41","0.41","0.44","19,048"
05/11/2023,"0.44","0.44","0.42","0.44","20,409"
05/10/2023,"0.44","0.43","0.43","0.44","12,060"
05/09/2023,"0.44","0.43","0.43","0.44","13,950"
05/08/2023,"0.44","0.43","0.43","0.44","4,055"
05/03/2023,"0.44","0.43","0.43","0.44","5,633"
05/02/2023,"0.44","0.44","0.42","0.44","3,079"
04/27/2023,"0.44","0.44","0.44","0.44","63"
04/26/2023,"0.44","0.44","0.44","0.44","313,169"
04/19/2023,"0.44","0.44","0.42","0.44","1,560"
04/13/2023,"0.43","0.44","0.43","0.44","313,169"
04/11/2023,"0.43","0.42","0.42","0.43","4,815"
04/10/2023,"0.43","0.43","0.42","0.43","14,817"
04/06/2023,"0.43","0.43","0.43","0.43","45,000"
04/05/2023,"0.43","0.44","0.43","0.43","100,020"
04/04/2023,"0.43","0.43","0.42","0.43","13,393"
04/03/2023,"0.43","0.43","0.43","0.43","400,000"
03/30/2023,"0.44","0.44","0.42","0.42","122,279"
03/29/2023,"0.43","0.44","0.42","0.44","30,947"
03/28/2023,"0.43","0.42","0.42","0.43","2,669"
03/23/2023,"0.43","0.44","0.42","0.43","26,391"
03/22/2023,"0.43","0.44","0.41","0.43","16,133"
03/21/2023,"0.41","0.43","0.42","0.43","108,300"
03/20/2023,"0.43","0.41","0.40","0.41","81,250"
03/16/2023,"0.43","0.44","0.43","0.43","5,358"
03/15/2023,"0.43","0.42","0.42","0.43","1,770"
03/14/2023,"0.43","0.43","0.43","0.43","550"
03/13/2023,"0.44","0.44","0.40","0.43","38,351"
03/09/2023,"0.47","0.47","0.44","0.44","69,298"
03/07/2023,"0.47","0.47","0.46","0.47","15,448"
03/06/2023,"0.47","0.46","0.46","0.47","21,160"
03/02/2023,"0.47","0.47","0.46","0.47","35,050"
03/01/2023,"0.46","0.47","0.46","0.47","2,574,948"
02/28/2023,"0.46","0.46","0.46","0.46","13,047"
02/27/2023,"0.48","0.47","0.46","0.46","41,893"
02/23/2023,"0.48","0.48","0.47","0.48","732,806"
02/22/2023,"0.46","0.48","0.46","0.48","104,303"
02/21/2023,"0.46","0.47","0.46","0.46","512"
02/20/2023,"0.47","0.47","0.46","0.46","26,670"
02/16/2023,"0.47","0.48","0.47","0.47","6,500"
02/15/2023,"0.48","0.48","0.47","0.47","27,613"
02/14/2023,"0.47","0.48","0.47","0.48","529,576"
02/13/2023,"0.47","0.47","0.47","0.47","1,025,125"
02/09/2023,"0.48","0.48","0.47","0.47","37,723"
02/08/2023,"0.48","0.48","0.47","0.48","201"
02/07/2023,"0.48","0.49","0.47","0.48","1,283"
02/06/2023,"0.48","0.49","0.47","0.48","2,669"
02/02/2023,"0.48","0.48","0.47","0.48","6,526"
01/31/2023,"0.48","0.48","0.48","0.48","314,413"
01/30/2023,"0.48","0.49","0.48","0.48","14,204"
01/25/2023,"0.49","0.50","0.48","0.48","69,686"
01/24/2023,"0.49","0.50","0.49","0.49","376,102"
01/23/2023,"0.49","0.49","0.49","0.49","400,617"
01/19/2023,"0.49","0.48","0.48","0.49","2,573"
01/18/2023,"0.49","0.49","0.48","0.49","1,802"
01/17/2023,"0.49","0.51","0.49","0.49","10,350"
01/16/2023,"0.51","0.50","0.47","0.49","63,041"
01/12/2023,"0.49","0.53","0.49","0.51","84,657"
01/11/2023,"0.49","0.50","0.48","0.49","18,564"
01/10/2023,"0.49","0.50","0.49","0.49","3,518"
01/09/2023,"0.49","0.50","0.49","0.49","107,624"
01/05/2023,"0.50","0.52","0.49","0.49","428,238"
01/04/2023,"0.50","0.52","0.49","0.50","82,782"
01/03/2023,"0.49","0.50","0.49","0.50","69,448"
01/02/2023,"0.49","0.48","0.48","0.49","4,071"
12/29/2022,"0.49","0.49","0.48","0.49","20,899"
12/28/2022,"0.49","0.50","0.49","0.49","162,465"
12/27/2022,"0.49","0.48","0.48","0.49","551"
12/26/2022,"0.49","0.49","0.48","0.49","5,513"
12/22/2022,"0.50","0.50","0.49","0.50","4,120"
12/21/2022,"0.50","0.50","0.49","0.50","14,057"
12/20/2022,"0.50","0.48","0.48","0.50","6,633"
12/19/2022,"0.50","0.50","0.49","0.50","16,235"
12/15/2022,"0.48","0.48","0.47","0.48","17,259"
12/14/2022,"0.47","0.48","0.47","0.48","1,163,166"
12/13/2022,"0.47","0.48","0.47","0.47","124,503"
12/12/2022,"0.47","0.47","0.45","0.47","168,140"
12/08/2022,"0.45","0.47","0.45","0.47","550,857"
12/07/2022,"0.45","0.45","0.45","0.45","14,397"
12/06/2022,"0.45","0.45","0.45","0.45","4,410"
12/05/2022,"0.44","0.47","0.44","0.45","164,648"
12/01/2022,"0.44","0.44","0.44","0.44","2,852"
11/30/2022,"0.43","0.44","0.44","0.44","77,177"
