Date,Open,High,Low,Close,Volume
09/21/2023,"..8.27","..8.40","..8.15","..8.38","2,822,148"
09/20/2023,"..8.29","..8.73","..8.19","..8.27","11,442,170"
09/19/2023,"..8.37","..8.46","..8.28","..8.29","2,710,373"
09/18/2023,"..8.25","..8.41","..8.25","..8.37","2,399,364"
09/14/2023,"..8.15","..8.31","..8.14","..8.23","2,347,015"
09/13/2023,"..7.99","..8.20","..8.00","..8.15","1,391,890"
09/12/2023,"..8.07","..8.13","..7.96","..7.99","967,799"
09/11/2023,"..8.19","..8.29","..8.06","..8.07","1,198,463"
09/07/2023,"..7.94","..8.07","..7.95","..8.00","1,495,248"
09/06/2023,"..8.19","..8.27","..7.92","..7.94","3,298,075"
09/05/2023,"..8.28","..8.38","..8.17","..8.19","1,812,563"
09/04/2023,"..8.16","..8.38","..8.13","..8.28","1,519,914"
08/31/2023,"..8.36","..8.42","..8.30","..8.31","822,347"
08/30/2023,"..8.36","..8.48","..8.35","..8.36","1,141,471"
08/29/2023,"..8.38","..8.46","..8.35","..8.36","737,012"
08/28/2023,"..8.45","..8.59","..8.38","..8.38","1,536,593"
08/24/2023,"..8.32","..8.40","..8.22","..8.40","1,589,728"
08/23/2023,"..8.50","..8.60","..8.31","..8.32","1,859,121"
08/22/2023,"..8.39","..8.65","..8.43","..8.50","4,829,486"
08/21/2023,"..8.13","..8.48","..8.13","..8.39","4,854,283"
08/17/2023,"..8.21","..8.30","..8.13","..8.15","1,248,463"
08/16/2023,"..8.26","..8.38","..8.21","..8.21","1,923,419"
08/15/2023,"..8.33","..8.39","..8.25","..8.26","1,896,065"
08/14/2023,"..8.40","..8.53","..8.32","..8.33","2,948,800"
08/10/2023,"..8.30","..8.39","..8.19","..8.20","1,354,376"
08/09/2023,"..8.36","..8.45","..8.28","..8.30","1,800,510"
08/08/2023,"..8.37","..8.50","..8.35","..8.36","1,775,383"
08/07/2023,"..8.40","..8.50","..8.36","..8.37","2,610,131"
08/03/2023,"..8.22","..8.40","..8.16","..8.26","2,534,894"
08/02/2023,"..8.49","..8.56","..8.13","..8.22","3,010,556"
08/01/2023,"..8.71","..8.81","..8.46","..8.49","3,307,195"
07/31/2023,"..8.78","..8.88","..8.68","..8.71","2,638,165"
07/27/2023,"..8.74","..8.76","..8.63","..8.68","1,113,699"
07/26/2023,"..8.76","..8.84","..8.68","..8.74","1,059,832"
07/25/2023,"..8.89","..9.00","..8.75","..8.76","3,062,231"
07/24/2023,"..8.89","..8.99","..8.80","..8.89","1,088,313"
