Date,Open,High,Low,Close,Volume
09/21/2023,"6.13","6.20","6.15","6.17","1,740"
09/20/2023,"6.13","6.16","6.16","6.13","133"
09/19/2023,"6.13","6.17","6.16","6.13","550"
09/14/2023,"6.13","6.25","6.20","6.13","180"
09/13/2023,"6.13","6.25","6.23","6.13","340"
09/12/2023,"6.13","6.14","6.10","6.13","480"
09/11/2023,"6.13","6.24","6.14","6.13","498"
09/07/2023,"6.22","6.18","6.10","6.22","550"
09/06/2023,"6.22","6.15","6.07","6.22","42"
09/05/2023,"6.05","6.25","6.20","6.22","2,100"
09/04/2023,"6.05","6.16","6.15","6.05","228"
08/31/2023,"6.05","6.22","6.22","6.05","1"
08/30/2023,"6.05","6.23","6.10","6.05","520"
08/29/2023,"6.24","6.20","6.00","6.05","2,091"
08/28/2023,"6.24","6.15","6.15","6.24","69"
08/24/2023,"6.24","6.23","6.15","6.24","712"
08/23/2023,"6.24","6.22","6.20","6.24","330"
08/22/2023,"6.24","6.20","6.10","6.24","569"
08/21/2023,"6.24","6.19","6.19","6.24","200"
08/17/2023,"6.24","6.19","6.19","6.24","27"
08/16/2023,"6.24","6.09","6.05","6.24","305"
08/14/2023,"6.24","6.06","6.05","6.24","110"
08/10/2023,"6.24","6.11","6.05","6.24","700"
08/09/2023,"6.24","6.14","6.10","6.24","500"
08/08/2023,"6.24","6.19","6.14","6.24","500"
08/07/2023,"6.24","6.24","6.24","6.24","327"
08/03/2023,"6.24","6.25","6.20","6.24","1,141"
08/01/2023,"6.24","6.14","6.10","6.24","110"
07/31/2023,"6.24","6.15","6.15","6.24","165"
07/27/2023,"6.23","6.16","6.16","6.23","473"
07/26/2023,"6.23","6.19","6.19","6.23","1,000"
07/25/2023,"6.25","6.25","6.22","6.23","3,596"
07/24/2023,"6.25","6.20","6.19","6.25","600"
07/19/2023,"6.25","6.25","6.25","6.25","500"
07/18/2023,"6.22","6.25","6.24","6.25","2,138"
07/17/2023,"6.20","6.25","6.10","6.22","1,760"
07/13/2023,"6.20","6.05","6.00","6.20","96"
07/12/2023,"6.20","6.20","6.00","6.20","1,504"
07/11/2023,"6.20","6.33","6.20","6.20","986"
07/10/2023,"6.20","6.16","6.10","6.20","265"
07/06/2023,"6.20","6.00","6.00","6.20","710"
07/05/2023,"6.20","6.17","6.01","6.20","979"
07/04/2023,"6.20","6.11","6.11","6.20","110"
06/26/2023,"6.07","6.30","6.15","6.20","6,780"
06/22/2023,"6.07","6.27","6.16","6.07","417"
06/21/2023,"6.07","6.30","6.25","6.07","997"
06/20/2023,"6.07","6.39","6.11","6.07","555"
06/19/2023,"6.40","6.08","6.00","6.07","1,723"
06/15/2023,"5.60","5.78","5.63","5.65","4,295"
06/14/2023,"5.63","5.63","5.56","5.60","4,317"
06/13/2023,"5.63","5.63","5.60","5.63","3,228"
06/12/2023,"5.52","5.75","5.52","5.63","3,405"
06/08/2023,"5.44","5.46","5.40","5.44","473"
06/07/2023,"5.44","5.46","5.45","5.44","650"
06/06/2023,"5.44","5.44","5.41","5.44","750"
06/05/2023,"5.33","5.45","5.42","5.44","3,620"
06/01/2023,"5.33","5.39","5.38","5.33","546"
05/31/2023,"5.33","5.40","5.40","5.33","564"
05/30/2023,"5.33","5.40","5.31","5.33","411"
05/25/2023,"5.33","5.32","5.31","5.33","950"
05/24/2023,"5.41","5.39","5.31","5.33","2,446"
05/23/2023,"5.41","5.41","5.30","5.41","1,594"
05/22/2023,"5.41","5.31","5.26","5.41","1,129"
05/18/2023,"5.25","5.47","5.26","5.41","3,172"
05/17/2023,"5.25","5.28","5.26","5.25","81"
05/15/2023,"5.25","5.30","5.25","5.25","373"
05/11/2023,"5.30","5.30","5.28","5.30","1,200"
05/10/2023,"5.29","5.30","5.26","5.30","2,061"
