Date,Open,High,Low,Close,Volume
09/21/2023,"..4.57","..4.90","..4.65","..4.78","2,874,015"
09/20/2023,"..4.81","..4.87","..4.54","..4.57","1,217,944"
09/19/2023,"..4.70","..4.94","..4.72","..4.81","3,687,942"
09/18/2023,"..4.76","..4.94","..4.70","..4.70","4,165,961"
09/14/2023,"..4.39","..4.45","..4.25","..4.26","1,341,026"
09/13/2023,"..4.34","..4.53","..4.27","..4.39","3,484,830"
09/12/2023,"..4.00","..4.45","..4.04","..4.34","9,562,225"
09/11/2023,"..3.93","..4.08","..3.80","..4.00","1,537,300"
09/07/2023,"..3.71","..4.06","..3.69","..3.88","2,594,162"
09/06/2023,"..3.76","..3.84","..3.69","..3.71","2,494,899"
09/05/2023,"..3.82","..3.92","..3.75","..3.76","870,412"
09/04/2023,"..3.78","..3.92","..3.75","..3.82","2,104,638"
08/31/2023,"..3.99","..4.10","..3.90","..3.90","1,984,484"
08/30/2023,"..3.99","..4.11","..3.94","..3.99","2,832,195"
08/29/2023,"..4.14","..4.29","..3.91","..3.99","5,505,563"
08/28/2023,"..3.71","..4.35","..3.70","..4.14","8,982,121"
08/24/2023,"..3.50","..3.59","..3.40","..3.48","1,308,100"
08/23/2023,"..3.67","..3.75","..3.47","..3.50","2,634,338"
08/22/2023,"..3.67","..3.83","..3.65","..3.67","3,309,172"
08/21/2023,"..3.56","..3.93","..3.56","..3.67","13,651,270"
08/17/2023,"..3.00","..3.02","..2.96","..2.97","630,336"
08/16/2023,"..2.91","..3.06","..2.93","..3.00","1,979,078"
08/15/2023,"..3.00","..3.10","..2.90","..2.91","2,148,080"
08/14/2023,"..2.82","..3.05","..2.83","..3.00","2,037,102"
08/10/2023,"..2.75","..2.89","..2.74","..2.81","1,542,184"
08/09/2023,"..2.74","..2.77","..2.74","..2.75","157,641"
08/08/2023,"..2.75","..2.77","..2.73","..2.74","516,480"
08/07/2023,"..2.74","..2.77","..2.73","..2.75","287,955"
08/03/2023,"..2.73","..2.77","..2.72","..2.74","469,297"
