Name,Sector,URL,URL2
A Capital Holding (ACAP),Real Estate Developers,https://www.marketwatch.com/investing/Stock/ACAP?countryCode=EG,https://www.marketwatch.com/investing/stock/acap/download-data?countrycode=eg&mod=mw_quote_tab
Abu Dhabi Islamic Bank-Egypt (ADIB),Banking,https://www.marketwatch.com/investing/Stock/ADIB?countryCode=EG,https://www.marketwatch.com/investing/stock/adib/download-data?countrycode=eg&mod=mw_quote_tab
Abu Qir Fertilizers & Chemical Industries Co. (ABUK),Chemicals,https://www.marketwatch.com/investing/Stock/ABUK?countryCode=EG,https://www.marketwatch.com/investing/stock/abuk/download-data?countrycode=eg&mod=mw_quote_tab
Acrow Misr (ACRO),Building Materials/Products,https://www.marketwatch.com/investing/Stock/ACRO?countryCode=EG,https://www.marketwatch.com/investing/stock/acro/download-data?countrycode=eg&mod=mw_quote_tab
AJWA for Food Industries Co. Egypt (AJWA),Food Products,https://www.marketwatch.com/investing/Stock/AJWA?countryCode=EG,https://www.marketwatch.com/investing/stock/ajwa/download-data?countrycode=eg&mod=mw_quote_tab
Al Arafa for Investments & Consultancies (AIVC),Wholesalers,https://www.marketwatch.com/investing/Stock/AIVC?countryCode=EG,https://www.marketwatch.com/investing/stock/aivc/download-data?countrycode=eg&mod=mw_quote_tab
Al Badr Investment & Development (BIDI),Containers/Packaging,https://www.marketwatch.com/investing/Stock/BIDI?countryCode=EG,https://www.marketwatch.com/investing/stock/bidi/download-data?countrycode=eg&mod=mw_quote_tab
Al Baraka Bank Egypt (SAUD),Banking,https://www.marketwatch.com/investing/Stock/SAUD?countryCode=EG,https://www.marketwatch.com/investing/stock/saud/download-data?countrycode=eg&mod=mw_quote_tab
Al Fanar Contracting Construction Trade Import & Export Co. (FNAR),Construction,https://www.marketwatch.com/investing/Stock/FNAR?countryCode=EG,https://www.marketwatch.com/investing/stock/fnar/download-data?countrycode=eg&mod=mw_quote_tab
Al Khair River for Development Agriculture Investment & Environmental Services (KRDI),Finance Companies,https://www.marketwatch.com/investing/Stock/KRDI?countryCode=EG,https://www.marketwatch.com/investing/stock/krdi/download-data?countrycode=eg&mod=mw_quote_tab
Al Moasher for Programming & Information Dissemination (AMPI),Computer Services,https://www.marketwatch.com/investing/Stock/AMPI?countryCode=EG,https://www.marketwatch.com/investing/stock/ampi/download-data?countrycode=eg&mod=mw_quote_tab
Al Tawfeek Leasing Co. (ATLC),Consumer Finance,https://www.marketwatch.com/investing/Stock/ATLC?countryCode=EG,https://www.marketwatch.com/investing/stock/atlc/download-data?countrycode=eg&mod=mw_quote_tab
Alexandria Container & Cargo Handling Co. (ALCN),Water Transport/Shipping,https://www.marketwatch.com/investing/Stock/ALCN?countryCode=EG,https://www.marketwatch.com/investing/stock/alcn/download-data?countrycode=eg&mod=mw_quote_tab
Alexandria Flour Mills (AFMC),Food Products,https://www.marketwatch.com/investing/Stock/AFMC?countryCode=EG,https://www.marketwatch.com/investing/stock/afmc/download-data?countrycode=eg&mod=mw_quote_tab
Alexandria Mineral Oils Co. (AMOC),Oil & Gas Products/Services,https://www.marketwatch.com/investing/Stock/AMOC?countryCode=EG,https://www.marketwatch.com/investing/stock/amoc/download-data?countrycode=eg&mod=mw_quote_tab
Alexandria National Co. for Financial Investment (ANFI),Finance Companies,https://www.marketwatch.com/investing/Stock/ANFI?countryCode=EG,https://www.marketwatch.com/investing/stock/anfi/download-data?countrycode=eg&mod=mw_quote_tab
Alexandria New Medical Center Co. (AMES),Healthcare Provision,https://www.marketwatch.com/investing/Stock/AMES?countryCode=EG,https://www.marketwatch.com/investing/stock/ames/download-data?countrycode=eg&mod=mw_quote_tab
Alexandria Pharmaceuticals & Chemical Industries (AXPH),Pharmaceuticals,https://www.marketwatch.com/investing/Stock/AXPH?countryCode=EG,https://www.marketwatch.com/investing/stock/axph/download-data?countrycode=eg&mod=mw_quote_tab
Alexandria Spinning & Weaving (SPIN),Clothing,https://www.marketwatch.com/investing/Stock/SPIN?countryCode=EG,https://www.marketwatch.com/investing/stock/spin/download-data?countrycode=eg&mod=mw_quote_tab
Amer Group Holding (AMER),Real Estate Developers,https://www.marketwatch.com/investing/Stock/AMER?countryCode=EG,https://www.marketwatch.com/investing/stock/amer/download-data?countrycode=eg&mod=mw_quote_tab
