Date,Open,High,Low,Close,Volume
09/21/2023,"..0.26","..0.27","..0.26","..0.26","15,089,790"
09/20/2023,"..0.27","..0.28","..0.26","..0.26","32,332,801"
09/19/2023,"..0.28","..0.28","..0.27","..0.27","13,663,890"
09/18/2023,"..0.28","..0.28","..0.28","..0.28","32,894,371"
09/14/2023,"..0.27","..0.27","..0.27","..0.27","10,612,950"
09/13/2023,"..0.27","..0.27","..0.27","..0.27","9,668,270"
09/12/2023,"..0.27","..0.27","..0.27","..0.27","8,040,349"
09/11/2023,"..0.27","..0.27","..0.27","..0.27","19,562,619"
09/07/2023,"..0.27","..0.27","..0.27","..0.27","17,070,881"
09/06/2023,"..0.28","..0.28","..0.27","..0.27","49,864,352"
09/05/2023,"..0.27","..0.28","..0.28","..0.28","54,512,980"
09/04/2023,"..0.27","..0.28","..0.27","..0.27","27,726,350"
08/31/2023,"..0.27","..0.27","..0.27","..0.27","26,816,109"
08/30/2023,"..0.26","..0.27","..0.26","..0.27","45,043,422"
08/29/2023,"..0.26","..0.26","..0.26","..0.26","13,815,540"
08/28/2023,"..0.26","..0.26","..0.26","..0.26","11,562,910"
08/24/2023,"..0.26","..0.26","..0.26","..0.26","21,640,760"
08/23/2023,"..0.27","..0.27","..0.26","..0.26","18,440,980"
08/22/2023,"..0.27","..0.27","..0.27","..0.27","29,257,330"
08/21/2023,"..0.27","..0.27","..0.27","..0.27","10,417,900"
08/17/2023,"..0.27","..0.27","..0.27","..0.27","24,800,490"
08/16/2023,"..0.28","..0.28","..0.27","..0.27","25,536,670"
08/15/2023,"..0.27","..0.28","..0.27","..0.28","37,677,078"
08/14/2023,"..0.27","..0.27","..0.27","..0.27","13,170,100"
08/10/2023,"..0.27","..0.28","..0.27","..0.27","13,858,890"
08/09/2023,"..0.27","..0.28","..0.27","..0.27","26,241,420"
08/08/2023,"..0.27","..0.28","..0.27","..0.27","29,371,230"
08/07/2023,"..0.28","..0.28","..0.27","..0.27","28,759,500"
08/03/2023,"..0.27","..0.27","..0.27","..0.27","9,729,035"
08/02/2023,"..0.27","..0.27","..0.27","..0.27","18,148,090"
08/01/2023,"..0.27","..0.28","..0.27","..0.27","12,623,230"
07/31/2023,"..0.28","..0.28","..0.27","..0.27","26,989,369"
07/27/2023,"..0.26","..0.28","..0.26","..0.28","80,923,641"
07/26/2023,"..0.25","..0.27","..0.25","..0.26","55,449,727"
07/25/2023,"..0.25","..0.25","..0.25","..0.25","6,990,315"
07/24/2023,"..0.26","..0.26","..0.25","..0.25","4,635,838"
07/19/2023,"..0.26","..0.26","..0.25","..0.26","8,875,846"
07/18/2023,"..0.26","..0.26","..0.25","..0.26","5,711,669"
07/17/2023,"..0.26","..0.26","..0.25","..0.26","11,304,570"
07/13/2023,"..0.25","..0.26","..0.25","..0.26","12,489,990"
07/12/2023,"..0.25","..0.26","..0.25","..0.25","10,529,440"
07/11/2023,"..0.25","..0.26","..0.25","..0.25","14,822,600"
07/10/2023,"..0.25","..0.26","..0.25","..0.25","15,218,200"
07/06/2023,"..0.27","..0.27","..0.27","..0.27","19,492,100"
07/05/2023,"..0.27","..0.28","..0.27","..0.27","14,876,860"
07/04/2023,"..0.27","..0.28","..0.27","..0.27","11,473,780"
06/26/2023,"..0.27","..0.27","..0.27","..0.27","8,125,153"
06/22/2023,"..0.27","..0.27","..0.27","..0.27","13,184,050"
06/21/2023,"..0.28","..0.28","..0.27","..0.27","20,907,170"
06/20/2023,"..0.28","..0.28","..0.28","..0.28","9,955,019"
06/19/2023,"..0.28","..0.29","..0.28","..0.28","28,909,801"
06/15/2023,"..0.28","..0.28","..0.27","..0.28","24,600,340"
06/14/2023,"..0.28","..0.29","..0.28","..0.28","23,336,990"
06/13/2023,"..0.29","..0.29","..0.28","..0.28","33,378,441"
06/12/2023,"..0.29","..0.29","..0.29","..0.29","10,628,535"
