Date,Open,High,Low,Close,Volume
09/21/2023,"..7.43","..8.10","..7.75","..7.82","3,672,288"
09/20/2023,"..7.72","..7.75","..7.31","..7.43","1,573,983"
09/19/2023,"..7.75","..7.87","..7.67","..7.72","1,560,258"
09/18/2023,"..7.61","..7.80","..7.53","..7.75","1,630,497"
09/14/2023,"..7.83","..7.91","..7.60","..7.63","1,872,285"
09/13/2023,"..7.78","..7.88","..7.56","..7.83","3,005,898"
09/12/2023,"..7.31","..7.87","..7.25","..7.78","3,791,351"
09/11/2023,"..7.30","..7.43","..7.12","..7.31","1,761,421"
09/07/2023,"..7.00","..7.25","..6.93","..7.25","2,162,785"
09/06/2023,"..7.17","..7.25","..6.96","..7.00","999,518"
09/05/2023,"..7.26","..7.39","..7.13","..7.17","1,240,929"
09/04/2023,"..7.31","..7.38","..7.16","..7.26","863,357"
08/31/2023,"..7.39","..7.48","..7.33","..7.43","580,162"
08/30/2023,"..7.49","..7.55","..7.33","..7.39","1,182,925"
08/29/2023,"..7.43","..7.55","..7.34","..7.49","1,292,322"
08/28/2023,"..7.55","..7.63","..7.31","..7.43","964,421"
08/24/2023,"..7.52","..7.52","..7.23","..7.39","665,868"
08/23/2023,"..7.69","..7.77","..7.41","..7.52","806,455"
08/22/2023,"..7.70","..7.88","..7.67","..7.69","1,354,686"
08/21/2023,"..7.61","..7.75","..7.56","..7.70","847,006"
08/17/2023,"..7.72","..7.82","..7.55","..7.63","970,177"
08/16/2023,"..7.63","..7.95","..7.69","..7.72","2,856,659"
08/15/2023,"..7.62","..7.66","..7.48","..7.63","1,872,563"
08/14/2023,"..7.88","..7.92","..7.50","..7.62","2,219,925"
08/10/2023,"..7.83","..7.94","..7.78","..7.86","1,419,393"
08/09/2023,"..7.54","..7.95","..7.56","..7.83","3,154,674"
08/08/2023,"..7.51","..7.57","..7.41","..7.54","1,203,929"
08/07/2023,"..7.48","..7.60","..7.44","..7.51","1,050,482"
08/03/2023,"..7.03","..7.19","..6.91","..7.12","1,077,491"
08/02/2023,"..7.29","..7.34","..6.93","..7.03","1,286,592"
08/01/2023,"..7.24","..7.40","..7.23","..7.29","795,174"
07/31/2023,"..7.23","..7.35","..7.15","..7.24","941,829"
07/27/2023,"..7.28","..7.55","..7.20","..7.47","1,722,851"
07/26/2023,"..7.52","..7.56","..7.26","..7.28","979,835"
07/25/2023,"..7.43","..7.67","..7.35","..7.52","1,278,203"
07/24/2023,"..7.65","..7.70","..7.41","..7.43","1,433,832"
07/19/2023,"..7.43","..7.67","..7.30","..7.65","1,986,514"
07/18/2023,"..7.86","..7.92","..7.07","..7.43","2,535,550"
07/17/2023,"..8.32","..8.35","..7.77","..7.86","2,970,531"
