Date,Open,High,Low,Close,Volume
09/21/2023,"..38.12","..42.00","..38.00","..41.50","2,672,236"
09/20/2023,"..37.59","..38.67","..37.80","..38.12","649,956"
09/19/2023,"..38.40","..38.79","..37.50","..37.59","90,447"
09/18/2023,"..38.80","..38.80","..38.36","..38.40","512,192"
09/14/2023,"..37.71","..37.99","..37.22","..37.26","190,666"
09/13/2023,"..38.00","..38.00","..37.50","..37.71","48,295"
09/12/2023,"..37.72","..38.09","..37.60","..38.00","348,057"
09/11/2023,"..38.00","..38.10","..37.71","..37.72","6,088,248"
09/07/2023,"..36.81","..37.75","..36.50","..37.49","961,251"
09/06/2023,"..36.50","..37.00","..36.51","..36.81","329,268"
09/05/2023,"..36.57","..36.80","..36.00","..36.50","316,997"
09/04/2023,"..36.56","..36.74","..36.50","..36.57","60,002"
08/31/2023,"..36.64","..36.98","..36.50","..36.50","194,042"
08/30/2023,"..36.60","..36.99","..36.55","..36.64","42,956"
08/29/2023,"..36.99","..37.19","..36.51","..36.60","196,142"
08/28/2023,"..37.50","..38.50","..36.91","..36.99","1,372,320"
08/24/2023,"..36.51","..37.15","..36.50","..37.01","113,777"
08/23/2023,"..36.20","..36.60","..36.20","..36.51","93,060"
08/22/2023,"..36.11","..36.50","..36.10","..36.20","47,426"
08/21/2023,"..36.70","..36.98","..36.00","..36.11","89,001"
08/17/2023,"..37.49","..37.75","..36.51","..37.00","1,329,948"
08/16/2023,"..36.35","..37.50","..36.14","..37.49","516,632"
08/15/2023,"..36.51","..36.69","..36.04","..36.35","198,894"
08/14/2023,"..36.01","..36.69","..36.10","..36.51","142,549"
08/10/2023,"..36.06","..36.30","..36.05","..36.06","41,964"
08/09/2023,"..36.34","..36.69","..36.02","..36.06","98,217"
08/08/2023,"..36.29","..36.99","..36.11","..36.34","79,650"
08/07/2023,"..36.17","..36.40","..36.00","..36.29","35,217"
08/03/2023,"..36.01","..36.27","..35.81","..35.90","314,451"
08/02/2023,"..36.05","..36.34","..35.95","..36.01","170,746"
08/01/2023,"..36.31","..36.49","..36.05","..36.05","139,148"
07/31/2023,"..35.88","..36.45","..35.90","..36.31","187,281"
07/27/2023,"..36.14","..36.55","..36.05","..36.11","316,184"
07/26/2023,"..36.51","..36.79","..36.05","..36.14","150,912"
07/25/2023,"..36.24","..36.89","..36.12","..36.51","263,113"
07/24/2023,"..37.43","..37.45","..36.00","..36.24","694,733"
07/19/2023,"..37.77","..37.99","..37.40","..37.43","39,945"
07/18/2023,"..38.08","..38.25","..37.61","..37.77","98,857"
07/17/2023,"..37.67","..38.45","..37.70","..38.08","158,072"
07/13/2023,"..36.47","..37.10","..36.10","..37.00","233,805"
07/12/2023,"..36.44","..36.50","..36.01","..36.47","40,592"
07/11/2023,"..36.19","..36.50","..35.11","..36.44","120,168"
07/10/2023,"..33.93","..36.39","..34.00","..36.19","182,069"
07/06/2023,"..37.33","..37.37","..35.62","..35.88","487,497"
07/05/2023,"..35.78","..37.40","..35.65","..37.33","286,157"
07/04/2023,"..35.50","..35.97","..35.55","..35.78","72,161"
06/26/2023,"..34.81","..35.50","..34.80","..35.50","305,403"
06/22/2023,"..35.02","..35.44","..34.90","..35.05","307,357"
06/21/2023,"..35.71","..35.94","..34.82","..35.02","309,638"
06/20/2023,"..35.99","..36.28","..35.60","..35.71","245,973"
06/19/2023,"..36.60","..36.70","..35.80","..35.99","326,337"
06/15/2023,"..36.05","..36.70","..36.00","..36.48","257,941"
06/14/2023,"..35.65","..37.50","..35.83","..36.05","414,079"
06/13/2023,"..36.36","..37.75","..35.30","..35.65","1,134,677"
06/12/2023,"..36.60","..37.00","..36.20","..36.36","33,440"
06/08/2023,"..35.52","..37.80","..34.82","..35.73","702,365"
06/07/2023,"..36.80","..37.30","..35.22","..35.52","962,457"
06/06/2023,"..38.00","..38.39","..36.50","..36.80","352,372"
06/05/2023,"..38.60","..39.20","..37.95","..38.00","829,564"
06/01/2023,"..39.14","..39.85","..38.85","..39.31","253,361"
05/31/2023,"..39.80","..40.20","..38.98","..39.14","1,376,197"
05/30/2023,"..39.29","..40.00","..39.20","..39.80","156,033"
05/29/2023,"..39.96","..40.00","..38.60","..39.29","440,063"
05/25/2023,"..40.01","..40.45","..39.80","..40.00","375,329"
05/24/2023,"..39.50","..40.29","..39.60","..40.01","102,444"
05/23/2023,"..39.92","..40.50","..38.95","..39.50","87,673"
05/22/2023,"..40.76","..41.00","..39.68","..39.92","329,384"
05/18/2023,"..39.77","..41.10","..39.50","..41.00","967,838"
05/17/2023,"..40.96","..41.00","..39.50","..39.77","130,564"
05/16/2023,"..41.00","..41.20","..40.50","..40.96","1,126,517"
05/15/2023,"..41.37","..42.35","..41.00","..41.00","485,910"
05/11/2023,"..43.08","..43.55","..42.40","..42.63","268,713"
05/10/2023,"..43.03","..43.60","..42.10","..43.08","172,342"
05/09/2023,"..44.00","..44.12","..43.00","..43.03","169,622"
05/08/2023,"..42.45","..44.20","..42.30","..44.00","469,118"
05/03/2023,"..41.76","..42.50","..41.71","..42.11","485,723"
05/02/2023,"..40.91","..41.97","..40.90","..41.76","95,261"
05/01/2023,"..42.80","..43.10","..40.85","..40.91","360,369"
04/27/2023,"..43.43","..44.10","..43.10","..43.89","142,876"
04/26/2023,"..43.91","..44.00","..42.90","..43.43","236,395"
04/19/2023,"..43.99","..44.99","..43.50","..43.91","371,590"
04/18/2023,"..41.70","..44.99","..41.01","..43.99","536,450"
04/13/2023,"..40.40","..41.79","..40.29","..41.70","647,447"
04/12/2023,"..44.50","..42.00","..38.75","..40.40","7,457,098"
04/11/2023,"..44.98","..45.49","..44.10","..44.50","958,380"
04/10/2023,"..43.98","..45.50","..43.51","..44.98","1,299,479"
04/06/2023,"..43.00","..43.00","..41.41","..41.41","710,138"
04/05/2023,"..43.59","..43.85","..43.00","..43.00","242,097"
04/04/2023,"..43.92","..43.92","..43.05","..43.59","703,400"
04/03/2023,"..43.00","..44.48","..43.51","..43.92","285,018"
03/30/2023,"..44.00","..46.50","..43.10","..43.82","1,006,553"
03/29/2023,"..40.00","..47.00","..40.00","..44.00","1,341,482"
03/28/2023,"..38.66","..40.05","..38.20","..40.00","710,996"
03/27/2023,"..39.97","..40.00","..38.26","..38.66","356,898"
03/23/2023,"..36.38","..40.50","..35.86","..40.01","2,081,553"
03/22/2023,"..35.32","..36.70","..34.92","..36.38","639,114"
03/21/2023,"..34.93","..35.69","..34.80","..35.32","1,178,533"
03/20/2023,"..35.00","..35.50","..34.85","..34.93","494,885"
03/16/2023,"..34.51","..35.75","..34.20","..34.82","1,102,745"
03/15/2023,"..35.50","..35.88","..34.25","..34.51","753,419"
03/14/2023,"..35.51","..35.98","..34.95","..35.50","337,488"
03/13/2023,"..36.12","..36.60","..35.10","..35.51","1,288,447"
