Date,Open,High,Low,Close,Volume
09/21/2023,"..0.72","..0.73","..0.71","..0.72","1,284,205"
09/20/2023,"..0.74","..0.74","..0.71","..0.72","1,690,422"
09/19/2023,"..0.74","..0.75","..0.74","..0.74","1,427,518"
09/18/2023,"..0.74","..0.75","..0.73","..0.74","1,277,055"
09/14/2023,"..0.73","..0.75","..0.72","..0.75","1,172,862"
09/13/2023,"..0.72","..0.73","..0.71","..0.73","963,197"
09/12/2023,"..0.73","..0.74","..0.71","..0.72","2,005,271"
09/11/2023,"..0.74","..0.75","..0.73","..0.73","1,156,677"
09/07/2023,"..0.74","..0.76","..0.72","..0.75","3,485,768"
09/06/2023,"..0.76","..0.77","..0.74","..0.74","4,264,520"
09/05/2023,"..0.71","..0.79","..0.69","..0.76","14,096,410"
09/04/2023,"..0.70","..0.71","..0.69","..0.71","815,135"
08/31/2023,"..0.71","..0.71","..0.70","..0.70","537,005"
08/30/2023,"..0.70","..0.71","..0.69","..0.71","450,821"
08/29/2023,"..0.70","..0.70","..0.69","..0.70","1,114,721"
08/28/2023,"..0.69","..0.70","..0.68","..0.70","1,705,745"
08/24/2023,"..0.69","..0.69","..0.65","..0.67","1,421,247"
08/23/2023,"..0.68","..0.69","..0.68","..0.69","505,038"
08/22/2023,"..0.68","..0.69","..0.68","..0.68","227,109"
08/21/2023,"..0.69","..0.70","..0.67","..0.68","795,762"
08/17/2023,"..0.69","..0.71","..0.68","..0.69","1,770,536"
08/16/2023,"..0.66","..0.74","..0.66","..0.69","8,901,216"
08/15/2023,"..0.66","..0.66","..0.66","..0.66","224,164"
08/14/2023,"..0.65","..0.67","..0.65","..0.66","637,825"
08/10/2023,"..0.66","..0.66","..0.64","..0.65","634,644"
08/09/2023,"..0.66","..0.66","..0.65","..0.66","419,211"
08/08/2023,"..0.66","..0.67","..0.65","..0.66","557,890"
08/07/2023,"..0.66","..0.67","..0.65","..0.66","318,693"
08/03/2023,"..0.64","..0.67","..0.64","..0.66","1,820,849"
08/02/2023,"..0.66","..0.66","..0.64","..0.64","923,189"
08/01/2023,"..0.65","..0.66","..0.64","..0.66","1,389,937"
07/31/2023,"..0.64","..0.66","..0.64","..0.65","747,439"
07/27/2023,"..0.64","..0.66","..0.64","..0.64","599,235"
07/26/2023,"..0.66","..0.68","..0.64","..0.64","1,582,336"
07/25/2023,"..0.68","..0.69","..0.66","..0.66","1,466,752"
07/24/2023,"..0.68","..0.68","..0.68","..0.68","108,638"
07/19/2023,"..0.68","..0.69","..0.68","..0.68","191,776"
07/18/2023,"..0.68","..0.69","..0.68","..0.68","359,149"
07/17/2023,"..0.69","..0.70","..0.67","..0.68","460,931"
07/13/2023,"..0.69","..0.70","..0.68","..0.69","209,824"
07/12/2023,"..0.69","..0.70","..0.68","..0.69","702,381"
07/11/2023,"..0.69","..0.69","..0.68","..0.69","431,712"
07/10/2023,"..0.69","..0.70","..0.67","..0.69","311,215"
07/06/2023,"..0.71","..0.72","..0.69","..0.70","973,307"
07/05/2023,"..0.72","..0.73","..0.71","..0.71","1,426,165"
07/04/2023,"..0.71","..0.73","..0.71","..0.72","2,062,597"
06/26/2023,"..0.69","..0.71","..0.69","..0.71","6,599,460"
06/22/2023,"..0.70","..0.70","..0.68","..0.69","5,140,844"
06/21/2023,"..0.69","..0.70","..0.68","..0.70","2,139,427"
06/20/2023,"..0.69","..0.70","..0.68","..0.69","1,747,437"
06/19/2023,"..0.70","..0.71","..0.68","..0.69","2,119,952"
06/15/2023,"..0.69","..0.71","..0.68","..0.70","4,921,200"
06/14/2023,"..0.66","..0.70","..0.65","..0.69","2,660,932"
06/13/2023,"..0.63","..0.68","..0.62","..0.66","3,257,740"
06/12/2023,"..0.62","..0.64","..0.61","..0.63","943,181"
06/08/2023,"..0.60","..0.62","..0.60","..0.61","775,187"
06/07/2023,"..0.61","..0.62","..0.60","..0.60","1,677,330"
06/06/2023,"..0.61","..0.62","..0.60","..0.61","733,291"
06/05/2023,"..0.62","..0.62","..0.60","..0.61","1,382,776"
06/01/2023,"..0.61","..0.62","..0.60","..0.61","1,103,515"
05/31/2023,"..0.60","..0.62","..0.60","..0.61","1,866,632"
05/30/2023,"..0.57","..0.61","..0.57","..0.60","3,873,942"
05/29/2023,"..0.57","..0.58","..0.57","..0.57","760,796"
05/25/2023,"..0.58","..0.58","..0.57","..0.58","600,598"
05/24/2023,"..0.58","..0.59","..0.57","..0.58","592,034"
05/23/2023,"..0.58","..0.58","..0.57","..0.58","1,202,784"
05/22/2023,"..0.58","..0.58","..0.58","..0.58","213,818"
05/18/2023,"..0.58","..0.58","..0.57","..0.58","437,307"
05/17/2023,"..0.58","..0.59","..0.57","..0.58","1,312,581"
05/16/2023,"..0.58","..0.58","..0.56","..0.58","1,362,217"
05/15/2023,"..0.58","..0.58","..0.57","..0.58","1,030,631"
05/11/2023,"..0.58","..0.58","..0.57","..0.58","761,265"
05/10/2023,"..0.57","..0.59","..0.56","..0.58","1,134,135"
05/09/2023,"..0.58","..0.59","..0.57","..0.57","2,492,224"
05/08/2023,"..0.56","..0.59","..0.56","..0.58","2,453,776"
05/03/2023,"..0.56","..0.58","..0.56","..0.58","2,500,600"
05/02/2023,"..0.56","..0.58","..0.55","..0.56","1,967,073"
05/01/2023,"..0.56","..0.60","..0.56","..0.56","6,166,534"
04/27/2023,"..0.52","..0.54","..0.52","..0.54","3,311,150"
04/26/2023,"..0.51","..0.53","..0.51","..0.52","1,300,140"
04/19/2023,"..0.52","..0.52","..0.51","..0.51","1,544,291"
04/18/2023,"..0.51","..0.52","..0.50","..0.52","757,805"
04/13/2023,"..0.51","..0.53","..0.50","..0.51","1,137,313"
04/12/2023,"..0.52","..0.53","..0.51","..0.51","1,494,160"
04/11/2023,"..0.52","..0.54","..0.52","..0.52","211,305"
04/10/2023,"..0.53","..0.54","..0.52","..0.52","765,660"
04/06/2023,"..0.54","..0.55","..0.53","..0.54","2,848,203"
04/05/2023,"..0.54","..0.54","..0.52","..0.54","1,817,554"
04/04/2023,"..0.54","..0.54","..0.51","..0.54","2,148,219"
04/03/2023,"..0.52","..0.55","..0.52","..0.54","3,662,168"
03/30/2023,"..0.48","..0.50","..0.47","..0.49","4,897,439"
03/29/2023,"..0.47","..0.49","..0.45","..0.48","2,358,052"
03/28/2023,"..0.45","..0.48","..0.45","..0.47","963,473"
03/27/2023,"..0.45","..0.46","..0.44","..0.45","595,822"
03/23/2023,"..0.44","..0.45","..0.43","..0.44","289,712"
03/22/2023,"..0.44","..0.45","..0.42","..0.44","865,573"
03/21/2023,"..0.42","..0.45","..0.43","..0.44","860,942"
03/20/2023,"..0.42","..0.44","..0.41","..0.42","602,229"
03/16/2023,"..0.42","..0.42","..0.37","..0.42","400,876"
03/15/2023,"..0.46","..0.46","..0.37","..0.42","1,005,862"
03/14/2023,"..0.46","..0.44","..0.42","..0.46","548,774"
03/13/2023,"..0.46","..0.46","..0.42","..0.46","439,679"
03/09/2023,"..0.46","..0.47","..0.45","..0.46","371,810"
03/08/2023,"..0.46","..0.47","..0.45","..0.46","696,839"
03/07/2023,"..0.46","..0.48","..0.45","..0.46","537,703"
03/06/2023,"..0.47","..0.48","..0.46","..0.46","820,303"
03/02/2023,"..0.47","..0.48","..0.47","..0.47","388,846"
03/01/2023,"..0.45","..0.49","..0.45","..0.47","1,661,354"
02/28/2023,"..0.45","..0.46","..0.45","..0.45","555,466"
02/27/2023,"..0.46","..0.47","..0.44","..0.45","1,064,436"
02/23/2023,"..0.47","..0.48","..0.46","..0.46","802,624"
02/22/2023,"..0.47","..0.48","..0.47","..0.47","251,248"
02/21/2023,"..0.47","..0.48","..0.46","..0.47","248,342"
02/20/2023,"..0.48","..0.48","..0.47","..0.47","1,668,248"
02/16/2023,"..0.48","..0.49","..0.47","..0.48","1,277,634"
02/15/2023,"..0.47","..0.48","..0.47","..0.48","1,985,922"
02/14/2023,"..0.47","..0.48","..0.46","..0.47","996,207"
02/13/2023,"..0.47","..0.48","..0.46","..0.47","454,222"
02/09/2023,"..0.46","..0.48","..0.45","..0.46","456,283"
02/08/2023,"..0.46","..0.47","..0.46","..0.46","781,877"
02/07/2023,"..0.46","..0.48","..0.46","..0.46","486,714"
02/06/2023,"..0.46","..0.47","..0.44","..0.46","271,488"
02/02/2023,"..0.46","..0.48","..0.46","..0.46","518,801"
02/01/2023,"..0.47","..0.48","..0.46","..0.46","696,996"
01/31/2023,"..0.48","..0.49","..0.47","..0.47","982,661"
01/30/2023,"..0.49","..0.50","..0.48","..0.48","3,063,555"
01/25/2023,"..0.49","..0.50","..0.49","..0.50","804,179"
01/24/2023,"..0.49","..0.50","..0.49","..0.49","755,211"
01/23/2023,"..0.50","..0.51","..0.49","..0.49","1,770,835"
01/19/2023,"..0.49","..0.50","..0.49","..0.50","3,484,643"
01/18/2023,"..0.49","..0.50","..0.49","..0.49","1,218,513"
01/17/2023,"..0.49","..0.49","..0.48","..0.49","1,968,004"
01/16/2023,"..0.49","..0.50","..0.48","..0.49","2,049,507"
01/12/2023,"..0.49","..0.50","..0.48","..0.49","989,505"
01/11/2023,"..0.48","..0.50","..0.48","..0.49","1,657,922"
01/10/2023,"..0.50","..0.50","..0.47","..0.48","2,516,749"
01/09/2023,"..0.50","..0.50","..0.49","..0.50","2,451,573"
01/05/2023,"..0.50","..0.51","..0.49","..0.50","2,284,510"
01/04/2023,"..0.51","..0.51","..0.49","..0.50","3,703,172"
01/03/2023,"..0.49","..0.51","..0.49","..0.51","5,129,094"
01/02/2023,"..0.48","..0.49","..0.48","..0.49","2,565,758"
12/29/2022,"..0.47","..0.48","..0.47","..0.48","2,090,180"
12/28/2022,"..0.46","..0.48","..0.45","..0.47","2,124,611"
12/27/2022,"..0.46","..0.47","..0.45","..0.46","2,128,928"
12/26/2022,"..0.45","..0.46","..0.45","..0.46","2,497,646"
12/22/2022,"..0.46","..0.47","..0.45","..0.45","1,075,982"
12/21/2022,"..0.45","..0.47","..0.45","..0.46","2,164,817"
