Date,Open,High,Low,Close,Volume
09/13/2023,"..20.32","..19.31","..19.31","..20.32","2,055"
09/04/2023,"..20.32","..19.31","..19.31","..20.32","4"
08/30/2023,"..20.32","..19.31","..19.31","..20.32","20"
08/28/2023,"..20.32","..19.31","..19.31","..20.32","64"
08/21/2023,"..20.32","..19.31","..19.31","..20.32","140"
08/17/2023,"..20.32","..19.31","..19.31","..20.32","516"
08/14/2023,"..20.32","..19.31","..19.31","..20.32","5"
08/09/2023,"..20.32","..19.31","..19.31","..20.32","100"
08/01/2023,"..20.32","..19.31","..19.31","..20.32","1"
07/26/2023,"..20.32","..19.31","..19.31","..20.32","10"
07/25/2023,"..20.32","..19.31","..19.31","..20.32","6"
07/24/2023,"..20.32","..19.31","..19.31","..20.32","17"
07/18/2023,"..20.32","..19.31","..19.31","..20.32","2,528"
07/17/2023,"..20.32","..19.31","..19.31","..20.32","81"
06/20/2023,"..20.32","..19.31","..19.31","..20.32","200"
06/15/2023,"..20.32","..19.31","..19.31","..20.32","100"
06/13/2023,"..20.32","..19.31","..19.31","..20.32","1"
06/07/2023,"..20.32","..19.31","..19.31","..20.32","1,700"
05/31/2023,"..20.32","..19.31","..19.31","..20.32","3"
05/24/2023,"..20.32","..19.31","..19.31","..20.32","400"
05/18/2023,"..20.32","..19.31","..19.31","..20.32","1"
05/10/2023,"..20.32","..19.31","..19.31","..20.32","207"
05/03/2023,"..20.32","..19.31","..19.31","..20.32","12"
04/26/2023,"..20.32","..19.31","..19.31","..20.32","755"
04/13/2023,"..20.32","..19.31","..19.31","..20.32","2"
04/03/2023,"..20.32","..19.31","..19.31","..20.32","100"
03/30/2023,"..20.32","..19.31","..19.31","..20.32","10"
03/23/2023,"..20.32","..19.31","..19.31","..20.32","30"
03/09/2023,"..20.32","..19.40","..19.31","..20.32","1,000"
03/07/2023,"..20.32","..19.31","..19.31","..20.32","2,104"
03/01/2023,"..20.32","..20.50","..19.31","..20.32","9,651"
02/28/2023,"..20.32","..20.50","..19.31","..20.32","6,517"
02/27/2023,"..21.38","..20.76","..20.32","..20.32","15,541"
02/23/2023,"..21.38","..20.32","..20.32","..21.38","196"
02/21/2023,"..21.38","..20.32","..20.32","..21.38","1,000"
02/20/2023,"..21.38","..20.32","..20.32","..21.38","29"
02/15/2023,"..21.38","..20.32","..20.32","..21.38","7,643"
02/14/2023,"..21.38","..20.32","..20.32","..21.38","5"
02/01/2023,"..21.38","..20.32","..20.32","..21.38","800"
01/19/2023,"..21.38","..20.32","..20.32","..21.38","1,295"
01/18/2023,"..21.38","..20.32","..20.32","..21.38","21"
01/17/2023,"..21.38","..20.32","..20.32","..21.38","1,381"
01/05/2023,"..21.38","..20.32","..20.32","..21.38","794"
01/04/2023,"..21.38","..20.76","..20.32","..21.38","1,107"
01/02/2023,"..21.38","..20.32","..20.32","..21.38","2,720"
12/27/2022,"..21.38","..20.32","..20.32","..21.38","540"
12/26/2022,"..21.38","..20.32","..20.32","..21.38","1,863"
12/22/2022,"..21.38","..20.32","..20.32","..21.38","153"
12/21/2022,"..21.38","..20.85","..20.32","..21.38","64"
12/19/2022,"..21.38","..20.50","..20.32","..21.38","2,600"
12/15/2022,"..21.38","..21.37","..20.34","..21.38","7,760"
12/14/2022,"..21.38","..21.47","..20.32","..21.38","14,282"
12/13/2022,"..21.85","..21.50","..20.76","..21.38","17,733"
12/08/2022,"..21.85","..20.76","..20.76","..21.85","88"
12/07/2022,"..21.85","..21.00","..20.76","..21.85","1,101"
12/06/2022,"..21.85","..21.55","..20.76","..21.85","21"
12/05/2022,"..21.85","..20.80","..20.76","..21.85","500"
12/01/2022,"..21.85","..21.94","..20.80","..21.85","6,010"
11/30/2022,"..21.85","..21.82","..20.76","..21.85","614"
11/28/2022,"..21.85","..20.82","..20.80","..21.85","2,500"
11/24/2022,"..21.85","..21.01","..20.76","..21.85","7,387"
11/23/2022,"..21.85","..22.29","..20.76","..21.85","11,081"
11/22/2022,"..21.85","..22.49","..21.80","..21.85","1,973"
11/21/2022,"..21.85","..22.93","..21.95","..21.85","3,484"
11/17/2022,"..21.85","..21.85","..20.76","..21.85","13,118"
11/16/2022,"..21.85","..20.76","..20.76","..21.85","200"
11/09/2022,"..21.85","..20.76","..20.76","..21.85","100"
