Date,Open,High,Low,Close,Volume
09/21/2023,"..6.96","..7.07","..6.89","..6.95","1,780,554"
09/20/2023,"..7.25","..7.31","..6.92","..6.96","2,138,670"
09/19/2023,"..7.25","..7.47","..7.23","..7.25","5,725,211"
09/18/2023,"..7.19","..7.32","..7.18","..7.25","2,174,373"
09/14/2023,"..7.08","..7.35","..7.09","..7.22","3,505,527"
09/13/2023,"..7.01","..7.11","..6.94","..7.08","642,039"
09/12/2023,"..7.08","..7.13","..6.96","..7.01","898,145"
09/11/2023,"..7.10","..7.17","..7.03","..7.08","851,212"
09/07/2023,"..7.11","..7.16","..6.98","..7.07","1,051,820"
09/06/2023,"..7.19","..7.30","..7.03","..7.11","1,437,660"
09/05/2023,"..7.33","..7.46","..7.17","..7.19","2,674,155"
09/04/2023,"..7.10","..7.34","..7.09","..7.33","1,940,636"
08/31/2023,"..7.22","..7.32","..7.12","..7.14","1,774,237"
08/30/2023,"..7.32","..7.37","..7.20","..7.22","1,910,818"
08/29/2023,"..7.40","..7.42","..7.29","..7.32","1,841,393"
08/28/2023,"..7.52","..7.61","..7.26","..7.40","2,906,776"
08/24/2023,"..7.40","..7.54","..7.22","..7.43","1,967,208"
08/23/2023,"..7.70","..7.79","..7.34","..7.40","5,225,187"
08/22/2023,"..7.80","..7.94","..7.69","..7.70","6,788,015"
08/21/2023,"..7.40","..7.86","..7.46","..7.80","14,249,490"
08/17/2023,"..7.16","..7.34","..7.06","..7.18","3,082,087"
08/16/2023,"..7.45","..7.67","..7.15","..7.16","7,007,673"
08/15/2023,"..7.06","..7.59","..7.06","..7.45","10,427,320"
08/14/2023,"..6.96","..7.25","..7.02","..7.06","6,884,742"
08/10/2023,"..6.70","..6.75","..6.60","..6.61","659,533"
08/09/2023,"..6.57","..6.79","..6.54","..6.70","1,850,884"
08/08/2023,"..6.64","..6.68","..6.55","..6.57","716,316"
08/07/2023,"..6.65","..6.72","..6.62","..6.64","1,060,424"
08/03/2023,"..6.49","..6.50","..6.44","..6.46","538,157"
08/02/2023,"..6.56","..6.64","..6.47","..6.49","756,322"
08/01/2023,"..6.59","..6.66","..6.54","..6.56","736,672"
07/31/2023,"..6.59","..6.65","..6.53","..6.59","718,927"
07/27/2023,"..6.60","..6.67","..6.55","..6.56","1,151,415"
07/26/2023,"..6.56","..6.65","..6.51","..6.60","597,759"
07/25/2023,"..6.72","..6.79","..6.52","..6.56","603,414"
07/24/2023,"..6.77","..6.88","..6.70","..6.72","1,837,297"
07/19/2023,"..6.77","..6.85","..6.74","..6.77","1,089,514"
07/18/2023,"..6.70","..6.80","..6.70","..6.77","818,471"
07/17/2023,"..6.69","..6.86","..6.69","..6.70","1,652,426"
07/13/2023,"..6.53","..6.69","..6.50","..6.60","1,205,609"
07/12/2023,"..6.59","..6.70","..6.50","..6.53","787,609"
07/11/2023,"..6.65","..6.73","..6.57","..6.59","1,139,803"
07/10/2023,"..6.38","..6.67","..6.34","..6.65","910,696"
07/06/2023,"..7.19","..7.28","..6.97","..6.98","839,206"
07/05/2023,"..7.18","..7.38","..7.18","..7.19","3,397,629"
07/04/2023,"..7.20","..7.39","..7.16","..7.18","1,612,453"
06/26/2023,"..7.12","..7.24","..7.11","..7.20","962,506"
06/22/2023,"..7.37","..7.44","..7.22","..7.40","1,682,500"
06/21/2023,"..7.45","..7.69","..7.36","..7.37","4,793,703"
06/20/2023,"..7.35","..7.50","..7.33","..7.45","3,003,436"
06/19/2023,"..7.50","..7.57","..7.26","..7.35","4,292,133"
06/15/2023,"..7.00","..7.44","..7.05","..7.44","3,462,662"
06/14/2023,"..7.02","..7.15","..6.96","..7.00","1,788,023"
06/13/2023,"..7.19","..7.20","..7.01","..7.02","1,817,952"
06/12/2023,"..7.22","..7.25","..7.16","..7.19","517,353"
06/08/2023,"..7.14","..7.28","..7.12","..7.17","1,836,403"
06/07/2023,"..7.30","..7.40","..7.12","..7.14","3,086,463"
06/06/2023,"..7.32","..7.46","..7.27","..7.30","3,684,431"
06/05/2023,"..7.47","..7.58","..7.31","..7.32","5,081,154"
06/01/2023,"..7.11","..7.31","..7.15","..7.21","2,246,155"
05/31/2023,"..7.23","..7.40","..7.10","..7.11","3,956,981"
05/30/2023,"..7.23","..7.36","..7.19","..7.23","3,532,209"
05/29/2023,"..7.22","..7.39","..7.17","..7.23","3,789,418"
05/25/2023,"..6.89","..7.06","..6.84","..7.00","3,580,254"
05/24/2023,"..6.85","..6.96","..6.85","..6.89","1,505,191"
05/23/2023,"..6.70","..6.90","..6.70","..6.85","2,771,943"
05/22/2023,"..6.79","..6.94","..6.69","..6.70","1,865,736"
05/18/2023,"..6.69","..6.73","..6.46","..6.69","1,924,483"
05/17/2023,"..6.98","..7.09","..6.61","..6.69","2,308,677"
05/16/2023,"..7.03","..7.06","..6.86","..6.98","2,345,731"
05/15/2023,"..7.32","..7.44","..6.97","..7.03","2,493,249"
05/11/2023,"..7.50","..7.59","..7.33","..7.34","3,212,362"
05/10/2023,"..7.33","..7.51","..7.20","..7.50","5,949,138"
05/09/2023,"..7.45","..7.66","..7.25","..7.33","6,028,041"
05/08/2023,"..7.30","..7.54","..7.39","..7.45","5,198,034"
05/03/2023,"..6.97","..7.07","..6.85","..6.88","2,324,669"
05/02/2023,"..7.00","..7.15","..6.89","..6.97","3,036,484"
05/01/2023,"..7.27","..7.39","..6.85","..7.00","3,483,967"
04/27/2023,"..7.32","..7.55","..7.33","..7.47","4,847,496"
04/26/2023,"..6.97","..7.45","..7.16","..7.32","6,436,777"
04/19/2023,"..6.81","..7.15","..6.90","..6.97","4,022,982"
04/18/2023,"..6.56","..6.87","..6.56","..6.81","2,476,486"
04/13/2023,"..6.59","..6.68","..6.52","..6.56","1,386,273"
04/12/2023,"..6.71","..6.85","..6.52","..6.59","3,564,427"
04/11/2023,"..6.69","..6.92","..6.68","..6.71","6,476,398"
04/10/2023,"..6.02","..6.69","..6.05","..6.69","8,133,506"
04/06/2023,"..6.04","..6.17","..5.93","..6.01","2,453,267"
04/05/2023,"..6.08","..6.23","..6.02","..6.04","3,129,491"
