Date,Open,High,Low,Close,Volume
09/21/2023,"..0.51","..0.52","..0.51","..0.51","719,995"
09/20/2023,"..0.52","..0.52","..0.50","..0.51","898,225"
09/19/2023,"..0.52","..0.53","..0.52","..0.52","2,615,221"
09/18/2023,"..0.52","..0.54","..0.52","..0.52","2,304,946"
09/14/2023,"..0.49","..0.51","..0.48","..0.50","711,773"
09/13/2023,"..0.50","..0.51","..0.49","..0.49","1,627,080"
09/12/2023,"..0.50","..0.51","..0.49","..0.50","493,330"
09/11/2023,"..0.51","..0.52","..0.49","..0.50","2,101,553"
09/07/2023,"..0.46","..0.48","..0.46","..0.48","3,636,959"
09/06/2023,"..0.46","..0.46","..0.46","..0.46","510,058"
09/05/2023,"..0.46","..0.47","..0.46","..0.46","663,937"
09/04/2023,"..0.46","..0.46","..0.44","..0.46","425,812"
08/31/2023,"..0.46","..0.47","..0.45","..0.46","746,545"
08/30/2023,"..0.44","..0.46","..0.44","..0.46","2,788,695"
08/29/2023,"..0.44","..0.45","..0.44","..0.44","227,721"
08/28/2023,"..0.44","..0.45","..0.43","..0.44","317,992"
08/24/2023,"..0.44","..0.44","..0.43","..0.44","951,977"
08/23/2023,"..0.42","..0.44","..0.43","..0.44","1,643,408"
08/22/2023,"..0.43","..0.44","..0.42","..0.42","1,769,451"
08/21/2023,"..0.43","..0.44","..0.42","..0.43","276,905"
08/17/2023,"..0.43","..0.44","..0.42","..0.43","840,746"
08/16/2023,"..0.44","..0.44","..0.42","..0.43","969,998"
08/15/2023,"..0.44","..0.44","..0.43","..0.44","600,951"
08/14/2023,"..0.43","..0.44","..0.43","..0.44","1,182,081"
08/10/2023,"..0.43","..0.44","..0.42","..0.43","580,838"
08/09/2023,"..0.43","..0.44","..0.43","..0.43","442,907"
08/08/2023,"..0.42","..0.44","..0.42","..0.43","714,708"
08/07/2023,"..0.41","..0.43","..0.41","..0.42","817,894"
08/03/2023,"..0.41","..0.42","..0.41","..0.41","583,440"
08/02/2023,"..0.41","..0.42","..0.41","..0.41","414,205"
08/01/2023,"..0.42","..0.42","..0.40","..0.41","870,156"
07/31/2023,"..0.43","..0.43","..0.42","..0.42","1,092,033"
07/27/2023,"..0.40","..0.42","..0.40","..0.42","1,645,007"
07/26/2023,"..0.40","..0.41","..0.39","..0.40","798,526"
07/25/2023,"..0.40","..0.41","..0.40","..0.40","307,269"
07/24/2023,"..0.40","..0.41","..0.40","..0.40","122,014"
07/19/2023,"..0.40","..0.40","..0.39","..0.40","376,771"
07/18/2023,"..0.40","..0.41","..0.39","..0.40","457,001"
07/17/2023,"..0.40","..0.40","..0.40","..0.40","339,938"
07/13/2023,"..0.41","..0.41","..0.39","..0.40","1,096,006"
07/12/2023,"..0.41","..0.41","..0.40","..0.41","189,230"
07/11/2023,"..0.41","..0.41","..0.39","..0.41","202,724"
07/10/2023,"..0.41","..0.41","..0.39","..0.41","1,199,726"
07/06/2023,"..0.43","..0.43","..0.42","..0.43","770,923"
07/05/2023,"..0.43","..0.43","..0.42","..0.43","758,129"
07/04/2023,"..0.43","..0.45","..0.43","..0.43","784,370"
06/26/2023,"..0.43","..0.43","..0.43","..0.43","167,618"
06/22/2023,"..0.44","..0.44","..0.43","..0.44","1,068,046"
06/21/2023,"..0.45","..0.45","..0.43","..0.44","2,211,398"
06/20/2023,"..0.45","..0.47","..0.45","..0.45","2,603,883"
06/19/2023,"..0.45","..0.46","..0.44","..0.45","3,579,044"
06/15/2023,"..0.42","..0.44","..0.43","..0.44","5,624,107"
06/14/2023,"..0.40","..0.42","..0.40","..0.42","4,664,026"
06/13/2023,"..0.42","..0.41","..0.40","..0.40","1,447,199"
06/12/2023,"..0.42","..0.42","..0.41","..0.42","10,264"
06/08/2023,"..0.41","..0.42","..0.41","..0.41","616,132"
06/07/2023,"..0.42","..0.43","..0.41","..0.41","2,295,724"
06/06/2023,"..0.42","..0.43","..0.42","..0.42","1,150,175"
06/05/2023,"..0.43","..0.43","..0.42","..0.42","2,519,011"
06/01/2023,"..0.42","..0.42","..0.41","..0.42","1,232,481"
05/31/2023,"..0.41","..0.43","..0.41","..0.42","2,157,086"
05/30/2023,"..0.41","..0.42","..0.40","..0.41","1,221,635"
05/29/2023,"..0.39","..0.41","..0.39","..0.41","5,559,983"
05/25/2023,"..0.39","..0.40","..0.39","..0.39","667,052"
05/24/2023,"..0.40","..0.41","..0.39","..0.39","1,565,657"
05/23/2023,"..0.38","..0.40","..0.38","..0.40","7,403,131"
05/22/2023,"..0.38","..0.38","..0.38","..0.38","1,782,450"
05/18/2023,"..0.38","..0.38","..0.37","..0.38","331,381"
05/17/2023,"..0.38","..0.39","..0.38","..0.38","1,469,112"
05/16/2023,"..0.39","..0.39","..0.38","..0.38","1,178,527"
05/15/2023,"..0.39","..0.40","..0.39","..0.39","1,426,402"
05/11/2023,"..0.39","..0.40","..0.39","..0.39","822,813"
05/10/2023,"..0.39","..0.40","..0.38","..0.39","791,870"
05/09/2023,"..0.39","..0.40","..0.39","..0.39","8,556,550"
05/08/2023,"..0.40","..0.40","..0.39","..0.39","9,215,324"
05/03/2023,"..0.40","..0.42","..0.40","..0.41","3,003,692"
05/02/2023,"..0.40","..0.41","..0.39","..0.40","518,170"
05/01/2023,"..0.40","..0.41","..0.39","..0.40","757,621"
04/27/2023,"..0.41","..0.42","..0.40","..0.41","731,306"
04/26/2023,"..0.41","..0.42","..0.40","..0.41","236,729"
04/19/2023,"..0.41","..0.40","..0.40","..0.41","80,911"
04/18/2023,"..0.41","..0.42","..0.40","..0.41","79,115"
04/13/2023,"..0.43","..0.42","..0.41","..0.41","995,204"
04/12/2023,"..0.43","..0.43","..0.42","..0.43","246,153"
04/11/2023,"..0.43","..0.43","..0.42","..0.43","263,500"
04/10/2023,"..0.42","..0.44","..0.43","..0.43","1,398,423"
04/06/2023,"..0.40","..0.42","..0.40","..0.40","447,607"
04/05/2023,"..0.40","..0.42","..0.41","..0.40","300,824"
04/04/2023,"..0.40","..0.41","..0.40","..0.40","150,286"
04/03/2023,"..0.40","..0.41","..0.40","..0.40","153,968"
03/30/2023,"..0.40","..0.40","..0.40","..0.40","128,069"
03/29/2023,"..0.40","..0.41","..0.40","..0.40","190,900"
03/28/2023,"..0.40","..0.41","..0.40","..0.40","188,483"
03/27/2023,"..0.40","..0.40","..0.40","..0.40","193,990"
03/23/2023,"..0.40","..0.41","..0.40","..0.40","89,010"
03/22/2023,"..0.40","..0.41","..0.40","..0.40","255,493"
03/21/2023,"..0.40","..0.41","..0.39","..0.40","181,423"
03/20/2023,"..0.43","..0.41","..0.40","..0.40","1,129,183"
03/16/2023,"..0.43","..0.40","..0.40","..0.43","386,770"
03/15/2023,"..0.43","..0.42","..0.40","..0.43","508,023"
03/14/2023,"..0.43","..0.42","..0.40","..0.43","430,717"
03/13/2023,"..0.43","..0.42","..0.40","..0.43","360,365"
03/09/2023,"..0.44","..0.44","..0.43","..0.44","97,000"
03/08/2023,"..0.44","..0.45","..0.42","..0.44","216,107"
03/07/2023,"..0.44","..0.45","..0.44","..0.44","260,731"
03/06/2023,"..0.44","..0.45","..0.44","..0.44","273,673"
