Date,Open,High,Low,Close,Volume
09/21/2023,"..3.19","..3.22","..3.15","..3.18","1,373,097"
09/20/2023,"..3.21","..3.26","..3.16","..3.19","3,405,716"
09/19/2023,"..3.25","..3.35","..3.21","..3.21","14,533,910"
09/18/2023,"..3.25","..3.28","..3.23","..3.25","1,516,775"
09/14/2023,"..3.30","..3.32","..3.22","..3.24","3,040,774"
09/13/2023,"..3.28","..3.30","..3.22","..3.30","2,828,219"
09/12/2023,"..3.29","..3.30","..3.22","..3.28","2,129,362"
09/11/2023,"..3.27","..3.31","..3.25","..3.29","6,833,318"
09/07/2023,"..3.27","..3.29","..3.20","..3.25","5,095,599"
09/06/2023,"..3.23","..3.30","..3.20","..3.27","13,429,770"
09/05/2023,"..3.17","..3.24","..3.14","..3.23","15,964,690"
09/04/2023,"..3.04","..3.21","..3.03","..3.17","11,659,870"
08/31/2023,"..3.11","..3.15","..3.05","..3.05","1,058,163"
08/30/2023,"..3.10","..3.14","..3.08","..3.11","3,298,030"
08/29/2023,"..3.15","..3.20","..3.10","..3.10","6,097,454"
08/28/2023,"..3.00","..3.16","..3.01","..3.15","12,290,340"
08/24/2023,"..2.98","..3.02","..2.95","..2.99","621,071"
08/23/2023,"..2.95","..3.03","..2.95","..2.98","4,830,444"
08/22/2023,"..2.92","..2.97","..2.92","..2.95","892,313"
08/21/2023,"..2.90","..2.95","..2.91","..2.92","858,737"
08/17/2023,"..2.93","..2.96","..2.90","..2.90","822,486"
08/16/2023,"..2.92","..2.96","..2.93","..2.93","689,131"
08/15/2023,"..2.93","..2.98","..2.92","..2.92","492,358"
08/14/2023,"..2.92","..2.96","..2.92","..2.93","744,290"
08/10/2023,"..2.96","..2.98","..2.92","..2.93","857,693"
08/09/2023,"..2.97","..3.00","..2.92","..2.96","1,431,936"
08/08/2023,"..3.00","..3.03","..2.97","..2.97","1,080,251"
08/07/2023,"..2.96","..3.01","..2.95","..3.00","4,312,503"
08/03/2023,"..2.86","..2.89","..2.84","..2.87","1,015,470"
08/02/2023,"..2.89","..2.91","..2.85","..2.86","1,933,793"
08/01/2023,"..2.90","..2.91","..2.88","..2.89","656,788"
07/31/2023,"..2.87","..2.91","..2.85","..2.90","968,540"
07/27/2023,"..2.86","..2.87","..2.85","..2.85","689,104"
07/26/2023,"..2.87","..2.89","..2.85","..2.86","672,544"
07/25/2023,"..2.87","..2.89","..2.86","..2.87","814,093"
07/24/2023,"..2.90","..2.92","..2.87","..2.87","829,936"
07/19/2023,"..2.90","..2.92","..2.89","..2.90","963,569"
07/18/2023,"..2.88","..2.93","..2.88","..2.90","1,151,151"
07/17/2023,"..2.89","..2.93","..2.87","..2.88","2,200,732"
07/13/2023,"..2.85","..2.91","..2.85","..2.90","1,850,791"
07/12/2023,"..2.87","..2.89","..2.83","..2.85","1,549,984"
07/11/2023,"..2.87","..2.90","..2.84","..2.87","2,641,354"
07/10/2023,"..2.82","..2.88","..2.80","..2.87","1,545,097"
07/06/2023,"..2.95","..2.97","..2.90","..2.90","2,408,710"
07/05/2023,"..2.98","..2.99","..2.94","..2.95","743,908"
07/04/2023,"..2.95","..3.00","..2.96","..2.98","1,961,845"
06/26/2023,"..2.95","..2.97","..2.90","..2.95","3,525,082"
06/22/2023,"..2.97","..3.00","..2.93","..2.98","2,654,346"
06/21/2023,"..3.03","..3.05","..2.97","..2.97","2,252,373"
06/20/2023,"..3.08","..3.11","..3.02","..3.03","3,523,843"
06/19/2023,"..3.13","..3.16","..3.01","..3.08","4,385,249"
06/15/2023,"..3.12","..3.21","..3.12","..3.15","10,483,130"
06/14/2023,"..3.07","..3.18","..3.09","..3.12","7,249,782"
06/13/2023,"..3.07","..3.12","..3.07","..3.07","8,917,855"
06/12/2023,"..3.05","..3.11","..3.05","..3.07","3,660,686"
06/08/2023,"..3.00","..3.03","..2.96","..2.98","1,930,688"
06/07/2023,"..3.09","..3.10","..2.97","..3.00","9,243,113"
06/06/2023,"..3.05","..3.15","..3.05","..3.09","10,868,670"
06/05/2023,"..3.13","..3.18","..3.04","..3.05","10,281,040"
06/01/2023,"..2.97","..3.07","..2.96","..3.04","8,380,033"
05/31/2023,"..2.98","..3.06","..2.95","..2.97","11,237,010"
05/30/2023,"..2.90","..2.98","..2.86","..2.98","11,799,950"
05/29/2023,"..2.81","..2.91","..2.78","..2.90","9,644,789"
05/25/2023,"..2.77","..2.82","..2.78","..2.79","2,198,716"
05/24/2023,"..2.76","..2.80","..2.76","..2.77","3,922,834"
05/23/2023,"..2.79","..2.80","..2.70","..2.76","8,361,870"
05/22/2023,"..2.81","..2.84","..2.78","..2.79","3,620,460"
05/18/2023,"..2.83","..2.85","..2.74","..2.80","6,530,710"
05/17/2023,"..2.88","..2.90","..2.80","..2.83","6,484,978"
05/16/2023,"..2.93","..2.95","..2.86","..2.88","5,296,689"
05/15/2023,"..2.98","..3.01","..2.92","..2.93","2,614,435"
05/11/2023,"..3.08","..3.11","..2.99","..3.01","5,801,709"
05/10/2023,"..3.06","..3.11","..3.06","..3.08","4,596,513"
05/09/2023,"..3.02","..3.12","..2.98","..3.08","10,153,780"
05/08/2023,"..2.95","..3.04","..2.95","..3.02","2,199,982"
05/03/2023,"..2.99","..3.02","..2.95","..2.96","1,719,348"
05/02/2023,"..3.03","..3.06","..2.95","..2.99","4,779,003"
05/01/2023,"..3.08","..3.14","..3.00","..3.03","4,551,595"
04/27/2023,"..2.95","..3.08","..2.95","..3.08","12,463,690"
04/26/2023,"..2.99","..3.02","..2.94","..2.95","6,208,640"
04/19/2023,"..3.00","..3.04","..2.99","..2.99","5,468,959"
04/18/2023,"..2.95","..3.05","..2.95","..3.00","8,241,765"
04/13/2023,"..2.99","..3.00","..2.95","..2.95","3,082,816"
04/12/2023,"..3.00","..3.05","..2.98","..2.99","5,166,096"
04/11/2023,"..2.94","..3.00","..2.94","..3.00","3,436,074"
04/10/2023,"..2.93","..2.98","..2.92","..2.94","1,825,057"
04/06/2023,"..3.03","..3.10","..2.95","..2.96","3,965,724"
04/05/2023,"..3.06","..3.10","..3.01","..3.03","6,279,117"
04/04/2023,"..2.95","..3.06","..2.94","..3.06","8,859,844"
04/03/2023,"..2.90","..2.96","..2.88","..2.95","3,292,094"
03/30/2023,"..2.86","..2.95","..2.82","..2.82","4,774,165"
03/29/2023,"..2.84","..2.89","..2.85","..2.86","1,016,406"
03/28/2023,"..2.84","..2.88","..2.79","..2.84","3,430,731"
03/27/2023,"..2.90","..2.93","..2.78","..2.84","2,435,200"
03/23/2023,"..2.71","..2.97","..2.69","..2.91","3,774,499"
03/22/2023,"..2.78","..2.83","..2.70","..2.71","2,149,532"
03/21/2023,"..2.73","..2.83","..2.75","..2.78","1,057,263"
03/20/2023,"..2.74","..2.80","..2.68","..2.73","2,176,940"
03/16/2023,"..2.71","..2.79","..2.65","..2.72","2,927,067"
03/15/2023,"..2.86","..2.94","..2.65","..2.71","1,635,580"
03/14/2023,"..2.82","..2.89","..2.82","..2.86","435,377"
03/13/2023,"..2.99","..3.02","..2.81","..2.82","2,214,286"
03/09/2023,"..3.00","..3.07","..2.99","..3.06","1,099,363"
03/08/2023,"..3.04","..3.08","..2.97","..3.00","3,233,049"
03/07/2023,"..3.13","..3.20","..3.02","..3.04","3,076,218"
03/06/2023,"..3.14","..3.18","..3.12","..3.13","1,134,110"
03/02/2023,"..3.21","..3.23","..3.14","..3.16","2,235,059"
03/01/2023,"..3.15","..3.24","..3.14","..3.21","6,536,416"
02/28/2023,"..3.17","..3.18","..3.13","..3.15","693,389"
02/27/2023,"..3.16","..3.20","..3.14","..3.17","2,056,693"
02/23/2023,"..3.07","..3.12","..3.03","..3.09","1,009,279"
02/22/2023,"..3.10","..3.15","..3.00","..3.07","2,244,035"
02/21/2023,"..3.03","..3.13","..3.01","..3.10","1,300,053"
