Date,Open,High,Low,Close,Volume
09/21/2023,"..1.10","..1.10","..1.05","..1.10","148,291"
09/20/2023,"..1.10","..1.12","..1.06","..1.10","26,506"
09/19/2023,"..1.08","..1.12","..1.07","..1.10","302,726"
09/18/2023,"..1.07","..1.11","..1.03","..1.08","371,600"
09/14/2023,"..1.05","..1.11","..1.05","..1.05","305,761"
09/13/2023,"..1.05","..1.05","..1.05","..1.05","429"
09/12/2023,"..1.05","..1.05","..1.05","..1.05","11,000"
09/11/2023,"..1.05","..1.11","..1.06","..1.05","30,501"
09/07/2023,"..1.05","..1.05","..1.03","..1.05","465"
09/06/2023,"..1.05","..1.10","..1.09","..1.05","274,987"
09/05/2023,"..1.05","..1.09","..1.08","..1.05","185,000"
09/04/2023,"..1.02","..1.07","..1.00","..1.05","309,146"
08/31/2023,"..1.02","..1.06","..1.00","..1.02","102,203"
08/30/2023,"..1.02","..1.06","..1.00","..1.02","190,251"
08/29/2023,"..1.02","..1.04","..1.00","..1.02","260,241"
08/28/2023,"..0.98","..1.03","..0.98","..1.02","312,445"
08/24/2023,"..0.94","..0.98","..0.95","..0.94","21,117"
08/23/2023,"..0.94","..0.99","..0.95","..0.94","238,000"
08/22/2023,"..0.94","..0.96","..0.91","..0.94","4,498"
08/21/2023,"..0.90","..0.94","..0.90","..0.94","416,500"
08/17/2023,"..0.89","..0.93","..0.86","..0.90","339,400"
08/16/2023,"..0.86","..0.90","..0.86","..0.89","467,900"
08/15/2023,"..0.86","..0.90","..0.90","..0.86","19,500"
08/14/2023,"..0.86","..0.90","..0.88","..0.86","258,250"
08/10/2023,"..0.82","..0.84","..0.83","..0.82","113,418"
08/08/2023,"..0.82","..0.86","..0.83","..0.82","15,520"
08/07/2023,"..0.82","..0.86","..0.83","..0.82","33,000"
08/01/2023,"..0.82","..0.86","..0.80","..0.82","36,204"
07/31/2023,"..0.82","..0.86","..0.78","..0.82","285,520"
07/05/2023,"..0.82","..0.78","..0.78","..0.82","972"
06/20/2023,"..0.82","..0.86","..0.86","..0.82","458"
06/07/2023,"..0.82","..0.82","..0.78","..0.82","41,025"
06/06/2023,"..0.82","..0.86","..0.78","..0.82","5,502"
06/05/2023,"..0.82","..0.86","..0.78","..0.82","5,320"
05/31/2023,"..0.82","..0.86","..0.78","..0.82","729"
05/24/2023,"..0.82","..0.86","..0.82","..0.82","10,000"
05/22/2023,"..0.82","..0.82","..0.82","..0.82","250"
05/15/2023,"..0.82","..0.82","..0.82","..0.82","400"
05/11/2023,"..0.82","..0.82","..0.82","..0.82","200,000"
05/10/2023,"..0.82","..0.78","..0.78","..0.82","1,001"
05/09/2023,"..0.82","..0.85","..0.80","..0.82","287,000"
05/01/2023,"..0.82","..0.78","..0.78","..0.82","13,404"
04/19/2023,"..0.82","..0.78","..0.78","..0.82","2,000"
04/18/2023,"..0.82","..0.78","..0.78","..0.82","5,000"
04/12/2023,"..0.82","..0.86","..0.86","..0.82","3,765"
04/11/2023,"..0.82","..0.86","..0.83","..0.82","25,635"
04/10/2023,"..0.82","..0.86","..0.78","..0.82","46,000"
03/09/2023,"..0.82","..0.81","..0.81","..0.82","1,884"
03/08/2023,"..0.82","..0.86","..0.79","..0.82","11,172"
03/01/2023,"..0.82","..0.78","..0.78","..0.82","100"
02/28/2023,"..0.82","..0.86","..0.86","..0.82","2,170"
02/22/2023,"..0.82","..0.78","..0.78","..0.82","140"
02/20/2023,"..0.82","..0.86","..0.78","..0.82","18,575"
02/14/2023,"..0.82","..0.80","..0.80","..0.82","2,500"
02/13/2023,"..0.82","..0.86","..0.86","..0.82","49,500"
02/09/2023,"..0.82","..0.86","..0.80","..0.82","24,243"
01/17/2023,"..0.82","..0.84","..0.84","..0.82","2,798"
01/05/2023,"..0.82","..0.86","..0.81","..0.82","6,786"
01/04/2023,"..0.82","..0.83","..0.83","..0.82","606"
12/29/2022,"..0.82","..0.85","..0.85","..0.82","5,760"
12/22/2022,"..0.82","..0.85","..0.81","..0.82","5,000"
12/21/2022,"..0.82","..0.81","..0.81","..0.82","10,000"
12/20/2022,"..0.82","..0.81","..0.81","..0.82","230"
12/15/2022,"..0.82","..0.86","..0.78","..0.82","16,242"
12/01/2022,"..0.82","..0.78","..0.78","..0.82","6,500"
11/23/2022,"..0.82","..0.82","..0.78","..0.82","7,243"
11/08/2022,"..0.82","..0.78","..0.78","..0.82","12,000"
11/03/2022,"..0.82","..0.78","..0.78","..0.82","5,000"
10/31/2022,"..0.82","..0.78","..0.78","..0.82","20,000"
10/27/2022,"..0.82","..0.78","..0.78","..0.82","19"
10/10/2022,"..0.82","..0.78","..0.78","..0.82","28,000"
10/04/2022,"..0.82","..0.78","..0.78","..0.82","2,000"
