Date,Open,High,Low,Close,Volume
09/21/2023,"..4.15","..4.28","..4.12","..4.19","546,668"
09/20/2023,"..4.31","..4.40","..4.10","..4.15","1,000,823"
09/19/2023,"..4.43","..4.58","..4.28","..4.31","2,647,533"
09/18/2023,"..4.19","..4.50","..4.21","..4.43","3,655,807"
09/14/2023,"..4.29","..4.44","..4.19","..4.20","1,524,001"
09/13/2023,"..4.28","..4.42","..4.12","..4.29","1,956,606"
09/12/2023,"..4.42","..4.56","..4.24","..4.28","2,035,107"
09/11/2023,"..4.17","..4.65","..4.03","..4.42","4,826,198"
09/07/2023,"..3.73","..4.45","..3.75","..4.30","4,770,912"
09/06/2023,"..3.90","..3.97","..3.64","..3.73","1,346,125"
09/05/2023,"..4.12","..4.24","..3.85","..3.90","1,869,412"
09/04/2023,"..4.28","..4.35","..4.05","..4.12","2,769,747"
08/31/2023,"..4.50","..4.78","..4.49","..4.54","3,838,532"
08/30/2023,"..4.33","..4.90","..4.14","..4.50","7,172,429"
08/29/2023,"..3.65","..4.33","..3.51","..4.33","8,098,937"
08/28/2023,"..3.34","..4.00","..3.51","..3.61","6,173,820"
08/24/2023,"..2.70","..2.81","..2.66","..2.79","264,958"
08/23/2023,"..2.71","..2.77","..2.66","..2.70","229,999"
08/22/2023,"..2.75","..2.81","..2.70","..2.71","209,669"
08/21/2023,"..2.73","..2.87","..2.72","..2.75","320,941"
08/17/2023,"..2.81","..2.86","..2.75","..2.79","176,850"
08/16/2023,"..2.77","..2.90","..2.77","..2.81","692,596"
08/15/2023,"..2.65","..2.87","..2.67","..2.77","778,375"
08/14/2023,"..2.68","..2.68","..2.61","..2.65","305,373"
08/10/2023,"..2.68","..2.64","..2.60","..2.68","86,800"
08/09/2023,"..2.68","..2.68","..2.63","..2.68","77,273"
08/08/2023,"..2.67","..2.72","..2.64","..2.68","122,283"
08/07/2023,"..2.60","..2.69","..2.62","..2.67","164,371"
08/03/2023,"..2.60","..2.62","..2.58","..2.60","33,172"
08/02/2023,"..2.64","..2.67","..2.57","..2.60","145,300"
08/01/2023,"..2.68","..2.68","..2.62","..2.64","126,207"
07/31/2023,"..2.68","..2.79","..2.67","..2.68","413,344"
07/27/2023,"..2.64","..2.66","..2.56","..2.64","206,113"
07/26/2023,"..2.64","..2.64","..2.58","..2.64","60,781"
07/25/2023,"..2.68","..2.69","..2.59","..2.64","174,832"
07/24/2023,"..2.68","..2.72","..2.63","..2.68","104,136"
07/19/2023,"..2.68","..2.70","..2.64","..2.68","95,230"
07/18/2023,"..2.61","..2.72","..2.58","..2.68","140,822"
07/17/2023,"..2.62","..2.67","..2.58","..2.61","116,946"
07/13/2023,"..2.54","..2.57","..2.50","..2.54","105,377"
07/12/2023,"..2.54","..2.58","..2.51","..2.54","72,636"
07/11/2023,"..2.52","..2.58","..2.50","..2.54","124,410"
07/10/2023,"..2.52","..2.56","..2.46","..2.52","84,005"
07/06/2023,"..2.74","..2.75","..2.64","..2.74","105,952"
07/05/2023,"..2.72","..2.77","..2.70","..2.74","145,026"
07/04/2023,"..2.70","..2.75","..2.69","..2.72","227,263"
06/26/2023,"..2.70","..2.74","..2.69","..2.70","58,070"
06/22/2023,"..2.77","..2.80","..2.70","..2.71","216,405"
06/21/2023,"..2.88","..2.93","..2.76","..2.77","346,616"
06/20/2023,"..2.89","..2.96","..2.86","..2.88","319,277"
06/19/2023,"..2.95","..3.00","..2.85","..2.89","448,984"
06/15/2023,"..2.97","..3.03","..2.92","..2.94","347,277"
06/14/2023,"..3.02","..3.10","..2.95","..2.97","664,435"
06/13/2023,"..3.00","..3.09","..2.97","..3.02","727,308"
06/12/2023,"..3.04","..3.06","..2.97","..3.00","114,175"
06/08/2023,"..2.99","..3.07","..2.92","..2.95","228,633"
06/07/2023,"..3.01","..3.07","..2.96","..2.99","453,612"
06/06/2023,"..2.95","..3.10","..2.95","..3.01","680,560"
06/05/2023,"..3.11","..3.14","..2.94","..2.95","1,139,448"
06/01/2023,"..2.91","..3.16","..2.90","..3.04","2,467,653"
05/31/2023,"..2.84","..3.00","..2.80","..2.91","1,714,321"
05/30/2023,"..2.74","..2.92","..2.72","..2.84","1,244,652"
05/29/2023,"..2.78","..2.82","..2.72","..2.74","282,548"
05/25/2023,"..2.51","..2.73","..2.48","..2.65","1,052,545"
05/24/2023,"..2.45","..2.54","..2.46","..2.51","268,370"
05/23/2023,"..2.40","..2.47","..2.40","..2.45","522,797"
05/22/2023,"..2.42","..2.51","..2.39","..2.40","241,683"
05/18/2023,"..2.42","..2.44","..2.38","..2.41","131,471"
05/17/2023,"..2.53","..2.54","..2.40","..2.42","267,130"
05/16/2023,"..2.53","..2.53","..2.45","..2.53","116,107"
05/15/2023,"..2.56","..2.58","..2.50","..2.53","195,650"
05/11/2023,"..2.55","..2.62","..2.52","..2.55","101,523"
05/10/2023,"..2.64","..2.60","..2.52","..2.55","136,891"
05/09/2023,"..2.51","..2.69","..2.55","..2.64","425,855"
05/08/2023,"..2.51","..2.58","..2.54","..2.51","101,356"
05/03/2023,"..2.58","..2.63","..2.48","..2.55","164,285"
05/02/2023,"..2.58","..2.63","..2.58","..2.58","46,516"
05/01/2023,"..2.68","..2.72","..2.58","..2.58","231,439"
04/27/2023,"..2.67","..2.80","..2.66","..2.77","478,944"
04/26/2023,"..2.61","..2.70","..2.60","..2.67","299,157"
04/19/2023,"..2.66","..2.68","..2.60","..2.61","226,898"
04/18/2023,"..2.66","..2.65","..2.62","..2.66","30,971"
04/13/2023,"..2.66","..2.70","..2.63","..2.66","64,815"
04/12/2023,"..2.74","..2.75","..2.64","..2.66","134,673"
04/11/2023,"..2.67","..2.78","..2.68","..2.74","174,708"
04/10/2023,"..2.77","..2.71","..2.60","..2.67","120,538"
04/06/2023,"..2.77","..2.82","..2.74","..2.77","85,026"
04/05/2023,"..2.70","..2.88","..2.70","..2.77","549,093"
04/04/2023,"..2.59","..2.73","..2.58","..2.70","627,552"
04/03/2023,"..2.50","..2.60","..2.51","..2.59","117,562"
03/30/2023,"..2.59","..2.60","..2.46","..2.50","164,473"
03/29/2023,"..2.59","..2.63","..2.56","..2.59","73,059"
03/28/2023,"..2.69","..2.63","..2.55","..2.59","123,150"
03/27/2023,"..2.69","..2.75","..2.60","..2.69","83,402"
03/23/2023,"..2.53","..2.70","..2.55","..2.68","458,849"
03/22/2023,"..2.55","..2.65","..2.53","..2.53","166,494"
03/21/2023,"..2.55","..2.69","..2.52","..2.55","300,603"
03/20/2023,"..2.31","..2.59","..2.38","..2.55","286,033"
03/16/2023,"..2.16","..2.30","..2.04","..2.23","257,155"
03/15/2023,"..2.54","..2.73","..2.04","..2.16","515,074"
03/14/2023,"..2.53","..2.65","..2.45","..2.54","210,625"
03/13/2023,"..2.79","..2.81","..2.50","..2.53","283,306"
03/09/2023,"..2.89","..2.96","..2.88","..2.91","382,218"
03/08/2023,"..2.79","..2.93","..2.76","..2.89","421,850"
03/07/2023,"..2.83","..2.88","..2.77","..2.79","224,648"
03/06/2023,"..2.85","..2.91","..2.83","..2.83","169,204"
03/02/2023,"..2.92","..2.97","..2.86","..2.87","267,416"
03/01/2023,"..2.90","..2.98","..2.90","..2.92","592,578"
02/28/2023,"..2.92","..2.95","..2.86","..2.90","316,465"
02/27/2023,"..3.00","..3.07","..2.90","..2.92","505,510"
02/23/2023,"..2.89","..2.95","..2.84","..2.90","110,511"
02/22/2023,"..3.02","..3.09","..2.83","..2.89","404,506"
02/21/2023,"..2.96","..3.06","..2.90","..3.02","386,326"
02/20/2023,"..2.99","..3.14","..2.92","..2.96","600,644"
02/16/2023,"..2.97","..3.01","..2.86","..2.89","164,629"
02/15/2023,"..2.97","..3.03","..2.93","..2.97","90,581"
02/14/2023,"..2.94","..3.04","..2.92","..2.97","211,912"
02/13/2023,"..2.96","..3.04","..2.87","..2.94","151,939"
02/09/2023,"..2.84","..2.95","..2.80","..2.89","225,006"
02/08/2023,"..2.84","..2.86","..2.78","..2.84","242,278"
02/07/2023,"..2.74","..2.89","..2.77","..2.84","243,622"
02/06/2023,"..2.79","..2.83","..2.71","..2.74","248,166"
02/02/2023,"..3.03","..3.11","..2.91","..2.96","352,819"
02/01/2023,"..2.99","..3.08","..2.98","..3.03","146,827"
01/31/2023,"..3.09","..3.12","..2.99","..2.99","378,380"
01/30/2023,"..3.21","..3.26","..3.05","..3.09","704,660"
01/25/2023,"..3.27","..3.33","..3.24","..3.26","195,354"
01/24/2023,"..3.30","..3.36","..3.24","..3.27","201,693"
01/23/2023,"..3.43","..3.51","..3.29","..3.30","367,083"
01/19/2023,"..3.31","..3.40","..3.27","..3.32","443,470"
01/18/2023,"..3.17","..3.42","..3.25","..3.31","1,029,756"
01/17/2023,"..3.09","..3.24","..3.09","..3.17","262,811"
01/16/2023,"..2.95","..3.16","..2.99","..3.09","368,038"
01/12/2023,"..3.06","..3.09","..2.97","..3.01","232,504"
01/11/2023,"..3.16","..3.25","..3.03","..3.06","354,332"
01/10/2023,"..3.27","..3.30","..3.15","..3.16","474,766"
01/09/2023,"..3.32","..3.41","..3.25","..3.27","464,071"
01/05/2023,"..3.40","..3.46","..3.30","..3.32","585,437"
01/04/2023,"..3.48","..3.58","..3.25","..3.40","811,030"
01/03/2023,"..3.39","..3.55","..3.40","..3.48","1,262,018"
01/02/2023,"..3.22","..3.47","..3.25","..3.39","1,164,927"
12/29/2022,"..3.20","..3.27","..3.20","..3.22","244,754"
12/28/2022,"..3.20","..3.24","..3.19","..3.20","180,320"
12/27/2022,"..3.17","..3.27","..3.17","..3.20","509,659"
12/26/2022,"..3.15","..3.20","..3.13","..3.17","300,335"
12/22/2022,"..3.22","..3.35","..3.22","..3.23","834,617"
12/21/2022,"..3.22","..3.30","..3.20","..3.22","543,282"
12/20/2022,"..3.19","..3.37","..3.17","..3.22","1,317,776"
12/19/2022,"..3.18","..3.28","..3.17","..3.19","962,308"
12/15/2022,"..3.25","..3.30","..3.15","..3.16","579,610"
12/14/2022,"..3.24","..3.31","..3.22","..3.25","480,689"
12/13/2022,"..3.15","..3.31","..3.20","..3.24","1,072,722"
12/12/2022,"..3.19","..3.29","..3.14","..3.15","675,715"
12/08/2022,"..3.13","..3.20","..3.12","..3.14","143,394"
12/07/2022,"..3.02","..3.28","..3.02","..3.13","1,128,097"
12/06/2022,"..3.01","..3.05","..2.97","..3.02","309,800"
12/05/2022,"..3.11","..3.13","..2.97","..3.01","219,839"
12/01/2022,"..3.02","..3.10","..3.02","..3.04","306,074"
11/30/2022,"..2.94","..3.13","..2.95","..3.02","1,105,400"
11/29/2022,"..2.94","..2.98","..2.93","..2.94","143,483"
11/28/2022,"..2.93","..2.98","..2.92","..2.94","194,827"
11/24/2022,"..2.95","..2.97","..2.90","..2.93","213,745"
11/23/2022,"..2.98","..2.99","..2.94","..2.95","102,653"
11/22/2022,"..2.92","..3.08","..2.93","..2.98","526,391"
11/21/2022,"..2.94","..3.00","..2.91","..2.92","421,962"
11/17/2022,"..2.92","..3.04","..2.94","..2.95","514,649"
11/16/2022,"..2.80","..2.94","..2.82","..2.92","592,708"
11/15/2022,"..2.78","..2.82","..2.77","..2.80","162,283"
11/14/2022,"..2.86","..2.88","..2.74","..2.78","532,499"
11/10/2022,"..2.79","..2.88","..2.78","..2.84","288,614"
11/09/2022,"..2.79","..2.85","..2.71","..2.79","103,982"
11/08/2022,"..2.82","..2.89","..2.79","..2.79","179,671"
11/07/2022,"..2.81","..2.87","..2.80","..2.82","463,805"
11/03/2022,"..2.91","..2.91","..2.80","..2.82","154,008"
11/02/2022,"..2.93","..3.04","..2.87","..2.91","201,146"
11/01/2022,"..2.80","..3.00","..2.83","..2.93","324,692"
10/31/2022,"..2.80","..2.85","..2.77","..2.80","68,021"
10/27/2022,"..2.92","..2.99","..2.86","..2.88","240,681"
10/26/2022,"..2.92","..2.94","..2.91","..2.92","72,515"
10/25/2022,"..2.98","..3.00","..2.90","..2.92","226,606"
10/24/2022,"..3.02","..3.10","..2.97","..2.98","440,402"
10/20/2022,"..2.95","..3.00","..2.94","..2.97","259,687"
10/19/2022,"..2.96","..3.08","..2.93","..2.95","473,220"
10/18/2022,"..2.99","..3.00","..2.92","..2.96","111,928"
10/17/2022,"..3.01","..3.04","..2.97","..2.99","265,890"
10/13/2022,"..2.97","..3.06","..2.97","..2.98","525,044"
10/12/2022,"..3.07","..3.04","..2.90","..2.97","116,044"
10/11/2022,"..3.07","..3.14","..2.95","..3.07","98,173"
10/10/2022,"..3.10","..3.09","..3.04","..3.07","106,088"
10/05/2022,"..3.15","..3.22","..3.05","..3.10","368,811"
10/04/2022,"..3.07","..3.22","..3.13","..3.15","237,609"
10/03/2022,"..3.10","..3.21","..3.06","..3.07","109,141"
09/29/2022,"..3.23","..3.25","..3.12","..3.19","448,856"
09/28/2022,"..3.15","..3.36","..3.07","..3.23","769,546"
09/27/2022,"..3.17","..3.27","..3.13","..3.15","182,713"
09/26/2022,"..3.16","..3.24","..3.16","..3.17","157,138"
09/22/2022,"..3.09","..3.17","..3.02","..3.11","185,316"
