Date,Open,High,Low,Close,Volume
09/21/2023,"..7.14","..6.79","..6.79","..7.14","12"
09/18/2023,"..7.14","..6.79","..6.79","..7.14","500"
09/14/2023,"..7.14","..6.79","..6.79","..7.14","400"
09/11/2023,"..7.14","..6.79","..6.79","..7.14","502"
09/07/2023,"..7.14","..6.79","..6.79","..7.14","600"
09/05/2023,"..7.14","..6.79","..6.79","..7.14","800"
08/31/2023,"..7.14","..6.79","..6.79","..7.14","76"
08/29/2023,"..7.14","..6.79","..6.79","..7.14","500"
08/23/2023,"..7.14","..6.79","..6.79","..7.14","512"
08/22/2023,"..7.14","..6.79","..6.79","..7.14","569"
08/10/2023,"..7.14","..6.79","..6.79","..7.14","5"
08/08/2023,"..7.14","..6.79","..6.79","..7.14","46"
08/07/2023,"..7.14","..6.79","..6.79","..7.14","500"
08/01/2023,"..7.14","..6.79","..6.79","..7.14","2,000"
07/31/2023,"..7.14","..6.79","..6.79","..7.14","40"
07/25/2023,"..7.14","..6.79","..6.79","..7.14","879"
07/24/2023,"..7.14","..6.79","..6.79","..7.14","10"
07/19/2023,"..7.14","..6.80","..6.79","..7.14","15,048"
07/18/2023,"..7.14","..6.79","..6.79","..7.14","400"
07/17/2023,"..7.14","..6.79","..6.79","..7.14","619"
07/11/2023,"..7.14","..6.79","..6.79","..7.14","220"
07/05/2023,"..7.14","..6.79","..6.79","..7.14","20"
07/04/2023,"..7.14","..6.79","..6.79","..7.14","1,020"
06/26/2023,"..7.14","..6.79","..6.79","..7.14","7,631"
06/22/2023,"..7.14","..6.95","..6.79","..7.14","7,342"
06/21/2023,"..7.50","..7.48","..7.13","..7.14","59,120"
06/15/2023,"..7.50","..7.13","..7.13","..7.50","500"
06/12/2023,"..7.50","..7.13","..7.13","..7.50","281"
06/08/2023,"..7.50","..7.13","..7.13","..7.50","917"
06/07/2023,"..7.50","..7.13","..7.13","..7.50","500"
05/31/2023,"..7.50","..7.13","..7.13","..7.50","527"
05/29/2023,"..7.50","..7.13","..7.13","..7.50","500"
05/18/2023,"..7.50","..7.13","..7.13","..7.50","400"
05/11/2023,"..7.50","..7.13","..7.13","..7.50","500"
05/10/2023,"..7.50","..7.13","..7.13","..7.50","500"
05/09/2023,"..7.50","..7.13","..7.13","..7.50","30"
05/01/2023,"..7.50","..7.13","..7.13","..7.50","10"
04/27/2023,"..7.50","..7.13","..7.13","..7.50","430"
04/26/2023,"..7.50","..7.13","..7.13","..7.50","260"
04/18/2023,"..7.50","..7.13","..7.13","..7.50","1,026"
04/13/2023,"..7.50","..7.13","..7.13","..7.50","31"
04/12/2023,"..7.50","..7.13","..7.13","..7.50","50"
04/11/2023,"..7.50","..7.13","..7.13","..7.50","68"
04/10/2023,"..7.50","..7.13","..7.13","..7.50","17"
04/05/2023,"..7.50","..7.13","..7.13","..7.50","3,460"
04/04/2023,"..7.50","..7.13","..7.13","..7.50","13,490"
03/30/2023,"..7.50","..7.13","..7.13","..7.50","700"
03/16/2023,"..7.50","..7.13","..7.13","..7.50","5"
03/15/2023,"..7.50","..7.13","..7.13","..7.50","322"
03/14/2023,"..7.50","..7.13","..7.13","..7.50","6"
03/08/2023,"..7.50","..7.13","..7.13","..7.50","1,120"
03/07/2023,"..7.50","..7.13","..7.13","..7.50","2,000"
03/06/2023,"..7.50","..7.13","..7.13","..7.50","150"
03/02/2023,"..7.50","..7.13","..7.13","..7.50","3,030"
03/01/2023,"..7.50","..7.15","..7.13","..7.50","7,506"
02/28/2023,"..7.50","..7.13","..7.13","..7.50","300"
02/27/2023,"..7.50","..7.20","..7.13","..7.50","16,531"
02/23/2023,"..7.50","..7.20","..7.13","..7.50","5,600"
02/22/2023,"..7.50","..7.13","..7.13","..7.50","2,458"
02/21/2023,"..7.50","..7.24","..7.13","..7.50","5,005"
02/20/2023,"..7.50","..7.50","..7.13","..7.50","13,568"
02/16/2023,"..7.50","..7.30","..7.13","..7.50","10,398"
02/15/2023,"..7.50","..7.34","..7.13","..7.50","26,588"
02/14/2023,"..7.50","..7.50","..7.13","..7.50","9,842"
02/13/2023,"..7.89","..8.28","..7.50","..7.50","49,990"
02/09/2023,"..7.17","..7.52","..7.22","..7.52","40,064"
02/08/2023,"..6.83","..7.17","..7.17","..7.17","42,513"
02/07/2023,"..6.83","..7.17","..7.17","..6.83","4,768"
02/06/2023,"..6.83","..7.17","..7.17","..6.83","3,500"
02/02/2023,"..6.83","..7.17","..7.17","..6.83","23,590"
02/01/2023,"..6.83","..7.17","..7.17","..6.83","11,278"
01/31/2023,"..6.83","..7.17","..6.53","..6.83","26,382"
01/24/2023,"..6.83","..7.16","..6.50","..6.83","4,635"
01/23/2023,"..7.12","..7.12","..6.77","..6.83","80,330"
01/19/2023,"..7.12","..7.19","..6.77","..7.12","5,483"
01/18/2023,"..7.12","..7.42","..7.01","..7.12","10,605"
01/17/2023,"..6.84","..7.18","..6.87","..7.12","58,520"
01/16/2023,"..6.52","..6.84","..6.50","..6.84","65,565"
01/12/2023,"..6.52","..6.74","..6.42","..6.52","12,514"
01/11/2023,"..6.58","..6.87","..6.48","..6.52","60,280"
01/10/2023,"..6.58","..6.80","..6.57","..6.58","38,725"
01/09/2023,"..6.58","..6.80","..6.58","..6.58","21,010"
01/05/2023,"..6.55","..6.84","..6.40","..6.58","57,480"
01/04/2023,"..6.62","..6.95","..6.45","..6.55","48,414"
01/03/2023,"..6.47","..6.79","..6.40","..6.62","84,279"
01/02/2023,"..6.47","..6.74","..6.30","..6.47","36,416"
12/29/2022,"..6.47","..6.70","..6.30","..6.47","24,796"
12/28/2022,"..6.47","..6.65","..6.47","..6.47","6,488"
12/27/2022,"..6.47","..6.60","..6.32","..6.47","11,286"
12/26/2022,"..6.47","..6.59","..6.28","..6.47","9,809"
12/22/2022,"..6.75","..6.75","..6.42","..6.47","67,041"
12/21/2022,"..6.75","..6.95","..6.42","..6.75","18,635"
12/20/2022,"..7.10","..6.90","..6.75","..6.75","48,055"
12/19/2022,"..7.10","..6.95","..6.75","..7.10","12,638"
12/15/2022,"..7.10","..7.30","..6.84","..7.10","38,633"
12/14/2022,"..7.10","..7.30","..6.89","..7.10","41,409"
12/13/2022,"..7.10","..7.45","..7.00","..7.10","40,915"
12/12/2022,"..6.77","..7.10","..6.50","..7.10","63,031"
12/08/2022,"..7.35","..7.30","..6.99","..6.99","154,045"
12/07/2022,"..7.73","..7.35","..7.35","..7.35","41,752"
11/16/2022,"..7.73","..7.35","..7.35","..7.73","1,000"
11/10/2022,"..7.73","..7.35","..7.35","..7.73","100"
