Date,Open,High,Low,Close,Volume
09/21/2023,"..50.59","..51.00","..49.20","..50.80","543,344"
09/20/2023,"..50.49","..52.10","..50.38","..50.59","1,859,593"
09/19/2023,"..51.00","..51.73","..50.49","..50.49","518,589"
09/18/2023,"..50.88","..51.40","..50.35","..51.00","510,497"
09/14/2023,"..50.95","..51.60","..50.56","..50.97","587,566"
09/13/2023,"..48.50","..51.00","..47.90","..50.95","1,035,136"
09/12/2023,"..49.16","..49.50","..48.11","..48.50","715,062"
09/11/2023,"..50.23","..50.85","..49.16","..49.16","559,287"
09/07/2023,"..50.79","..50.78","..49.42","..49.81","859,906"
09/06/2023,"..51.06","..51.50","..49.90","..50.79","878,118"
09/05/2023,"..51.60","..52.60","..50.98","..51.06","647,517"
09/04/2023,"..49.55","..52.45","..49.56","..51.60","920,033"
08/31/2023,"..51.69","..52.30","..50.51","..50.72","752,955"
08/30/2023,"..51.12","..52.01","..50.86","..51.69","235,450"
08/29/2023,"..50.72","..51.80","..50.50","..51.12","563,864"
08/28/2023,"..50.95","..51.95","..50.31","..50.72","854,252"
08/24/2023,"..47.51","..51.00","..47.80","..51.00","2,160,460"
08/23/2023,"..48.62","..49.09","..47.27","..47.51","637,904"
08/22/2023,"..46.83","..49.46","..46.70","..48.62","1,623,794"
08/21/2023,"..46.73","..47.25","..46.67","..46.83","291,446"
08/17/2023,"..47.29","..47.50","..46.55","..46.90","490,889"
08/16/2023,"..46.01","..47.40","..45.72","..47.29","1,137,145"
08/15/2023,"..47.77","..48.09","..46.01","..46.01","1,333,351"
08/14/2023,"..47.15","..49.48","..47.50","..47.77","2,286,769"
08/10/2023,"..45.03","..45.50","..44.11","..44.60","1,027,370"
08/09/2023,"..43.14","..46.00","..43.20","..45.03","1,683,537"
08/08/2023,"..43.50","..44.00","..43.05","..43.14","627,863"
08/07/2023,"..41.50","..43.50","..41.01","..43.50","2,418,477"
08/03/2023,"..39.78","..40.18","..39.51","..40.00","343,900"
08/02/2023,"..39.22","..39.94","..39.00","..39.78","609,304"
08/01/2023,"..40.00","..40.40","..39.00","..39.22","827,699"
07/31/2023,"..39.07","..40.00","..39.13","..40.00","724,458"
07/27/2023,"..39.37","..39.65","..38.15","..38.40","1,322,035"
07/26/2023,"..40.70","..40.90","..39.35","..39.37","910,595"
07/25/2023,"..38.49","..41.13","..38.88","..40.70","1,353,053"
07/24/2023,"..40.21","..40.45","..36.42","..38.49","440,325"
07/19/2023,"..40.65","..41.05","..40.16","..40.21","216,405"
07/18/2023,"..40.98","..41.23","..40.50","..40.65","465,509"
07/17/2023,"..40.60","..41.13","..40.00","..40.98","996,156"
07/13/2023,"..40.56","..41.55","..40.10","..40.10","717,163"
07/12/2023,"..41.15","..41.95","..40.40","..40.56","746,616"
07/11/2023,"..39.00","..42.00","..39.75","..41.15","3,805,451"
07/10/2023,"..36.00","..40.00","..36.00","..39.00","1,236,444"
07/06/2023,"..37.46","..38.18","..36.22","..36.60","256,919"
07/05/2023,"..36.40","..37.50","..36.15","..37.46","326,655"
07/04/2023,"..36.00","..36.60","..35.90","..36.40","278,816"
