Date,Open,High,Low,Close,Volume
09/21/2023,"..29.19","..30.85","..28.80","..30.50","2,451,115"
09/20/2023,"..29.35","..29.50","..28.63","..29.19","1,091,470"
09/19/2023,"..28.78","..29.50","..28.61","..29.35","696,615"
09/18/2023,"..28.65","..28.89","..28.53","..28.78","286,736"
09/14/2023,"..28.52","..29.20","..28.50","..28.90","742,413"
09/13/2023,"..28.10","..28.60","..28.00","..28.52","779,518"
09/12/2023,"..28.80","..28.95","..28.02","..28.10","1,451,953"
09/11/2023,"..29.60","..29.59","..28.61","..28.80","1,347,633"
09/07/2023,"..27.29","..28.40","..27.07","..28.39","3,099,484"
09/06/2023,"..26.52","..27.39","..26.80","..27.29","1,527,563"
09/05/2023,"..26.90","..27.32","..26.52","..26.52","746,779"
09/04/2023,"..26.01","..27.60","..26.07","..26.90","2,797,949"
08/31/2023,"..26.70","..26.75","..26.30","..26.30","355,379"
08/30/2023,"..26.78","..26.90","..26.40","..26.70","550,684"
08/29/2023,"..26.43","..27.00","..26.43","..26.78","1,029,872"
08/28/2023,"..26.43","..26.69","..26.31","..26.43","430,879"
08/24/2023,"..26.19","..26.40","..26.09","..26.28","335,158"
08/23/2023,"..26.30","..26.68","..26.18","..26.19","695,092"
08/22/2023,"..26.01","..26.35","..26.05","..26.30","261,624"
08/21/2023,"..25.97","..26.50","..26.00","..26.01","433,213"
08/17/2023,"..26.27","..26.38","..25.86","..26.00","515,783"
08/16/2023,"..26.48","..26.69","..26.21","..26.27","434,959"
08/15/2023,"..26.44","..26.74","..25.95","..26.48","532,597"
08/14/2023,"..26.70","..26.99","..26.42","..26.44","498,503"
08/10/2023,"..27.07","..27.20","..26.52","..26.52","1,481,847"
08/09/2023,"..26.90","..27.69","..26.70","..27.07","1,292,619"
08/08/2023,"..27.26","..27.24","..26.72","..26.90","521,215"
08/07/2023,"..26.45","..27.31","..26.15","..27.26","1,876,337"
08/03/2023,"..26.00","..26.00","..25.73","..25.91","90,680"
08/02/2023,"..26.00","..26.10","..25.57","..26.00","469,670"
08/01/2023,"..26.20","..26.30","..25.80","..26.00","554,618"
07/31/2023,"..25.40","..26.27","..25.52","..26.20","1,530,228"
07/27/2023,"..24.83","..25.00","..24.70","..24.71","89,211"
07/26/2023,"..25.00","..25.09","..24.60","..24.83","132,731"
07/25/2023,"..25.29","..25.44","..24.91","..25.00","202,030"
07/24/2023,"..25.55","..25.65","..25.10","..25.29","490,535"
07/19/2023,"..25.46","..25.60","..25.35","..25.55","547,243"
07/18/2023,"..25.10","..25.59","..25.01","..25.46","999,295"
07/17/2023,"..24.90","..25.30","..24.73","..25.10","1,243,547"
07/13/2023,"..24.43","..24.90","..24.45","..24.81","723,264"
07/12/2023,"..25.16","..25.40","..24.31","..24.43","818,739"
07/11/2023,"..24.86","..25.75","..24.90","..25.16","1,838,898"
07/10/2023,"..24.28","..25.38","..24.03","..24.86","1,378,189"
07/06/2023,"..24.50","..24.90","..24.15","..24.48","350,492"
07/05/2023,"..25.25","..25.54","..24.47","..24.50","544,564"
07/04/2023,"..25.88","..26.07","..25.22","..25.25","692,298"
06/26/2023,"..25.80","..25.90","..25.40","..25.88","894,674"
06/22/2023,"..25.46","..25.50","..24.90","..25.24","1,407,739"
06/21/2023,"..26.00","..26.24","..25.45","..25.46","1,019,482"
06/20/2023,"..26.32","..26.45","..25.96","..26.00","1,222,353"
06/19/2023,"..26.78","..27.00","..26.10","..26.32","1,053,703"
06/15/2023,"..27.46","..27.46","..26.30","..26.61","1,311,472"
06/14/2023,"..27.70","..27.90","..26.90","..27.46","1,424,779"
06/13/2023,"..26.46","..27.70","..26.35","..27.70","2,530,391"
06/12/2023,"..27.00","..27.00","..26.30","..26.46","473,854"
06/08/2023,"..25.83","..27.13","..25.85","..26.85","3,553,762"
06/07/2023,"..25.44","..26.49","..25.44","..25.83","3,454,671"
06/06/2023,"..24.95","..26.00","..25.00","..25.44","2,788,856"
06/05/2023,"..24.50","..25.51","..24.70","..24.95","2,749,006"
06/01/2023,"..24.23","..24.31","..24.00","..24.20","1,067,295"
05/31/2023,"..24.50","..24.75","..24.10","..24.23","3,831,401"
05/30/2023,"..23.99","..24.80","..24.20","..24.50","5,528,867"
05/29/2023,"..24.24","..24.30","..23.73","..23.99","1,012,379"
05/25/2023,"..23.60","..23.61","..23.23","..23.40","545,043"
05/24/2023,"..23.00","..23.62","..23.00","..23.60","5,015,138"
