Date,Open,High,Low,Close,Volume
09/21/2023,"..2.63","..2.66","..2.59","..2.64","1,734,082"
09/20/2023,"..2.70","..2.74","..2.62","..2.63","861,076"
09/19/2023,"..2.70","..2.79","..2.69","..2.70","2,147,902"
09/18/2023,"..2.71","..2.74","..2.69","..2.70","1,048,282"
09/14/2023,"..2.73","..2.75","..2.70","..2.72","1,136,059"
09/13/2023,"..2.68","..2.81","..2.70","..2.73","1,711,545"
09/12/2023,"..2.67","..2.73","..2.64","..2.68","1,408,496"
09/11/2023,"..2.73","..2.74","..2.65","..2.67","1,133,731"
09/07/2023,"..2.71","..2.75","..2.67","..2.71","1,600,634"
09/06/2023,"..2.78","..2.80","..2.70","..2.71","1,237,871"
09/05/2023,"..2.77","..2.81","..2.76","..2.78","1,252,932"
09/04/2023,"..2.77","..2.81","..2.74","..2.77","1,467,088"
08/31/2023,"..2.74","..2.86","..2.74","..2.85","3,725,293"
08/30/2023,"..2.78","..2.84","..2.73","..2.74","2,342,772"
08/29/2023,"..2.83","..2.87","..2.77","..2.78","2,821,655"
08/28/2023,"..2.89","..2.93","..2.81","..2.83","3,215,277"
08/24/2023,"..2.69","..2.84","..2.66","..2.80","4,661,206"
08/23/2023,"..2.88","..2.90","..2.68","..2.69","7,965,357"
08/22/2023,"..2.60","..2.88","..2.62","..2.88","12,668,270"
08/21/2023,"..2.55","..2.60","..2.54","..2.60","1,440,842"
08/17/2023,"..2.55","..2.58","..2.51","..2.54","443,416"
08/16/2023,"..2.58","..2.61","..2.53","..2.55","1,132,504"
08/15/2023,"..2.63","..2.67","..2.57","..2.58","1,185,369"
08/14/2023,"..2.59","..2.67","..2.59","..2.63","1,413,899"
08/10/2023,"..2.67","..2.70","..2.57","..2.58","3,226,260"
08/09/2023,"..2.60","..2.73","..2.60","..2.67","5,162,176"
08/08/2023,"..2.60","..2.65","..2.59","..2.60","1,454,642"
08/07/2023,"..2.52","..2.65","..2.53","..2.60","2,306,201"
08/03/2023,"..2.47","..2.56","..2.10","..2.56","2,807,928"
08/02/2023,"..2.50","..2.52","..2.45","..2.47","1,080,406"
08/01/2023,"..2.50","..2.53","..2.49","..2.50","325,165"
07/31/2023,"..2.51","..2.54","..2.49","..2.50","628,971"
07/27/2023,"..2.50","..2.52","..2.48","..2.50","956,651"
07/26/2023,"..2.52","..2.53","..2.48","..2.50","581,386"
07/25/2023,"..2.53","..2.61","..2.51","..2.52","2,393,320"
07/24/2023,"..2.56","..2.57","..2.53","..2.53","532,691"
07/19/2023,"..2.54","..2.59","..2.54","..2.56","756,902"
07/18/2023,"..2.54","..2.57","..2.53","..2.54","567,026"
07/17/2023,"..2.54","..2.61","..2.51","..2.54","2,042,636"
07/13/2023,"..2.52","..2.56","..2.51","..2.53","601,126"
07/12/2023,"..2.57","..2.60","..2.51","..2.52","768,220"
07/11/2023,"..2.54","..2.62","..2.51","..2.57","1,216,782"
07/10/2023,"..2.46","..2.56","..2.44","..2.54","419,262"
07/06/2023,"..2.50","..2.67","..2.45","..2.55","3,324,307"
07/05/2023,"..2.54","..2.58","..2.48","..2.50","825,075"
07/04/2023,"..2.47","..2.60","..2.50","..2.54","1,497,474"
06/26/2023,"..2.46","..2.49","..2.42","..2.47","873,952"
06/22/2023,"..2.52","..2.52","..2.47","..2.49","337,154"
06/21/2023,"..2.57","..2.59","..2.51","..2.52","563,047"
06/20/2023,"..2.57","..2.61","..2.56","..2.57","819,948"
06/19/2023,"..2.59","..2.63","..2.56","..2.57","885,685"
