Date,Open,High,Low,Close,Volume
09/21/2023,"..15.51","..16.15","..15.66","..16.01","134,180"
09/20/2023,"..16.11","..16.29","..15.50","..15.51","208,173"
09/19/2023,"..16.30","..16.58","..16.05","..16.11","195,960"
09/18/2023,"..16.33","..16.76","..16.29","..16.30","317,645"
09/14/2023,"..14.97","..17.45","..15.25","..16.05","1,889,842"
09/13/2023,"..14.72","..15.15","..14.51","..14.97","232,146"
09/12/2023,"..15.08","..15.29","..14.70","..14.72","71,919"
09/11/2023,"..15.12","..15.30","..14.91","..15.08","29,186"
09/07/2023,"..15.51","..15.79","..15.30","..15.56","147,702"
09/06/2023,"..15.76","..15.80","..15.50","..15.51","110,527"
09/05/2023,"..15.81","..15.95","..15.49","..15.76","284,218"
09/04/2023,"..16.27","..16.39","..15.75","..15.81","219,143"
08/31/2023,"..16.01","..16.89","..15.90","..16.67","975,599"
08/30/2023,"..16.11","..16.40","..15.20","..16.01","795,474"
08/29/2023,"..14.64","..17.56","..14.80","..16.11","1,899,344"
08/28/2023,"..12.30","..14.64","..12.30","..14.64","1,540,754"
08/24/2023,"..12.46","..12.58","..12.25","..12.46","87,927"
08/23/2023,"..12.39","..12.58","..12.31","..12.46","60,219"
08/22/2023,"..12.39","..12.49","..12.21","..12.39","18,675"
08/21/2023,"..12.23","..12.45","..12.13","..12.39","71,436"
08/17/2023,"..12.14","..13.00","..12.20","..12.56","279,695"
08/16/2023,"..12.09","..12.30","..12.00","..12.14","166,066"
08/15/2023,"..12.37","..12.34","..12.03","..12.09","83,442"
08/14/2023,"..12.59","..12.70","..12.22","..12.37","69,716"
08/10/2023,"..12.00","..12.50","..12.00","..12.48","146,344"
08/09/2023,"..11.82","..12.03","..11.80","..12.00","102,213"
08/08/2023,"..11.80","..11.90","..11.75","..11.82","30,422"
08/07/2023,"..11.65","..11.95","..11.61","..11.80","39,635"
08/03/2023,"..11.65","..11.91","..11.57","..11.65","19,559"
08/02/2023,"..11.99","..11.90","..11.60","..11.65","79,125"
08/01/2023,"..11.99","..12.10","..11.72","..11.99","17,804"
07/31/2023,"..11.95","..12.13","..11.93","..11.99","47,385"
07/27/2023,"..12.08","..12.10","..11.82","..12.08","18,960"
07/26/2023,"..12.08","..12.13","..11.82","..12.08","10,258"
07/25/2023,"..12.08","..12.16","..11.97","..12.08","17,629"
07/24/2023,"..12.11","..12.29","..12.01","..12.08","26,885"
07/19/2023,"..12.23","..12.28","..12.00","..12.11","74,513"
07/18/2023,"..12.20","..12.45","..12.00","..12.23","68,518"
07/17/2023,"..12.23","..12.45","..12.10","..12.20","54,899"
07/13/2023,"..12.51","..12.79","..12.21","..12.35","142,695"
07/12/2023,"..12.44","..13.00","..12.40","..12.51","202,823"
07/11/2023,"..12.15","..12.69","..12.15","..12.44","95,838"
07/10/2023,"..12.00","..12.20","..11.75","..12.15","233,942"
07/06/2023,"..12.83","..13.34","..12.70","..12.71","244,615"
07/05/2023,"..12.95","..13.32","..12.78","..12.83","135,889"
07/04/2023,"..13.24","..13.50","..12.85","..12.95","134,264"
06/26/2023,"..13.27","..13.30","..13.00","..13.24","153,383"
06/22/2023,"..13.52","..13.89","..13.29","..13.47","166,093"
06/21/2023,"..13.75","..13.95","..13.50","..13.52","585,255"
06/20/2023,"..14.25","..14.40","..13.59","..13.75","504,164"
06/19/2023,"..13.72","..14.50","..13.83","..14.25","1,092,973"
06/15/2023,"..13.12","..13.97","..13.45","..13.56","617,191"
06/14/2023,"..11.64","..13.13","..11.92","..13.12","1,594,395"
06/13/2023,"..11.42","..11.64","..11.35","..11.64","1,357,501"
06/12/2023,"..11.42","..11.49","..11.34","..11.42","23,003"
06/08/2023,"..11.26","..11.77","..11.29","..11.42","107,155"
06/07/2023,"..11.60","..11.91","..11.24","..11.26","324,656"
06/06/2023,"..12.30","..12.32","..11.53","..11.60","460,125"
06/05/2023,"..12.49","..12.61","..12.29","..12.30","74,853"
06/01/2023,"..12.41","..12.49","..12.30","..12.37","57,188"
05/31/2023,"..12.48","..12.63","..12.30","..12.41","95,092"
05/30/2023,"..12.30","..12.53","..12.29","..12.48","83,262"
05/29/2023,"..12.44","..12.53","..12.20","..12.30","48,116"
05/25/2023,"..12.36","..12.77","..12.30","..12.39","197,516"
05/24/2023,"..12.36","..12.68","..12.21","..12.36","55,197"
05/23/2023,"..12.40","..12.49","..12.21","..12.36","48,401"
05/22/2023,"..12.38","..12.91","..12.26","..12.40","69,205"
05/18/2023,"..12.42","..12.63","..12.24","..12.38","31,738"
05/17/2023,"..12.49","..12.68","..12.25","..12.42","39,667"
05/16/2023,"..12.66","..12.65","..12.49","..12.49","189,170"
05/15/2023,"..12.82","..13.15","..12.58","..12.66","247,587"
05/11/2023,"..12.78","..13.02","..12.49","..12.58","114,222"
05/10/2023,"..12.72","..12.82","..12.34","..12.78","137,861"
05/09/2023,"..12.86","..13.06","..12.59","..12.72","171,425"
05/08/2023,"..12.96","..13.32","..12.76","..12.86","159,816"
05/03/2023,"..12.95","..13.41","..12.71","..12.85","555,070"
05/02/2023,"..12.20","..13.07","..12.25","..12.95","462,531"
05/01/2023,"..12.25","..12.37","..11.60","..12.20","38,381"
04/27/2023,"..12.04","..12.49","..12.01","..12.38","187,256"
04/26/2023,"..10.98","..12.24","..11.00","..12.04","298,257"
04/19/2023,"..11.08","..11.33","..10.78","..10.98","41,630"
04/18/2023,"..10.59","..11.39","..10.81","..11.08","153,451"
04/13/2023,"..10.59","..10.79","..10.58","..10.59","17,184"
04/12/2023,"..10.88","..10.93","..10.58","..10.59","28,762"
04/11/2023,"..10.88","..10.98","..10.58","..10.88","14,736"
04/10/2023,"..10.88","..11.05","..10.57","..10.88","12,651"
04/06/2023,"..10.88","..10.95","..10.66","..10.88","11,904"
04/05/2023,"..10.63","..11.11","..10.67","..10.88","62,051"
04/04/2023,"..10.65","..11.04","..8.53","..10.63","69,572"
04/03/2023,"..10.89","..10.88","..10.37","..10.65","63,905"
03/30/2023,"..10.58","..10.76","..10.57","..10.58","17,392"
03/29/2023,"..10.58","..10.76","..10.57","..10.58","27,853"
03/28/2023,"..10.57","..10.65","..10.57","..10.58","36,868"
03/27/2023,"..10.57","..10.78","..10.57","..10.57","54,116"
03/23/2023,"..10.58","..10.71","..10.19","..10.58","7,495"
03/22/2023,"..10.49","..10.76","..10.46","..10.58","60,994"
03/21/2023,"..10.22","..11.00","..10.36","..10.49","121,544"
03/20/2023,"..10.01","..10.56","..10.08","..10.22","44,252"
03/16/2023,"..9.94","..10.34","..9.81","..10.09","211,383"
03/15/2023,"..10.75","..11.24","..9.75","..9.94","378,621"
03/14/2023,"..10.55","..11.07","..9.68","..10.75","39,064"
03/13/2023,"..11.73","..12.02","..10.42","..10.55","456,510"
03/09/2023,"..11.89","..12.26","..11.90","..12.21","289,452"
03/08/2023,"..12.19","..12.48","..11.76","..11.89","98,491"
03/07/2023,"..12.19","..12.48","..12.07","..12.19","31,054"
03/06/2023,"..12.28","..12.47","..12.04","..12.19","87,483"
03/02/2023,"..11.82","..12.25","..11.67","..12.21","273,636"
03/01/2023,"..11.71","..12.28","..11.72","..11.82","49,073"
02/28/2023,"..11.76","..12.32","..11.64","..11.71","29,389"
02/27/2023,"..11.67","..11.84","..11.50","..11.76","68,253"
02/23/2023,"..11.82","..12.10","..11.65","..11.70","145,983"
02/22/2023,"..12.08","..12.38","..11.78","..11.82","152,244"
02/21/2023,"..12.08","..12.25","..12.01","..12.08","46,212"
02/20/2023,"..12.36","..12.45","..12.03","..12.08","36,944"
02/16/2023,"..12.60","..12.67","..12.25","..12.56","306,882"
02/15/2023,"..11.79","..12.66","..11.86","..12.60","494,172"
02/14/2023,"..11.77","..11.85","..11.65","..11.79","134,640"
02/13/2023,"..11.86","..12.06","..11.76","..11.77","49,445"
02/09/2023,"..11.84","..12.20","..11.77","..12.09","59,927"
02/08/2023,"..11.91","..12.06","..11.52","..11.84","104,431"
02/07/2023,"..11.30","..12.05","..11.58","..11.91","325,074"
02/06/2023,"..11.30","..11.71","..11.21","..11.30","52,039"
02/02/2023,"..11.84","..12.15","..11.55","..11.59","63,708"
02/01/2023,"..11.85","..12.24","..11.80","..11.84","107,507"
01/31/2023,"..12.53","..12.80","..11.78","..11.85","180,878"
01/30/2023,"..12.99","..13.47","..12.32","..12.53","379,011"
01/25/2023,"..12.27","..12.65","..12.10","..12.48","411,720"
01/24/2023,"..12.15","..12.38","..12.05","..12.27","178,212"
01/23/2023,"..12.17","..12.44","..11.86","..12.15","309,559"
01/19/2023,"..11.30","..11.85","..11.21","..11.76","459,913"
01/18/2023,"..10.94","..11.31","..10.88","..11.30","558,631"
01/17/2023,"..10.87","..11.07","..10.80","..10.94","287,781"
01/16/2023,"..10.60","..10.92","..10.73","..10.87","260,002"
01/12/2023,"..10.82","..10.85","..10.63","..10.66","54,813"
01/11/2023,"..10.75","..11.12","..10.73","..10.82","191,338"
01/10/2023,"..10.89","..11.03","..10.60","..10.75","212,800"
01/09/2023,"..11.05","..11.21","..10.82","..10.89","132,726"
01/05/2023,"..11.10","..11.42","..10.87","..11.05","164,808"
01/04/2023,"..10.83","..11.53","..10.30","..11.10","566,058"
01/03/2023,"..10.66","..10.94","..10.52","..10.83","226,864"
01/02/2023,"..10.79","..10.83","..10.50","..10.66","80,294"
12/29/2022,"..10.57","..10.83","..10.40","..10.79","101,118"
