Date,Open,High,Low,Close,Volume
09/21/2023,"..30.89","..31.17","..30.50","..30.75","219,738"
09/20/2023,"..31.77","..31.99","..30.82","..30.89","390,172"
09/19/2023,"..31.50","..32.22","..31.69","..31.77","924,488"
09/18/2023,"..30.70","..31.70","..30.70","..31.50","752,456"
09/14/2023,"..30.61","..30.95","..30.60","..30.73","192,423"
09/13/2023,"..30.60","..30.92","..30.55","..30.61","106,110"
09/12/2023,"..30.76","..31.09","..30.60","..30.60","188,295"
09/11/2023,"..31.03","..31.27","..30.71","..30.76","201,039"
09/07/2023,"..30.90","..31.24","..30.85","..30.94","185,129"
09/06/2023,"..30.87","..31.61","..30.90","..30.90","653,928"
09/05/2023,"..31.05","..31.29","..30.85","..30.87","464,339"
09/04/2023,"..30.60","..31.17","..30.61","..31.05","386,089"
08/31/2023,"..31.20","..31.75","..30.75","..31.05","797,268"
08/30/2023,"..30.33","..31.98","..30.95","..31.20","1,758,289"
08/29/2023,"..29.30","..30.59","..29.40","..30.33","2,150,797"
08/28/2023,"..29.23","..29.60","..29.23","..29.30","201,307"
08/24/2023,"..29.42","..29.50","..29.22","..29.25","95,018"
08/23/2023,"..29.50","..29.87","..29.40","..29.42","183,417"
08/22/2023,"..29.50","..29.90","..29.40","..29.50","167,096"
08/21/2023,"..29.60","..29.70","..29.43","..29.50","158,563"
08/17/2023,"..29.92","..30.12","..29.70","..29.72","134,368"
08/16/2023,"..30.08","..30.30","..29.90","..29.92","150,071"
08/15/2023,"..30.08","..30.49","..30.05","..30.08","95,148"
08/14/2023,"..29.87","..30.34","..29.85","..30.08","277,266"
08/10/2023,"..30.12","..30.47","..29.86","..29.90","295,834"
08/09/2023,"..30.27","..30.40","..30.10","..30.12","46,313"
08/08/2023,"..30.30","..30.73","..30.15","..30.27","107,965"
08/07/2023,"..30.20","..30.40","..30.05","..30.30","105,881"
08/03/2023,"..30.00","..30.05","..29.76","..30.00","76,283"
08/02/2023,"..30.07","..30.25","..29.95","..30.00","133,975"
08/01/2023,"..30.14","..30.49","..30.00","..30.07","111,431"
07/31/2023,"..30.07","..30.31","..30.00","..30.14","84,609"
07/27/2023,"..30.31","..30.70","..30.30","..30.36","60,582"
07/26/2023,"..30.50","..30.90","..30.30","..30.31","54,683"
07/25/2023,"..30.82","..31.08","..30.45","..30.50","62,349"
07/24/2023,"..31.15","..31.19","..30.80","..30.82","40,005"
07/19/2023,"..31.00","..31.59","..30.90","..31.15","121,724"
