Date,Open,High,Low,Close,Volume
09/21/2023,"..59.01","..59.97","..58.86","..59.85","1,560,612"
09/20/2023,"..59.63","..60.00","..58.81","..59.01","4,544,993"
09/19/2023,"..59.02","..60.00","..58.20","..59.63","15,225,390"
09/18/2023,"..58.70","..59.23","..57.50","..59.02","9,784,207"
09/14/2023,"..57.90","..59.25","..58.00","..58.75","5,131,439"
09/13/2023,"..57.22","..58.49","..57.10","..57.90","4,239,619"
09/12/2023,"..57.89","..57.99","..56.80","..57.22","3,582,725"
09/11/2023,"..58.80","..58.80","..57.50","..57.89","18,241,471"
09/07/2023,"..59.00","..59.90","..58.30","..59.12","1,720,867"
09/06/2023,"..57.05","..59.00","..57.07","..59.00","6,318,734"
09/05/2023,"..56.20","..57.53","..56.20","..57.05","4,591,421"
09/04/2023,"..56.25","..56.60","..55.64","..56.20","8,118,582"
08/31/2023,"..55.90","..57.00","..55.40","..57.00","4,737,792"
08/30/2023,"..54.10","..56.00","..54.00","..55.90","6,196,963"
08/29/2023,"..54.75","..55.27","..53.95","..54.10","10,783,060"
08/28/2023,"..54.00","..55.44","..54.00","..54.75","4,308,379"
08/24/2023,"..52.60","..52.90","..52.41","..52.50","4,825,812"
08/23/2023,"..52.60","..52.80","..52.43","..52.60","5,047,817"
08/22/2023,"..52.05","..52.76","..52.00","..52.60","4,732,873"
08/21/2023,"..53.06","..53.25","..52.00","..52.05","13,112,310"
08/17/2023,"..52.87","..53.40","..52.80","..52.80","3,430,605"
08/16/2023,"..51.99","..53.30","..51.75","..52.87","7,535,594"
08/15/2023,"..51.60","..52.03","..51.60","..51.99","4,437,685"
08/14/2023,"..50.93","..52.00","..50.90","..51.60","15,205,870"
08/10/2023,"..50.65","..50.93","..50.56","..50.89","1,678,306"
08/09/2023,"..50.67","..51.00","..50.65","..50.65","2,553,862"
08/08/2023,"..50.64","..51.25","..50.60","..50.67","10,631,810"
08/07/2023,"..50.75","..51.00","..50.60","..50.64","6,907,197"
08/03/2023,"..51.17","..51.20","..50.60","..50.90","1,976,433"
08/02/2023,"..50.80","..51.20","..50.50","..51.17","4,597,524"
08/01/2023,"..50.50","..50.80","..50.50","..50.80","10,373,990"
07/31/2023,"..50.75","..51.13","..50.48","..50.50","11,472,850"
07/27/2023,"..50.83","..51.25","..50.62","..51.18","3,458,867"
07/26/2023,"..51.25","..51.66","..50.83","..50.83","4,266,068"
07/25/2023,"..51.00","..52.00","..50.70","..51.25","9,738,853"
07/24/2023,"..50.35","..51.39","..50.59","..51.00","5,157,563"
07/19/2023,"..50.10","..50.38","..49.90","..50.35","5,670,090"
07/18/2023,"..50.00","..50.69","..49.72","..50.10","4,262,435"
07/17/2023,"..49.50","..51.05","..49.30","..50.00","7,065,317"
07/13/2023,"..49.20","..50.33","..49.10","..49.60","3,027,149"
07/12/2023,"..48.89","..49.59","..48.33","..49.20","4,346,084"
07/11/2023,"..48.40","..49.20","..47.91","..48.89","6,657,247"
07/10/2023,"..47.65","..48.55","..47.26","..48.40","7,645,482"
07/06/2023,"..49.49","..49.50","..48.02","..48.25","7,630,363"
07/05/2023,"..49.99","..50.30","..49.32","..49.49","4,300,714"
07/04/2023,"..51.00","..51.40","..49.61","..49.99","5,807,605"
06/26/2023,"..49.00","..51.25","..49.20","..51.00","4,635,525"
06/22/2023,"..51.60","..51.63","..51.11","..51.31","2,576,652"
06/21/2023,"..51.96","..52.00","..51.26","..51.60","3,639,648"
06/20/2023,"..52.31","..52.50","..51.50","..51.96","3,654,880"
06/19/2023,"..52.90","..53.22","..52.04","..52.31","7,702,068"
06/15/2023,"..52.71","..53.00","..52.22","..53.00","2,591,201"
06/14/2023,"..52.11","..52.97","..52.11","..52.71","5,164,617"
06/13/2023,"..52.15","..52.65","..52.00","..52.11","12,643,810"
06/12/2023,"..53.23","..53.49","..52.12","..52.15","2,285,410"
06/08/2023,"..52.50","..53.00","..52.00","..53.00","5,384,776"
06/07/2023,"..52.40","..52.88","..52.01","..52.50","5,557,145"
06/06/2023,"..52.05","..53.00","..52.10","..52.40","3,214,726"
06/05/2023,"..52.24","..52.99","..52.00","..52.05","7,554,999"
06/01/2023,"..52.30","..52.89","..52.11","..52.60","2,199,588"
05/31/2023,"..52.50","..53.00","..52.27","..52.30","5,916,682"
05/30/2023,"..51.72","..52.60","..51.72","..52.50","4,648,615"
05/29/2023,"..52.03","..52.28","..51.53","..51.72","3,887,863"
05/25/2023,"..52.50","..53.19","..52.30","..52.30","3,338,500"
05/24/2023,"..52.05","..52.65","..52.01","..52.50","2,381,811"
05/23/2023,"..52.00","..52.20","..51.76","..52.05","2,521,048"
05/22/2023,"..51.70","..52.50","..51.72","..52.00","4,899,499"
05/18/2023,"..52.50","..52.73","..51.10","..51.10","9,822,209"
05/17/2023,"..52.00","..52.89","..51.75","..52.50","5,743,529"
05/16/2023,"..52.00","..52.20","..51.50","..52.00","4,313,342"
05/15/2023,"..52.15","..53.00","..51.81","..52.00","7,061,126"
05/11/2023,"..52.40","..52.60","..51.20","..51.81","6,930,593"
05/10/2023,"..52.10","..52.77","..52.00","..52.40","3,810,484"
05/09/2023,"..53.20","..54.05","..51.50","..52.10","8,171,892"
05/08/2023,"..53.01","..53.21","..52.80","..53.20","1,916,070"
05/03/2023,"..52.75","..53.25","..52.60","..53.11","4,419,590"
05/02/2023,"..53.00","..53.15","..52.56","..52.75","3,676,836"
05/01/2023,"..53.81","..53.75","..52.60","..53.00","4,705,985"
04/27/2023,"..52.40","..54.08","..52.40","..53.40","4,059,226"
04/26/2023,"..53.60","..53.90","..52.15","..52.40","8,694,876"
04/19/2023,"..54.60","..54.80","..53.31","..53.60","3,187,005"
04/18/2023,"..58.50","..55.00","..53.55","..54.60","5,157,026"
04/13/2023,"..51.10","..58.50","..51.10","..58.50","5,632,824"
04/12/2023,"..51.69","..51.62","..49.85","..51.10","3,271,797"
04/11/2023,"..51.50","..51.80","..51.00","..51.69","4,667,538"
04/10/2023,"..51.70","..51.99","..51.25","..51.50","2,929,501"
04/06/2023,"..53.29","..53.28","..51.60","..51.60","5,141,113"
04/05/2023,"..52.50","..53.40","..52.31","..53.29","3,415,218"
04/04/2023,"..52.50","..52.96","..52.11","..52.50","4,625,917"
04/03/2023,"..51.50","..53.20","..51.57","..52.50","4,760,144"
03/30/2023,"..49.90","..52.00","..50.21","..51.01","4,419,976"
03/29/2023,"..49.00","..50.17","..49.10","..49.90","4,374,730"
03/28/2023,"..51.00","..50.89","..49.00","..49.00","3,012,166"
03/27/2023,"..51.20","..51.41","..50.55","..51.00","2,704,794"
03/23/2023,"..49.85","..50.99","..49.12","..50.99","2,992,447"
03/22/2023,"..49.50","..50.50","..48.88","..49.85","3,849,649"
03/21/2023,"..48.50","..50.90","..49.26","..49.50","6,712,697"
03/20/2023,"..48.00","..50.05","..47.80","..48.50","4,132,851"
03/16/2023,"..48.50","..51.00","..48.00","..48.00","7,372,955"
03/15/2023,"..49.00","..51.24","..47.99","..48.50","9,397,878"
03/14/2023,"..50.00","..50.60","..49.00","..49.00","4,918,377"
03/13/2023,"..52.05","..52.80","..50.00","..50.00","10,033,520"
03/09/2023,"..52.99","..54.15","..52.51","..53.02","8,692,324"
03/08/2023,"..52.00","..53.25","..52.00","..52.99","6,201,148"
03/07/2023,"..53.20","..53.65","..51.92","..52.00","7,872,931"
03/06/2023,"..52.66","..54.50","..52.70","..53.20","5,233,404"
03/02/2023,"..54.15","..54.69","..52.79","..52.83","10,543,060"
03/01/2023,"..53.11","..54.20","..53.05","..54.15","4,847,747"
02/28/2023,"..54.39","..54.90","..53.11","..53.11","7,951,115"
02/27/2023,"..55.50","..55.99","..54.38","..54.39","4,688,042"
02/23/2023,"..53.25","..54.79","..52.91","..54.79","4,333,861"
02/22/2023,"..53.94","..54.47","..52.70","..53.25","3,006,644"
02/21/2023,"..53.20","..54.18","..52.50","..53.94","5,218,307"
02/20/2023,"..55.18","..55.80","..52.65","..53.20","6,227,053"
02/16/2023,"..55.90","..56.96","..55.06","..55.06","5,748,664"
02/15/2023,"..56.29","..57.30","..55.50","..55.90","7,018,420"
