Date,Open,High,Low,Close,Volume
09/21/2023,"..27.30","..27.70","..27.09","..27.49","101,406"
09/20/2023,"..27.35","..27.60","..27.30","..27.30","41,469"
09/19/2023,"..27.37","..27.50","..27.30","..27.35","26,152"
09/18/2023,"..27.50","..27.50","..27.26","..27.37","15,447"
09/14/2023,"..27.22","..27.25","..27.04","..27.06","50,391"
09/13/2023,"..27.22","..27.34","..27.02","..27.22","9,451"
09/12/2023,"..27.28","..27.39","..27.10","..27.22","17,857"
09/11/2023,"..27.21","..27.50","..26.85","..27.28","41,380"
09/07/2023,"..26.23","..26.60","..26.25","..26.52","60,410"
09/06/2023,"..26.29","..26.34","..26.20","..26.23","19,284"
09/05/2023,"..26.39","..26.50","..26.25","..26.29","23,975"
09/04/2023,"..26.39","..26.55","..26.20","..26.39","10,040"
08/31/2023,"..26.27","..26.60","..26.00","..26.40","26,136"
08/30/2023,"..26.40","..26.60","..26.12","..26.27","20,926"
08/29/2023,"..26.23","..26.92","..26.17","..26.40","45,247"
08/28/2023,"..26.16","..26.26","..26.08","..26.23","30,188"
08/24/2023,"..25.74","..26.15","..25.42","..25.89","69,638"
08/23/2023,"..25.80","..25.85","..25.60","..25.74","19,151"
08/22/2023,"..25.75","..25.90","..25.67","..25.80","12,062"
08/21/2023,"..25.75","..25.97","..25.62","..25.75","9,067"
08/17/2023,"..25.62","..25.77","..25.48","..25.52","25,426"
08/16/2023,"..25.69","..25.77","..25.55","..25.62","54,173"
08/15/2023,"..25.68","..25.70","..25.59","..25.69","25,245"
08/14/2023,"..25.59","..25.75","..25.55","..25.68","40,424"
08/10/2023,"..25.51","..25.65","..25.35","..25.57","20,404"
08/09/2023,"..25.29","..25.55","..25.30","..25.51","40,136"
08/08/2023,"..25.58","..25.80","..25.10","..25.29","73,402"
08/07/2023,"..25.34","..25.88","..25.50","..25.58","134,234"
08/03/2023,"..25.52","..25.56","..25.26","..25.48","32,261"
08/02/2023,"..25.61","..25.78","..25.46","..25.52","20,154"
08/01/2023,"..25.65","..25.73","..25.50","..25.61","40,493"
07/31/2023,"..25.50","..25.70","..25.51","..25.65","18,951"
07/27/2023,"..25.47","..25.60","..25.40","..25.47","4,488"
07/26/2023,"..25.52","..25.63","..25.41","..25.47","13,489"
07/25/2023,"..25.69","..25.83","..25.44","..25.52","51,558"
07/24/2023,"..25.69","..25.90","..25.55","..25.69","11,318"
07/19/2023,"..25.59","..25.80","..25.58","..25.69","16,405"
07/18/2023,"..25.63","..25.79","..25.55","..25.59","16,702"
07/17/2023,"..25.73","..25.81","..25.55","..25.63","37,464"
07/13/2023,"..25.73","..25.83","..25.61","..25.73","11,499"
07/12/2023,"..25.73","..25.90","..25.64","..25.73","8,782"
07/11/2023,"..25.73","..26.00","..25.60","..25.73","11,482"
07/10/2023,"..25.86","..25.88","..25.07","..25.73","16,450"
07/06/2023,"..26.31","..26.35","..26.01","..26.11","22,578"
07/05/2023,"..26.19","..26.50","..26.26","..26.31","15,753"
07/04/2023,"..26.19","..26.87","..26.40","..26.19","7,350"
06/26/2023,"..26.38","..26.50","..26.00","..26.19","50,127"
06/22/2023,"..26.73","..26.88","..26.40","..26.43","950,841"
06/21/2023,"..26.71","..26.87","..26.66","..26.73","36,795"
06/20/2023,"..26.82","..26.95","..26.70","..26.71","31,180"
06/19/2023,"..26.82","..27.00","..26.80","..26.82","33,349"
06/15/2023,"..27.00","..27.01","..26.90","..26.92","24,133"
06/14/2023,"..27.01","..27.19","..26.97","..27.00","88,930"
06/13/2023,"..27.00","..27.13","..26.95","..27.01","144,056"
06/12/2023,"..27.00","..27.15","..26.95","..27.00","33,817"
06/08/2023,"..27.00","..27.09","..26.93","..27.00","112,927"
06/07/2023,"..26.98","..27.15","..26.93","..27.00","70,940"
06/06/2023,"..27.00","..27.20","..26.92","..26.98","16,385"
06/05/2023,"..27.07","..27.19","..26.99","..27.00","79,576"
06/01/2023,"..27.12","..27.27","..26.97","..27.01","104,478"
05/31/2023,"..27.32","..27.32","..27.10","..27.12","61,995"
05/30/2023,"..26.98","..27.35","..27.00","..27.32","38,000"
05/29/2023,"..26.91","..27.35","..26.81","..26.98","31,404"
05/25/2023,"..26.87","..27.07","..26.90","..26.92","33,179"
05/24/2023,"..26.87","..27.00","..26.80","..26.87","29,720"
05/23/2023,"..27.04","..27.20","..26.79","..26.87","32,822"
05/22/2023,"..27.13","..27.45","..26.90","..27.04","55,966"
05/18/2023,"..26.93","..27.00","..26.70","..26.80","21,089"
05/17/2023,"..27.14","..27.27","..26.88","..26.93","35,262"
05/16/2023,"..27.49","..27.70","..26.80","..27.14","59,033"
05/15/2023,"..27.80","..28.09","..27.41","..27.49","64,443"
05/11/2023,"..27.78","..28.38","..27.73","..28.00","48,119"
05/10/2023,"..28.17","..28.37","..27.70","..27.78","47,972"
05/09/2023,"..27.92","..28.49","..27.85","..28.17","78,543"
05/08/2023,"..27.50","..28.46","..27.63","..27.92","50,173"
05/03/2023,"..27.17","..27.50","..27.34","..27.48","72,602"
05/02/2023,"..27.72","..27.70","..27.02","..27.17","107,684"
05/01/2023,"..28.63","..28.87","..27.59","..27.72","141,229"
04/27/2023,"..28.45","..30.00","..28.50","..29.84","213,325"
04/26/2023,"..28.14","..28.55","..28.14","..28.45","63,782"
04/19/2023,"..28.00","..28.45","..27.75","..28.14","103,045"
04/18/2023,"..27.00","..28.00","..27.02","..28.00","254,875"
04/13/2023,"..26.13","..27.49","..26.10","..27.00","143,993"
04/12/2023,"..25.77","..26.22","..25.72","..26.13","63,164"
04/11/2023,"..25.26","..26.11","..25.25","..25.77","63,204"
04/10/2023,"..25.06","..25.39","..25.08","..25.26","63,321"
04/06/2023,"..26.58","..26.84","..25.80","..25.91","124,075"
04/05/2023,"..26.84","..26.96","..26.50","..26.58","76,543"
04/04/2023,"..28.39","..26.90","..26.39","..26.84","108,081"
04/03/2023,"..28.52","..28.95","..28.19","..28.39","188,464"
03/30/2023,"..27.79","..28.50","..27.25","..27.95","47,108"
03/29/2023,"..26.90","..28.00","..26.55","..27.79","106,017"
03/28/2023,"..27.43","..27.45","..26.80","..26.90","96,224"
03/27/2023,"..26.97","..27.49","..26.80","..27.43","46,620"
03/23/2023,"..25.34","..25.99","..25.31","..25.73","54,842"
03/22/2023,"..25.51","..25.79","..25.26","..25.34","62,019"
03/21/2023,"..25.05","..25.86","..25.16","..25.51","49,614"
03/20/2023,"..24.40","..25.21","..24.56","..25.05","136,517"
03/16/2023,"..23.74","..24.29","..22.50","..24.00","60,586"
03/15/2023,"..24.50","..25.70","..21.00","..23.74","175,601"
03/14/2023,"..25.01","..25.00","..24.07","..24.50","180,441"
03/13/2023,"..26.00","..26.82","..24.95","..25.01","78,983"
03/09/2023,"..27.94","..28.30","..27.41","..27.50","137,739"
03/08/2023,"..28.46","..28.48","..27.81","..27.94","70,966"
03/07/2023,"..28.60","..29.45","..28.23","..28.46","49,707"
03/06/2023,"..28.02","..28.65","..28.02","..28.60","42,193"
03/02/2023,"..27.98","..28.23","..27.91","..28.00","21,225"
03/01/2023,"..28.01","..28.50","..27.75","..27.98","33,723"
02/28/2023,"..28.05","..28.10","..27.53","..28.01","32,823"
02/27/2023,"..28.02","..28.09","..27.84","..28.05","76,403"
02/23/2023,"..28.21","..28.50","..27.80","..28.45","40,910"
02/22/2023,"..28.37","..28.72","..28.15","..28.21","14,783"
02/21/2023,"..28.04","..28.55","..27.95","..28.37","14,674"
02/20/2023,"..28.54","..28.70","..28.00","..28.04","43,843"
02/16/2023,"..29.67","..29.90","..28.71","..28.91","57,936"
02/15/2023,"..27.05","..32.00","..27.02","..29.67","239,541"
02/14/2023,"..26.54","..27.27","..26.25","..27.05","61,786"
02/13/2023,"..26.36","..26.60","..26.30","..26.54","67,474"
02/09/2023,"..26.26","..26.69","..26.26","..26.52","36,458"
02/08/2023,"..26.24","..26.69","..26.04","..26.26","49,000"
02/07/2023,"..26.02","..26.60","..26.06","..26.24","21,010"
02/06/2023,"..25.47","..26.49","..25.71","..26.02","32,129"
02/02/2023,"..27.24","..27.35","..26.55","..26.77","38,494"
02/01/2023,"..27.33","..27.50","..26.61","..27.24","30,070"
01/31/2023,"..27.34","..27.70","..27.21","..27.33","78,394"
01/30/2023,"..27.76","..27.95","..27.30","..27.34","66,026"
01/25/2023,"..26.37","..26.70","..26.32","..26.60","100,428"
01/24/2023,"..26.37","..26.60","..26.25","..26.37","35,408"
01/23/2023,"..26.10","..26.77","..25.91","..26.37","43,118"
01/19/2023,"..26.71","..26.86","..26.53","..26.70","62,425"
01/18/2023,"..26.76","..26.88","..26.70","..26.71","44,470"
01/17/2023,"..26.91","..26.97","..26.70","..26.76","40,201"
01/16/2023,"..26.97","..27.00","..26.71","..26.91","66,946"
01/12/2023,"..26.96","..27.30","..26.70","..26.93","120,597"
01/11/2023,"..26.16","..27.24","..25.80","..26.96","283,935"
01/10/2023,"..26.75","..26.94","..25.90","..26.16","133,728"
01/09/2023,"..27.02","..27.30","..26.51","..26.75","102,606"
01/05/2023,"..26.88","..27.43","..26.40","..27.02","167,066"
01/04/2023,"..26.53","..27.40","..22.10","..26.88","324,437"
01/03/2023,"..25.98","..26.60","..25.81","..26.53","64,584"
01/02/2023,"..25.50","..26.10","..25.50","..25.98","67,306"
12/29/2022,"..25.11","..25.52","..25.10","..25.50","125,799"
12/28/2022,"..24.12","..25.50","..24.00","..25.11","152,032"
12/27/2022,"..23.43","..24.40","..23.40","..24.12","140,130"
12/26/2022,"..23.44","..23.70","..23.33","..23.43","66,314"
12/22/2022,"..23.00","..24.84","..23.00","..23.68","141,254"
12/21/2022,"..24.06","..24.05","..22.27","..23.00","219,566"
12/20/2022,"..24.91","..24.98","..24.00","..24.06","236,760"
12/19/2022,"..25.92","..26.18","..24.30","..24.91","156,473"
12/15/2022,"..27.35","..27.83","..26.71","..27.24","240,470"
12/14/2022,"..26.20","..27.89","..26.58","..27.35","168,052"
12/13/2022,"..23.46","..26.86","..23.51","..26.20","236,784"
12/12/2022,"..23.20","..23.63","..23.01","..23.46","106,396"
12/08/2022,"..22.80","..23.25","..22.62","..22.88","176,988"
12/07/2022,"..22.07","..23.23","..22.10","..22.80","146,812"
12/06/2022,"..22.41","..22.60","..21.61","..22.07","121,569"
12/05/2022,"..21.76","..22.50","..22.00","..22.41","241,622"
12/01/2022,"..18.36","..19.60","..18.41","..19.52","139,605"
11/30/2022,"..18.20","..18.65","..18.15","..18.36","141,800"
11/29/2022,"..17.71","..18.39","..17.85","..18.20","221,283"
11/28/2022,"..17.47","..17.80","..17.42","..17.71","78,047"
11/24/2022,"..17.47","..17.54","..17.35","..17.42","36,985"
11/23/2022,"..17.29","..17.58","..17.20","..17.47","107,865"
11/22/2022,"..17.40","..17.45","..17.27","..17.29","80,314"
11/21/2022,"..17.37","..17.46","..17.21","..17.40","33,233"
11/17/2022,"..16.73","..17.04","..16.77","..16.97","150,119"
11/16/2022,"..16.23","..16.98","..16.20","..16.73","138,738"
11/15/2022,"..16.00","..16.37","..15.87","..16.23","65,413"
11/14/2022,"..16.02","..16.09","..15.75","..16.00","25,293"
11/10/2022,"..15.24","..15.48","..15.13","..15.40","50,382"
11/09/2022,"..15.31","..15.32","..15.11","..15.24","66,013"
11/08/2022,"..15.24","..15.38","..15.23","..15.31","28,543"
11/07/2022,"..15.29","..15.38","..15.18","..15.24","37,620"
11/03/2022,"..15.17","..15.26","..15.11","..15.23","52,760"
11/02/2022,"..15.27","..15.33","..15.12","..15.17","32,357"
11/01/2022,"..15.15","..15.45","..15.03","..15.27","99,483"
10/31/2022,"..15.42","..15.70","..15.00","..15.15","130,131"
10/27/2022,"..14.50","..15.50","..14.70","..15.10","206,778"
10/26/2022,"..14.50","..14.80","..14.50","..14.50","20,498"
10/25/2022,"..14.50","..14.65","..14.52","..14.50","13,485"
10/24/2022,"..14.49","..14.90","..14.50","..14.50","32,335"
10/20/2022,"..14.45","..14.49","..14.41","..14.49","24,691"
10/19/2022,"..14.45","..14.49","..14.33","..14.45","19,319"
10/18/2022,"..14.25","..14.55","..14.18","..14.45","55,521"
10/17/2022,"..14.32","..14.32","..14.22","..14.25","39,633"
10/13/2022,"..14.28","..14.44","..14.10","..14.28","57,110"
10/12/2022,"..14.38","..14.26","..14.10","..14.16","53,500"
10/11/2022,"..14.38","..14.40","..14.17","..14.38","18,271"
10/10/2022,"..14.09","..14.40","..14.09","..14.38","147,102"
10/05/2022,"..13.88","..13.99","..13.79","..13.90","44,604"
10/04/2022,"..13.74","..13.90","..13.76","..13.88","27,944"
10/03/2022,"..13.74","..13.85","..13.73","..13.74","16,890"
09/29/2022,"..13.75","..13.80","..13.73","..13.80","49,911"
09/28/2022,"..13.74","..13.81","..13.73","..13.75","42,261"
09/27/2022,"..13.80","..13.86","..13.73","..13.74","86,849"
09/26/2022,"..13.80","..13.82","..13.77","..13.80","53,493"
09/22/2022,"..13.87","..13.85","..13.76","..13.82","57,438"
