Date,Open,High,Low,Close,Volume
09/21/2023,"1.00","1.00","1.00","1.00","128,051"
09/20/2023,"1.00","1.00","1.00","1.00","199,480"
09/19/2023,"1.00","1.00","1.00","1.00","72,111"
09/18/2023,"1.00","1.00","1.00","1.00","12,928"
09/14/2023,"1.00","1.00","1.00","1.00","41,995"
09/13/2023,"1.00","1.00","1.00","1.00","17,467"
09/12/2023,"1.00","1.00","1.00","1.00","13,191"
09/11/2023,"1.00","1.00","1.00","1.00","30,449"
09/07/2023,"1.00","1.00","1.00","1.00","68,971"
09/06/2023,"1.00","1.00","1.00","1.00","36,750"
09/05/2023,"1.00","1.00","1.00","1.00","23,485"
09/04/2023,"1.00","1.00","1.00","1.00","2,005"
08/31/2023,"1.00","1.00","1.00","1.00","16,610"
08/30/2023,"1.00","1.00","0.99","1.00","39,690"
08/29/2023,"1.00","1.00","0.99","1.00","49,101"
08/28/2023,"0.99","1.00","1.00","1.00","27,510"
08/24/2023,"1.00","1.00","1.00","1.00","33,124"
08/23/2023,"1.00","1.00","1.00","1.00","64,529"
08/22/2023,"1.00","1.00","1.00","1.00","6,772"
08/21/2023,"1.00","1.00","0.99","1.00","13,067"
08/17/2023,"1.00","1.00","1.00","1.00","46,996"
08/16/2023,"1.00","1.00","1.00","1.00","12,515"
08/15/2023,"1.00","1.00","1.00","1.00","10,408"
08/14/2023,"1.00","1.00","1.00","1.00","31,016"
08/10/2023,"0.99","1.00","0.99","1.00","13,612"
08/09/2023,"0.99","1.00","0.99","0.99","5,000"
08/08/2023,"1.00","1.00","0.99","0.99","59,941"
08/07/2023,"0.99","1.00","1.00","1.00","18,566"
08/03/2023,"0.99","1.00","0.99","0.99","63,218"
08/02/2023,"1.01","1.00","0.99","0.99","37,555"
08/01/2023,"0.99","1.01","1.00","1.01","95,271"
07/31/2023,"0.99","0.99","0.99","0.99","450"
07/27/2023,"1.00","1.01","1.00","1.00","56,011"
07/26/2023,"1.01","1.00","1.00","1.00","11,381"
07/25/2023,"1.00","1.01","1.00","1.01","12,896"
07/24/2023,"1.00","1.01","0.99","1.00","11,680"
07/19/2023,"0.99","1.00","1.00","1.00","39,878"
07/18/2023,"0.99","1.00","0.99","0.99","5,610"
07/17/2023,"0.99","1.04","0.99","0.99","266,603"
07/13/2023,"0.98","1.01","0.98","0.99","118,788"
07/12/2023,"0.99","0.99","0.98","0.98","93,930"
07/11/2023,"0.98","0.99","0.99","0.99","49,495"
07/10/2023,"0.98","1.00","0.99","0.98","8,307"
07/06/2023,"1.00","1.00","0.99","0.99","130,407"
07/05/2023,"1.01","1.01","1.00","1.00","157,125"
07/04/2023,"1.01","1.02","1.01","1.01","30,875"
06/26/2023,"1.01","1.02","1.01","1.01","122,086"
06/22/2023,"1.01","1.02","1.01","1.01","51,892"
06/21/2023,"1.01","1.02","1.01","1.01","58,198"
06/20/2023,"1.01","1.02","1.01","1.01","37,505"
06/19/2023,"1.02","1.02","1.01","1.01","23,608"
06/15/2023,"1.01","1.02","1.01","1.01","72,501"
06/14/2023,"1.02","1.02","1.01","1.01","85,756"
06/13/2023,"1.02","1.02","1.02","1.02","9,220"
06/12/2023,"1.02","1.02","1.02","1.02","1,080"
06/08/2023,"1.02","1.03","1.02","1.02","6,335"
06/07/2023,"1.02","1.03","1.02","1.02","4,204"
06/06/2023,"1.02","1.03","1.02","1.02","1,553"
06/05/2023,"1.02","1.03","1.02","1.02","3,778"
06/01/2023,"1.03","1.04","1.00","1.03","953,905"
05/31/2023,"1.03","1.04","1.03","1.03","78,216"
05/30/2023,"1.03","1.04","1.03","1.03","62,761"
05/29/2023,"1.03","1.04","1.03","1.03","53,750"
05/25/2023,"1.04","1.05","1.03","1.03","96,187"
05/24/2023,"1.04","1.05","1.04","1.04","12,209"
05/23/2023,"1.05","1.05","1.04","1.04","53,094"
05/22/2023,"1.04","1.05","1.04","1.05","46,272"
05/18/2023,"1.04","1.04","1.02","1.03","16,353"
05/17/2023,"1.03","1.04","1.03","1.04","44,203"
05/16/2023,"1.03","1.03","1.02","1.03","16,823"
05/15/2023,"1.01","1.04","1.03","1.03","14,530"
05/11/2023,"1.06","1.07","1.05","1.05","201,887"
05/10/2023,"1.07","1.07","1.06","1.06","15,968"
05/09/2023,"1.07","1.09","1.06","1.07","64,697"
05/08/2023,"1.07","1.08","1.06","1.07","38,058"
05/03/2023,"1.08","1.09","1.08","1.08","140,866"
05/02/2023,"1.07","1.08","1.07","1.08","32,367"
05/01/2023,"1.08","1.08","1.07","1.07","48,359"
04/27/2023,"1.06","1.08","1.06","1.07","90,078"
04/26/2023,"1.03","1.08","1.04","1.06","166,070"
04/19/2023,"1.04","1.05","1.03","1.03","58,593"
04/18/2023,"1.03","1.04","1.03","1.04","15,150"
04/13/2023,"1.00","1.03","1.01","1.03","107,691"
04/12/2023,"1.00","1.01","1.01","1.00","6,469"
04/11/2023,"1.01","1.02","1.00","1.00","38,443"
04/10/2023,"1.02","1.03","1.00","1.01","86,249"
04/06/2023,"1.03","1.04","1.01","1.03","46,707"
04/05/2023,"1.01","1.06","1.01","1.03","58,056"
04/04/2023,"1.09","1.02","0.99","1.01","101,255"
04/03/2023,"1.10","1.10","1.09","1.09","76,260"
03/30/2023,"1.09","1.09","1.09","1.09","8,095"
03/29/2023,"1.09","1.09","1.09","1.09","15,354"
03/28/2023,"1.09","1.09","1.08","1.09","73,481"
03/27/2023,"1.09","1.09","1.08","1.09","32,707"
03/23/2023,"1.07","1.09","1.07","1.08","102,965"
03/22/2023,"1.09","1.09","1.07","1.07","79,855"
03/21/2023,"1.10","1.10","1.08","1.09","22,371"
03/20/2023,"1.08","1.10","1.07","1.10","123,701"
03/16/2023,"1.06","1.13","1.03","1.10","234,928"
03/15/2023,"1.08","1.10","1.04","1.06","117,393"
03/14/2023,"1.07","1.09","1.03","1.08","43,998"
03/13/2023,"1.11","1.12","1.06","1.07","179,760"
03/09/2023,"1.11","1.11","1.10","1.11","16,602"
03/08/2023,"1.13","1.13","1.07","1.11","74,230"
03/07/2023,"1.13","1.14","1.12","1.13","113,469"
03/06/2023,"1.14","1.14","1.13","1.13","88,481"
03/02/2023,"1.14","1.14","1.14","1.14","73,166"
03/01/2023,"1.14","1.14","1.14","1.14","75,673"
02/28/2023,"1.14","1.14","1.14","1.14","92,455"
02/27/2023,"1.14","1.15","1.14","1.14","43,080"
02/23/2023,"1.14","1.14","1.14","1.14","20,037"
02/22/2023,"1.14","1.14","1.14","1.14","21,898"
02/21/2023,"1.14","1.15","1.14","1.14","52,667"
02/20/2023,"1.14","1.15","1.14","1.14","19,631"
02/16/2023,"1.14","1.14","1.14","1.14","20,722"
02/15/2023,"1.14","1.14","1.14","1.14","42,700"
02/14/2023,"1.14","1.14","1.14","1.14","16,566"
02/13/2023,"1.13","1.14","1.13","1.14","9,546"
02/09/2023,"1.14","1.14","1.13","1.14","21,148"
02/08/2023,"1.14","1.14","1.14","1.14","38,154"
02/07/2023,"1.14","1.14","1.14","1.14","25,266"
02/06/2023,"1.14","1.14","1.14","1.14","36,701"
02/02/2023,"1.13","1.13","1.13","1.13","26,623"
02/01/2023,"1.13","1.13","1.13","1.13","22,207"
01/31/2023,"1.13","1.13","1.13","1.13","9,365"
01/30/2023,"1.13","1.14","1.13","1.13","23,668"
01/25/2023,"1.13","1.13","1.13","1.13","35,187"
01/24/2023,"1.13","1.14","1.13","1.13","65,907"
01/23/2023,"1.13","1.14","1.13","1.13","63,307"
01/19/2023,"1.11","1.11","1.10","1.11","47,993"
01/18/2023,"1.11","1.11","1.10","1.11","25,070"
01/17/2023,"1.11","1.12","1.10","1.11","36,835"
01/16/2023,"1.11","1.11","1.10","1.11","21,859"
01/12/2023,"1.09","1.11","1.09","1.11","124,299"
01/11/2023,"1.10","1.10","1.08","1.09","88,273"
01/10/2023,"1.10","1.11","1.10","1.10","101,325"
01/09/2023,"1.11","1.11","1.09","1.10","18,302"
01/05/2023,"1.11","1.11","1.07","1.11","303,945"
01/04/2023,"1.10","1.11","1.09","1.11","176,925"
01/03/2023,"1.08","1.10","1.09","1.10","183,362"
01/02/2023,"1.07","1.09","1.07","1.08","79,425"
12/29/2022,"1.06","1.07","1.06","1.07","57,853"
12/28/2022,"1.06","1.07","1.06","1.06","10,494"
12/27/2022,"1.06","1.07","1.06","1.06","20,793"
12/26/2022,"1.06","1.06","1.06","1.06","24,071"
12/22/2022,"1.07","1.07","1.06","1.07","35,824"
12/21/2022,"1.07","1.07","1.06","1.07","16,444"
12/20/2022,"1.07","1.07","1.06","1.07","5,250"
12/19/2022,"1.07","1.07","1.06","1.07","68,783"
12/15/2022,"1.06","1.07","1.06","1.07","31,437"
12/14/2022,"1.06","1.07","1.06","1.06","6,594"
12/13/2022,"1.06","1.07","1.06","1.06","16,908"
12/12/2022,"1.07","1.07","1.05","1.06","35,739"
12/08/2022,"1.07","1.07","1.06","1.07","3,537"
12/07/2022,"1.08","1.08","1.05","1.07","45,810"
12/06/2022,"1.08","1.09","1.06","1.08","72,679"
12/05/2022,"1.06","1.09","1.06","1.08","118,774"
12/01/2022,"1.03","1.04","1.02","1.04","26,448"
11/30/2022,"1.02","1.03","1.02","1.03","38,353"
11/29/2022,"1.01","1.03","1.01","1.02","131,834"
11/28/2022,"1.01","1.01","1.00","1.01","48,123"
11/24/2022,"1.00","1.00","1.00","1.00","40,397"
11/23/2022,"1.00","1.00","1.00","1.00","84,143"
11/22/2022,"1.00","1.00","0.99","1.00","48,851"
11/21/2022,"1.00","1.00","0.99","1.00","37,086"
11/17/2022,"1.00","1.00","0.99","0.99","22,477"
11/16/2022,"0.99","1.00","0.99","1.00","56,866"
11/15/2022,"0.99","0.99","0.98","0.99","88,202"
11/14/2022,"0.98","0.99","0.98","0.99","138,639"
11/10/2022,"0.95","0.97","0.95","0.97","30,333"
11/09/2022,"0.94","0.95","0.94","0.95","37,066"
11/08/2022,"0.94","0.95","0.94","0.94","83,065"
11/07/2022,"0.92","0.94","0.92","0.94","26,579"
11/03/2022,"0.94","0.94","0.90","0.90","486,233"
11/02/2022,"0.94","0.94","0.93","0.94","40,900"
11/01/2022,"0.95","0.97","0.93","0.94","57,953"
10/31/2022,"0.99","1.00","0.90","0.95","439,660"
10/27/2022,"1.00","1.00","1.00","1.00","153,079"
10/26/2022,"1.00","1.00","1.00","1.00","5,000"
10/25/2022,"1.00","1.00","1.00","1.00","16,460"
10/24/2022,"1.00","1.00","1.00","1.00","54,600"
10/20/2022,"1.00","1.00","1.00","1.00","18,665"
10/19/2022,"1.00","1.00","1.00","1.00","37,561"
10/18/2022,"1.00","1.00","1.00","1.00","25,195"
10/17/2022,"1.00","1.00","1.00","1.00","12,005"
10/13/2022,"1.00","1.00","1.00","1.00","22,531"
10/12/2022,"1.00","1.00","1.00","1.00","20,078"
10/11/2022,"1.00","1.00","1.00","1.00","23,143"
10/10/2022,"1.00","1.00","0.99","1.00","4,065"
10/05/2022,"1.00","1.00","1.00","1.00","11,120"
10/04/2022,"0.99","1.00","1.00","1.00","38,175"
10/03/2022,"0.99","0.99","0.99","0.99","4,143"
09/29/2022,"0.99","0.99","0.99","0.99","29,494"
09/28/2022,"1.00","1.00","0.99","0.99","22,757"
