Date,Open,High,Low,Close,Volume
09/21/2023,"..2.17","..2.19","..2.04","..2.06","610,181"
09/20/2023,"..2.19","..2.19","..2.10","..2.20","54,627"
09/19/2023,"..2.11","..2.20","..2.11","..2.20","18,305"
09/18/2023,"..2.17","..2.20","..2.09","..2.20","284,905"
09/14/2023,"..2.13","..2.13","..2.10","..2.13","27,441"
09/13/2023,"..2.18","..2.18","..2.10","..2.13","138,950"
09/12/2023,"..2.12","..2.21","..2.10","..2.18","286,830"
09/11/2023,"..2.13","..2.21","..2.08","..2.13","322,150"
09/07/2023,"..2.18","..2.29","..2.00","..2.07","141,939"
09/06/2023,"..2.10","..2.25","..2.05","..2.18","146,822"
09/05/2023,"..2.21","..2.21","..2.07","..2.11","452,466"
09/04/2023,"..2.30","..2.44","..2.14","..2.30","1,168,235"
08/31/2023,"..2.23","..2.28","..2.13","..2.20","161,531"
08/30/2023,"..2.29","..2.29","..2.05","..2.20","403,229"
08/29/2023,"..2.20","..2.30","..2.17","..2.22","23,361"
08/28/2023,"..2.30","..2.32","..2.15","..2.22","157,934"
08/24/2023,"..2.34","..2.39","..2.23","..2.31","178,572"
08/23/2023,"..2.24","..2.50","..2.24","..2.31","1,187,918"
08/22/2023,"..2.35","..2.35","..2.22","..2.29","217,392"
08/21/2023,"..2.30","..2.35","..2.20","..2.35","976,380"
08/17/2023,"..2.02","..2.23","..2.01","..2.22","515,573"
08/16/2023,"..2.00","..2.10","..2.00","..2.03","203,272"
08/15/2023,"..1.95","..2.09","..1.95","..1.95","38,592"
08/14/2023,"..1.95","..2.00","..1.94","..1.95","81,058"
08/10/2023,"..2.02","..2.04","..1.93","..1.95","124,024"
08/09/2023,"..2.00","..2.03","..1.92","..1.94","157,446"
08/08/2023,"..2.06","..2.06","..1.95","..1.98","351,634"
08/07/2023,"..2.17","..2.23","..2.06","..2.07","152,949"
08/03/2023,"..2.00","..2.00","..1.95","..1.98","11,300"
08/02/2023,"..2.00","..2.00","..1.96","..1.98","123,280"
08/01/2023,"..2.00","..2.01","..1.98","..1.99","107,230"
07/31/2023,"..1.98","..2.07","..1.98","..1.98","63,244"
07/27/2023,"..1.98","..2.17","..1.98","..1.98","36,216"
07/26/2023,"..2.00","..2.00","..1.91","..1.98","181,379"
07/25/2023,"..2.00","..2.08","..1.90","..2.02","222,219"
07/24/2023,"..2.02","..2.09","..1.99","..1.99","24,355"
07/19/2023,"..2.04","..2.09","..1.84","..1.99","12,102"
07/18/2023,"..2.01","..2.05","..1.97","..1.99","94,335"
07/17/2023,"..2.00","..2.16","..1.99","..2.00","1,025,395"
07/13/2023,"..2.06","..2.19","..1.94","..2.12","346,103"
07/12/2023,"..1.94","..2.05","..1.93","..1.99","617,855"
07/11/2023,"..2.00","..2.00","..1.78","..1.94","235,220"
07/10/2023,"..1.98","..1.98","..1.91","..1.98","1,003,056"
07/06/2023,"..1.72","..1.77","..1.65","..1.64","32,191"
07/05/2023,"..1.70","..1.75","..1.70","..1.64","63,220"
07/04/2023,"..1.77","..1.77","..1.60","..1.64","50,695"
06/22/2023,"..1.83","..1.85","..1.74","..1.74","495,990"
06/21/2023,"..1.80","..1.94","..1.80","..1.94","75,808"
06/20/2023,"..1.80","..1.94","..1.76","..1.94","80,142"
06/19/2023,"..1.93","..1.94","..1.83","..1.94","61,989"
06/15/2023,"..1.85","..1.98","..1.83","..1.94","78,751"
06/14/2023,"..1.85","..1.99","..1.81","..1.92","76,332"
06/13/2023,"..2.05","..2.05","..1.90","..1.92","118,280"
06/12/2023,"..2.00","..2.07","..2.00","..1.98","50,102"
06/08/2023,"..2.00","..2.05","..1.88","..1.99","74,595"
06/07/2023,"..1.89","..2.05","..1.79","..1.99","534,373"
06/06/2023,"..1.75","..1.90","..1.72","..1.90","190,200"
06/05/2023,"..1.85","..1.89","..1.71","..1.82","99,892"
06/01/2023,"..1.74","..1.84","..1.70","..1.72","139,062"
05/31/2023,"..1.71","..1.75","..1.71","..1.74","207,612"
05/30/2023,"..1.65","..1.72","..1.65","..1.71","211,800"
05/29/2023,"..1.71","..1.76","..1.63","..1.65","12,170"
05/25/2023,"..1.73","..1.85","..1.66","..1.69","156,921"
05/24/2023,"..1.63","..1.74","..1.63","..1.73","363,865"
05/23/2023,"..1.60","..1.69","..1.55","..1.61","188,049"
05/22/2023,"..1.72","..1.73","..1.67","..1.72","64,051"
05/18/2023,"..1.60","..1.70","..1.51","..1.61","124,461"
05/17/2023,"..1.64","..1.69","..1.60","..1.61","154,432"
05/16/2023,"..1.69","..1.69","..1.65","..1.64","54,001"
05/15/2023,"..1.65","..1.71","..1.61","..1.64","40,861"
05/11/2023,"..1.67","..1.67","..1.66","..1.67","35,550"
05/10/2023,"..1.72","..1.73","..1.60","..1.67","234,863"
05/09/2023,"..1.71","..1.75","..1.66","..1.70","177,324"
05/08/2023,"..1.66","..1.79","..1.65","..1.72","393,793"
05/03/2023,"..1.59","..1.65","..1.45","..1.62","386,809"
05/02/2023,"..1.68","..1.74","..1.60","..1.61","323,741"
05/01/2023,"..1.65","..1.70","..1.59","..1.61","377,264"
04/27/2023,"..1.64","..1.66","..1.53","..1.64","383,266"
04/26/2023,"..1.53","..1.68","..1.53","..1.60","167,168"
04/19/2023,"..1.55","..1.55","..1.48","..1.53","141,796"
04/18/2023,"..1.48","..1.52","..1.48","..1.52","95,105"
04/13/2023,"..1.42","..1.58","..1.42","..1.52","113,256"
04/12/2023,"..1.50","..1.60","..1.47","..1.51","323,124"
04/11/2023,"..1.46","..1.57","..1.45","..1.51","280,954"
04/10/2023,"..1.42","..1.46","..1.32","..1.43","478,481"
04/06/2023,"..1.40","..1.45","..1.38","..1.40","682,831"
04/05/2023,"..1.40","..1.45","..1.38","..1.39","291,348"
04/04/2023,"..1.30","..1.39","..1.28","..1.39","137,915"
04/03/2023,"..1.24","..1.37","..1.24","..1.32","61,841"
03/30/2023,"..1.35","..1.36","..1.31","..1.33","31,885"
03/29/2023,"..1.21","..1.34","..1.21","..1.33","228,655"
03/28/2023,"..1.24","..1.31","..1.24","..1.27","46,000"
03/27/2023,"..1.36","..1.36","..1.23","..1.27","210,909"
03/23/2023,"..1.31","..1.38","..1.27","..1.29","144,457"
03/22/2023,"..1.30","..1.40","..1.29","..1.30","212,769"
03/21/2023,"..1.22","..1.34","..1.20","..1.34","1,244,306"
03/20/2023,"..1.17","..1.25","..1.15","..1.22","161,246"
03/16/2023,"..1.16","..1.20","..1.14","..1.17","136,851"
03/15/2023,"..1.27","..1.27","..1.13","..1.16","210,100"
