Date,Open,High,Low,Close,Volume
09/21/2023,"..1.90","..1.91","..1.85","..1.91","50,393"
09/20/2023,"..1.98","..1.98","..1.85","..1.91","134,975"
09/19/2023,"..2.00","..2.00","..1.93","..1.98","166,710"
09/18/2023,"..2.02","..2.06","..1.97","..2.00","321,145"
09/14/2023,"..2.01","..2.28","..1.94","..2.16","269,134"
09/13/2023,"..2.10","..2.15","..2.07","..2.11","416,244"
09/12/2023,"..2.10","..2.10","..2.06","..2.08","137,264"
09/11/2023,"..2.15","..2.15","..2.06","..2.07","206,246"
09/07/2023,"..2.06","..2.09","..2.04","..2.06","166,736"
09/06/2023,"..2.10","..2.10","..2.04","..2.06","154,526"
09/05/2023,"..2.10","..2.15","..2.04","..2.07","194,590"
09/04/2023,"..2.17","..2.19","..2.06","..2.10","111,610"
08/31/2023,"..2.18","..2.30","..2.09","..2.10","513,232"
08/30/2023,"..2.17","..2.30","..2.13","..2.18","454,688"
08/29/2023,"..2.23","..2.23","..2.02","..2.10","246,980"
08/28/2023,"..2.25","..2.42","..2.03","..2.24","241,136"
08/24/2023,"..1.93","..2.11","..1.93","..2.11","222,076"
08/23/2023,"..1.95","..1.97","..1.90","..1.92","55,162"
08/22/2023,"..1.95","..1.97","..1.89","..1.92","126,672"
08/21/2023,"..1.90","..1.95","..1.86","..1.92","116,226"
08/17/2023,"..1.87","..1.94","..1.85","..1.88","81,530"
08/16/2023,"..1.88","..1.95","..1.85","..1.89","137,692"
08/15/2023,"..1.84","..1.94","..1.84","..1.87","162,606"
08/14/2023,"..1.83","..1.85","..1.78","..1.84","76,576"
08/10/2023,"..1.79","..1.79","..1.70","..1.73","46,402"
08/09/2023,"..1.69","..1.77","..1.69","..1.73","94,042"
08/08/2023,"..1.70","..1.73","..1.68","..1.69","84,696"
08/07/2023,"..1.70","..1.78","..1.68","..1.69","267,600"
08/03/2023,"..1.70","..1.75","..1.68","..1.69","37,904"
08/02/2023,"..1.75","..1.75","..1.67","..1.69","38,034"
08/01/2023,"..1.73","..1.79","..1.67","..1.69","66,852"
07/31/2023,"..1.79","..1.79","..1.70","..1.69","52,542"
07/27/2023,"..1.67","..1.79","..1.65","..1.69","33,560"
07/26/2023,"..1.80","..1.80","..1.65","..1.69","89,338"
07/25/2023,"..1.79","..1.86","..1.78","..1.83","77,416"
07/24/2023,"..1.81","..1.88","..1.77","..1.83","120,968"
07/19/2023,"..1.82","..1.88","..1.81","..1.88","57,160"
07/18/2023,"..1.86","..1.88","..1.84","..1.88","29,072"
07/17/2023,"..1.94","..1.94","..1.85","..1.88","91,440"
07/13/2023,"..1.91","..2.05","..1.90","..1.98","21,604"
07/12/2023,"..1.91","..1.97","..1.86","..1.98","60,368"
07/11/2023,"..2.00","..2.00","..1.90","..1.98","52,926"
07/10/2023,"..2.00","..2.14","..1.78","..1.98","57,652"
07/06/2023,"..2.11","..2.15","..2.06","..2.15","64,390"
07/05/2023,"..2.15","..2.29","..2.15","..2.15","143,710"
07/04/2023,"..2.13","..2.20","..2.13","..2.15","71,074"
06/26/2023,"..2.20","..2.20","..2.08","..2.25","21,802"
06/22/2023,"..2.25","..2.25","..2.04","..2.25","31,180"
06/21/2023,"..2.25","..2.30","..2.25","..2.25","123,030"
06/20/2023,"..2.25","..2.25","..2.25","..2.50","8,568"
06/19/2023,"..2.25","..2.25","..2.25","..2.50","46,554"
