Date,Open,High,Low,Close,Volume
09/21/2023,"..5.30","..5.49","..5.28","..5.38","10,879,880"
09/20/2023,"..5.54","..5.58","..5.30","..5.30","11,769,920"
09/19/2023,"..5.60","..5.64","..5.53","..5.54","4,711,976"
09/18/2023,"..5.55","..5.64","..5.56","..5.60","7,553,567"
09/14/2023,"..5.63","..5.65","..5.55","..5.56","4,366,028"
09/13/2023,"..5.54","..5.63","..5.51","..5.63","6,686,519"
09/12/2023,"..5.57","..5.60","..5.52","..5.54","4,848,360"
09/11/2023,"..5.70","..5.73","..5.57","..5.57","10,100,640"
09/07/2023,"..5.51","..5.73","..5.47","..5.66","17,814,400"
09/06/2023,"..5.51","..5.58","..5.46","..5.51","13,527,590"
09/05/2023,"..5.57","..5.61","..5.51","..5.51","6,544,207"
09/04/2023,"..5.55","..5.60","..5.53","..5.57","2,632,433"
08/31/2023,"..5.69","..5.74","..5.63","..5.65","7,189,048"
08/30/2023,"..5.72","..5.80","..5.69","..5.69","10,699,190"
08/29/2023,"..5.71","..5.78","..5.70","..5.72","6,912,220"
08/28/2023,"..5.68","..5.84","..5.70","..5.71","14,599,000"
08/24/2023,"..5.61","..5.67","..5.59","..5.66","2,783,443"
08/23/2023,"..5.70","..5.75","..5.61","..5.61","6,320,627"
08/22/2023,"..5.67","..5.76","..5.69","..5.70","7,891,639"
08/21/2023,"..5.63","..5.71","..5.63","..5.67","12,720,410"
08/17/2023,"..5.58","..5.62","..5.53","..5.59","3,187,314"
08/16/2023,"..5.64","..5.72","..5.58","..5.58","6,946,705"
08/15/2023,"..5.64","..5.69","..5.61","..5.64","3,680,681"
08/14/2023,"..5.58","..5.75","..5.60","..5.64","14,548,810"
08/10/2023,"..5.60","..5.63","..5.50","..5.58","9,326,632"
08/09/2023,"..5.65","..5.72","..5.59","..5.60","15,178,690"
08/08/2023,"..5.65","..5.81","..5.65","..5.65","26,251,789"
08/07/2023,"..5.54","..5.72","..5.54","..5.65","18,484,500"
08/03/2023,"..5.43","..5.49","..5.39","..5.44","6,372,706"
08/02/2023,"..5.55","..5.55","..5.42","..5.43","6,676,284"
08/01/2023,"..5.63","..5.67","..5.50","..5.55","6,692,575"
07/31/2023,"..5.63","..5.72","..5.59","..5.63","12,731,890"
07/27/2023,"..5.52","..5.55","..5.49","..5.54","3,696,790"
07/26/2023,"..5.56","..5.57","..5.48","..5.52","6,862,603"
07/25/2023,"..5.66","..5.68","..5.52","..5.56","10,050,180"
07/24/2023,"..5.71","..5.76","..5.65","..5.66","6,207,210"
07/19/2023,"..5.72","..5.77","..5.68","..5.71","7,291,259"
07/18/2023,"..5.63","..5.75","..5.65","..5.72","8,345,749"
07/17/2023,"..5.59","..5.67","..5.57","..5.63","10,113,970"
07/13/2023,"..5.45","..5.73","..5.46","..5.65","12,453,570"
07/12/2023,"..5.54","..5.57","..5.44","..5.45","5,604,979"
07/11/2023,"..5.43","..5.54","..5.38","..5.54","10,633,070"
07/10/2023,"..5.30","..5.43","..5.29","..5.43","5,840,544"
07/06/2023,"..5.56","..5.60","..5.51","..5.55","8,469,186"
07/05/2023,"..5.52","..5.64","..5.53","..5.56","7,256,320"
07/04/2023,"..5.62","..5.69","..5.49","..5.52","7,189,886"
06/26/2023,"..5.46","..5.66","..5.49","..5.62","10,925,210"
06/22/2023,"..5.68","..5.74","..5.57","..5.66","13,458,340"
06/21/2023,"..5.82","..5.87","..5.66","..5.68","12,784,650"
06/20/2023,"..5.87","..5.99","..5.82","..5.82","9,538,099"
06/19/2023,"..5.95","..6.07","..5.83","..5.87","14,737,620"
06/15/2023,"..6.06","..6.10","..5.87","..5.93","20,130,330"
06/14/2023,"..6.13","..6.29","..5.95","..6.06","35,353,559"
06/13/2023,"..6.09","..6.23","..6.05","..6.13","41,587,848"
06/12/2023,"..6.15","..6.20","..6.07","..6.09","20,317,928"
06/08/2023,"..5.77","..5.83","..5.75","..5.79","7,870,777"
06/07/2023,"..5.85","..5.96","..5.77","..5.77","14,958,940"
06/06/2023,"..5.81","..5.96","..5.83","..5.85","19,032,061"
06/05/2023,"..5.90","..6.06","..5.81","..5.81","54,532,488"
06/01/2023,"..5.70","..5.77","..5.69","..5.71","7,393,422"
05/31/2023,"..5.64","..5.88","..5.70","..5.70","18,709,170"
05/30/2023,"..5.77","..5.87","..5.78","..5.81","32,653,689"
05/29/2023,"..5.81","..5.85","..5.72","..5.77","5,184,437"
05/25/2023,"..5.63","..5.72","..5.62","..5.70","10,968,050"
05/24/2023,"..5.55","..5.64","..5.55","..5.63","6,015,878"
05/23/2023,"..5.47","..5.56","..5.40","..5.55","5,965,869"
05/22/2023,"..5.50","..5.60","..5.38","..5.47","9,535,926"
05/18/2023,"..5.50","..5.55","..5.33","..5.48","12,682,140"
05/17/2023,"..5.59","..5.65","..5.45","..5.50","8,004,979"
05/16/2023,"..5.56","..5.59","..5.44","..5.59","15,486,340"
05/15/2023,"..5.78","..5.82","..5.53","..5.56","15,556,010"
05/11/2023,"..5.88","..5.93","..5.74","..5.76","12,524,800"
05/10/2023,"..5.80","..5.88","..5.72","..5.88","14,651,220"
05/09/2023,"..5.95","..6.02","..5.80","..5.80","27,605,381"
05/08/2023,"..5.74","..5.99","..5.78","..5.95","16,216,500"
