Date,Open,High,Low,Close,Volume
09/21/2023,"..5.81","..6.10","..5.76","..5.90","7,987,977"
09/20/2023,"..6.10","..6.19","..5.75","..5.81","7,083,184"
09/19/2023,"..6.25","..6.29","..6.09","..6.10","1,805,775"
09/18/2023,"..6.27","..6.31","..6.25","..6.25","949,602"
09/14/2023,"..6.20","..6.38","..6.20","..6.29","6,053,851"
09/13/2023,"..6.10","..6.22","..6.10","..6.20","1,376,517"
09/12/2023,"..6.17","..6.20","..6.09","..6.10","635,747"
09/11/2023,"..6.18","..6.25","..6.14","..6.17","2,138,811"
09/07/2023,"..6.10","..6.15","..6.05","..6.13","1,192,694"
09/06/2023,"..6.07","..6.18","..6.06","..6.10","1,677,200"
09/05/2023,"..6.07","..6.16","..6.04","..6.07","5,007,708"
09/04/2023,"..6.19","..6.25","..6.00","..6.07","3,952,080"
08/31/2023,"..6.34","..6.38","..6.20","..6.24","2,384,446"
08/30/2023,"..6.43","..6.49","..6.28","..6.34","1,769,446"
08/29/2023,"..6.20","..6.54","..6.22","..6.43","6,371,985"
08/28/2023,"..6.38","..6.45","..6.11","..6.20","4,056,488"
08/24/2023,"..6.30","..6.45","..6.25","..6.41","1,301,850"
08/23/2023,"..6.45","..6.55","..6.28","..6.30","1,100,772"
08/22/2023,"..6.48","..6.58","..6.43","..6.45","598,087"
08/21/2023,"..6.47","..6.62","..6.45","..6.48","922,213"
08/17/2023,"..6.45","..6.53","..6.35","..6.41","1,177,805"
08/16/2023,"..6.50","..6.68","..6.45","..6.45","2,027,332"
08/15/2023,"..6.60","..6.70","..6.47","..6.50","1,389,356"
08/14/2023,"..6.75","..6.85","..6.51","..6.60","866,834"
08/10/2023,"..6.80","..6.86","..6.67","..6.72","1,530,559"
08/09/2023,"..6.75","..7.03","..6.68","..6.80","7,030,190"
08/08/2023,"..6.59","..6.84","..6.57","..6.75","8,056,449"
08/07/2023,"..6.60","..6.70","..6.52","..6.59","1,941,703"
08/03/2023,"..6.39","..6.50","..6.33","..6.37","1,900,381"
08/02/2023,"..6.79","..6.80","..6.30","..6.39","4,395,603"
08/01/2023,"..6.70","..6.80","..6.68","..6.79","3,283,982"
07/31/2023,"..6.49","..6.70","..6.48","..6.70","2,703,604"
07/27/2023,"..6.43","..6.50","..6.33","..6.36","417,417"
07/26/2023,"..6.43","..6.49","..6.36","..6.43","679,438"
07/25/2023,"..6.49","..6.55","..6.42","..6.43","1,009,066"
07/24/2023,"..6.50","..6.62","..6.48","..6.49","1,841,017"
07/19/2023,"..6.54","..6.64","..6.46","..6.50","2,771,956"
07/18/2023,"..6.43","..6.67","..6.43","..6.54","6,421,906"
07/17/2023,"..6.26","..6.49","..6.21","..6.43","2,111,706"
07/13/2023,"..6.12","..6.41","..6.15","..6.32","2,437,843"
07/12/2023,"..6.16","..6.25","..6.10","..6.12","802,680"
07/11/2023,"..6.15","..6.29","..6.12","..6.16","1,878,592"
07/10/2023,"..5.96","..6.16","..5.90","..6.15","1,732,710"
07/06/2023,"..6.27","..6.53","..6.27","..6.34","2,071,685"
07/05/2023,"..6.36","..6.48","..6.20","..6.27","2,842,920"
07/04/2023,"..6.48","..6.65","..6.33","..6.36","4,061,057"
06/26/2023,"..6.37","..6.53","..6.37","..6.48","2,035,411"
06/22/2023,"..6.41","..6.79","..6.30","..6.62","11,874,230"
06/21/2023,"..6.35","..6.55","..6.35","..6.41","7,050,191"
06/20/2023,"..6.07","..6.50","..6.07","..6.35","19,092,830"
06/19/2023,"..6.00","..6.27","..5.98","..6.07","13,446,020"
06/15/2023,"..5.95","..6.12","..5.88","..5.97","6,966,824"
06/14/2023,"..6.11","..6.19","..5.86","..5.95","10,975,500"
06/13/2023,"..5.74","..6.24","..5.72","..6.11","31,490,811"
06/12/2023,"..5.65","..5.80","..5.63","..5.75","8,858,545"
06/08/2023,"..5.32","..5.44","..5.30","..5.36","2,026,576"
06/07/2023,"..5.39","..5.51","..5.31","..5.32","2,883,617"
06/06/2023,"..5.41","..5.48","..5.38","..5.39","2,111,520"
06/05/2023,"..5.53","..5.57","..5.41","..5.41","2,710,178"
06/01/2023,"..5.60","..5.65","..5.56","..5.59","1,530,012"
05/31/2023,"..5.70","..5.81","..5.56","..5.60","4,646,779"
05/30/2023,"..5.63","..5.78","..5.61","..5.70","6,302,068"
05/29/2023,"..5.61","..5.68","..5.59","..5.63","4,275,203"
05/25/2023,"..5.50","..5.57","..5.43","..5.45","2,176,903"
05/24/2023,"..5.42","..5.57","..5.45","..5.50","3,131,014"
05/23/2023,"..5.36","..5.44","..5.34","..5.42","2,416,011"
05/22/2023,"..5.35","..5.53","..5.35","..5.36","5,282,386"
05/18/2023,"..5.32","..5.41","..5.25","..5.38","3,288,269"
05/17/2023,"..5.56","..5.63","..5.31","..5.32","10,004,910"
05/16/2023,"..5.72","..5.74","..5.48","..5.56","12,073,350"
05/15/2023,"..5.89","..5.95","..5.72","..5.72","3,629,102"
05/11/2023,"..5.99","..6.08","..5.80","..5.86","7,202,646"
05/10/2023,"..5.85","..6.00","..5.70","..5.99","8,006,955"
05/09/2023,"..5.95","..6.14","..5.85","..5.85","9,512,315"
05/08/2023,"..5.77","..5.95","..5.80","..5.95","4,719,452"
05/03/2023,"..5.84","..5.96","..5.75","..5.81","4,907,041"
05/02/2023,"..5.92","..5.97","..5.80","..5.84","6,108,518"
05/01/2023,"..6.13","..6.20","..5.84","..5.92","11,710,190"
04/27/2023,"..5.79","..6.00","..5.88","..5.98","14,586,190"
04/26/2023,"..5.61","..5.79","..5.50","..5.79","16,620,051"
04/19/2023,"..5.35","..5.68","..5.41","..5.61","16,426,359"
04/18/2023,"..5.35","..5.42","..5.33","..5.35","3,019,684"
04/13/2023,"..5.33","..5.41","..5.31","..5.35","3,405,208"
04/12/2023,"..5.36","..5.45","..5.33","..5.33","3,670,601"
04/11/2023,"..5.29","..5.41","..5.31","..5.36","3,841,868"
04/10/2023,"..5.20","..5.37","..5.21","..5.29","5,792,549"
04/06/2023,"..5.45","..5.54","..5.33","..5.36","6,524,255"
04/05/2023,"..5.29","..5.48","..5.32","..5.45","12,630,380"
04/04/2023,"..5.25","..5.37","..5.15","..5.29","6,149,240"
