Date,Open,High,Low,Close,Volume
09/21/2023,"..1.77","..1.78","..1.75","..1.77","458,213"
09/20/2023,"..1.80","..1.80","..1.75","..1.77","1,181,180"
09/19/2023,"..1.80","..1.80","..1.78","..1.80","478,635"
09/18/2023,"..1.80","..1.80","..1.76","..1.80","80,159"
09/14/2023,"..1.78","..1.81","..1.75","..1.80","1,146,581"
09/13/2023,"..1.75","..1.78","..1.73","..1.78","576,491"
09/12/2023,"..1.73","..1.77","..1.70","..1.75","569,874"
09/11/2023,"..1.72","..1.74","..1.66","..1.73","850,544"
09/07/2023,"..1.75","..1.82","..1.71","..1.78","704,098"
09/06/2023,"..1.78","..1.79","..1.75","..1.75","420,086"
09/05/2023,"..1.68","..1.84","..1.66","..1.78","2,062,010"
09/04/2023,"..1.68","..1.69","..1.64","..1.68","390,390"
08/31/2023,"..1.63","..1.68","..1.63","..1.66","1,003,264"
08/30/2023,"..1.64","..1.68","..1.63","..1.63","1,048,462"
08/29/2023,"..1.65","..1.68","..1.64","..1.64","817,828"
08/28/2023,"..1.69","..1.70","..1.64","..1.65","1,929,939"
08/24/2023,"..1.67","..1.75","..1.65","..1.69","3,719,044"
08/23/2023,"..1.47","..1.75","..1.47","..1.67","4,789,428"
08/22/2023,"..1.48","..1.52","..1.46","..1.47","1,326,707"
08/21/2023,"..1.53","..1.53","..1.47","..1.48","779,949"
08/17/2023,"..1.57","..1.58","..1.53","..1.55","491,385"
08/16/2023,"..1.60","..1.60","..1.55","..1.57","837,064"
08/15/2023,"..1.61","..1.62","..1.59","..1.60","556,484"
08/14/2023,"..1.60","..1.62","..1.58","..1.61","2,710,482"
08/10/2023,"..1.63","..1.64","..1.59","..1.60","1,045,039"
08/09/2023,"..1.57","..1.64","..1.55","..1.63","3,206,214"
08/08/2023,"..1.62","..1.64","..1.56","..1.57","1,375,433"
08/07/2023,"..1.54","..1.62","..1.54","..1.62","3,596,688"
08/03/2023,"..1.41","..1.49","..1.39","..1.47","3,848,453"
08/02/2023,"..1.37","..1.42","..1.37","..1.41","2,667,507"
08/01/2023,"..1.38","..1.39","..1.35","..1.37","2,204,873"
07/31/2023,"..1.40","..1.42","..1.37","..1.38","2,536,707"
07/27/2023,"..1.28","..1.36","..1.26","..1.31","3,415,842"
07/26/2023,"..1.29","..1.32","..1.26","..1.28","6,165,026"
07/25/2023,"..1.17","..1.29","..1.18","..1.29","7,992,445"
07/24/2023,"..1.11","..1.19","..1.10","..1.17","4,698,427"
07/19/2023,"..1.10","..1.12","..1.09","..1.11","521,674"
07/18/2023,"..1.10","..1.12","..1.08","..1.10","957,051"
07/17/2023,"..1.07","..1.12","..1.07","..1.10","995,641"
07/13/2023,"..1.09","..1.11","..1.08","..1.08","405,899"
07/12/2023,"..1.10","..1.13","..1.08","..1.09","1,312,826"
07/11/2023,"..1.08","..1.13","..1.09","..1.10","930,965"
07/10/2023,"..1.04","..1.10","..1.03","..1.08","1,050,111"
07/06/2023,"..1.14","..1.16","..1.12","..1.12","1,007,056"
07/05/2023,"..1.16","..1.16","..1.14","..1.14","1,089,680"
07/04/2023,"..1.13","..1.19","..1.14","..1.16","2,500,893"
06/26/2023,"..1.11","..1.14","..1.11","..1.13","1,944,199"
06/22/2023,"..1.07","..1.10","..1.07","..1.10","1,346,827"
06/21/2023,"..1.11","..1.12","..1.07","..1.07","3,058,022"
06/20/2023,"..1.07","..1.15","..1.07","..1.11","5,310,770"
06/19/2023,"..1.06","..1.11","..1.06","..1.07","1,781,596"
06/15/2023,"..1.09","..1.11","..1.06","..1.07","2,104,288"
06/14/2023,"..1.10","..1.14","..1.09","..1.09","2,091,980"
06/13/2023,"..1.13","..1.16","..1.10","..1.10","1,529,716"
06/12/2023,"..1.09","..1.18","..1.11","..1.13","3,928,756"
06/08/2023,"..1.12","..1.15","..1.10","..1.10","2,512,683"
06/07/2023,"..1.08","..1.16","..1.08","..1.12","3,641,981"
06/06/2023,"..1.13","..1.16","..1.08","..1.08","4,547,926"
06/05/2023,"..1.16","..1.19","..1.12","..1.13","7,215,640"
06/01/2023,"..0.98","..1.14","..0.99","..1.13","15,284,770"
05/31/2023,"..1.00","..1.00","..0.98","..0.98","3,935,683"
05/30/2023,"..0.99","..1.05","..0.97","..1.00","11,335,030"
05/29/2023,"..0.91","..0.99","..0.92","..0.99","10,180,440"
05/25/2023,"..0.86","..0.87","..0.85","..0.86","450,746"
05/24/2023,"..0.85","..0.87","..0.84","..0.86","1,476,655"
05/23/2023,"..0.84","..0.85","..0.82","..0.85","894,064"
05/22/2023,"..0.83","..0.86","..0.80","..0.84","1,728,260"
05/18/2023,"..0.83","..0.83","..0.82","..0.83","204,401"
05/17/2023,"..0.83","..0.84","..0.82","..0.83","272,309"
05/16/2023,"..0.84","..0.84","..0.82","..0.83","705,974"
05/15/2023,"..0.85","..0.86","..0.84","..0.84","1,147,249"
05/11/2023,"..0.86","..0.86","..0.85","..0.85","1,297,460"
05/10/2023,"..0.86","..0.86","..0.85","..0.86","1,761,795"
05/09/2023,"..0.86","..0.87","..0.85","..0.86","1,484,731"
05/08/2023,"..0.85","..0.87","..0.86","..0.86","992,720"
05/03/2023,"..0.86","..0.87","..0.85","..0.85","1,014,083"
05/02/2023,"..0.87","..0.88","..0.86","..0.86","1,357,990"
05/01/2023,"..0.88","..0.89","..0.87","..0.87","730,496"
04/27/2023,"..0.85","..0.88","..0.85","..0.87","1,634,948"
04/26/2023,"..0.86","..0.87","..0.84","..0.85","1,593,350"
04/19/2023,"..0.87","..0.87","..0.86","..0.86","902,677"
04/18/2023,"..0.85","..0.87","..0.85","..0.87","463,354"
04/13/2023,"..0.85","..0.86","..0.84","..0.85","1,116,441"
04/12/2023,"..0.86","..0.87","..0.84","..0.85","840,880"
04/11/2023,"..0.86","..0.87","..0.85","..0.86","708,270"
04/10/2023,"..0.85","..0.86","..0.85","..0.86","648,964"
04/06/2023,"..0.85","..0.88","..0.84","..0.86","1,934,280"
04/05/2023,"..0.85","..0.87","..0.84","..0.85","2,586,615"
04/04/2023,"..0.85","..0.87","..0.84","..0.85","1,023,836"
04/03/2023,"..0.80","..0.86","..0.82","..0.85","1,562,000"
03/30/2023,"..0.80","..0.82","..0.80","..0.80","352,596"
03/29/2023,"..0.81","..0.82","..0.80","..0.80","597,771"
03/28/2023,"..0.80","..0.81","..0.79","..0.81","556,496"
03/27/2023,"..0.79","..0.83","..0.80","..0.80","1,444,978"
03/23/2023,"..0.79","..0.82","..0.78","..0.79","100,530"
03/22/2023,"..0.80","..0.83","..0.76","..0.79","890,087"
03/21/2023,"..0.80","..0.83","..0.79","..0.80","1,075,357"
03/20/2023,"..0.76","..0.82","..0.76","..0.80","564,799"
03/16/2023,"..0.70","..0.75","..0.65","..0.71","1,636,310"
03/15/2023,"..0.75","..0.79","..0.62","..0.70","2,068,372"
03/14/2023,"..0.74","..0.79","..0.70","..0.75","1,792,820"
03/13/2023,"..0.83","..0.84","..0.70","..0.74","1,819,817"
03/09/2023,"..0.85","..0.86","..0.84","..0.86","1,557,177"
03/08/2023,"..0.85","..0.86","..0.83","..0.85","1,563,337"
03/07/2023,"..0.88","..0.89","..0.84","..0.85","1,619,030"
03/06/2023,"..0.89","..0.90","..0.88","..0.88","4,449,074"
