Date,Open,High,Low,Close,Volume
09/21/2023,"..0.36","..0.37","..0.35","..0.37","12,866,000"
09/20/2023,"..0.38","..0.38","..0.36","..0.36","18,730,971"
09/19/2023,"..0.39","..0.39","..0.38","..0.38","23,790,010"
09/18/2023,"..0.40","..0.40","..0.38","..0.39","31,288,711"
09/14/2023,"..0.39","..0.41","..0.39","..0.40","89,192,227"
09/13/2023,"..0.38","..0.40","..0.38","..0.39","36,397,879"
09/12/2023,"..0.39","..0.40","..0.37","..0.38","48,727,121"
09/11/2023,"..0.41","..0.41","..0.39","..0.39","31,594,859"
09/07/2023,"..0.42","..0.44","..0.41","..0.42","83,970,336"
09/06/2023,"..0.44","..0.46","..0.41","..0.42","74,639,633"
09/05/2023,"..0.37","..0.44","..0.37","..0.44","131,440,500"
09/04/2023,"..0.33","..0.37","..0.33","..0.37","92,720,078"
08/31/2023,"..0.33","..0.33","..0.32","..0.33","10,557,110"
08/30/2023,"..0.30","..0.33","..0.30","..0.33","27,003,680"
08/29/2023,"..0.30","..0.30","..0.30","..0.30","6,710,136"
08/28/2023,"..0.30","..0.30","..0.30","..0.30","6,382,910"
08/24/2023,"..0.31","..0.31","..0.30","..0.30","9,567,322"
08/23/2023,"..0.32","..0.32","..0.31","..0.31","9,861,753"
08/22/2023,"..0.32","..0.32","..0.31","..0.32","18,264,570"
08/21/2023,"..0.29","..0.33","..0.30","..0.32","34,219,398"
08/17/2023,"..0.32","..0.32","..0.30","..0.30","25,699,891"
08/16/2023,"..0.33","..0.33","..0.31","..0.32","15,286,850"
08/15/2023,"..0.34","..0.34","..0.33","..0.33","26,454,301"
08/14/2023,"..0.32","..0.35","..0.32","..0.34","52,455,312"
08/10/2023,"..0.32","..0.34","..0.32","..0.33","31,175,131"
08/09/2023,"..0.32","..0.33","..0.32","..0.32","20,208,350"
08/08/2023,"..0.30","..0.34","..0.30","..0.32","55,663,527"
08/07/2023,"..0.31","..0.31","..0.30","..0.30","7,213,008"
08/03/2023,"..0.31","..0.33","..0.30","..0.30","38,003,199"
08/02/2023,"..0.28","..0.32","..0.28","..0.31","45,082,559"
08/01/2023,"..0.28","..0.29","..0.28","..0.28","4,027,690"
07/31/2023,"..0.28","..0.28","..0.28","..0.28","4,054,423"
07/27/2023,"..0.26","..0.30","..0.26","..0.29","20,429,221"
07/26/2023,"..0.26","..0.26","..0.26","..0.26","2,600,468"
