Date,Open,High,Low,Close,Volume
09/21/2023,"..17.06","..17.25","..16.85","..17.06","10,055"
09/20/2023,"..17.47","..17.60","..17.00","..17.06","34,394"
09/19/2023,"..17.52","..17.87","..17.18","..17.47","59,361"
09/18/2023,"..17.73","..17.80","..17.46","..17.52","23,624"
09/14/2023,"..17.23","..17.66","..17.12","..17.46","21,626"
09/13/2023,"..17.23","..17.50","..17.09","..17.23","11,536"
09/12/2023,"..17.76","..17.65","..17.07","..17.23","31,888"
09/11/2023,"..17.76","..17.79","..17.37","..17.76","10,723"
09/07/2023,"..17.62","..17.83","..17.39","..17.45","27,128"
09/06/2023,"..17.97","..18.30","..17.35","..17.62","40,373"
09/05/2023,"..18.00","..18.42","..17.81","..17.97","71,922"
09/04/2023,"..18.41","..18.69","..17.91","..18.00","57,427"
08/31/2023,"..17.94","..18.48","..17.75","..17.88","49,330"
08/30/2023,"..17.44","..18.85","..17.40","..17.94","151,334"
08/29/2023,"..17.39","..17.85","..17.30","..17.44","55,287"
08/28/2023,"..17.20","..18.14","..17.10","..17.39","106,979"
08/24/2023,"..17.16","..17.46","..16.96","..17.05","31,652"
08/23/2023,"..17.54","..17.70","..17.10","..17.16","44,864"
08/22/2023,"..17.49","..18.14","..17.40","..17.54","64,479"
08/21/2023,"..17.88","..18.00","..17.35","..17.49","63,826"
08/17/2023,"..17.04","..19.32","..17.00","..18.33","337,380"
08/16/2023,"..17.11","..17.25","..16.90","..17.04","19,882"
08/15/2023,"..17.01","..17.66","..16.85","..17.11","52,151"
08/14/2023,"..16.59","..17.15","..16.56","..17.01","40,478"
08/10/2023,"..17.28","..17.09","..16.76","..16.84","40,660"
08/09/2023,"..16.83","..17.75","..16.89","..17.28","144,310"
08/08/2023,"..16.74","..17.99","..15.90","..16.83","256,152"
08/07/2023,"..16.74","..16.00","..15.76","..16.74","3,301"
08/03/2023,"..16.74","..16.20","..15.61","..16.74","8,403"
08/02/2023,"..16.74","..16.74","..15.62","..16.74","11,266"
08/01/2023,"..16.74","..15.71","..15.67","..16.74","4,005"
07/31/2023,"..16.74","..15.95","..15.67","..16.74","3,241"
07/27/2023,"..16.74","..16.04","..15.57","..16.74","10,127"
07/26/2023,"..16.74","..16.14","..15.72","..16.74","7,069"
07/25/2023,"..16.74","..16.54","..16.00","..16.74","5,449"
07/24/2023,"..16.74","..16.90","..15.91","..16.74","17,265"
07/19/2023,"..15.87","..16.94","..15.60","..16.74","65,519"
07/18/2023,"..15.87","..16.00","..15.34","..15.87","8,130"
07/17/2023,"..15.87","..16.20","..15.60","..15.87","4,474"
07/13/2023,"..15.87","..16.00","..15.53","..15.87","11,097"
07/12/2023,"..15.87","..15.84","..15.44","..15.87","2,853"
07/11/2023,"..15.87","..15.95","..15.24","..15.87","17,510"
07/10/2023,"..15.87","..15.98","..15.40","..15.87","7,050"
07/06/2023,"..17.13","..17.13","..16.05","..17.13","10,172"
07/05/2023,"..17.13","..17.30","..16.75","..17.13","3,892"
07/04/2023,"..17.12","..17.35","..16.89","..17.13","26,535"
06/26/2023,"..17.12","..17.12","..16.60","..17.12","7,262"
06/22/2023,"..17.12","..17.15","..16.50","..17.12","3,450"
06/21/2023,"..17.12","..17.12","..16.55","..17.12","17,651"
06/20/2023,"..17.12","..17.04","..16.92","..17.12","10,711"
06/19/2023,"..17.12","..17.15","..17.00","..17.12","8,181"
06/15/2023,"..17.34","..17.40","..17.11","..17.34","7,556"
06/14/2023,"..17.34","..17.44","..17.01","..17.34","5,073"
06/13/2023,"..17.43","..17.50","..17.02","..17.34","19,101"
06/12/2023,"..17.43","..17.51","..17.10","..17.43","2,302"
06/08/2023,"..17.43","..17.30","..17.10","..17.43","5,551"
06/07/2023,"..17.43","..17.69","..17.11","..17.43","9,405"
06/06/2023,"..17.69","..17.86","..17.35","..17.43","22,159"
06/05/2023,"..17.94","..18.10","..17.31","..17.69","23,056"
06/01/2023,"..17.92","..17.95","..17.73","..17.92","6,840"
05/31/2023,"..17.85","..18.26","..17.52","..17.92","52,794"
05/30/2023,"..17.87","..18.30","..17.70","..17.85","38,579"
05/29/2023,"..17.45","..18.60","..17.45","..17.87","84,235"
05/25/2023,"..17.50","..17.41","..17.05","..17.11","23,181"
05/24/2023,"..16.91","..17.95","..16.90","..17.50","63,706"
05/23/2023,"..17.22","..17.35","..16.81","..16.91","46,195"
05/22/2023,"..17.47","..18.00","..17.10","..17.22","71,857"
05/18/2023,"..17.14","..16.80","..16.25","..17.14","7,390"
05/17/2023,"..17.14","..16.95","..16.31","..17.14","11,045"
05/16/2023,"..17.14","..17.00","..16.37","..17.14","5,794"
05/15/2023,"..17.14","..17.25","..16.60","..17.14","16,498"
05/11/2023,"..17.23","..17.23","..16.81","..17.23","16,845"
05/10/2023,"..17.23","..17.57","..16.22","..17.23","15,970"
05/09/2023,"..16.94","..17.60","..17.00","..17.23","23,813"
05/08/2023,"..17.03","..17.05","..16.60","..16.94","28,871"
05/03/2023,"..17.12","..17.90","..16.61","..17.03","26,845"
05/02/2023,"..17.61","..17.65","..16.10","..17.12","31,375"
05/01/2023,"..17.61","..17.80","..17.22","..17.61","12,034"
04/27/2023,"..17.42","..18.00","..17.50","..17.59","43,013"
04/26/2023,"..17.97","..18.25","..17.30","..17.42","38,621"
04/19/2023,"..18.97","..18.81","..17.10","..17.97","52,550"
04/18/2023,"..18.97","..18.99","..18.55","..18.97","15,496"
04/13/2023,"..18.95","..19.65","..18.83","..18.97","116,317"
04/12/2023,"..18.90","..19.36","..18.56","..18.95","47,775"
04/11/2023,"..18.75","..19.47","..18.52","..18.90","112,597"
04/10/2023,"..19.01","..19.50","..18.32","..18.75","49,628"
04/06/2023,"..19.07","..19.72","..18.70","..18.91","92,000"
04/05/2023,"..19.54","..19.85","..18.61","..19.07","73,984"
04/04/2023,"..18.61","..21.98","..19.00","..19.54","273,768"
04/03/2023,"..15.51","..18.61","..16.65","..18.61","233,867"
03/30/2023,"..15.51","..15.55","..15.03","..15.51","14,235"
03/29/2023,"..16.03","..16.09","..15.30","..15.51","23,632"
03/28/2023,"..16.03","..16.00","..15.52","..16.03","17,040"
03/27/2023,"..16.03","..16.09","..15.50","..16.03","16,779"
03/23/2023,"..15.80","..16.20","..15.77","..15.89","28,330"
03/22/2023,"..15.99","..16.66","..15.77","..15.80","37,522"
03/21/2023,"..15.90","..16.59","..15.72","..15.99","34,481"
03/20/2023,"..14.72","..16.70","..14.99","..15.90","144,645"
03/16/2023,"..15.17","..15.50","..13.12","..15.25","57,948"
03/15/2023,"..16.59","..17.49","..14.52","..15.17","118,770"
03/14/2023,"..15.98","..17.00","..15.45","..16.59","61,820"
03/13/2023,"..18.16","..18.84","..15.56","..15.98","86,612"
03/09/2023,"..19.52","..20.25","..19.06","..19.27","62,237"
03/08/2023,"..19.00","..20.00","..17.90","..19.52","138,822"
03/07/2023,"..20.01","..20.45","..18.81","..19.00","96,090"
03/06/2023,"..18.93","..21.00","..19.07","..20.01","199,938"
03/02/2023,"..19.20","..19.20","..18.11","..18.42","76,928"
03/01/2023,"..18.72","..19.99","..18.61","..19.20","70,173"
02/28/2023,"..19.50","..19.60","..18.21","..18.72","115,307"
02/27/2023,"..16.98","..19.50","..16.72","..19.50","307,651"
02/23/2023,"..16.32","..17.01","..16.00","..16.98","50,405"
02/22/2023,"..17.69","..18.00","..16.01","..16.32","86,883"
02/21/2023,"..17.00","..18.25","..16.66","..17.69","213,242"
02/20/2023,"..15.51","..17.60","..15.40","..17.00","289,955"
02/16/2023,"..14.76","..15.05","..14.60","..14.76","8,987"
02/15/2023,"..14.76","..15.00","..14.69","..14.76","2,250"
02/14/2023,"..14.76","..15.04","..14.72","..14.76","18,229"
02/13/2023,"..14.76","..14.87","..14.52","..14.76","711"
02/09/2023,"..14.66","..15.30","..14.25","..14.76","32,440"
02/08/2023,"..14.66","..15.35","..14.51","..14.66","14,668"
02/07/2023,"..14.17","..15.18","..14.10","..14.66","36,427"
02/06/2023,"..14.17","..14.50","..13.76","..14.17","8,991"
02/02/2023,"..15.05","..15.40","..14.92","..15.05","15,257"
02/01/2023,"..15.01","..15.30","..14.70","..15.05","23,114"
01/31/2023,"..15.08","..15.45","..14.90","..15.01","25,465"
01/30/2023,"..15.75","..15.70","..15.02","..15.08","23,929"
01/25/2023,"..15.26","..15.99","..15.18","..15.66","29,950"
01/24/2023,"..15.73","..15.50","..15.25","..15.26","23,163"
01/23/2023,"..15.73","..15.99","..15.23","..15.73","14,086"
01/19/2023,"..15.72","..15.93","..15.51","..15.72","17,809"
01/18/2023,"..15.10","..16.20","..15.36","..15.72","69,915"
01/17/2023,"..15.10","..15.65","..15.12","..15.10","16,465"
01/16/2023,"..15.63","..15.60","..14.90","..15.10","21,333"
01/12/2023,"..15.63","..15.63","..14.65","..15.63","9,576"
