Date,Open,High,Low,Close,Volume
09/21/2023,"..0.45","..0.44","..0.43","..0.45","511,565"
09/20/2023,"..0.45","..0.45","..0.44","..0.45","655,785"
09/19/2023,"..0.45","..0.46","..0.44","..0.45","652,711"
09/18/2023,"..0.45","..0.46","..0.45","..0.45","1,318,498"
09/14/2023,"..0.45","..0.45","..0.43","..0.45","267,242"
09/13/2023,"..0.45","..0.45","..0.43","..0.45","189,259"
09/12/2023,"..0.45","..0.46","..0.43","..0.45","488,722"
09/11/2023,"..0.45","..0.47","..0.44","..0.45","3,611,665"
09/07/2023,"..0.41","..0.43","..0.43","..0.43","705,528"
08/24/2023,"..0.41","..0.41","..0.40","..0.41","341,577"
08/23/2023,"..0.41","..0.42","..0.40","..0.41","421,133"
08/22/2023,"..0.41","..0.43","..0.41","..0.41","688,051"
08/21/2023,"..0.41","..0.42","..0.41","..0.41","129,401"
08/17/2023,"..0.41","..0.42","..0.41","..0.41","579,248"
08/16/2023,"..0.41","..0.41","..0.41","..0.41","235,371"
08/15/2023,"..0.41","..0.41","..0.40","..0.41","279,545"
08/14/2023,"..0.41","..0.41","..0.40","..0.41","258,147"
08/10/2023,"..0.43","..0.43","..0.41","..0.43","643,901"
08/09/2023,"..0.43","..0.45","..0.41","..0.43","151,615"
08/08/2023,"..0.42","..0.44","..0.41","..0.43","925,768"
08/07/2023,"..0.42","..0.42","..0.40","..0.42","430,928"
08/03/2023,"..0.42","..0.43","..0.41","..0.42","260,849"
08/02/2023,"..0.42","..0.43","..0.41","..0.42","849,733"
08/01/2023,"..0.42","..0.43","..0.41","..0.42","484,177"
07/31/2023,"..0.42","..0.44","..0.41","..0.42","394,465"
07/27/2023,"..0.42","..0.44","..0.41","..0.43","1,192,935"
07/26/2023,"..0.40","..0.42","..0.40","..0.42","2,867,089"
07/25/2023,"..0.39","..0.40","..0.39","..0.40","1,051,588"
07/24/2023,"..0.39","..0.40","..0.38","..0.39","1,429,409"
07/19/2023,"..0.39","..0.38","..0.37","..0.39","382,105"
07/18/2023,"..0.39","..0.38","..0.37","..0.39","599,884"
07/17/2023,"..0.39","..0.39","..0.38","..0.39","63,636"
07/13/2023,"..0.39","..0.39","..0.37","..0.39","210,218"
07/12/2023,"..0.39","..0.38","..0.37","..0.39","195,258"
07/11/2023,"..0.39","..0.39","..0.37","..0.39","719,347"
07/10/2023,"..0.39","..0.40","..0.37","..0.39","448,381"
07/06/2023,"..0.39","..0.40","..0.38","..0.39","333,613"
07/05/2023,"..0.41","..0.41","..0.39","..0.39","856,789"
07/04/2023,"..0.41","..0.41","..0.39","..0.41","417,865"
06/26/2023,"..0.41","..0.41","..0.39","..0.41","57,018"
06/22/2023,"..0.39","..0.41","..0.38","..0.41","1,813,005"
06/21/2023,"..0.41","..0.42","..0.39","..0.39","2,675,196"
06/20/2023,"..0.43","..0.43","..0.41","..0.41","2,126,815"
06/19/2023,"..0.41","..0.43","..0.41","..0.43","5,839,818"
06/15/2023,"..0.37","..0.39","..0.36","..0.39","4,045,607"
06/14/2023,"..0.37","..0.36","..0.36","..0.37","25,627"
06/13/2023,"..0.37","..0.37","..0.35","..0.37","215,135"
06/12/2023,"..0.37","..0.37","..0.35","..0.37","35,081"
06/08/2023,"..0.37","..0.37","..0.35","..0.37","315,888"
06/07/2023,"..0.37","..0.37","..0.35","..0.37","720,089"
06/06/2023,"..0.37","..0.37","..0.36","..0.37","387,566"
06/05/2023,"..0.37","..0.37","..0.36","..0.37","795,899"
06/01/2023,"..0.37","..0.37","..0.36","..0.37","400,434"
05/31/2023,"..0.37","..0.37","..0.36","..0.37","423,954"
05/30/2023,"..0.37","..0.37","..0.35","..0.37","214,569"
05/29/2023,"..0.37","..0.38","..0.37","..0.37","571,414"
05/25/2023,"..0.36","..0.36","..0.35","..0.36","379,235"
05/24/2023,"..0.36","..0.36","..0.35","..0.36","80,294"
05/23/2023,"..0.36","..0.36","..0.35","..0.36","401,829"
05/22/2023,"..0.36","..0.35","..0.34","..0.36","471,157"
05/18/2023,"..0.36","..0.36","..0.35","..0.36","120,039"
05/17/2023,"..0.36","..0.36","..0.35","..0.36","72,884"
05/16/2023,"..0.36","..0.36","..0.35","..0.36","110,478"
05/15/2023,"..0.36","..0.36","..0.35","..0.36","164,558"
05/11/2023,"..0.36","..0.36","..0.34","..0.36","108,477"
05/10/2023,"..0.36","..0.36","..0.34","..0.36","352,654"
05/09/2023,"..0.36","..0.36","..0.35","..0.36","279,050"
05/08/2023,"..0.36","..0.36","..0.35","..0.36","31,479"
05/03/2023,"..0.36","..0.36","..0.35","..0.36","56,611"
05/02/2023,"..0.36","..0.37","..0.34","..0.36","191,525"
05/01/2023,"..0.36","..0.37","..0.36","..0.36","154,291"
04/27/2023,"..0.36","..0.36","..0.36","..0.36","366,799"
04/26/2023,"..0.36","..0.36","..0.35","..0.36","588,219"
04/19/2023,"..0.36","..0.36","..0.34","..0.36","709,549"
04/18/2023,"..0.36","..0.36","..0.35","..0.36","216,814"
04/13/2023,"..0.36","..0.36","..0.35","..0.36","590,005"
04/12/2023,"..0.36","..0.36","..0.35","..0.36","243,182"
04/11/2023,"..0.36","..0.36","..0.35","..0.36","434,513"
04/10/2023,"..0.36","..0.37","..0.36","..0.36","367,547"
04/06/2023,"..0.35","..0.36","..0.36","..0.36","1,433,046"
04/05/2023,"..0.35","..0.36","..0.35","..0.35","535,417"
04/04/2023,"..0.35","..0.36","..0.36","..0.35","404,315"
04/03/2023,"..0.35","..0.36","..0.35","..0.35","419,287"
03/30/2023,"..0.35","..0.36","..0.35","..0.35","1,000,001"
03/29/2023,"..0.35","..0.36","..0.35","..0.35","806,743"
03/28/2023,"..0.35","..0.36","..0.34","..0.35","124,842"
03/27/2023,"..0.35","..0.36","..0.34","..0.35","54,462"
03/23/2023,"..0.34","..0.35","..0.35","..0.35","1,114,975"
03/22/2023,"..0.32","..0.34","..0.32","..0.34","1,057,201"
03/21/2023,"..0.32","..0.34","..0.34","..0.32","499,233"
03/20/2023,"..0.31","..0.32","..0.32","..0.32","1,005,551"
03/16/2023,"..0.32","..0.32","..0.30","..0.31","2,502,777"
03/15/2023,"..0.32","..0.33","..0.31","..0.32","1,337,850"
03/14/2023,"..0.33","..0.34","..0.31","..0.32","1,508,450"
