Date,Open,High,Low,Close,Volume
09/21/2023,"..8.21","..7.18","..7.01","..8.21","3,013"
09/20/2023,"..8.21","..7.30","..7.02","..8.21","10,724"
09/19/2023,"..8.21","..7.29","..7.16","..8.21","35,220"
09/18/2023,"..8.21","..7.27","..7.12","..8.21","4,906"
09/14/2023,"..8.21","..7.23","..7.06","..8.21","15,359"
09/13/2023,"..8.21","..8.21","..7.13","..8.21","9,440"
09/12/2023,"..8.21","..8.21","..7.13","..8.21","18,370"
09/11/2023,"..8.21","..8.21","..7.11","..8.21","10,846"
09/07/2023,"..8.21","..7.40","..7.20","..8.21","32,723"
09/06/2023,"..8.21","..7.64","..7.17","..8.21","20,674"
09/05/2023,"..8.21","..7.36","..7.36","..8.21","865"
09/04/2023,"..8.21","..7.45","..7.41","..8.21","2,610"
08/31/2023,"..8.21","..7.84","..7.40","..8.21","8,360"
08/30/2023,"..8.21","..7.50","..7.23","..8.21","9,430"
08/29/2023,"..8.21","..7.40","..7.30","..8.21","6,515"
08/28/2023,"..8.21","..7.65","..7.20","..8.21","30,973"
08/24/2023,"..8.21","..7.65","..7.25","..8.21","34,205"
08/23/2023,"..8.21","..7.45","..7.08","..8.21","36,260"
08/22/2023,"..8.21","..7.15","..7.02","..8.21","31,363"
08/21/2023,"..8.21","..7.20","..7.01","..8.21","1,498"
08/17/2023,"..8.21","..7.10","..7.00","..8.21","14,456"
08/16/2023,"..8.21","..7.10","..6.94","..8.21","14,638"
08/15/2023,"..8.21","..7.08","..6.93","..8.21","15,433"
08/14/2023,"..8.21","..8.21","..6.78","..8.21","26,129"
08/10/2023,"..8.21","..6.98","..6.83","..8.21","7,257"
08/09/2023,"..8.21","..7.00","..6.81","..8.21","11,702"
08/08/2023,"..8.21","..7.00","..6.90","..8.21","13,495"
08/07/2023,"..8.21","..7.19","..6.99","..8.21","12,933"
08/03/2023,"..8.21","..8.21","..6.70","..8.21","10,374"
08/02/2023,"..8.21","..7.00","..6.81","..8.21","705"
08/01/2023,"..8.21","..7.02","..6.82","..8.21","5,675"
07/31/2023,"..8.21","..7.08","..6.86","..8.21","4,241"
07/27/2023,"..8.21","..8.21","..6.81","..8.21","17,765"
07/26/2023,"..8.21","..7.19","..6.86","..8.21","4,490"
07/25/2023,"..8.21","..7.26","..6.91","..8.21","7,820"
07/24/2023,"..8.21","..7.20","..7.01","..8.21","18,335"
07/19/2023,"..8.21","..7.30","..7.04","..8.21","14,671"
07/18/2023,"..8.21","..8.21","..7.01","..8.21","9,552"
07/17/2023,"..8.21","..7.03","..7.03","..8.21","572"
07/13/2023,"..8.21","..7.22","..7.01","..8.21","336"
07/12/2023,"..8.21","..7.19","..7.11","..8.21","501"
07/11/2023,"..8.21","..7.20","..7.00","..8.21","2,570"
07/10/2023,"..8.21","..7.20","..6.90","..8.21","5,029"
07/06/2023,"..8.21","..7.50","..7.20","..8.21","5,020"
07/05/2023,"..8.21","..7.64","..7.21","..8.21","565"
07/04/2023,"..8.21","..7.77","..7.28","..8.21","178"
06/26/2023,"..8.21","..7.52","..7.27","..8.21","3,599"
06/22/2023,"..8.21","..7.50","..7.28","..8.21","3,267"
06/21/2023,"..8.21","..8.21","..7.23","..8.21","15,965"
06/20/2023,"..8.21","..8.21","..7.25","..8.21","33,734"
06/19/2023,"..8.21","..7.45","..7.29","..8.21","36,859"
06/15/2023,"..8.21","..7.54","..7.41","..8.21","1,715"
06/14/2023,"..8.21","..7.69","..7.55","..8.21","7,260"
06/13/2023,"..8.21","..8.21","..7.30","..8.21","7,012"
06/08/2023,"..8.21","..8.21","..7.10","..8.21","31,145"
06/07/2023,"..8.21","..7.90","..7.52","..8.21","29,630"
06/06/2023,"..8.21","..8.00","..7.71","..8.21","18,400"
06/05/2023,"..8.21","..8.00","..7.73","..8.21","20,987"
06/01/2023,"..8.21","..8.38","..8.00","..8.21","23,496"
05/31/2023,"..7.94","..8.49","..7.55","..8.21","107,160"
05/30/2023,"..7.36","..8.00","..7.00","..7.94","126,903"
05/29/2023,"..7.09","..7.44","..7.11","..7.36","50,567"
05/25/2023,"..7.01","..7.00","..6.86","..7.01","21,964"
05/24/2023,"..7.00","..7.15","..6.97","..7.01","58,000"
05/23/2023,"..7.14","..7.07","..6.93","..7.00","60,087"
05/22/2023,"..7.08","..7.29","..6.76","..7.14","97,782"
05/18/2023,"..7.08","..7.10","..6.70","..7.08","22,485"
05/17/2023,"..7.08","..6.90","..6.79","..7.08","7,920"
05/16/2023,"..7.08","..7.00","..6.77","..7.08","19,000"
05/15/2023,"..7.08","..7.13","..6.99","..7.08","26,053"
05/11/2023,"..7.26","..7.26","..7.01","..7.08","53,650"
05/10/2023,"..7.26","..7.21","..7.00","..7.26","29,403"
05/09/2023,"..7.26","..7.29","..7.14","..7.26","9,100"
05/08/2023,"..7.16","..7.42","..7.09","..7.26","42,553"
05/03/2023,"..7.16","..7.06","..6.95","..7.16","16,505"
05/02/2023,"..7.16","..7.20","..7.02","..7.16","13,852"
05/01/2023,"..7.16","..7.16","..7.10","..7.16","6,100"
04/27/2023,"..7.16","..7.42","..7.15","..7.16","38,315"
04/26/2023,"..7.16","..7.24","..7.00","..7.16","29,502"
04/19/2023,"..7.16","..7.25","..7.11","..7.16","26,650"
04/18/2023,"..7.16","..7.20","..7.00","..7.16","41,033"
04/13/2023,"..7.16","..7.40","..7.07","..7.16","13,480"
04/12/2023,"..7.18","..7.46","..7.00","..7.16","48,021"
04/11/2023,"..7.59","..7.50","..7.00","..7.18","60,025"
04/10/2023,"..7.59","..7.73","..7.30","..7.59","24,615"
04/06/2023,"..8.65","..8.00","..7.61","..8.65","28,218"
04/05/2023,"..8.65","..8.20","..7.60","..8.65","3,632"
04/04/2023,"..8.65","..8.33","..7.12","..8.65","9,060"
04/03/2023,"..8.65","..8.27","..7.61","..8.65","935"
03/30/2023,"..8.65","..8.65","..7.51","..8.65","1,001"
03/29/2023,"..8.65","..7.81","..7.52","..8.65","3,260"
03/28/2023,"..8.65","..8.19","..7.82","..8.65","4,915"
03/27/2023,"..8.65","..8.22","..7.91","..8.65","6,076"
03/23/2023,"..8.65","..8.50","..8.48","..8.65","1,170"
03/22/2023,"..8.65","..8.86","..8.11","..8.65","33,854"
03/21/2023,"..9.00","..8.95","..8.00","..8.65","128,209"
03/20/2023,"..9.00","..9.00","..8.00","..9.00","5,939"
03/16/2023,"..9.00","..9.00","..7.20","..9.00","3,701"
03/15/2023,"..9.00","..9.00","..7.20","..9.00","26,894"
03/14/2023,"..9.00","..9.00","..8.25","..9.00","3,201"
03/13/2023,"..9.00","..9.00","..7.62","..9.00","16,775"
03/09/2023,"..9.00","..9.20","..8.81","..9.00","21,181"
03/08/2023,"..8.96","..9.26","..8.84","..9.00","73,961"
03/07/2023,"..9.14","..9.35","..8.90","..8.96","79,804"
03/06/2023,"..8.81","..9.55","..8.92","..9.14","116,111"
03/02/2023,"..9.75","..9.49","..9.12","..9.75","13,615"
03/01/2023,"..9.75","..9.80","..9.30","..9.75","23,069"
02/28/2023,"..8.90","..9.94","..8.95","..9.75","291,725"
02/27/2023,"..9.09","..9.01","..8.38","..8.90","97,388"
02/23/2023,"..9.45","..10.00","..9.02","..9.09","84,430"
02/22/2023,"..9.17","..9.68","..8.25","..9.45","55,252"
02/21/2023,"..9.17","..9.17","..8.21","..9.17","2,668"
02/20/2023,"..9.17","..9.17","..8.13","..9.17","24,586"
02/16/2023,"..9.17","..9.69","..9.00","..9.17","9,093"
02/15/2023,"..10.05","..9.45","..9.01","..9.17","49,810"
02/14/2023,"..10.00","..10.50","..9.10","..10.05","43,506"
02/13/2023,"..10.00","..10.00","..9.02","..10.00","7,961"
02/09/2023,"..10.00","..9.17","..9.12","..10.00","3,724"
02/08/2023,"..10.40","..10.48","..10.00","..10.00","47,850"
02/07/2023,"..9.16","..10.70","..9.02","..10.40","32,565"
02/06/2023,"..9.16","..9.10","..9.10","..9.16","10,000"
02/02/2023,"..9.04","..9.40","..9.00","..9.16","100,733"
02/01/2023,"..9.04","..9.36","..8.02","..9.04","2,022"
01/31/2023,"..8.68","..9.36","..7.96","..9.04","101,537"
