Date,Open,High,Low,Close,Volume
09/21/2023,"..103.65","..104.00","..102.62","..103.55","8,437"
09/20/2023,"..103.85","..104.00","..102.51","..103.65","4,287"
09/19/2023,"..104.72","..106.89","..103.00","..103.85","4,483"
09/18/2023,"..104.61","..109.00","..101.10","..104.72","7,579"
09/14/2023,"..98.04","..100.00","..97.20","..99.88","7,192"
09/13/2023,"..97.81","..98.20","..97.18","..98.04","3,494"
09/12/2023,"..98.04","..98.09","..97.28","..97.81","5,741"
09/11/2023,"..98.12","..98.35","..97.21","..98.04","7,322"
09/07/2023,"..98.47","..98.40","..97.10","..97.86","8,300"
09/06/2023,"..97.99","..98.99","..97.50","..98.47","12,172"
09/05/2023,"..97.75","..98.00","..97.50","..97.99","14,716"
09/04/2023,"..95.92","..100.50","..95.12","..97.75","29,251"
08/31/2023,"..95.79","..96.25","..95.01","..96.17","20,829"
08/30/2023,"..95.80","..96.00","..95.25","..95.79","3,567"
08/29/2023,"..94.89","..95.92","..94.58","..95.80","10,072"
08/28/2023,"..95.08","..96.50","..94.05","..94.89","10,369"
08/24/2023,"..94.07","..95.95","..93.09","..95.11","22,566"
08/23/2023,"..94.08","..95.00","..92.60","..94.07","9,444"
08/22/2023,"..91.79","..95.25","..91.55","..94.08","24,971"
08/21/2023,"..92.44","..93.84","..91.36","..91.79","4,590"
08/17/2023,"..91.06","..92.50","..90.13","..91.97","9,922"
08/16/2023,"..89.26","..92.00","..88.75","..91.06","16,854"
08/15/2023,"..88.75","..89.60","..88.61","..89.26","9,914"
08/14/2023,"..89.12","..89.88","..88.55","..88.75","5,508"
08/10/2023,"..89.10","..90.00","..88.11","..88.79","7,559"
08/09/2023,"..88.02","..89.75","..88.00","..89.10","19,812"
08/08/2023,"..88.12","..89.88","..87.50","..88.02","9,190"
08/07/2023,"..88.46","..92.29","..88.00","..88.12","17,147"
08/03/2023,"..95.30","..96.00","..89.90","..90.69","11,555"
08/02/2023,"..98.36","..98.36","..94.01","..95.30","5,852"
08/01/2023,"..98.18","..103.00","..96.00","..98.36","3,509"
07/31/2023,"..98.18","..103.99","..98.75","..98.18","2,324"
07/27/2023,"..98.18","..108.98","..104.00","..98.18","1,791"
07/26/2023,"..98.18","..109.00","..105.25","..98.18","3,480"
07/25/2023,"..98.18","..110.00","..101.25","..98.18","4,097"
07/24/2023,"..98.18","..110.00","..102.00","..98.18","2,842"
07/19/2023,"..98.18","..115.00","..97.02","..98.18","2,658"
07/18/2023,"..94.72","..100.00","..93.00","..98.18","7,408"
07/17/2023,"..93.89","..95.50","..91.03","..94.72","3,327"
07/13/2023,"..92.97","..92.75","..92.00","..92.70","3,827"
07/12/2023,"..92.67","..93.50","..91.50","..92.97","3,282"
07/11/2023,"..91.05","..93.00","..92.00","..92.67","4,799"
07/10/2023,"..91.53","..93.00","..86.01","..91.05","4,071"
07/06/2023,"..94.12","..96.00","..75.50","..85.52","6,457"
07/05/2023,"..92.26","..94.97","..91.00","..94.12","6,048"
07/04/2023,"..89.75","..94.00","..91.20","..92.26","3,721"
06/26/2023,"..88.91","..91.49","..85.50","..89.75","3,346"
06/22/2023,"..90.16","..90.00","..87.90","..88.60","3,714"
06/21/2023,"..91.03","..91.24","..89.08","..90.16","4,866"
06/20/2023,"..91.96","..92.00","..90.00","..91.03","8,347"
06/19/2023,"..90.48","..93.00","..90.02","..91.96","3,681"
06/15/2023,"..89.62","..91.00","..88.50","..90.10","7,412"
06/14/2023,"..90.85","..92.43","..88.02","..89.62","5,478"
06/13/2023,"..90.98","..93.49","..89.00","..90.85","4,709"
06/12/2023,"..91.12","..100.80","..89.76","..90.98","11,315"
06/08/2023,"..91.22","..92.40","..89.20","..90.32","4,534"
06/07/2023,"..92.07","..92.20","..90.40","..91.22","6,849"
06/06/2023,"..92.30","..92.60","..92.00","..92.07","12,485"
06/05/2023,"..91.66","..92.60","..91.20","..92.30","13,757"
06/01/2023,"..92.23","..92.78","..91.21","..92.07","5,017"
05/31/2023,"..92.15","..93.98","..92.00","..92.23","7,429"
05/30/2023,"..92.90","..94.40","..92.00","..92.15","12,440"
05/29/2023,"..90.29","..93.60","..91.20","..92.90","15,327"
05/25/2023,"..88.00","..90.40","..88.00","..89.30","11,245"
05/24/2023,"..86.92","..88.80","..87.20","..88.00","3,531"
05/23/2023,"..87.39","..91.98","..86.01","..86.92","4,529"
05/22/2023,"..85.15","..92.00","..84.01","..87.39","3,437"
05/18/2023,"..86.23","..86.98","..82.73","..85.26","4,019"
05/17/2023,"..86.18","..89.60","..84.81","..86.23","3,520"
05/16/2023,"..90.55","..90.00","..84.00","..86.18","7,311"
05/15/2023,"..90.90","..92.80","..89.60","..90.55","4,071"
05/11/2023,"..91.28","..93.52","..90.40","..90.98","3,299"
05/10/2023,"..90.70","..92.58","..89.60","..91.28","5,415"
05/09/2023,"..91.37","..92.80","..89.60","..90.70","4,832"
05/08/2023,"..90.23","..94.80","..88.83","..91.37","3,390"
05/03/2023,"..92.48","..95.98","..90.80","..91.76","3,286"
05/02/2023,"..93.54","..95.39","..92.00","..92.48","3,219"
05/01/2023,"..96.42","..95.84","..92.96","..93.54","6,926"
04/27/2023,"..96.10","..98.00","..93.82","..95.82","4,354"
04/26/2023,"..97.29","..99.20","..93.60","..96.10","6,832"
04/19/2023,"..97.85","..100.80","..96.81","..97.29","6,860"
04/18/2023,"..96.26","..100.00","..93.84","..97.85","4,502"
04/13/2023,"..91.84","..99.76","..90.40","..96.26","7,291"
04/12/2023,"..92.01","..94.40","..89.60","..91.84","4,004"
04/11/2023,"..92.78","..93.60","..90.80","..92.01","5,169"
04/10/2023,"..92.33","..95.91","..90.41","..92.78","11,015"
04/06/2023,"..94.29","..95.20","..90.80","..91.87","5,157"
04/05/2023,"..97.59","..100.80","..93.60","..94.29","4,262"
04/04/2023,"..93.86","..103.19","..92.01","..97.59","9,612"
04/03/2023,"..92.20","..98.39","..91.99","..93.86","4,570"
03/30/2023,"..91.20","..100.00","..89.60","..91.99","5,239"
03/29/2023,"..92.86","..97.39","..88.20","..91.20","25,962"
03/28/2023,"..92.86","..102.00","..88.00","..92.86","1,419"
03/27/2023,"..90.54","..95.18","..88.00","..92.86","7,702"
03/23/2023,"..90.81","..102.40","..83.24","..90.81","2,537"
03/22/2023,"..81.53","..96.00","..84.00","..90.81","3,369"
03/21/2023,"..81.53","..83.20","..79.20","..81.53","357"
03/16/2023,"..82.72","..82.40","..75.20","..81.53","3,872"
03/15/2023,"..82.72","..84.44","..81.61","..82.72","1,350"
03/14/2023,"..82.72","..83.60","..81.20","..82.72","619"
03/13/2023,"..84.43","..85.19","..82.40","..82.72","3,587"
03/09/2023,"..85.40","..86.79","..84.01","..85.40","792"
03/08/2023,"..85.40","..87.19","..85.37","..85.40","1,152"
03/07/2023,"..85.40","..87.00","..85.28","..85.40","300"
