Date,Open,High,Low,Close,Volume
09/21/2023,"..15.28","..15.54","..14.50","..15.54","2,614"
09/19/2023,"..15.15","..15.88","..15.15","..15.54","1,741"
09/18/2023,"..15.50","..15.90","..15.12","..15.54","19,187"
09/14/2023,"..14.00","..15.99","..14.00","..15.53","46,691"
09/13/2023,"..14.00","..14.00","..13.70","..13.89","7,950"
09/12/2023,"..13.50","..14.00","..13.50","..13.89","8,850"
09/11/2023,"..14.10","..14.10","..13.50","..13.89","22,591"
09/07/2023,"..13.50","..13.51","..13.37","..13.58","1,732"
09/06/2023,"..13.59","..14.15","..13.35","..13.58","8,074"
09/05/2023,"..13.40","..13.88","..13.34","..13.58","23,328"
09/04/2023,"..13.22","..14.20","..13.22","..13.16","7,910"
08/31/2023,"..14.10","..14.71","..13.53","..14.71","21,034"
08/30/2023,"..14.10","..14.85","..13.95","..14.71","16,199"
08/29/2023,"..13.50","..15.18","..13.50","..14.71","54,662"
08/28/2023,"..14.63","..14.65","..13.32","..14.08","23,816"
08/24/2023,"..13.89","..15.85","..13.89","..15.12","167,580"
08/23/2023,"..13.69","..14.13","..13.04","..13.68","46,528"
08/22/2023,"..11.20","..13.70","..11.20","..13.17","86,556"
08/21/2023,"..12.00","..12.00","..11.30","..11.50","33,152"
08/17/2023,"..11.90","..11.90","..11.74","..11.85","4,253"
08/16/2023,"..11.94","..11.94","..11.70","..11.85","1,268"
08/15/2023,"..11.91","..11.99","..11.67","..11.85","20,730"
08/14/2023,"..11.82","..12.00","..11.70","..11.85","35,491"
08/10/2023,"..11.55","..12.50","..11.50","..12.12","100,683"
08/09/2023,"..11.21","..11.55","..11.15","..11.80","6,203"
08/08/2023,"..11.50","..11.67","..11.20","..11.80","4,776"
08/07/2023,"..11.67","..11.80","..11.00","..11.80","11,746"
08/03/2023,"..10.66","..11.80","..10.50","..11.80","14,974"
08/02/2023,"..10.90","..11.38","..10.65","..11.80","10,074"
08/01/2023,"..11.44","..11.44","..10.86","..11.80","492"
07/31/2023,"..10.99","..11.70","..10.75","..11.80","20,617"
07/27/2023,"..10.96","..11.80","..10.50","..11.80","15,633"
07/26/2023,"..10.81","..11.80","..10.81","..11.80","2,889"
