Date,Open,High,Low,Close,Volume
09/21/2023,"..17.17","..18.10","..16.77","..18.00","215,349"
09/20/2023,"..17.24","..17.42","..16.90","..17.17","71,577"
09/19/2023,"..17.03","..17.36","..16.92","..17.24","44,785"
09/18/2023,"..17.06","..17.20","..17.00","..17.03","25,737"
09/14/2023,"..16.82","..17.20","..16.80","..17.00","66,202"
09/13/2023,"..16.73","..16.98","..16.65","..16.82","26,955"
09/12/2023,"..16.88","..16.99","..16.66","..16.73","51,314"
09/11/2023,"..17.00","..17.15","..16.82","..16.88","38,646"
09/07/2023,"..17.18","..17.42","..17.05","..17.36","86,816"
09/06/2023,"..17.77","..17.90","..17.05","..17.18","126,282"
09/05/2023,"..18.21","..18.56","..17.67","..17.77","129,093"
09/04/2023,"..18.26","..18.55","..17.92","..18.21","173,829"
08/31/2023,"..17.46","..17.68","..17.20","..17.43","60,983"
08/30/2023,"..17.69","..17.65","..17.35","..17.46","46,629"
08/29/2023,"..17.48","..17.80","..17.33","..17.69","40,704"
08/28/2023,"..17.57","..17.79","..17.06","..17.48","90,243"
08/24/2023,"..17.34","..17.90","..17.10","..17.51","73,891"
08/23/2023,"..17.20","..18.45","..17.27","..17.34","198,233"
08/22/2023,"..17.59","..17.40","..17.16","..17.20","79,821"
08/21/2023,"..17.59","..17.68","..17.14","..17.59","9,488"
08/17/2023,"..17.59","..17.75","..17.20","..17.59","7,283"
08/16/2023,"..17.69","..18.00","..17.50","..17.59","54,290"
08/15/2023,"..17.27","..17.94","..17.08","..17.69","74,678"
08/14/2023,"..17.00","..17.61","..16.70","..17.27","79,277"
08/10/2023,"..17.00","..17.15","..16.80","..17.00","3,946"
08/09/2023,"..17.00","..17.09","..16.80","..17.00","2,120"
08/08/2023,"..17.00","..17.19","..16.65","..17.00","8,222"
08/07/2023,"..17.00","..17.30","..16.61","..17.00","10,948"
08/03/2023,"..17.00","..17.25","..16.73","..17.00","2,149"
08/02/2023,"..17.00","..17.10","..16.70","..17.00","5,583"
08/01/2023,"..17.98","..17.39","..16.90","..17.00","24,556"
07/31/2023,"..17.98","..17.48","..17.10","..17.98","5,656"
07/27/2023,"..17.98","..17.50","..17.01","..17.98","1,550"
07/26/2023,"..17.98","..17.88","..17.00","..17.98","9,898"
07/25/2023,"..17.98","..17.90","..17.21","..17.98","1,936"
07/24/2023,"..17.98","..18.09","..17.27","..17.98","5,670"
07/19/2023,"..17.73","..18.00","..17.20","..17.98","26,679"
07/18/2023,"..17.73","..17.94","..16.61","..17.73","4,246"
07/17/2023,"..17.73","..17.62","..17.60","..17.73","1,620"
07/13/2023,"..16.47","..17.97","..16.72","..17.73","23,248"
07/12/2023,"..16.47","..17.50","..16.70","..16.47","6,428"
07/11/2023,"..16.47","..17.39","..16.65","..16.47","3,691"
07/10/2023,"..18.10","..17.66","..16.00","..16.47","33,696"
07/06/2023,"..18.10","..17.79","..17.28","..18.10","5,549"
07/05/2023,"..18.10","..18.05","..17.29","..18.10","4,330"
07/04/2023,"..18.11","..18.35","..17.13","..18.10","38,632"
06/26/2023,"..18.11","..17.28","..16.50","..18.11","7,234"
06/22/2023,"..18.11","..17.50","..17.01","..18.11","15,465"
06/21/2023,"..18.11","..17.96","..17.06","..18.11","4,690"
06/20/2023,"..18.11","..17.90","..17.50","..18.11","8,474"
06/19/2023,"..18.11","..18.14","..17.57","..18.11","3,420"
06/15/2023,"..18.11","..17.85","..17.20","..18.11","9,581"
06/14/2023,"..18.11","..18.43","..17.50","..18.11","6,096"
06/13/2023,"..18.52","..18.70","..17.31","..18.11","19,311"
06/12/2023,"..18.52","..18.89","..18.03","..18.52","2,967"
06/08/2023,"..19.94","..19.13","..18.41","..18.52","59,781"
06/07/2023,"..20.00","..20.00","..18.26","..19.94","23,215"
06/06/2023,"..19.40","..20.20","..19.07","..20.00","102,397"
06/05/2023,"..18.92","..21.97","..18.98","..19.40","152,497"
06/01/2023,"..17.22","..19.00","..17.01","..18.97","181,204"
05/31/2023,"..17.79","..17.97","..16.81","..17.22","81,609"
05/30/2023,"..16.29","..18.00","..15.23","..17.79","205,443"
05/29/2023,"..16.43","..16.60","..15.93","..16.29","43,064"
05/25/2023,"..14.53","..14.69","..14.28","..14.42","39,037"
05/24/2023,"..14.25","..14.70","..14.30","..14.53","38,020"
05/23/2023,"..14.10","..14.55","..14.17","..14.25","48,566"
05/22/2023,"..14.00","..14.39","..14.02","..14.10","50,667"
05/18/2023,"..14.00","..14.00","..13.11","..14.00","16,492"
05/17/2023,"..14.46","..14.01","..13.83","..14.00","41,911"
05/16/2023,"..14.46","..14.45","..13.86","..14.46","20,800"
05/15/2023,"..14.46","..14.48","..14.11","..14.46","8,199"
05/11/2023,"..14.54","..14.64","..14.00","..14.16","92,648"
05/10/2023,"..14.54","..14.53","..14.15","..14.54","11,415"
05/09/2023,"..14.54","..14.94","..14.50","..14.54","23,299"
05/08/2023,"..14.35","..14.89","..13.90","..14.54","36,598"
05/03/2023,"..14.82","..14.99","..14.20","..14.35","30,129"
05/02/2023,"..14.82","..14.99","..14.50","..14.82","10,359"
05/01/2023,"..15.32","..15.25","..14.50","..14.82","25,912"
04/27/2023,"..15.58","..15.70","..15.20","..15.38","115,848"
04/26/2023,"..15.58","..15.85","..15.11","..15.58","11,714"
04/19/2023,"..15.65","..15.98","..15.32","..15.58","84,178"
04/18/2023,"..16.19","..15.90","..15.50","..15.65","61,985"
04/13/2023,"..16.10","..16.58","..16.00","..16.19","171,699"
04/12/2023,"..15.95","..16.30","..15.62","..16.10","101,801"
04/11/2023,"..15.46","..16.06","..15.41","..15.95","107,904"
04/10/2023,"..15.24","..15.50","..15.10","..15.46","23,015"
04/06/2023,"..15.52","..15.80","..15.36","..15.40","26,594"
04/05/2023,"..15.35","..15.80","..15.25","..15.52","71,148"
04/04/2023,"..15.07","..15.49","..15.01","..15.35","52,729"
04/03/2023,"..15.09","..15.64","..14.82","..15.07","122,080"
03/30/2023,"..14.83","..15.69","..14.57","..15.09","122,011"
03/29/2023,"..15.00","..15.00","..14.54","..14.83","40,337"
03/28/2023,"..14.86","..15.28","..14.76","..15.00","65,983"
03/27/2023,"..14.67","..15.30","..14.24","..14.86","69,978"
03/23/2023,"..13.79","..14.39","..14.00","..13.79","5,850"
03/22/2023,"..14.09","..14.65","..13.55","..13.79","39,483"
03/21/2023,"..13.06","..14.30","..13.15","..14.09","82,849"
03/20/2023,"..12.24","..13.50","..12.40","..13.06","29,201"
03/16/2023,"..11.81","..12.99","..11.01","..12.24","31,121"
03/15/2023,"..13.68","..14.23","..11.00","..11.81","142,846"
03/14/2023,"..13.59","..13.99","..13.18","..13.68","57,457"
03/13/2023,"..14.40","..14.31","..13.55","..13.59","42,043"
03/09/2023,"..15.40","..15.50","..15.00","..15.06","69,735"
03/08/2023,"..15.53","..15.80","..15.11","..15.40","121,938"
03/07/2023,"..14.99","..15.88","..14.75","..15.53","666,033"
03/06/2023,"..14.94","..15.20","..14.86","..14.99","71,886"
03/02/2023,"..15.10","..15.38","..14.91","..15.14","141,589"
03/01/2023,"..14.38","..15.75","..14.38","..15.10","371,292"
02/28/2023,"..14.52","..14.50","..14.35","..14.38","26,040"
02/27/2023,"..14.57","..14.78","..14.43","..14.52","28,185"
02/23/2023,"..14.80","..14.69","..14.15","..14.48","29,422"
02/22/2023,"..14.80","..14.80","..14.07","..14.80","16,848"
02/21/2023,"..14.80","..14.50","..14.06","..14.80","10,992"
02/20/2023,"..14.80","..14.80","..14.07","..14.80","14,699"
02/16/2023,"..14.52","..14.72","..13.72","..14.65","112,150"
02/15/2023,"..14.58","..14.60","..14.43","..14.52","74,133"
02/14/2023,"..14.72","..14.88","..14.35","..14.58","70,063"
02/13/2023,"..14.00","..14.90","..14.17","..14.72","87,156"
02/09/2023,"..14.00","..14.20","..13.62","..14.00","20,043"
02/08/2023,"..14.00","..14.00","..13.86","..14.00","38,786"
02/07/2023,"..13.79","..14.01","..13.63","..14.00","55,177"
02/06/2023,"..13.79","..13.99","..13.50","..13.79","26,714"
02/02/2023,"..14.95","..14.80","..13.51","..14.07","221,892"
02/01/2023,"..14.95","..14.95","..14.20","..14.95","14,727"
01/31/2023,"..15.00","..15.30","..14.80","..14.95","61,596"
01/30/2023,"..15.12","..15.30","..14.60","..15.00","163,165"
01/25/2023,"..14.81","..15.14","..14.72","..14.94","73,464"
01/24/2023,"..15.02","..15.06","..14.75","..14.81","106,275"
01/23/2023,"..15.26","..15.38","..14.90","..15.02","359,947"
01/19/2023,"..13.90","..14.69","..13.90","..14.49","898,828"
01/18/2023,"..13.99","..14.20","..13.90","..13.90","41,731"
01/17/2023,"..13.99","..14.18","..13.85","..13.99","20,315"
01/16/2023,"..13.71","..14.01","..13.40","..13.99","89,710"
01/12/2023,"..13.71","..13.99","..13.53","..13.71","14,045"
01/11/2023,"..13.78","..14.00","..13.66","..13.71","27,359"
01/10/2023,"..14.43","..14.40","..13.65","..13.78","84,799"
01/09/2023,"..14.44","..14.97","..14.20","..14.43","106,609"
01/05/2023,"..14.44","..14.50","..14.26","..14.44","16,165"
01/04/2023,"..14.50","..14.55","..13.71","..14.44","99,778"
01/03/2023,"..14.50","..14.59","..14.15","..14.50","7,024"
01/02/2023,"..14.32","..14.70","..13.50","..14.50","30,639"
12/29/2022,"..13.85","..14.38","..13.81","..14.32","94,129"
12/28/2022,"..13.84","..14.10","..13.80","..13.85","29,652"
12/27/2022,"..13.81","..14.00","..13.80","..13.84","36,057"
12/26/2022,"..13.81","..14.10","..13.81","..13.81","8,213"
12/22/2022,"..14.05","..14.20","..14.00","..14.00","55,204"
12/21/2022,"..14.05","..14.45","..13.61","..14.05","19,224"
12/20/2022,"..14.29","..14.25","..14.00","..14.05","31,133"
12/19/2022,"..14.44","..14.70","..14.20","..14.29","173,640"
12/15/2022,"..14.50","..14.69","..13.86","..14.00","81,617"
12/14/2022,"..14.48","..14.79","..14.00","..14.50","112,798"
12/13/2022,"..13.98","..14.60","..14.00","..14.48","262,714"
12/12/2022,"..14.19","..14.24","..13.65","..13.98","52,543"
12/08/2022,"..14.30","..14.60","..14.21","..14.42","131,366"
12/07/2022,"..14.03","..14.55","..13.76","..14.30","639,530"
12/06/2022,"..13.32","..14.28","..13.10","..14.03","1,011,877"
12/05/2022,"..13.53","..13.84","..13.06","..13.32","169,998"
12/01/2022,"..12.24","..13.00","..12.20","..12.97","371,318"
11/30/2022,"..12.37","..12.45","..12.00","..12.24","234,746"
11/29/2022,"..12.49","..12.51","..12.22","..12.37","131,036"
11/28/2022,"..12.67","..12.80","..12.47","..12.49","83,304"
11/24/2022,"..12.33","..12.33","..12.07","..12.22","73,294"
11/23/2022,"..12.43","..12.51","..12.25","..12.33","110,570"
11/22/2022,"..12.19","..12.50","..11.90","..12.43","1,012,988"
11/21/2022,"..12.32","..12.51","..12.02","..12.19","333,155"
11/17/2022,"..12.00","..12.34","..11.95","..12.04","483,479"
11/16/2022,"..11.84","..12.20","..11.72","..12.00","126,067"
11/15/2022,"..11.67","..12.27","..11.61","..11.84","320,323"
11/14/2022,"..11.10","..11.77","..11.12","..11.67","200,067"
11/10/2022,"..10.64","..10.95","..10.60","..10.64","4,783"
11/09/2022,"..10.79","..11.00","..10.61","..10.64","45,951"
11/08/2022,"..10.93","..11.11","..10.71","..10.79","36,679"
11/07/2022,"..11.01","..11.11","..10.90","..10.93","60,815"
11/03/2022,"..11.01","..11.15","..10.80","..11.01","26,751"
11/02/2022,"..11.53","..11.70","..10.96","..11.01","122,926"
11/01/2022,"..11.21","..11.75","..11.25","..11.53","56,578"
10/31/2022,"..11.21","..11.60","..11.11","..11.21","21,350"
