Date,Open,High,Low,Close,Volume
09/20/2023,"..1.13","..1.14","..1.05","..1.09","581,932"
09/18/2023,"..1.16","..1.16","..1.07","..1.07","1,395,947"
09/13/2023,"..1.09","..1.17","..1.09","..1.12","168,763"
09/11/2023,"..1.16","..1.16","..1.09","..1.15","1,086,908"
09/06/2023,"..1.09","..1.15","..1.06","..1.13","904,764"
09/04/2023,"..1.15","..1.18","..1.04","..1.07","489,920"
08/30/2023,"..1.07","..1.15","..1.03","..1.09","1,334,615"
08/28/2023,"..1.22","..1.22","..1.01","..1.12","611,095"
08/23/2023,"..1.18","..1.23","..1.16","..1.20","983,066"
08/21/2023,"..1.13","..1.19","..1.10","..1.17","736,053"
08/16/2023,"..1.03","..1.12","..1.03","..1.12","778,296"
08/14/2023,"..1.08","..1.09","..1.03","..1.07","664,595"
08/09/2023,"..1.09","..1.09","..1.00","..1.05","294,641"
08/07/2023,"..1.05","..1.05","..0.99","..1.04","702,033"
08/02/2023,"..1.12","..1.12","..0.99","..1.01","956,804"
07/31/2023,"..1.14","..1.14","..1.00","..1.04","608,707"
07/26/2023,"..1.12","..1.15","..1.05","..1.11","462,158"
07/24/2023,"..1.12","..1.12","..1.06","..1.11","238,432"
07/19/2023,"..1.12","..1.12","..1.05","..1.07","117,833"
07/17/2023,"..1.08","..1.12","..1.02","..1.02","143,383"
07/12/2023,"..1.14","..1.14","..0.99","..1.09","251,260"
07/10/2023,"..1.15","..1.15","..1.01","..1.07","334,375"
07/05/2023,"..1.19","..1.20","..1.09","..1.10","337,170"
06/26/2023,"..1.19","..1.19","..1.10","..1.10","202,539"
06/21/2023,"..1.13","..1.20","..1.13","..1.15","622,081"
06/19/2023,"..1.21","..1.21","..1.13","..1.13","586,889"
06/14/2023,"..1.20","..1.20","..1.12","..1.13","390,307"
06/12/2023,"..1.20","..1.20","..1.14","..1.16","423,621"
06/07/2023,"..1.26","..1.26","..1.15","..1.18","575,611"
06/05/2023,"..1.26","..1.27","..1.15","..1.20","464,461"
05/31/2023,"..1.27","..1.27","..1.14","..1.18","406,273"
05/29/2023,"..1.26","..1.27","..1.16","..1.20","750,198"
05/24/2023,"..1.11","..1.25","..1.11","..1.22","1,044,263"
05/22/2023,"..1.19","..1.19","..1.11","..1.17","421,778"
05/17/2023,"..1.01","..1.22","..1.01","..1.16","685,960"
05/15/2023,"..1.29","..1.29","..1.11","..1.12","791,269"
05/10/2023,"..1.03","..1.24","..1.01","..1.20","1,633,984"
05/08/2023,"..1.02","..1.02","..0.97","..1.00","457,988"
05/03/2023,"..1.04","..1.04","..0.96","..0.98","211,992"
05/01/2023,"..1.01","..1.05","..0.95","..0.99","527,729"
04/26/2023,"..1.02","..1.03","..0.99","..1.01","214,805"
04/19/2023,"..1.00","..1.07","..1.00","..1.01","395,548"
04/12/2023,"..1.00","..1.07","..0.98","..1.02","487,277"
04/10/2023,"..1.09","..1.09","..1.00","..1.03","416,924"
04/05/2023,"..1.04","..1.09","..1.04","..1.06","194,252"
04/03/2023,"..1.10","..1.10","..1.03","..1.07","362,676"
03/29/2023,"..1.04","..1.07","..1.00","..1.04","575,244"
03/27/2023,"..0.98","..1.02","..0.94","..0.99","1,149,811"
03/22/2023,"..0.90","..0.95","..0.89","..0.92","882,405"
03/20/2023,"..0.93","..0.93","..0.84","..0.86","911,177"
03/15/2023,"..0.80","..0.95","..0.80","..0.90","387,938"
03/13/2023,"..1.04","..1.04","..0.87","..0.91","452,833"
03/08/2023,"..1.02","..1.02","..0.97","..0.98","681,733"
03/06/2023,"..1.03","..1.03","..0.99","..1.00","772,103"
03/01/2023,"..1.02","..1.05","..1.00","..1.02","668,047"
02/27/2023,"..0.99","..1.04","..0.98","..1.00","539,496"
02/22/2023,"..1.07","..1.07","..0.98","..1.01","502,162"
02/20/2023,"..1.12","..1.12","..1.00","..1.04","581,813"
02/15/2023,"..1.11","..1.14","..1.07","..1.10","456,278"
02/13/2023,"..1.14","..1.14","..1.08","..1.10","413,015"
02/08/2023,"..1.03","..1.10","..1.01","..1.05","1,058,824"
02/06/2023,"..1.08","..1.12","..1.02","..1.06","792,622"
02/01/2023,"..1.15","..1.19","..1.07","..1.11","826,193"
01/30/2023,"..1.24","..1.24","..1.14","..1.17","468,786"
01/25/2023,"..1.33","..1.33","..1.22","..1.24","1,152,735"
01/23/2023,"..1.18","..1.34","..1.15","..1.23","1,330,351"
01/18/2023,"..1.11","..1.20","..1.10","..1.15","1,148,812"
01/16/2023,"..1.16","..1.17","..1.09","..1.12","1,016,005"
01/11/2023,"..1.25","..1.35","..1.16","..1.24","693,470"
01/09/2023,"..1.33","..1.40","..1.25","..1.31","1,478,815"
01/04/2023,"..1.36","..1.40","..1.31","..1.34","1,450,383"
01/02/2023,"..1.40","..1.44","..1.37","..1.40","1,304,425"
12/28/2022,"..1.50","..1.50","..1.38","..1.42","1,131,879"
12/26/2022,"..1.90","..1.90","..1.35","..1.48","2,276,873"
12/21/2022,"..3.00","..3.00","..1.60","..1.92","1,839,991"
