Date,Open,High,Low,Close,Volume
09/21/2023,"..24.78","..25.01","..24.50","..25.00","91,058"
09/20/2023,"..25.51","..25.95","..24.53","..24.78","69,367"
09/19/2023,"..25.69","..25.97","..25.50","..25.51","37,553"
09/18/2023,"..25.92","..25.98","..25.52","..25.69","37,860"
09/14/2023,"..25.50","..25.70","..25.00","..25.48","231,216"
09/13/2023,"..25.49","..25.60","..25.33","..25.50","80,096"
09/12/2023,"..25.54","..26.00","..25.40","..25.49","55,200"
09/11/2023,"..25.51","..25.80","..25.50","..25.54","72,590"
09/07/2023,"..25.55","..26.45","..25.10","..25.77","64,711"
09/06/2023,"..26.00","..26.69","..25.50","..25.55","67,481"
09/05/2023,"..26.55","..26.49","..25.61","..26.00","187,924"
09/04/2023,"..26.55","..26.53","..26.00","..26.55","6,419"
08/31/2023,"..26.54","..26.60","..26.00","..26.51","44,097"
08/30/2023,"..26.19","..26.60","..25.52","..26.54","240,361"
08/29/2023,"..25.48","..26.69","..25.25","..26.19","96,502"
08/28/2023,"..25.12","..25.60","..24.86","..25.48","49,834"
08/24/2023,"..23.81","..25.60","..23.83","..25.00","109,362"
08/23/2023,"..23.32","..24.40","..23.31","..23.81","70,425"
08/22/2023,"..22.40","..23.76","..22.11","..23.32","183,610"
08/21/2023,"..22.47","..22.70","..22.02","..22.40","32,285"
08/17/2023,"..22.18","..22.50","..22.19","..22.32","21,338"
08/16/2023,"..22.55","..22.85","..22.00","..22.18","54,908"
08/15/2023,"..22.56","..22.85","..22.31","..22.55","14,717"
08/14/2023,"..22.71","..22.90","..22.50","..22.56","65,933"
08/10/2023,"..19.87","..22.70","..20.05","..22.00","650,738"
08/09/2023,"..19.99","..20.15","..19.65","..19.87","32,784"
08/08/2023,"..20.03","..20.25","..19.85","..19.99","25,397"
08/07/2023,"..19.72","..20.25","..19.80","..20.03","25,680"
08/03/2023,"..19.72","..20.04","..19.75","..19.72","11,776"
08/02/2023,"..19.72","..20.00","..19.82","..19.72","14,646"
08/01/2023,"..19.72","..20.18","..19.81","..19.72","6,672"
07/31/2023,"..19.72","..20.24","..19.84","..19.72","6,789"
07/27/2023,"..19.72","..20.00","..19.70","..19.72","8,718"
07/26/2023,"..19.85","..20.10","..19.70","..19.72","22,277"
07/25/2023,"..20.10","..20.50","..19.75","..19.85","83,363"
07/24/2023,"..20.27","..20.55","..20.01","..20.10","29,550"
07/19/2023,"..20.27","..20.49","..20.07","..20.27","13,885"
07/18/2023,"..20.19","..20.64","..20.19","..20.27","15,550"
07/17/2023,"..20.19","..20.65","..20.12","..20.19","13,040"
07/13/2023,"..20.50","..20.70","..20.01","..20.06","76,220"
07/12/2023,"..20.63","..20.75","..20.25","..20.50","24,048"
07/11/2023,"..20.18","..20.75","..20.12","..20.63","23,971"
07/10/2023,"..20.09","..21.00","..19.56","..20.18","35,538"
07/06/2023,"..20.51","..20.90","..20.11","..20.52","74,978"
07/05/2023,"..20.55","..20.60","..20.45","..20.51","44,525"
07/04/2023,"..20.48","..20.65","..20.32","..20.55","66,228"
06/26/2023,"..20.50","..20.79","..20.25","..20.48","20,841"
06/22/2023,"..20.02","..20.60","..19.90","..20.50","5,154,286"
06/21/2023,"..19.95","..20.09","..19.80","..20.02","75,522"
06/20/2023,"..19.98","..20.18","..19.70","..19.95","77,688"
06/19/2023,"..19.50","..20.35","..19.50","..19.98","71,783"
06/15/2023,"..19.93","..20.22","..19.50","..19.50","73,873"
06/14/2023,"..20.00","..20.40","..19.78","..19.93","197,128"
06/13/2023,"..20.10","..20.43","..19.60","..20.00","164,549"
06/12/2023,"..20.20","..20.49","..20.00","..20.10","217,864"
06/08/2023,"..19.47","..19.98","..19.45","..19.78","48,927"
06/07/2023,"..19.68","..19.68","..19.30","..19.47","50,243"
06/06/2023,"..19.34","..19.82","..19.01","..19.68","103,888"
06/05/2023,"..19.50","..19.55","..19.20","..19.34","87,764"
06/01/2023,"..19.30","..19.69","..18.50","..19.22","250,628"
05/31/2023,"..18.28","..19.50","..18.82","..19.30","667,336"
05/30/2023,"..17.83","..18.40","..18.00","..18.28","409,515"
05/29/2023,"..17.70","..18.14","..17.73","..17.83","229,568"
05/25/2023,"..17.41","..17.75","..17.25","..17.50","27,215"
05/24/2023,"..17.39","..17.59","..17.16","..17.41","68,016"
05/23/2023,"..17.39","..17.68","..17.25","..17.39","9,653"
05/22/2023,"..17.37","..17.78","..17.28","..17.39","35,450"
05/18/2023,"..17.50","..17.60","..17.30","..17.37","31,004"
05/17/2023,"..17.90","..18.00","..17.30","..17.50","85,355"
05/16/2023,"..18.00","..18.25","..17.75","..17.90","66,282"
05/15/2023,"..18.50","..18.70","..18.00","..18.00","156,229"
05/11/2023,"..17.20","..17.99","..17.00","..17.96","194,222"
05/10/2023,"..17.06","..17.20","..16.75","..17.20","102,914"
05/09/2023,"..17.01","..17.25","..16.90","..17.06","118,223"
05/08/2023,"..16.66","..17.10","..16.72","..17.01","116,239"
05/03/2023,"..17.32","..17.55","..16.90","..17.04","343,443"
05/02/2023,"..17.55","..17.78","..17.21","..17.32","101,518"
05/01/2023,"..18.02","..18.18","..17.40","..17.55","214,497"
04/27/2023,"..17.90","..18.30","..17.82","..18.16","178,834"
04/26/2023,"..17.77","..18.00","..17.77","..17.90","142,564"
04/19/2023,"..17.79","..18.25","..17.70","..17.77","353,622"
04/18/2023,"..19.44","..19.19","..17.47","..17.79","1,662,397"
04/13/2023,"..19.11","..19.50","..19.11","..19.44","46,296"
04/12/2023,"..19.32","..19.80","..19.02","..19.11","55,838"
04/11/2023,"..19.30","..19.99","..19.10","..19.32","29,002"
04/10/2023,"..19.15","..19.50","..19.00","..19.30","70,231"
04/06/2023,"..18.89","..19.15","..18.82","..19.03","25,391"
04/05/2023,"..18.89","..19.19","..18.81","..18.89","12,042"
04/04/2023,"..18.90","..19.15","..18.75","..18.89","53,831"
04/03/2023,"..18.41","..19.00","..18.72","..18.90","35,913"
03/30/2023,"..18.91","..19.18","..18.00","..18.34","86,611"
03/29/2023,"..19.00","..19.00","..18.62","..18.91","28,661"
03/28/2023,"..18.73","..19.37","..18.40","..19.00","37,084"
03/27/2023,"..19.22","..19.40","..18.50","..18.73","19,679"
03/23/2023,"..19.22","..19.70","..19.00","..19.22","11,668"
03/22/2023,"..19.72","..20.10","..18.60","..19.22","24,433"
03/21/2023,"..18.97","..19.95","..19.01","..19.72","19,047"
03/20/2023,"..19.03","..19.44","..18.64","..18.97","26,548"
03/16/2023,"..19.32","..20.00","..16.52","..19.33","199,583"
03/15/2023,"..20.14","..21.25","..19.00","..19.32","240,842"
03/14/2023,"..20.50","..20.98","..19.32","..20.14","31,582"
03/13/2023,"..21.00","..21.10","..20.35","..20.50","156,379"
03/09/2023,"..21.00","..21.49","..20.83","..21.21","253,889"
03/08/2023,"..21.16","..21.48","..20.28","..21.00","44,239"
03/07/2023,"..21.63","..21.85","..21.00","..21.16","31,524"
03/06/2023,"..21.00","..21.70","..20.86","..21.63","294,975"
03/02/2023,"..21.60","..22.08","..21.38","..21.56","69,667"
03/01/2023,"..21.98","..22.00","..21.15","..21.60","68,651"
02/28/2023,"..22.13","..22.49","..21.75","..21.98","35,109"
02/27/2023,"..21.98","..22.20","..21.62","..22.13","16,881"
02/23/2023,"..21.51","..21.88","..21.50","..21.79","30,330"
02/22/2023,"..21.63","..21.94","..21.01","..21.51","41,799"
02/21/2023,"..21.72","..21.97","..21.21","..21.63","37,838"
02/20/2023,"..22.01","..22.20","..20.01","..21.72","45,511"
02/16/2023,"..22.19","..22.34","..22.00","..22.02","59,747"
02/15/2023,"..21.70","..22.30","..21.50","..22.19","110,908"
02/14/2023,"..21.56","..21.99","..21.46","..21.70","179,607"
02/13/2023,"..21.58","..21.97","..21.25","..21.56","204,518"
02/09/2023,"..21.04","..21.95","..21.01","..21.60","59,056"
02/08/2023,"..20.64","..21.50","..20.40","..21.04","49,586"
02/07/2023,"..20.31","..20.92","..20.32","..20.64","55,175"
02/06/2023,"..19.99","..20.49","..19.90","..20.31","33,287"
02/02/2023,"..20.37","..20.97","..20.23","..20.48","78,715"
02/01/2023,"..20.97","..21.74","..20.05","..20.37","80,113"
01/31/2023,"..22.35","..22.20","..20.63","..20.97","77,791"
01/30/2023,"..22.70","..23.12","..22.02","..22.35","222,167"
01/25/2023,"..21.41","..22.59","..21.00","..21.64","403,907"
01/24/2023,"..20.73","..21.59","..20.54","..21.41","334,033"
01/23/2023,"..20.95","..21.60","..20.06","..20.73","328,484"
