Date,Open,High,Low,Close,Volume
09/21/2023,"..11.96","..12.12","..11.88","..11.96","5,177,812"
09/20/2023,"..12.18","..12.33","..11.90","..11.96","6,983,678"
09/19/2023,"..12.07","..12.38","..12.10","..12.18","6,714,792"
09/18/2023,"..12.15","..12.26","..12.03","..12.07","3,657,657"
09/14/2023,"..12.24","..12.50","..12.17","..12.32","7,702,567"
09/13/2023,"..12.13","..12.32","..11.96","..12.24","8,279,820"
09/12/2023,"..12.38","..12.53","..12.08","..12.13","9,775,702"
09/11/2023,"..12.25","..12.79","..12.29","..12.38","20,995,131"
09/07/2023,"..11.85","..11.98","..11.78","..11.91","2,024,165"
09/06/2023,"..11.96","..12.15","..11.82","..11.85","3,435,238"
09/05/2023,"..12.07","..12.24","..11.90","..11.96","3,942,947"
09/04/2023,"..11.80","..12.20","..11.72","..12.07","4,515,571"
08/31/2023,"..12.30","..12.39","..12.03","..12.08","6,284,592"
08/30/2023,"..12.00","..12.35","..11.92","..12.30","9,804,595"
08/29/2023,"..11.96","..12.26","..11.90","..12.00","9,614,805"
08/28/2023,"..12.21","..12.76","..11.85","..11.96","17,269,520"
08/24/2023,"..12.53","..12.59","..12.25","..12.30","9,640,820"
08/23/2023,"..12.89","..13.08","..12.35","..12.53","13,872,070"
08/22/2023,"..12.84","..13.22","..12.86","..12.89","13,143,550"
08/21/2023,"..12.50","..13.09","..12.30","..12.84","17,035,859"
08/17/2023,"..12.19","..12.37","..12.09","..12.35","6,628,433"
08/16/2023,"..12.07","..12.44","..11.98","..12.19","9,154,002"
08/15/2023,"..12.33","..12.49","..12.00","..12.07","7,632,403"
08/14/2023,"..12.30","..12.78","..12.33","..12.33","16,943,609"
08/10/2023,"..12.26","..12.50","..12.05","..12.06","9,298,269"
08/09/2023,"..11.80","..12.68","..11.80","..12.26","18,569,330"
08/08/2023,"..12.20","..12.33","..11.71","..11.80","13,013,640"
08/07/2023,"..12.12","..12.46","..11.67","..12.20","21,103,330"
08/03/2023,"..10.72","..10.95","..10.70","..10.89","3,162,310"
08/02/2023,"..10.80","..11.00","..10.70","..10.72","3,748,887"
08/01/2023,"..11.09","..11.13","..10.66","..10.80","4,172,350"
07/31/2023,"..10.62","..11.10","..10.62","..11.09","4,461,802"
07/27/2023,"..10.53","..10.60","..10.44","..10.46","1,897,397"
07/26/2023,"..10.50","..10.62","..10.36","..10.53","2,914,851"
07/25/2023,"..10.77","..10.97","..10.45","..10.50","3,775,673"
07/24/2023,"..11.04","..11.18","..10.75","..10.77","2,817,421"
07/19/2023,"..11.25","..11.35","..10.98","..11.04","3,063,114"
07/18/2023,"..10.66","..11.40","..10.83","..11.25","4,185,126"
07/17/2023,"..10.75","..10.92","..10.66","..10.66","2,191,769"
07/13/2023,"..10.24","..10.50","..10.28","..10.28","1,595,805"
07/12/2023,"..10.57","..10.73","..10.20","..10.24","1,845,927"
07/11/2023,"..10.15","..10.57","..9.92","..10.57","2,454,704"
07/10/2023,"..9.80","..10.20","..9.83","..10.15","1,832,328"
07/06/2023,"..11.12","..11.30","..10.82","..10.84","1,460,002"
07/05/2023,"..11.15","..11.30","..11.07","..11.12","1,397,850"
07/04/2023,"..11.45","..11.51","..11.11","..11.15","1,547,713"
06/26/2023,"..11.20","..11.50","..11.10","..11.45","2,513,350"
06/22/2023,"..11.15","..11.50","..11.03","..11.43","3,251,835"
06/21/2023,"..11.44","..11.55","..11.10","..11.15","2,134,761"
06/20/2023,"..11.40","..11.65","..11.28","..11.44","3,764,476"
06/19/2023,"..11.45","..11.54","..11.20","..11.40","4,263,211"
06/15/2023,"..10.92","..11.28","..10.85","..11.28","4,907,849"
06/14/2023,"..10.96","..11.24","..10.90","..10.92","3,602,492"
06/13/2023,"..11.09","..11.24","..10.82","..10.96","4,208,685"
06/12/2023,"..11.22","..11.33","..11.00","..11.09","1,307,987"
06/08/2023,"..10.86","..11.49","..10.86","..11.18","8,397,442"
06/07/2023,"..11.17","..11.44","..10.85","..10.86","9,462,136"
06/06/2023,"..10.46","..11.50","..10.99","..11.17","19,638,650"
06/05/2023,"..10.50","..10.76","..10.38","..10.46","4,043,682"
06/01/2023,"..10.10","..10.66","..10.00","..10.59","9,567,859"
05/31/2023,"..10.00","..10.53","..9.97","..10.10","14,489,120"
05/30/2023,"..9.70","..10.14","..9.66","..10.00","9,882,996"
05/29/2023,"..8.68","..9.75","..8.62","..9.70","9,989,211"
05/25/2023,"..8.70","..8.82","..8.57","..8.60","1,936,904"
05/24/2023,"..8.43","..8.77","..8.51","..8.70","2,471,148"
05/23/2023,"..8.48","..8.55","..8.20","..8.43","2,012,778"
05/22/2023,"..8.60","..8.84","..8.45","..8.48","2,720,274"
05/18/2023,"..8.67","..8.70","..8.30","..8.63","2,745,549"
05/17/2023,"..8.84","..8.95","..8.60","..8.67","2,309,047"
05/16/2023,"..9.20","..9.15","..8.71","..8.84","4,497,004"
05/15/2023,"..9.41","..9.55","..9.07","..9.20","2,148,297"
05/11/2023,"..9.65","..9.73","..9.40","..9.42","2,986,487"
05/10/2023,"..9.65","..9.66","..9.45","..9.65","4,202,316"
05/09/2023,"..9.63","..9.98","..9.62","..9.65","8,599,898"
05/08/2023,"..9.39","..9.69","..9.40","..9.63","4,112,978"
05/03/2023,"..9.53","..9.69","..9.30","..9.50","3,124,026"
05/02/2023,"..9.60","..9.74","..9.44","..9.53","1,770,087"
05/01/2023,"..9.97","..10.10","..9.53","..9.60","3,435,706"
04/27/2023,"..10.10","..10.42","..10.16","..10.24","5,122,408"
04/26/2023,"..9.95","..10.19","..9.81","..10.10","4,113,825"
04/19/2023,"..10.28","..10.34","..9.90","..9.95","4,580,450"
04/18/2023,"..9.86","..10.31","..9.82","..10.28","5,903,811"
04/13/2023,"..9.57","..10.03","..9.54","..9.86","8,712,674"
04/12/2023,"..9.70","..9.76","..9.46","..9.57","7,624,137"
04/11/2023,"..9.22","..9.70","..9.34","..9.70","6,235,456"
04/10/2023,"..9.06","..9.29","..9.00","..9.22","2,458,198"
04/06/2023,"..9.38","..9.51","..9.00","..9.14","2,671,480"
04/05/2023,"..9.58","..9.63","..9.33","..9.38","2,669,562"
04/04/2023,"..9.70","..9.75","..9.48","..9.58","5,635,229"
04/03/2023,"..9.45","..9.70","..9.33","..9.70","7,868,652"
03/30/2023,"..9.15","..9.39","..8.80","..8.91","8,230,168"
03/29/2023,"..8.74","..9.15","..8.72","..9.15","6,346,502"
03/28/2023,"..8.80","..8.88","..8.46","..8.74","2,389,363"
03/27/2023,"..8.94","..9.19","..8.57","..8.80","6,252,376"
03/23/2023,"..7.71","..7.92","..7.61","..7.90","1,818,971"
03/22/2023,"..7.95","..8.10","..7.68","..7.71","3,410,901"
03/21/2023,"..7.71","..8.06","..7.80","..7.95","4,427,002"
03/20/2023,"..7.46","..7.95","..7.46","..7.71","6,137,287"
03/16/2023,"..7.08","..7.61","..6.56","..7.49","4,923,862"
03/15/2023,"..8.15","..8.25","..6.52","..7.08","5,103,391"
03/14/2023,"..7.87","..8.21","..7.74","..8.15","2,712,622"
03/13/2023,"..8.45","..8.65","..7.72","..7.87","4,304,165"
03/09/2023,"..8.82","..9.09","..8.82","..9.05","3,080,186"
03/08/2023,"..8.95","..9.06","..8.75","..8.82","3,907,792"
03/07/2023,"..9.31","..9.44","..8.94","..8.95","5,199,262"
03/06/2023,"..9.20","..9.55","..9.20","..9.31","7,720,584"
03/02/2023,"..9.60","..9.75","..9.36","..9.36","6,006,990"
03/01/2023,"..9.75","..9.87","..9.52","..9.60","5,123,465"
02/28/2023,"..9.90","..10.05","..9.71","..9.75","10,820,470"
02/27/2023,"..9.81","..10.10","..9.82","..9.90","8,021,570"
02/23/2023,"..9.65","..9.80","..9.45","..9.75","3,687,844"
02/22/2023,"..10.13","..10.19","..9.57","..9.65","5,286,437"
02/21/2023,"..9.71","..10.14","..9.61","..10.13","5,979,287"
02/20/2023,"..10.23","..10.36","..9.61","..9.71","7,333,287"
02/16/2023,"..10.60","..10.82","..10.50","..10.53","7,960,762"
02/15/2023,"..10.52","..10.80","..10.35","..10.60","16,105,720"
02/14/2023,"..9.74","..10.52","..9.77","..10.52","16,673,480"
02/13/2023,"..9.95","..10.10","..9.65","..9.74","7,745,611"
02/09/2023,"..9.23","..9.89","..9.23","..9.76","8,698,154"
02/08/2023,"..9.45","..9.57","..9.20","..9.23","3,993,461"
02/07/2023,"..9.45","..9.67","..9.39","..9.45","7,325,430"
02/06/2023,"..9.34","..9.79","..9.21","..9.45","9,865,730"
02/02/2023,"..9.90","..10.20","..9.26","..9.36","9,870,478"
02/01/2023,"..10.10","..10.30","..9.86","..9.90","10,976,140"
01/31/2023,"..10.40","..10.92","..10.08","..10.10","12,604,370"
01/30/2023,"..11.18","..11.33","..10.32","..10.40","11,739,970"
01/25/2023,"..11.30","..11.48","..10.95","..11.37","10,228,660"
01/24/2023,"..11.50","..11.66","..11.19","..11.30","10,069,150"
01/23/2023,"..11.20","..11.97","..11.20","..11.50","14,124,720"
01/19/2023,"..10.68","..11.39","..10.62","..11.39","8,663,914"
01/18/2023,"..10.91","..11.30","..10.53","..10.68","9,529,279"
01/17/2023,"..10.45","..11.48","..10.50","..10.91","22,731,760"
01/16/2023,"..10.61","..10.74","..10.39","..10.45","9,589,584"
01/12/2023,"..9.31","..10.35","..9.20","..10.30","20,198,400"
01/11/2023,"..9.08","..10.10","..9.08","..9.31","30,560,539"
01/10/2023,"..8.87","..9.09","..8.68","..9.08","12,457,770"
01/09/2023,"..8.93","..9.27","..8.81","..8.87","11,403,570"
01/05/2023,"..9.19","..9.30","..8.88","..8.93","8,981,489"
01/04/2023,"..9.10","..9.33","..8.50","..9.19","15,468,390"
01/03/2023,"..8.70","..9.29","..8.70","..9.10","9,359,739"
01/02/2023,"..7.96","..8.80","..7.93","..8.70","8,668,591"
12/29/2022,"..8.04","..8.12","..7.92","..7.96","2,792,759"
12/28/2022,"..7.94","..8.07","..7.94","..8.04","1,243,516"
12/27/2022,"..7.94","..8.09","..7.85","..7.94","2,978,993"
12/26/2022,"..7.62","..7.98","..7.67","..7.94","2,492,156"
12/22/2022,"..8.20","..8.28","..7.80","..7.83","3,660,717"
12/21/2022,"..8.15","..8.40","..8.00","..8.20","4,689,572"
12/20/2022,"..8.15","..8.59","..8.07","..8.15","7,237,943"
12/19/2022,"..7.97","..8.23","..7.94","..8.15","4,807,757"
12/15/2022,"..8.19","..8.50","..7.85","..7.89","5,499,818"
12/14/2022,"..7.97","..8.45","..7.80","..8.19","12,603,020"
12/13/2022,"..7.24","..8.00","..7.30","..7.97","12,286,940"
12/12/2022,"..7.11","..7.30","..6.91","..7.24","4,617,695"
12/08/2022,"..7.52","..7.60","..7.38","..7.40","5,824,629"
12/07/2022,"..7.40","..7.76","..7.45","..7.52","13,035,920"
12/06/2022,"..7.10","..7.56","..7.02","..7.40","22,035,109"
12/05/2022,"..7.05","..7.33","..6.96","..7.10","29,948,350"
12/01/2022,"..6.24","..6.52","..6.25","..6.52","10,976,390"
11/30/2022,"..6.09","..6.28","..6.09","..6.24","8,646,701"
11/29/2022,"..6.03","..6.20","..6.00","..6.09","3,741,502"
11/28/2022,"..6.19","..6.23","..6.00","..6.03","3,126,197"
11/24/2022,"..6.05","..6.24","..6.04","..6.19","6,922,789"
11/23/2022,"..6.14","..6.20","..6.02","..6.05","7,578,812"
11/22/2022,"..5.81","..6.18","..5.81","..6.14","16,544,490"
11/21/2022,"..5.84","..5.90","..5.77","..5.81","2,328,226"
11/17/2022,"..5.86","..5.95","..5.86","..5.88","5,174,172"
11/16/2022,"..5.81","..5.93","..5.80","..5.86","8,286,964"
11/15/2022,"..5.87","..5.95","..5.80","..5.81","4,451,894"
11/14/2022,"..5.88","..5.91","..5.77","..5.87","5,636,868"
11/10/2022,"..5.55","..5.76","..5.56","..5.73","7,354,004"
11/09/2022,"..5.56","..5.64","..5.49","..5.55","3,215,592"
11/08/2022,"..5.70","..5.79","..5.52","..5.56","3,305,360"
11/07/2022,"..5.70","..5.82","..5.68","..5.70","2,463,431"
11/03/2022,"..5.71","..5.78","..5.63","..5.71","1,558,445"
11/02/2022,"..5.88","..5.92","..5.69","..5.71","2,208,649"
11/01/2022,"..5.86","..6.00","..5.84","..5.88","4,852,888"
10/31/2022,"..5.80","..5.86","..5.69","..5.86","3,420,282"
10/27/2022,"..6.00","..6.23","..5.90","..5.92","10,339,760"
10/26/2022,"..5.77","..6.01","..5.65","..6.00","9,013,532"
10/25/2022,"..5.69","..5.79","..5.60","..5.77","2,024,359"
10/24/2022,"..5.70","..5.79","..5.66","..5.69","1,416,952"
10/20/2022,"..5.60","..5.75","..5.61","..5.69","2,180,981"
10/19/2022,"..5.71","..5.71","..5.53","..5.60","1,961,349"
10/18/2022,"..5.75","..5.85","..5.69","..5.71","1,833,137"
10/17/2022,"..5.65","..5.85","..5.66","..5.75","2,847,937"
10/13/2022,"..5.40","..5.53","..5.42","..5.47","615,749"
10/12/2022,"..5.52","..5.60","..5.38","..5.40","927,221"
10/11/2022,"..5.64","..5.66","..5.45","..5.52","1,470,636"
10/10/2022,"..5.70","..5.77","..5.61","..5.64","1,387,643"
10/05/2022,"..5.86","..5.98","..5.82","..5.84","1,975,754"
10/04/2022,"..5.64","..5.92","..5.71","..5.86","2,655,092"
10/03/2022,"..5.61","..5.68","..5.53","..5.64","507,655"
09/29/2022,"..5.75","..5.84","..5.71","..5.75","917,981"
09/28/2022,"..5.81","..5.86","..5.73","..5.75","939,643"
09/27/2022,"..5.70","..5.85","..5.73","..5.81","1,597,399"
09/26/2022,"..5.61","..5.76","..5.65","..5.70","754,907"
09/22/2022,"..5.75","..5.83","..5.64","..5.73","755,302"
