Date,Open,High,Low,Close,Volume
09/21/2023,"..15.36","..15.45","..15.15","..15.40","2,669,181"
09/20/2023,"..15.51","..15.60","..14.92","..15.36","8,395,744"
09/19/2023,"..15.65","..15.75","..15.49","..15.51","8,765,738"
09/18/2023,"..15.71","..15.85","..15.63","..15.65","5,640,880"
09/14/2023,"..15.75","..15.80","..15.66","..15.77","1,854,892"
09/13/2023,"..15.60","..15.80","..15.55","..15.75","1,367,857"
09/12/2023,"..15.71","..15.75","..15.58","..15.60","4,141,301"
09/11/2023,"..15.90","..15.98","..15.66","..15.71","7,440,227"
09/07/2023,"..16.00","..16.12","..15.86","..15.90","4,036,275"
09/06/2023,"..15.90","..16.23","..15.84","..16.00","7,381,672"
09/05/2023,"..16.05","..16.06","..15.81","..15.90","2,918,768"
09/04/2023,"..15.75","..16.05","..15.77","..16.05","1,840,159"
08/31/2023,"..16.01","..16.17","..15.94","..15.94","3,555,372"
08/30/2023,"..16.06","..16.17","..15.95","..16.01","2,218,142"
08/29/2023,"..15.92","..16.17","..15.98","..16.06","4,098,558"
08/28/2023,"..15.80","..16.20","..15.85","..15.92","4,980,429"
08/24/2023,"..15.73","..15.80","..15.58","..15.70","2,819,429"
08/23/2023,"..15.81","..16.05","..15.70","..15.73","3,968,888"
08/22/2023,"..15.63","..15.91","..15.68","..15.81","6,512,508"
08/21/2023,"..15.89","..15.99","..15.63","..15.63","5,077,087"
08/17/2023,"..15.95","..16.12","..15.82","..15.82","5,946,368"
08/16/2023,"..15.95","..16.26","..15.92","..15.95","5,400,298"
08/15/2023,"..16.04","..16.18","..15.95","..15.95","3,074,916"
08/14/2023,"..16.10","..16.34","..16.04","..16.04","8,375,156"
08/10/2023,"..16.14","..16.25","..16.03","..16.10","3,688,086"
08/09/2023,"..16.15","..16.38","..16.14","..16.14","7,080,909"
08/08/2023,"..16.14","..16.47","..16.06","..16.15","13,262,470"
08/07/2023,"..16.15","..16.32","..16.00","..16.14","6,180,586"
08/03/2023,"..15.90","..16.08","..15.68","..15.90","6,340,218"
08/02/2023,"..16.34","..16.60","..15.90","..15.90","8,186,347"
08/01/2023,"..16.48","..16.76","..16.34","..16.34","10,338,200"
07/31/2023,"..16.60","..16.88","..16.40","..16.48","10,569,690"
07/27/2023,"..15.86","..16.06","..15.82","..15.88","6,594,490"
07/26/2023,"..15.74","..15.89","..15.66","..15.86","3,058,775"
07/25/2023,"..15.96","..16.12","..15.73","..15.74","4,403,569"
07/24/2023,"..15.85","..16.09","..15.85","..15.96","5,975,675"
07/19/2023,"..15.70","..15.85","..15.67","..15.85","3,922,686"
07/18/2023,"..15.67","..15.83","..15.65","..15.70","5,443,230"
07/17/2023,"..15.54","..15.76","..15.50","..15.67","4,125,344"
07/13/2023,"..15.40","..15.80","..15.46","..15.53","4,276,002"
07/12/2023,"..15.54","..15.67","..15.24","..15.40","6,114,374"
07/11/2023,"..15.00","..15.88","..14.98","..15.54","8,695,504"
07/10/2023,"..14.45","..15.18","..14.44","..15.00","4,578,227"
07/06/2023,"..14.87","..15.32","..15.06","..15.18","3,636,016"
07/05/2023,"..14.87","..15.03","..14.85","..14.87","6,722,296"
07/04/2023,"..15.04","..15.20","..14.84","..14.87","2,254,767"
06/26/2023,"..14.80","..15.12","..14.73","..15.04","2,513,721"
06/22/2023,"..15.42","..15.51","..15.20","..15.34","4,460,325"
06/21/2023,"..15.60","..15.66","..15.28","..15.42","3,717,210"
06/20/2023,"..15.61","..15.80","..15.45","..15.60","6,340,750"
06/19/2023,"..15.94","..16.07","..15.38","..15.61","9,650,041"
06/15/2023,"..16.00","..16.12","..15.86","..15.90","3,824,212"
06/14/2023,"..15.81","..16.28","..15.87","..16.00","12,582,912"
06/13/2023,"..15.85","..16.06","..15.74","..15.81","9,796,064"
06/12/2023,"..15.91","..16.03","..15.84","..15.85","876,384"
06/08/2023,"..15.65","..15.86","..15.62","..15.76","3,515,581"
06/07/2023,"..15.82","..16.09","..15.65","..15.65","8,038,197"
06/06/2023,"..15.85","..16.12","..15.80","..15.82","7,915,074"
06/05/2023,"..15.44","..16.04","..15.48","..15.85","16,571,712"
06/01/2023,"..15.15","..15.57","..15.13","..15.41","9,535,667"
05/31/2023,"..15.26","..15.44","..15.13","..15.15","12,806,837"
05/30/2023,"..15.01","..15.38","..15.00","..15.26","13,579,587"
05/29/2023,"..14.85","..15.03","..14.80","..15.01","5,259,840"
05/25/2023,"..14.96","..15.12","..14.83","..14.86","4,985,907"
05/24/2023,"..14.64","..14.96","..14.72","..14.96","6,776,201"
05/23/2023,"..14.68","..14.72","..14.40","..14.64","7,014,367"
05/22/2023,"..14.82","..15.01","..14.56","..14.68","10,524,765"
05/18/2023,"..14.72","..14.88","..14.58","..14.88","7,254,080"
05/17/2023,"..15.15","..15.20","..14.66","..14.72","14,924,150"
05/16/2023,"..15.04","..15.17","..14.74","..15.15","15,793,287"
05/15/2023,"..15.36","..15.46","..14.92","..15.04","16,971,375"
05/11/2023,"..15.43","..15.56","..15.14","..15.16","16,000,700"
05/10/2023,"..14.92","..15.58","..14.72","..15.43","25,441,013"
05/09/2023,"..14.86","..15.26","..14.82","..14.92","22,796,150"
05/08/2023,"..14.34","..14.91","..14.34","..14.86","11,814,204"
05/03/2023,"..14.42","..14.59","..14.22","..14.56","14,306,937"
05/02/2023,"..14.33","..14.52","..14.17","..14.42","9,206,105"
05/01/2023,"..14.56","..14.70","..14.13","..14.33","15,352,850"
04/27/2023,"..13.86","..14.96","..13.96","..14.60","20,442,500"
04/26/2023,"..14.06","..14.14","..13.86","..13.86","6,873,122"
04/19/2023,"..14.08","..14.32","..13.91","..14.06","12,805,375"
04/18/2023,"..13.44","..14.16","..13.54","..14.08","14,603,012"
04/13/2023,"..13.57","..13.76","..13.44","..13.44","10,084,382"
04/12/2023,"..13.84","..13.90","..13.54","..13.57","7,318,740"
04/11/2023,"..13.46","..13.90","..13.47","..13.84","8,750,310"
04/10/2023,"..13.44","..13.67","..13.38","..13.46","6,382,656"
04/06/2023,"..13.98","..14.06","..13.61","..13.72","10,184,365"
04/05/2023,"..14.06","..14.18","..13.94","..13.98","9,179,630"
04/04/2023,"..14.24","..14.40","..14.04","..14.06","11,828,052"
04/03/2023,"..13.52","..14.25","..13.60","..14.24","26,072,111"
03/30/2023,"..13.44","..13.72","..13.33","..13.40","11,912,024"
03/29/2023,"..12.98","..13.54","..13.00","..13.44","13,532,975"
03/28/2023,"..13.20","..13.36","..12.66","..12.98","12,976,325"
03/27/2023,"..13.60","..13.76","..13.20","..13.20","48,251,259"
03/23/2023,"..13.53","..13.68","..13.14","..13.20","23,817,075"
03/22/2023,"..13.58","..13.92","..13.38","..13.53","4,352,534"
03/21/2023,"..13.12","..13.65","..13.28","..13.58","3,763,271"
03/20/2023,"..12.80","..13.42","..12.56","..13.12","5,800,576"
03/16/2023,"..12.52","..13.52","..12.40","..12.80","4,011,372"
03/15/2023,"..14.35","..14.48","..12.41","..12.52","4,467,109"
03/14/2023,"..14.24","..14.35","..13.68","..14.35","2,208,754"
03/13/2023,"..14.89","..15.19","..13.20","..14.24","8,155,392"
03/09/2023,"..15.42","..15.96","..15.36","..15.77","3,731,784"
03/08/2023,"..15.53","..15.50","..15.13","..15.42","2,121,430"
03/07/2023,"..15.72","..15.76","..15.42","..15.53","1,395,616"
03/06/2023,"..15.69","..16.00","..15.60","..15.72","1,956,336"
03/02/2023,"..16.31","..16.38","..15.89","..15.93","4,500,236"
03/01/2023,"..16.52","..16.46","..16.00","..16.31","5,331,072"
02/28/2023,"..16.17","..16.52","..15.84","..16.52","8,624,414"
02/27/2023,"..15.87","..16.49","..16.03","..16.17","7,622,217"
02/23/2023,"..15.84","..15.79","..15.44","..15.64","3,352,819"
02/22/2023,"..15.97","..16.19","..15.29","..15.84","5,595,974"
02/21/2023,"..15.56","..16.08","..15.36","..15.97","6,296,225"
02/20/2023,"..16.23","..16.46","..15.44","..15.56","6,042,026"
02/16/2023,"..16.51","..17.07","..16.56","..16.73","13,166,812"
02/15/2023,"..16.00","..16.58","..15.93","..16.51","11,131,875"
02/14/2023,"..15.85","..16.40","..15.93","..16.00","14,494,150"
02/13/2023,"..15.46","..15.92","..15.13","..15.85","10,177,565"
02/09/2023,"..14.38","..15.58","..14.33","..15.56","10,142,576"
02/08/2023,"..14.72","..14.78","..14.32","..14.38","5,823,661"
02/07/2023,"..14.48","..14.88","..14.56","..14.72","4,046,121"
02/06/2023,"..14.62","..14.78","..14.32","..14.48","2,631,630"
02/02/2023,"..14.82","..15.20","..14.25","..14.51","3,574,906"
02/01/2023,"..15.18","..15.36","..14.72","..14.82","4,092,330"
01/31/2023,"..15.72","..15.92","..14.89","..15.18","7,555,691"
01/30/2023,"..16.19","..16.56","..15.45","..15.72","14,054,912"
01/25/2023,"..15.39","..15.84","..15.33","..15.38","13,815,050"
01/24/2023,"..14.70","..15.48","..14.56","..15.39","20,315,587"
01/23/2023,"..14.44","..14.82","..14.50","..14.70","8,158,242"
01/19/2023,"..14.52","..14.64","..14.22","..14.25","4,096,409"
01/18/2023,"..14.72","..14.80","..14.32","..14.52","4,250,895"
01/17/2023,"..14.48","..14.88","..14.52","..14.72","10,381,917"
01/16/2023,"..14.05","..14.60","..14.05","..14.48","8,851,384"
01/12/2023,"..13.84","..14.40","..13.48","..14.32","7,248,477"
01/11/2023,"..14.16","..14.78","..13.69","..13.84","17,629,512"
01/10/2023,"..15.12","..15.20","..14.16","..14.16","12,360,911"
01/09/2023,"..15.44","..15.70","..14.88","..15.12","9,909,385"
01/05/2023,"..14.86","..15.47","..14.88","..15.44","7,369,449"
01/04/2023,"..14.56","..15.10","..14.08","..14.86","8,024,460"
01/03/2023,"..14.45","..14.79","..14.46","..14.56","3,860,560"
01/02/2023,"..14.30","..14.47","..14.17","..14.45","3,569,139"
12/29/2022,"..14.32","..14.47","..14.15","..14.30","1,409,866"
12/28/2022,"..14.32","..14.44","..14.18","..14.32","1,318,501"
12/27/2022,"..14.37","..14.47","..14.16","..14.32","2,023,304"
12/26/2022,"..14.10","..14.43","..13.84","..14.37","3,233,911"
12/22/2022,"..13.89","..14.32","..13.89","..14.00","4,485,085"
12/21/2022,"..13.98","..14.08","..13.73","..13.89","3,308,259"
12/20/2022,"..14.58","..14.72","..13.94","..13.98","18,214,350"
12/19/2022,"..14.48","..14.58","..14.02","..14.58","5,172,684"
12/15/2022,"..14.54","..15.38","..14.60","..14.66","10,427,856"
12/14/2022,"..14.72","..14.98","..14.48","..14.54","5,487,934"
12/13/2022,"..14.40","..14.99","..14.42","..14.72","16,035,162"
12/12/2022,"..14.34","..14.54","..13.70","..14.40","12,123,637"
12/08/2022,"..14.36","..14.48","..13.84","..14.16","17,245,262"
12/07/2022,"..13.45","..14.52","..13.48","..14.36","12,306,756"
12/06/2022,"..12.92","..13.56","..12.72","..13.45","11,056,084"
12/05/2022,"..12.88","..13.24","..12.68","..12.92","11,564,712"
12/01/2022,"..12.08","..12.36","..12.02","..12.36","4,223,391"
11/30/2022,"..11.42","..12.08","..11.44","..12.08","25,696,711"
11/29/2022,"..11.27","..11.46","..11.24","..11.42","7,386,796"
11/28/2022,"..11.42","..11.45","..11.14","..11.27","8,734,504"
11/24/2022,"..10.94","..11.25","..10.90","..11.21","13,428,575"
11/23/2022,"..10.94","..11.09","..10.89","..10.94","6,594,530"
11/22/2022,"..10.71","..10.97","..10.62","..10.94","8,596,877"
11/21/2022,"..10.81","..10.87","..10.64","..10.71","9,299,586"
11/17/2022,"..10.88","..10.96","..10.72","..10.80","7,336,350"
11/16/2022,"..10.60","..10.90","..10.60","..10.88","7,181,605"
11/15/2022,"..10.77","..10.86","..10.54","..10.60","4,742,390"
11/14/2022,"..10.93","..11.00","..10.60","..10.77","7,309,882"
11/10/2022,"..10.80","..11.00","..10.66","..10.81","8,833,381"
11/09/2022,"..10.64","..10.80","..10.40","..10.80","5,968,619"
11/08/2022,"..10.56","..10.92","..10.51","..10.64","10,658,074"
11/07/2022,"..10.43","..10.59","..10.39","..10.56","2,869,962"
11/03/2022,"..10.40","..10.46","..10.32","..10.46","3,883,839"
11/02/2022,"..10.66","..10.66","..10.36","..10.40","3,699,340"
11/01/2022,"..10.72","..10.80","..10.60","..10.66","4,922,927"
10/31/2022,"..10.27","..10.72","..10.16","..10.72","11,974,355"
10/27/2022,"..10.02","..10.52","..10.21","..10.40","12,789,300"
10/26/2022,"..9.86","..10.16","..9.91","..10.02","6,875,695"
10/25/2022,"..9.78","..9.95","..9.68","..9.86","6,468,795"
10/24/2022,"..9.82","..9.90","..9.71","..9.78","4,651,654"
10/20/2022,"..9.76","..9.92","..9.68","..9.90","3,152,439"
10/19/2022,"..9.90","..9.90","..9.68","..9.76","2,985,730"
10/18/2022,"..9.92","..10.00","..9.79","..9.90","8,864,677"
10/17/2022,"..9.60","..9.92","..9.59","..9.92","10,695,225"
10/13/2022,"..9.10","..9.27","..9.12","..9.20","10,207,389"
10/12/2022,"..9.00","..9.19","..8.96","..9.10","4,151,945"
10/11/2022,"..9.22","..9.33","..9.00","..9.00","6,549,995"
10/10/2022,"..9.29","..9.44","..9.20","..9.22","10,218,622"
10/05/2022,"..9.43","..9.56","..9.28","..9.36","1,724,375"
10/04/2022,"..9.12","..9.56","..9.20","..9.43","4,197,411"
10/03/2022,"..8.96","..9.15","..8.96","..9.12","1,682,176"
09/29/2022,"..9.32","..9.46","..9.15","..9.22","6,802,084"
09/28/2022,"..9.56","..9.57","..9.32","..9.32","3,131,255"
09/27/2022,"..9.60","..9.71","..9.54","..9.56","1,131,031"
09/26/2022,"..9.76","..9.82","..9.57","..9.60","1,985,699"
09/22/2022,"..9.80","..9.80","..9.51","..9.66","3,370,612"
