Date,Open,High,Low,Close,Volume
09/18/2023,"..1.26","..1.26","..1.26","..1.40","3,829"
09/14/2023,"..1.26","..1.26","..1.26","..1.40","7,782"
09/13/2023,"..1.36","..1.36","..1.26","..1.40","15,820"
09/11/2023,"..1.26","..1.26","..1.26","..1.40","3,335"
09/07/2023,"..1.32","..1.32","..1.32","..1.40","25"
09/06/2023,"..1.33","..1.33","..1.33","..1.40","1,513"
09/05/2023,"..1.30","..1.36","..1.30","..1.40","2,003"
09/04/2023,"..1.26","..1.26","..1.26","..1.40","12,129"
08/28/2023,"..1.26","..1.26","..1.26","..1.40","1,551"
08/21/2023,"..1.26","..1.26","..1.26","..1.40","945"
08/17/2023,"..1.26","..1.26","..1.26","..1.40","2,126"
08/16/2023,"..1.26","..1.26","..1.26","..1.40","4,796"
08/15/2023,"..1.26","..1.38","..1.26","..1.40","10,271"
08/14/2023,"..1.26","..1.26","..1.26","..1.40","28,203"
08/10/2023,"..1.26","..1.26","..1.26","..1.40","28,250"
08/09/2023,"..1.27","..1.27","..1.26","..1.40","5,928"
08/08/2023,"..1.26","..1.46","..1.26","..1.40","45,823"
08/07/2023,"..1.26","..1.40","..1.26","..1.40","25,095"
07/31/2023,"..1.26","..1.26","..1.26","..1.40","4,400"
07/13/2023,"..1.47","..1.47","..1.47","..1.40","4"
07/10/2023,"..1.47","..1.47","..1.47","..1.40","1"
06/13/2023,"..1.26","..1.26","..1.26","..1.40","1,218"
06/05/2023,"..1.43","..1.43","..1.43","..1.40","3,470"
06/01/2023,"..1.20","..1.24","..1.20","..1.30","11,786"
05/29/2023,"..1.20","..1.20","..1.20","..1.30","3"
05/17/2023,"..1.17","..1.17","..1.17","..1.30","826"
05/11/2023,"..1.17","..1.17","..1.17","..1.30","8,010"
04/13/2023,"..1.29","..1.29","..1.29","..1.30","50"
04/11/2023,"..1.29","..1.29","..1.17","..1.30","428"
04/04/2023,"..1.17","..1.17","..1.17","..1.30","5,000"
03/16/2023,"..1.24","..1.24","..1.24","..1.30","2"
03/14/2023,"..1.24","..1.24","..1.24","..1.30","1"
03/09/2023,"..1.25","..1.25","..1.20","..1.30","12,320"
03/08/2023,"..1.29","..1.29","..1.29","..1.30","2,320"
03/02/2023,"..1.17","..1.17","..1.17","..1.30","1,250"
03/01/2023,"..1.17","..1.17","..1.17","..1.30","1,300"
02/28/2023,"..1.17","..1.17","..1.17","..1.30","1,614"
02/27/2023,"..1.18","..1.18","..1.17","..1.30","2,331"
02/23/2023,"..1.29","..1.29","..1.29","..1.30","2"
02/22/2023,"..1.17","..1.17","..1.17","..1.30","55"
02/09/2023,"..1.17","..1.22","..1.17","..1.30","15,132"
02/08/2023,"..1.18","..1.22","..1.17","..1.30","21,231"
02/07/2023,"..1.22","..1.22","..1.20","..1.30","15"
02/01/2023,"..1.17","..1.29","..1.17","..1.30","1,207"
01/31/2023,"..1.18","..1.18","..1.17","..1.30","20,100"
01/30/2023,"..1.18","..1.18","..1.18","..1.30","2,500"
01/25/2023,"..1.17","..1.43","..1.17","..1.30","15,629"
01/23/2023,"..1.17","..1.17","..1.17","..1.30","4,000"
01/19/2023,"..1.25","..1.25","..1.25","..1.30","170"
01/17/2023,"..1.18","..1.18","..1.18","..1.30","629"
01/10/2023,"..1.18","..1.18","..1.18","..1.30","21,155"
01/09/2023,"..1.26","..1.26","..1.20","..1.30","6,454"
01/05/2023,"..1.38","..1.38","..1.38","..1.30","585"
12/28/2022,"..1.27","..1.43","..1.27","..1.30","5,000"
12/22/2022,"..1.27","..1.27","..1.27","..1.30","1"
12/21/2022,"..1.18","..1.28","..1.18","..1.30","1,715"
12/20/2022,"..1.19","..1.19","..1.19","..1.30","4,900"
12/13/2022,"..1.17","..1.27","..1.17","..1.30","39,167"
12/12/2022,"..1.17","..1.17","..1.17","..1.30","14,141"
12/08/2022,"..1.17","..1.28","..1.17","..1.30","165"
12/06/2022,"..1.17","..1.28","..1.17","..1.30","3,568"
12/05/2022,"..1.18","..1.18","..1.18","..1.30","5,000"
12/01/2022,"..1.17","..1.17","..1.17","..1.30","1,000"
11/29/2022,"..1.28","..1.28","..1.28","..1.30","18"
11/21/2022,"..1.28","..1.28","..1.28","..1.30","16"
11/16/2022,"..1.28","..1.28","..1.25","..1.30","3"
11/15/2022,"..1.20","..1.20","..1.17","..1.30","5,601"
11/14/2022,"..1.27","..1.27","..1.27","..1.30","2"
10/18/2022,"..1.27","..1.27","..1.27","..1.30","1,000"
10/12/2022,"..1.17","..1.17","..1.17","..1.30","7,045"
09/26/2022,"..1.17","..1.17","..1.17","..1.30","10,000"
