Date,Open,High,Low,Close,Volume
09/21/2023,"..12.00","..12.02","..11.95","..12.00","19,654"
09/20/2023,"..12.00","..12.40","..12.00","..12.07","26,271"
09/19/2023,"..12.28","..12.28","..12.00","..12.14","10,211"
09/18/2023,"..12.00","..12.39","..11.90","..12.14","26,074"
09/14/2023,"..12.10","..12.33","..12.00","..12.04","24,648"
09/13/2023,"..12.13","..12.85","..12.11","..12.15","92,298"
09/12/2023,"..12.00","..12.25","..11.76","..12.01","25,711"
09/11/2023,"..11.91","..12.28","..11.89","..11.98","12,620"
09/07/2023,"..12.49","..12.49","..11.86","..12.34","20,810"
09/06/2023,"..12.16","..12.82","..12.13","..12.24","45,990"
09/05/2023,"..12.30","..13.20","..12.00","..12.79","76,348"
09/04/2023,"..11.95","..12.50","..11.40","..12.17","24,473"
08/31/2023,"..11.44","..12.40","..11.25","..11.85","128,860"
08/30/2023,"..11.50","..11.50","..11.20","..11.28","27,653"
08/29/2023,"..11.87","..11.87","..10.40","..11.02","26,097"
08/28/2023,"..11.90","..11.90","..11.45","..11.54","24,861"
08/24/2023,"..11.20","..11.94","..11.01","..11.35","105,607"
08/23/2023,"..11.56","..11.75","..11.20","..11.45","60,372"
08/22/2023,"..11.99","..12.39","..11.48","..11.54","55,914"
08/21/2023,"..11.50","..12.26","..11.34","..11.79","196,138"
08/17/2023,"..9.65","..10.16","..9.36","..10.14","64,712"
08/16/2023,"..9.60","..9.88","..9.60","..9.63","17,208"
08/15/2023,"..9.70","..9.88","..9.50","..9.60","26,020"
08/14/2023,"..10.02","..10.07","..9.77","..9.86","64,917"
08/10/2023,"..10.29","..10.29","..9.63","..9.75","42,991"
08/09/2023,"..9.84","..10.09","..9.84","..10.30","14,280"
08/08/2023,"..10.30","..10.32","..9.73","..10.30","13,131"
08/07/2023,"..9.73","..10.30","..9.73","..10.30","42,353"
08/03/2023,"..9.72","..10.02","..9.72","..10.00","11,330"
08/02/2023,"..9.81","..10.20","..9.81","..10.00","65,097"
08/01/2023,"..10.05","..10.20","..9.62","..10.08","22,632"
07/31/2023,"..9.75","..10.20","..9.75","..10.05","32,742"
07/27/2023,"..9.00","..9.86","..9.00","..9.30","21,147"
07/26/2023,"..9.38","..9.38","..9.05","..9.48","7,123"
07/25/2023,"..9.60","..9.60","..9.21","..9.48","8,738"
07/24/2023,"..9.56","..9.90","..9.21","..9.48","16,365"
07/19/2023,"..9.50","..9.66","..9.03","..9.37","27,135"
07/18/2023,"..9.75","..9.78","..9.37","..9.50","36,362"
07/17/2023,"..9.80","..9.98","..9.26","..9.84","30,318"
07/13/2023,"..9.23","..9.62","..9.23","..9.62","61,068"
07/12/2023,"..8.60","..9.25","..8.50","..8.75","16,001"
07/11/2023,"..8.39","..8.80","..8.39","..8.75","42,681"
07/10/2023,"..8.24","..8.37","..7.83","..8.00","34,053"
07/06/2023,"..8.90","..9.14","..8.80","..9.15","11,380"
07/05/2023,"..8.88","..9.15","..8.84","..9.15","25,858"
07/04/2023,"..9.12","..9.48","..8.85","..9.04","24,907"
06/26/2023,"..8.88","..8.98","..8.82","..8.81","11,423"
06/22/2023,"..9.40","..9.65","..8.70","..9.13","43,484"
06/21/2023,"..10.00","..10.10","..9.16","..9.61","39,973"
06/20/2023,"..9.93","..10.04","..9.78","..9.98","16,103"
06/19/2023,"..9.81","..10.76","..9.65","..9.93","139,452"
06/15/2023,"..9.86","..10.36","..9.85","..9.97","84,076"
06/14/2023,"..10.19","..10.50","..9.90","..9.98","55,180"
06/13/2023,"..10.18","..10.19","..9.81","..10.02","14,043"
06/12/2023,"..10.17","..10.18","..10.17","..10.02","5,280"
06/08/2023,"..9.90","..10.00","..9.88","..10.02","13,028"
06/07/2023,"..10.00","..10.17","..9.81","..10.02","29,366"
06/06/2023,"..10.15","..10.38","..10.10","..10.15","16,199"
06/05/2023,"..10.58","..10.79","..10.19","..10.21","43,966"
06/01/2023,"..10.00","..10.25","..9.64","..9.98","43,134"
05/31/2023,"..9.90","..10.00","..9.68","..9.85","22,725"
05/30/2023,"..9.95","..9.95","..9.62","..9.52","8,793"
05/29/2023,"..9.50","..9.95","..9.50","..9.52","9,591"
05/25/2023,"..9.53","..9.71","..9.48","..9.71","9,601"
05/24/2023,"..9.72","..9.90","..9.50","..9.71","36,709"
05/23/2023,"..9.71","..9.95","..9.70","..10.01","2,656"
05/22/2023,"..10.00","..10.00","..9.71","..10.01","6,743"
05/18/2023,"..9.97","..9.97","..9.80","..10.01","6,629"
05/17/2023,"..10.00","..10.00","..9.71","..10.01","7,093"
05/16/2023,"..9.77","..9.94","..9.77","..10.01","8,705"
