Date,Open,High,Low,Close,Volume
09/21/2023,"..6.93","..7.00","..6.81","..6.93","40,064"
09/20/2023,"..7.07","..7.14","..6.85","..6.93","75,657"
09/19/2023,"..6.99","..7.12","..7.00","..7.07","240,270"
09/18/2023,"..7.00","..7.11","..6.95","..6.99","50,455"
09/14/2023,"..6.70","..7.06","..6.75","..6.93","419,523"
09/13/2023,"..6.92","..7.06","..6.70","..6.70","468,283"
09/12/2023,"..7.03","..7.12","..6.87","..6.92","110,256"
09/11/2023,"..6.94","..7.07","..6.95","..7.03","59,792"
09/07/2023,"..6.94","..7.04","..6.97","..6.94","11,352"
09/06/2023,"..7.04","..7.12","..6.91","..6.94","99,786"
09/05/2023,"..7.04","..7.18","..7.01","..7.04","89,187"
09/04/2023,"..7.15","..7.31","..7.00","..7.04","159,216"
08/31/2023,"..7.16","..7.26","..7.00","..7.03","83,109"
08/30/2023,"..7.00","..7.37","..6.96","..7.16","513,327"
08/29/2023,"..6.97","..7.14","..6.85","..7.00","130,356"
08/28/2023,"..7.17","..7.21","..6.92","..6.97","217,737"
08/24/2023,"..7.02","..7.24","..7.02","..7.06","170,379"
08/23/2023,"..7.26","..7.41","..6.84","..7.02","181,337"
08/22/2023,"..7.35","..7.49","..7.17","..7.26","177,187"
08/21/2023,"..7.16","..7.70","..7.15","..7.35","581,347"
08/17/2023,"..7.23","..7.39","..7.10","..7.21","181,895"
08/16/2023,"..7.24","..7.51","..7.21","..7.23","221,105"
08/15/2023,"..7.41","..7.50","..7.20","..7.24","277,350"
08/14/2023,"..7.30","..7.70","..7.26","..7.41","425,013"
08/10/2023,"..7.42","..7.44","..7.25","..7.35","122,606"
08/09/2023,"..7.43","..7.57","..7.36","..7.42","155,701"
08/08/2023,"..7.51","..7.65","..7.38","..7.43","359,933"
08/07/2023,"..7.36","..7.56","..7.36","..7.51","142,675"
08/03/2023,"..7.35","..7.61","..7.31","..7.32","137,407"
08/02/2023,"..7.33","..7.71","..7.30","..7.35","208,735"
08/01/2023,"..7.35","..7.58","..7.30","..7.33","202,048"
07/31/2023,"..7.32","..7.48","..7.30","..7.35","167,652"
07/27/2023,"..7.14","..8.20","..7.07","..7.46","1,668,407"
07/26/2023,"..7.25","..7.50","..7.10","..7.14","601,411"
07/25/2023,"..7.84","..7.82","..7.20","..7.25","1,066,163"
07/24/2023,"..6.63","..7.89","..6.40","..7.84","3,441,209"
07/19/2023,"..6.81","..6.82","..6.62","..6.65","283,052"
