Date,Open,High,Low,Close,Volume
09/14/2023,"..41.09","..47.40","..42.00","..41.09","11"
09/11/2023,"..41.09","..40.00","..40.00","..41.09","48"
09/04/2023,"..41.09","..48.44","..48.44","..41.09","2"
08/14/2023,"..41.09","..48.48","..48.48","..41.09","50"
08/10/2023,"..41.09","..39.00","..33.40","..41.09","125"
07/13/2023,"..41.09","..40.00","..40.00","..41.09","125"
06/13/2023,"..41.09","..41.09","..41.09","..41.09","5"
06/12/2023,"..41.09","..41.09","..41.09","..41.09","5"
06/06/2023,"..41.09","..41.09","..41.08","..41.09","25"
05/31/2023,"..41.09","..41.09","..41.09","..41.09","20"
05/29/2023,"..41.09","..41.09","..41.09","..41.09","10"
05/25/2023,"..41.09","..40.00","..40.00","..41.09","50"
04/03/2023,"..41.09","..41.09","..41.09","..41.09","10"
03/28/2023,"..41.09","..45.00","..41.09","..41.09","120"
03/21/2023,"..41.09","..40.00","..40.00","..41.09","62"
02/28/2023,"..41.09","..45.00","..32.88","..41.09","30"
02/09/2023,"..41.09","..49.00","..32.88","..41.09","19"
02/08/2023,"..41.00","..41.09","..41.09","..41.09","3,647,345"
12/27/2022,"..41.00","..49.20","..49.20","..41.00","1"
