Date,Open,High,Low,Close,Volume
09/21/2023,"..1.40","..1.40","..1.30","..1.31","151,590"
09/20/2023,"..1.36","..1.41","..1.32","..1.34","166,615"
09/19/2023,"..1.34","..1.44","..1.33","..1.42","359,351"
09/18/2023,"..1.37","..1.38","..1.32","..1.33","188,656"
09/14/2023,"..1.50","..1.52","..1.40","..1.41","1,416,723"
09/13/2023,"..1.39","..1.39","..1.30","..1.39","818,419"
09/12/2023,"..1.20","..1.26","..1.16","..1.26","642,439"
09/11/2023,"..1.20","..1.22","..1.16","..1.15","102,115"
09/07/2023,"..1.15","..1.18","..1.15","..1.15","80,345"
09/06/2023,"..1.17","..1.20","..1.15","..1.15","103,116"
09/05/2023,"..1.22","..1.24","..1.13","..1.15","334,502"
09/04/2023,"..1.20","..1.22","..1.15","..1.25","20,067"
08/31/2023,"..1.20","..1.26","..1.20","..1.25","73,132"
08/30/2023,"..1.22","..1.26","..1.20","..1.25","176,691"
08/29/2023,"..1.19","..1.23","..1.19","..1.19","25,699"
08/28/2023,"..1.25","..1.25","..1.18","..1.19","142,787"
08/24/2023,"..1.24","..1.24","..1.19","..1.21","13,548"
08/23/2023,"..1.19","..1.24","..1.19","..1.21","24,006"
08/22/2023,"..1.25","..1.25","..1.18","..1.21","146,677"
08/21/2023,"..1.25","..1.25","..1.20","..1.23","228,367"
08/17/2023,"..1.21","..1.24","..1.17","..1.21","107,586"
08/16/2023,"..1.25","..1.25","..1.21","..1.21","191,536"
08/15/2023,"..1.22","..1.25","..1.21","..1.25","17,391"
08/14/2023,"..1.25","..1.27","..1.22","..1.25","25,112"
08/10/2023,"..1.24","..1.27","..1.20","..1.25","54,003"
08/09/2023,"..1.24","..1.27","..1.24","..1.25","30,628"
08/08/2023,"..1.24","..1.28","..1.24","..1.25","68,029"
08/07/2023,"..1.25","..1.26","..1.24","..1.25","46,313"
08/03/2023,"..1.25","..1.29","..1.25","..1.25","171,131"
08/02/2023,"..1.25","..1.25","..1.25","..1.25","2,548"
08/01/2023,"..1.26","..1.28","..1.25","..1.25","138,969"
07/31/2023,"..1.25","..1.30","..1.24","..1.26","151,581"
07/27/2023,"..1.35","..1.35","..1.25","..1.27","548,698"
07/26/2023,"..1.24","..1.26","..1.24","..1.26","10,177"
07/25/2023,"..1.35","..1.35","..1.25","..1.26","33,686"
07/24/2023,"..1.27","..1.33","..1.25","..1.26","141,855"
07/19/2023,"..1.25","..1.35","..1.23","..1.26","198,463"
07/18/2023,"..1.24","..1.26","..1.24","..1.35","106,000"
07/17/2023,"..1.39","..1.39","..1.23","..1.35","19,126"
07/13/2023,"..1.39","..1.39","..1.25","..1.35","52,660"
07/12/2023,"..1.45","..1.45","..1.23","..1.35","43,643"
07/11/2023,"..1.35","..1.38","..1.24","..1.35","12,951"
07/10/2023,"..1.22","..1.40","..1.22","..1.35","53,149"
07/06/2023,"..1.35","..1.57","..1.35","..1.50","44,378"
07/05/2023,"..1.43","..1.50","..1.35","..1.50","57,520"
07/04/2023,"..1.50","..1.50","..1.43","..1.50","108,673"
06/26/2023,"..1.50","..1.54","..1.43","..1.50","85,536"
06/22/2023,"..1.40","..1.54","..1.40","..1.50","90,350"
06/21/2023,"..1.44","..1.50","..1.40","..1.50","76,394"
06/20/2023,"..1.54","..1.54","..1.44","..1.50","137,422"
06/19/2023,"..1.55","..1.59","..1.47","..1.60","67,131"
06/15/2023,"..1.40","..1.60","..1.40","..1.54","185,899"
06/14/2023,"..1.59","..1.62","..1.47","..1.52","282,762"
06/13/2023,"..1.58","..1.61","..1.48","..1.60","596,843"
06/12/2023,"..1.58","..1.62","..1.50","..1.55","601,091"
06/08/2023,"..1.45","..1.45","..1.22","..1.34","86,688"
06/07/2023,"..1.28","..1.48","..1.28","..1.34","188,919"
06/06/2023,"..1.26","..1.38","..1.24","..1.38","650,169"
06/05/2023,"..1.20","..1.28","..1.09","..1.26","572,345"
06/01/2023,"..1.15","..1.20","..1.12","..1.17","22,197"
05/31/2023,"..1.15","..1.21","..1.12","..1.17","135,291"
05/30/2023,"..1.06","..1.11","..1.00","..1.11","353,369"
05/29/2023,"..1.00","..1.05","..1.00","..1.01","76,799"
05/25/2023,"..1.05","..1.05","..1.05","..1.01","1,341"
05/24/2023,"..1.01","..1.05","..1.01","..1.01","4,832"
05/23/2023,"..1.01","..1.05","..1.00","..1.01","193,484"
05/22/2023,"..1.00","..1.10","..0.96","..1.06","183,414"
05/18/2023,"..0.98","..1.05","..0.98","..1.05","27,408"
05/17/2023,"..1.10","..1.10","..0.98","..1.05","239"
05/16/2023,"..1.02","..1.07","..0.98","..1.05","95,639"
05/15/2023,"..1.08","..1.08","..1.02","..1.05","24,475"
05/10/2023,"..1.03","..1.03","..1.03","..1.05","758"
05/09/2023,"..1.07","..1.12","..1.03","..1.05","102,306"
05/08/2023,"..1.05","..1.09","..1.05","..1.05","149,584"
05/03/2023,"..1.04","..1.07","..1.04","..1.05","167,489"
05/02/2023,"..1.00","..1.10","..1.00","..1.05","42,402"
05/01/2023,"..1.12","..1.12","..0.97","..1.05","55,268"
04/27/2023,"..1.02","..1.09","..1.02","..1.02","87,499"
04/26/2023,"..1.02","..1.07","..1.00","..1.02","40,439"
04/19/2023,"..0.97","..1.03","..0.97","..1.02","69,149"
04/18/2023,"..1.02","..1.06","..0.96","..1.02","6,101"
04/13/2023,"..1.05","..1.05","..0.97","..1.02","90,720"
04/12/2023,"..1.01","..1.03","..0.96","..1.02","57,769"
04/11/2023,"..1.02","..1.02","..1.02","..1.02","502"
04/10/2023,"..1.00","..1.00","..0.93","..1.02","20,458"
04/06/2023,"..1.04","..1.04","..1.04","..1.02","1"
04/05/2023,"..1.05","..1.05","..1.00","..1.02","24,327"
04/04/2023,"..1.02","..1.03","..0.99","..1.02","218,264"
04/03/2023,"..1.00","..1.00","..0.95","..0.99","27,998"
03/30/2023,"..0.95","..0.95","..0.95","..0.99","100"
