Date,Open,High,Low,Close,Volume
09/21/2023,"..8.36","..8.58","..7.90","..8.51","271,834"
09/20/2023,"..8.22","..8.41","..7.92","..8.36","535,933"
09/19/2023,"..8.34","..8.50","..8.18","..8.22","343,944"
09/18/2023,"..8.32","..8.50","..8.08","..8.34","258,570"
09/14/2023,"..8.59","..8.91","..8.50","..8.52","623,956"
09/13/2023,"..8.41","..8.78","..8.41","..8.59","421,807"
09/12/2023,"..8.48","..8.67","..8.33","..8.41","284,300"
09/11/2023,"..8.72","..9.00","..8.38","..8.48","723,696"
09/07/2023,"..8.02","..8.31","..7.93","..8.24","223,420"
09/06/2023,"..7.65","..8.42","..7.65","..8.02","462,727"
09/05/2023,"..7.67","..7.92","..7.63","..7.65","154,406"
09/04/2023,"..7.67","..7.82","..7.60","..7.67","24,823"
08/31/2023,"..8.06","..8.16","..7.87","..7.95","99,736"
08/30/2023,"..7.76","..8.62","..7.59","..8.06","843,785"
08/29/2023,"..6.79","..7.93","..6.79","..7.76","1,031,724"
08/28/2023,"..6.73","..6.83","..6.67","..6.68","149,876"
08/24/2023,"..6.65","..6.88","..6.50","..6.76","278,748"
08/23/2023,"..6.78","..6.94","..6.50","..6.65","328,789"
08/22/2023,"..6.16","..6.82","..6.17","..6.78","870,256"
08/21/2023,"..6.07","..6.19","..6.08","..6.16","120,232"
08/17/2023,"..6.12","..6.17","..6.04","..6.07","62,801"
08/16/2023,"..6.09","..6.22","..6.10","..6.12","118,294"
08/15/2023,"..6.04","..6.17","..5.93","..6.09","101,551"
08/14/2023,"..5.83","..6.12","..5.83","..6.04","473,350"
08/10/2023,"..5.75","..5.79","..5.74","..5.75","60,137"
08/09/2023,"..5.75","..5.86","..5.75","..5.75","44,686"
08/08/2023,"..5.75","..5.82","..5.71","..5.75","40,198"
08/07/2023,"..5.85","..5.91","..5.72","..5.75","242,448"
08/03/2023,"..5.75","..5.89","..5.75","..5.75","38,382"
08/02/2023,"..5.96","..6.00","..5.75","..5.75","213,576"
08/01/2023,"..5.81","..5.99","..5.77","..5.96","322,360"
07/31/2023,"..5.72","..5.91","..5.76","..5.81","167,632"
07/27/2023,"..5.43","..5.56","..5.46","..5.43","19,241"
07/26/2023,"..5.43","..5.56","..5.42","..5.43","31,334"
07/25/2023,"..5.43","..5.52","..5.43","..5.43","33,380"
07/24/2023,"..5.43","..5.61","..5.43","..5.43","19,361"
07/19/2023,"..5.57","..5.52","..5.39","..5.43","175,596"
07/18/2023,"..5.61","..5.60","..5.47","..5.57","78,912"
07/17/2023,"..5.61","..5.64","..5.46","..5.61","35,792"
07/13/2023,"..5.39","..5.65","..5.37","..5.61","174,312"
07/12/2023,"..5.39","..5.58","..5.35","..5.39","27,997"
07/11/2023,"..5.27","..5.62","..5.25","..5.39","355,811"
