Date,Open,High,Low,Close,Volume
09/21/2023,"..20.00","..17.60","..17.37","..20.00","3,256"
09/20/2023,"..20.00","..18.00","..17.40","..20.00","617"
09/19/2023,"..20.00","..18.64","..17.40","..20.00","1,496"
09/18/2023,"..20.00","..18.70","..17.50","..20.00","15,438"
09/14/2023,"..20.00","..18.58","..18.00","..20.00","255"
09/13/2023,"..20.00","..18.00","..18.00","..20.00","24"
09/12/2023,"..20.00","..18.55","..16.77","..20.00","299"
09/11/2023,"..18.56","..19.47","..16.18","..20.00","1,401"
09/07/2023,"..20.00","..18.56","..18.55","..20.00","1,045"
09/06/2023,"..20.00","..19.50","..18.55","..20.00","1,225"
09/05/2023,"..20.00","..19.49","..18.55","..20.00","119"
09/04/2023,"..20.00","..19.81","..18.55","..20.00","461"
08/31/2023,"..20.00","..19.80","..19.20","..20.00","27"
08/30/2023,"..20.00","..19.98","..19.00","..20.00","235"
08/29/2023,"..20.00","..19.80","..19.00","..20.00","44"
08/28/2023,"..20.00","..20.00","..19.00","..20.00","53"
08/24/2023,"..20.00","..20.00","..19.00","..20.00","168"
08/22/2023,"..20.00","..19.50","..19.02","..20.00","139"
08/21/2023,"..20.00","..19.50","..19.50","..20.00","40"
08/17/2023,"..20.00","..20.67","..19.33","..20.00","339"
08/16/2023,"..20.00","..20.68","..19.30","..20.00","471"
08/15/2023,"..20.00","..20.67","..19.30","..20.00","1,061"
08/14/2023,"..20.00","..20.67","..19.06","..20.00","78"
08/10/2023,"..20.16","..21.00","..19.00","..20.00","612,644"
08/09/2023,"..20.16","..19.50","..19.00","..20.16","319"
08/08/2023,"..20.16","..24.19","..18.01","..20.16","6,302"
08/07/2023,"..20.16","..19.32","..18.01","..20.16","672"
08/03/2023,"..20.16","..19.80","..16.35","..20.16","1,345"
08/02/2023,"..20.16","..19.90","..16.35","..20.16","1,884"
08/01/2023,"..20.16","..20.00","..16.13","..20.16","1,859"
07/31/2023,"..25.20","..20.16","..20.16","..20.16","50,191"
07/26/2023,"..25.20","..20.16","..20.16","..25.20","8"
07/24/2023,"..20.16","..20.16","..20.16","..25.20","34"
07/19/2023,"..20.16","..20.16","..20.16","..25.20","493"
07/13/2023,"..20.16","..20.16","..20.16","..25.20","63"
07/12/2023,"..25.20","..20.16","..20.16","..25.20","52"
07/11/2023,"..25.20","..20.16","..20.16","..25.20","28"
07/10/2023,"..20.16","..20.16","..20.16","..25.20","39"
07/05/2023,"..20.16","..20.16","..20.16","..25.20","1,244"
07/04/2023,"..20.16","..20.16","..20.16","..25.20","143"
06/26/2023,"..20.16","..20.16","..20.16","..25.20","83"
06/15/2023,"..25.20","..20.16","..20.16","..25.20","113"
06/12/2023,"..25.20","..20.16","..20.16","..25.20","92"
06/08/2023,"..25.20","..20.16","..20.16","..25.20","81"
06/07/2023,"..25.20","..20.16","..20.16","..25.20","25"
06/01/2023,"..25.20","..20.16","..20.16","..25.20","5"
05/30/2023,"..25.20","..20.16","..20.16","..25.20","74"
05/29/2023,"..25.20","..20.16","..20.16","..25.20","23"
05/25/2023,"..25.20","..20.16","..20.16","..25.20","125"
05/23/2023,"..25.20","..20.16","..20.16","..25.20","163"
05/18/2023,"..25.20","..20.16","..20.16","..25.20","50"
05/17/2023,"..25.20","..20.16","..20.16","..25.20","5"
