Date,Open,High,Low,Close,Volume
09/21/2023,"..50.39","..50.95","..48.00","..50.39","2,334"
09/20/2023,"..50.39","..52.00","..47.88","..50.39","2,733"
09/19/2023,"..50.39","..50.87","..49.00","..50.39","1,512"
09/18/2023,"..50.39","..52.90","..50.35","..50.39","11,432"
09/14/2023,"..50.39","..52.27","..50.20","..50.39","97,615"
09/13/2023,"..50.39","..52.25","..50.60","..50.39","3,977"
09/12/2023,"..50.39","..52.70","..50.75","..50.39","7,045"
09/11/2023,"..50.39","..52.60","..50.70","..50.39","9,740"
09/07/2023,"..49.19","..50.60","..47.11","..49.19","875"
09/06/2023,"..49.19","..51.50","..48.00","..49.19","6,695"
09/05/2023,"..49.19","..51.64","..47.52","..49.19","7,436"
09/04/2023,"..49.19","..51.62","..50.49","..49.19","10,056"
08/31/2023,"..47.43","..49.60","..47.25","..47.43","136"
08/30/2023,"..47.43","..49.66","..47.50","..47.43","157"
08/29/2023,"..47.43","..49.80","..45.60","..47.43","8,139"
08/28/2023,"..46.45","..48.77","..44.50","..47.43","18,935"
08/22/2023,"..46.76","..44.55","..44.43","..46.76","14"
08/21/2023,"..46.76","..44.55","..44.43","..46.76","511"
08/17/2023,"..46.76","..44.55","..44.43","..46.76","829"
08/16/2023,"..46.76","..44.44","..44.43","..46.76","2,835"
08/15/2023,"..46.76","..44.43","..44.43","..46.76","442"
08/14/2023,"..46.76","..44.43","..44.43","..46.76","1,657"
08/09/2023,"..46.76","..44.43","..44.43","..46.76","142"
08/08/2023,"..46.76","..44.43","..44.43","..46.76","864"
08/03/2023,"..46.76","..44.43","..44.43","..46.76","4"
08/02/2023,"..46.76","..44.80","..44.43","..46.76","11"
08/01/2023,"..46.76","..44.90","..44.43","..46.76","1,152"
07/31/2023,"..46.76","..45.00","..45.00","..46.76","11"
07/27/2023,"..46.76","..45.48","..44.99","..46.76","38"
07/26/2023,"..46.76","..45.48","..44.43","..46.76","725"
07/25/2023,"..46.76","..46.35","..44.43","..46.76","2,196"
07/24/2023,"..46.76","..46.50","..44.44","..46.76","455"
07/19/2023,"..46.76","..46.73","..44.43","..46.76","2,112"
07/18/2023,"..46.76","..47.38","..45.00","..46.76","3,010"
07/17/2023,"..46.76","..48.00","..45.00","..46.76","3,881"
07/13/2023,"..46.76","..49.00","..44.43","..46.76","2,795"
07/12/2023,"..46.76","..49.08","..47.50","..46.76","5,463"
07/11/2023,"..45.00","..47.25","..43.01","..46.76","8,045"
07/10/2023,"..45.00","..45.00","..42.75","..45.00","771"
07/06/2023,"..45.00","..47.25","..47.09","..45.00","6,221"
07/05/2023,"..45.00","..47.19","..44.12","..45.00","755"
07/04/2023,"..45.00","..47.25","..44.00","..45.00","5,067"
06/26/2023,"..43.32","..45.45","..41.19","..45.00","22,164"
06/22/2023,"..41.65","..41.65","..39.90","..41.65","670"
06/21/2023,"..41.65","..41.77","..39.61","..41.65","1,761"
06/20/2023,"..40.08","..42.08","..40.09","..41.65","24,576"
06/19/2023,"..38.24","..40.15","..37.20","..40.08","27,994"
06/15/2023,"..36.48","..36.48","..34.66","..36.48","242,343"
06/14/2023,"..36.48","..36.48","..36.48","..36.48","134,852"
06/08/2023,"..36.48","..36.48","..34.66","..36.48","4,624"
06/07/2023,"..36.48","..36.48","..34.66","..36.48","47,660"
06/06/2023,"..36.48","..38.27","..35.89","..36.48","3,662"
06/05/2023,"..35.56","..37.30","..33.79","..36.48","37,564"
06/01/2023,"..35.56","..34.60","..33.79","..35.56","2,865"
05/31/2023,"..35.56","..34.80","..33.79","..35.56","4,828"
05/30/2023,"..35.56","..35.53","..33.79","..35.56","1,963"
05/29/2023,"..35.56","..35.00","..33.79","..35.56","7,489"
05/25/2023,"..37.43","..35.56","..35.56","..37.43","1,052"
05/24/2023,"..37.43","..35.56","..35.56","..37.43","106"
05/22/2023,"..37.43","..35.78","..35.56","..37.43","813"
05/18/2023,"..37.43","..35.70","..35.61","..37.43","938"
05/17/2023,"..37.43","..37.40","..35.56","..37.43","4,249"
05/16/2023,"..37.43","..37.43","..35.56","..37.43","61,102"
05/15/2023,"..39.20","..39.00","..37.24","..37.43","11,594"
05/11/2023,"..38.36","..36.45","..36.45","..38.36","3,747"
05/10/2023,"..38.36","..38.36","..36.45","..38.36","1,248"
05/09/2023,"..40.37","..38.36","..38.36","..38.36","9,364"
05/02/2023,"..40.37","..38.36","..38.36","..40.37","153"
05/01/2023,"..40.37","..38.36","..38.36","..40.37","152"
04/27/2023,"..40.37","..38.36","..38.36","..40.37","862"
04/18/2023,"..40.37","..38.36","..38.36","..40.37","352"
04/13/2023,"..40.37","..38.36","..38.36","..40.37","341"
04/04/2023,"..40.37","..38.36","..38.36","..40.37","1,380"
04/03/2023,"..40.37","..38.36","..38.36","..40.37","287"
03/30/2023,"..40.37","..38.36","..38.36","..40.37","100"
03/29/2023,"..40.37","..38.36","..38.36","..40.37","717"
03/28/2023,"..40.37","..38.36","..38.36","..40.37","3,187"
03/23/2023,"..40.37","..38.36","..38.36","..40.37","1"
03/20/2023,"..40.37","..38.36","..38.36","..40.37","1,003"
03/16/2023,"..40.37","..38.36","..38.36","..40.37","8"
03/13/2023,"..40.37","..38.36","..38.36","..40.37","1,194"
03/09/2023,"..40.37","..39.00","..38.36","..40.37","4,100"
03/08/2023,"..40.37","..38.98","..38.36","..40.37","2,951"
03/07/2023,"..40.37","..39.80","..38.36","..40.37","3,733"
03/06/2023,"..40.37","..39.84","..38.38","..40.37","6,043"
03/02/2023,"..40.37","..41.00","..39.00","..40.37","5,005"
03/01/2023,"..40.37","..40.85","..39.52","..40.37","5,892"
02/28/2023,"..40.37","..41.00","..39.97","..40.37","122,236"
02/27/2023,"..40.37","..41.45","..39.93","..40.37","243,991"
02/23/2023,"..40.37","..42.37","..40.26","..40.37","3,406"
02/22/2023,"..40.37","..42.38","..41.12","..40.37","5,923"
02/21/2023,"..40.37","..42.38","..38.40","..40.37","6,952"
02/20/2023,"..42.29","..44.40","..40.18","..40.37","37,069"
02/16/2023,"..38.37","..40.28","..38.11","..40.28","18,407"
02/15/2023,"..36.79","..38.62","..36.36","..38.37","45,860"
02/14/2023,"..35.04","..36.79","..35.00","..36.79","29,537"
02/13/2023,"..35.79","..36.49","..35.00","..35.04","19,947"
02/09/2023,"..34.53","..36.25","..34.20","..36.20","32,565"
02/08/2023,"..33.99","..35.00","..32.68","..34.53","16,555"
02/07/2023,"..32.48","..34.10","..33.00","..33.99","40,077"
02/06/2023,"..32.04","..33.64","..30.51","..32.48","41,992"
02/02/2023,"..35.49","..35.70","..33.72","..33.72","25,185"
02/01/2023,"..37.35","..36.50","..35.49","..35.49","29,407"
01/31/2023,"..39.22","..40.03","..37.26","..37.35","12,473"
01/30/2023,"..38.13","..39.64","..37.00","..39.22","30,690"
01/25/2023,"..34.86","..36.60","..33.13","..36.60","57,362"
01/24/2023,"..33.20","..34.86","..33.20","..34.86","74,293"
01/23/2023,"..31.91","..33.50","..31.50","..33.20","21,760"
01/19/2023,"..32.82","..34.38","..32.20","..32.75","10,445"
01/18/2023,"..31.26","..32.82","..30.41","..32.82","77,734"
01/17/2023,"..29.78","..31.26","..30.10","..31.26","299,159"
01/16/2023,"..28.37","..29.78","..27.30","..29.78","38,183"
01/12/2023,"..29.86","..29.38","..28.37","..28.37","14,820"
01/11/2023,"..31.43","..30.95","..29.86","..29.86","500,752"
01/10/2023,"..33.08","..32.45","..31.43","..31.43","21,088"
01/09/2023,"..34.82","..35.89","..33.08","..33.08","68,928"
01/05/2023,"..33.29","..34.95","..33.00","..34.82","53,729"
01/04/2023,"..31.71","..33.29","..31.00","..33.29","73,342"
01/03/2023,"..30.20","..31.71","..29.26","..31.71","101,490"
01/02/2023,"..28.78","..30.21","..28.78","..30.20","230,073"
12/29/2022,"..29.45","..30.76","..28.46","..28.78","15,487"
12/28/2022,"..29.91","..31.00","..28.81","..29.45","18,401"
12/27/2022,"..28.49","..29.91","..27.78","..29.91","77,552"
12/26/2022,"..28.49","..28.82","..27.65","..28.49","6,509"
12/22/2022,"..26.85","..27.75","..26.10","..27.20","12,077"
12/21/2022,"..25.58","..26.85","..25.50","..26.85","104,906"
12/20/2022,"..24.39","..25.60","..24.30","..25.58","131,428"
12/19/2022,"..23.23","..24.39","..23.33","..24.39","247,318"
12/15/2022,"..22.67","..23.80","..22.75","..22.80","69,342"
12/14/2022,"..22.74","..23.49","..22.60","..22.67","25,820"
12/13/2022,"..23.10","..23.66","..22.51","..22.74","25,394"
12/12/2022,"..23.63","..23.87","..23.06","..23.10","21,514"
12/08/2022,"..23.64","..24.25","..23.40","..23.93","48,941"
12/07/2022,"..23.89","..24.69","..23.20","..23.64","463,375"
12/06/2022,"..23.97","..24.00","..23.15","..23.89","452,717"
12/05/2022,"..23.97","..24.99","..23.50","..23.97","7,439"
12/01/2022,"..21.95","..23.04","..21.90","..22.93","469,288"
11/30/2022,"..23.10","..23.00","..21.95","..21.95","45,548"
11/29/2022,"..23.10","..23.50","..22.26","..23.10","5,204"
11/28/2022,"..23.75","..24.60","..22.81","..23.10","361,080"
11/24/2022,"..21.75","..22.83","..21.30","..22.83","193,876"
11/23/2022,"..20.84","..21.88","..21.11","..21.75","106,296"
11/22/2022,"..20.80","..21.50","..20.21","..20.84","86,053"
11/21/2022,"..21.89","..22.50","..20.80","..20.80","257,456"
11/17/2022,"..21.95","..23.04","..22.01","..23.04","130,640"
11/16/2022,"..20.93","..21.97","..20.21","..21.95","92,763"
11/15/2022,"..19.94","..20.93","..18.95","..20.93","247,682"
11/14/2022,"..20.98","..20.50","..19.94","..19.94","81,045"
11/10/2022,"..22.35","..22.68","..21.60","..22.02","50,062"
11/09/2022,"..23.52","..23.89","..22.35","..22.35","137,339"
11/08/2022,"..24.70","..25.34","..23.47","..23.52","88,835"
