Date,Open,High,Low,Close,Volume
09/21/2023,"..12.54","..12.69","..12.00","..12.38","389,361"
09/20/2023,"..12.63","..12.87","..12.52","..12.54","238,329"
09/19/2023,"..12.75","..13.06","..12.60","..12.63","159,341"
09/18/2023,"..12.60","..13.25","..12.50","..12.75","422,419"
09/14/2023,"..12.85","..13.10","..12.61","..12.72","169,600"
09/13/2023,"..11.81","..13.33","..12.13","..12.85","1,083,623"
09/12/2023,"..11.53","..12.27","..11.43","..11.81","539,409"
09/11/2023,"..11.84","..11.89","..11.41","..11.53","249,435"
09/07/2023,"..12.27","..12.61","..11.60","..12.14","312,263"
09/06/2023,"..12.29","..13.00","..11.87","..12.27","437,755"
09/05/2023,"..11.93","..13.35","..12.15","..12.29","907,578"
09/04/2023,"..11.36","..12.43","..11.07","..11.93","567,820"
08/31/2023,"..9.70","..11.64","..9.60","..10.92","1,694,278"
08/30/2023,"..9.54","..10.20","..9.51","..9.70","782,601"
08/29/2023,"..9.63","..9.90","..9.50","..9.54","323,435"
08/28/2023,"..9.14","..10.03","..9.19","..9.63","446,378"
08/24/2023,"..8.82","..10.05","..8.71","..9.33","465,337"
08/23/2023,"..9.31","..9.50","..8.71","..8.82","268,913"
08/22/2023,"..9.48","..10.17","..9.22","..9.31","572,442"
08/21/2023,"..7.90","..9.48","..7.99","..9.48","1,151,854"
08/17/2023,"..7.68","..7.75","..7.64","..7.68","21,042"
08/16/2023,"..7.89","..7.97","..7.50","..7.68","41,194"
08/15/2023,"..7.89","..7.90","..7.80","..7.89","33,544"
08/14/2023,"..7.90","..8.00","..7.86","..7.89","175,308"
08/10/2023,"..7.90","..8.00","..7.87","..7.90","13,128"
08/09/2023,"..7.90","..8.00","..7.89","..7.90","13,288"
08/08/2023,"..8.05","..8.00","..7.60","..7.90","48,234"
08/07/2023,"..8.05","..8.11","..7.91","..8.05","32,267"
08/03/2023,"..7.72","..8.20","..7.71","..8.05","92,856"
08/02/2023,"..7.62","..7.87","..7.61","..7.72","78,845"
08/01/2023,"..7.67","..7.70","..7.52","..7.62","39,422"
07/31/2023,"..7.14","..7.75","..7.32","..7.67","102,857"
07/27/2023,"..7.08","..7.23","..7.00","..7.14","47,545"
07/26/2023,"..7.08","..7.09","..6.96","..7.08","6,067"
07/25/2023,"..7.20","..7.20","..6.90","..7.08","50,323"
07/24/2023,"..7.20","..7.25","..7.11","..7.20","19,663"
07/19/2023,"..7.22","..7.29","..7.17","..7.20","72,323"
07/18/2023,"..7.28","..7.41","..7.18","..7.22","85,429"
07/17/2023,"..7.50","..7.53","..7.13","..7.28","94,278"
07/13/2023,"..7.32","..7.48","..7.22","..7.32","23,369"
07/12/2023,"..7.23","..7.54","..7.10","..7.32","46,909"
07/11/2023,"..6.90","..7.33","..6.90","..7.23","69,288"
07/10/2023,"..6.90","..7.30","..6.51","..6.90","40,285"
07/06/2023,"..7.65","..7.80","..7.25","..7.50","46,641"
07/05/2023,"..7.71","..7.88","..7.55","..7.65","83,966"
07/04/2023,"..7.79","..8.00","..7.65","..7.71","115,392"
06/26/2023,"..7.79","..7.79","..7.59","..7.79","31,372"
06/22/2023,"..7.79","..7.79","..7.59","..7.79","23,979"
06/21/2023,"..7.79","..7.79","..7.56","..7.79","26,374"
06/20/2023,"..7.79","..7.90","..7.72","..7.79","28,661"
06/19/2023,"..7.74","..7.91","..7.59","..7.79","96,083"
06/15/2023,"..7.74","..7.89","..7.66","..7.74","15,836"
06/14/2023,"..7.94","..7.96","..7.72","..7.74","144,427"
06/13/2023,"..7.89","..8.03","..7.88","..7.94","46,316"
06/12/2023,"..7.89","..8.04","..7.87","..7.89","26,744"
06/08/2023,"..7.75","..7.84","..7.56","..7.75","30,302"
06/07/2023,"..7.75","..8.27","..7.29","..7.75","91,357"
06/06/2023,"..7.97","..8.00","..7.05","..7.75","76,896"
06/05/2023,"..8.35","..8.36","..7.95","..7.97","164,723"
06/01/2023,"..8.75","..8.82","..8.29","..8.38","155,422"
05/31/2023,"..8.27","..8.90","..8.45","..8.75","213,137"
05/30/2023,"..7.83","..8.72","..7.95","..8.27","196,704"
05/29/2023,"..7.94","..8.00","..7.75","..7.83","92,461"
05/25/2023,"..7.94","..8.14","..7.86","..7.94","21,474"
05/24/2023,"..7.74","..8.09","..7.73","..7.94","65,709"
05/23/2023,"..7.74","..7.79","..7.50","..7.74","3,150"
05/22/2023,"..7.71","..7.81","..7.62","..7.74","38,826"
05/18/2023,"..7.71","..7.62","..7.44","..7.71","15,940"
05/17/2023,"..7.71","..7.73","..7.42","..7.71","11,733"
05/16/2023,"..7.84","..7.85","..7.45","..7.71","83,945"
05/15/2023,"..7.84","..8.07","..7.65","..7.84","22,374"
05/11/2023,"..7.99","..8.00","..7.77","..7.84","41,875"
05/10/2023,"..7.99","..8.00","..7.87","..7.99","11,406"
05/09/2023,"..7.96","..8.17","..7.95","..7.99","64,456"
05/08/2023,"..7.96","..8.00","..7.82","..7.96","29,412"
05/03/2023,"..7.96","..8.17","..7.78","..7.96","7,800"
05/02/2023,"..7.96","..7.95","..7.74","..7.96","27,215"
05/01/2023,"..8.06","..8.36","..7.86","..7.96","41,991"
04/27/2023,"..8.19","..8.64","..8.21","..8.25","139,648"
04/26/2023,"..8.19","..8.64","..8.09","..8.19","19,250"
04/19/2023,"..8.19","..8.64","..8.18","..8.19","23,813"
04/18/2023,"..8.66","..8.64","..8.18","..8.19","48,969"
