Date,Open,High,Low,Close,Volume
09/21/2023,"..45.09","..50.25","..45.00","..50.01","60,594"
09/20/2023,"..47.07","..47.00","..45.00","..45.09","25,443"
09/19/2023,"..46.99","..47.64","..46.31","..47.07","28,097"
09/18/2023,"..46.85","..47.47","..46.85","..46.99","9,210"
09/14/2023,"..47.38","..48.40","..46.01","..46.85","8,099"
09/13/2023,"..47.38","..47.55","..46.50","..47.38","5,607"
09/12/2023,"..47.38","..47.85","..46.51","..47.38","2,860"
09/11/2023,"..48.01","..48.34","..47.06","..47.38","14,381"
09/07/2023,"..48.99","..49.59","..48.50","..48.99","3,364"
09/06/2023,"..50.15","..50.00","..48.90","..48.99","11,962"
09/05/2023,"..49.16","..50.92","..49.25","..50.15","7,979"
09/04/2023,"..49.19","..51.90","..48.12","..49.16","18,738"
08/31/2023,"..49.19","..49.97","..48.51","..49.19","2,912"
08/30/2023,"..49.56","..50.00","..48.98","..49.19","13,346"
08/29/2023,"..49.97","..50.20","..49.17","..49.56","10,889"
08/28/2023,"..50.79","..51.60","..49.00","..49.97","12,635"
08/24/2023,"..51.17","..51.59","..50.00","..50.61","18,869"
08/23/2023,"..50.77","..53.29","..50.80","..51.17","32,782"
08/22/2023,"..51.34","..51.99","..50.28","..50.77","17,626"
08/21/2023,"..52.25","..53.39","..51.00","..51.34","21,017"
08/17/2023,"..45.88","..54.70","..45.52","..51.53","160,143"
08/16/2023,"..48.23","..49.89","..45.51","..45.88","67,950"
08/15/2023,"..44.73","..48.99","..45.24","..48.23","78,023"
08/14/2023,"..44.93","..45.72","..44.30","..44.73","16,985"
08/10/2023,"..44.93","..46.00","..44.22","..44.93","6,103"
08/09/2023,"..44.72","..45.29","..44.20","..44.93","11,622"
08/08/2023,"..44.00","..45.90","..44.11","..44.72","14,008"
08/07/2023,"..44.97","..45.75","..43.99","..44.00","9,635"
08/03/2023,"..44.53","..46.00","..44.00","..45.78","6,868"
08/02/2023,"..45.84","..45.90","..44.00","..44.53","13,617"
08/01/2023,"..45.84","..46.49","..45.13","..45.84","1,830"
07/31/2023,"..47.12","..47.90","..45.60","..45.84","10,952"
07/27/2023,"..46.71","..50.00","..45.61","..48.93","32,271"
07/26/2023,"..46.29","..47.40","..44.50","..46.71","14,182"
07/25/2023,"..44.28","..47.43","..44.90","..46.29","23,722"
07/24/2023,"..44.28","..45.00","..44.00","..44.28","5,838"
07/19/2023,"..44.28","..44.99","..43.00","..44.28","6,626"
07/18/2023,"..44.28","..44.99","..44.20","..44.28","3,612"
07/17/2023,"..44.28","..45.90","..44.00","..44.28","2,772"
07/13/2023,"..44.28","..47.50","..45.05","..44.28","6,375"
07/12/2023,"..44.28","..46.00","..44.20","..44.28","378"
07/11/2023,"..44.28","..45.99","..43.66","..44.28","4,627"
07/10/2023,"..44.28","..46.00","..40.70","..44.28","5,033"
07/06/2023,"..46.00","..46.01","..45.16","..46.00","1,214"
07/05/2023,"..46.00","..46.87","..45.66","..46.00","12,430"
07/04/2023,"..45.99","..46.50","..45.05","..46.00","12,714"
06/26/2023,"..46.60","..46.97","..45.52","..45.99","13,520"
06/22/2023,"..47.25","..47.46","..46.00","..47.25","4,787"
06/21/2023,"..47.25","..47.85","..47.00","..47.25","3,199"
06/20/2023,"..47.25","..48.00","..47.02","..47.25","5,441"
06/19/2023,"..47.25","..47.50","..46.85","..47.25","3,345"
06/15/2023,"..47.72","..47.70","..47.40","..47.72","4,828"
06/14/2023,"..48.28","..48.50","..47.45","..47.72","14,039"
06/13/2023,"..48.95","..48.85","..47.33","..48.28","14,362"
06/12/2023,"..47.35","..49.44","..47.31","..48.95","13,981"
06/08/2023,"..47.33","..48.00","..47.05","..47.33","6,583"
06/07/2023,"..47.82","..48.22","..47.10","..47.33","12,380"
06/06/2023,"..48.09","..48.48","..47.22","..47.82","7,271"
06/05/2023,"..47.97","..48.89","..47.06","..48.09","16,148"
06/01/2023,"..49.32","..49.94","..48.00","..48.15","16,936"
05/31/2023,"..50.08","..51.48","..49.02","..49.32","22,936"
05/30/2023,"..48.11","..51.60","..47.60","..50.08","51,799"
05/29/2023,"..47.20","..48.40","..47.00","..48.11","21,628"
05/25/2023,"..47.27","..48.70","..47.00","..47.20","8,368"
05/24/2023,"..47.27","..48.00","..47.02","..47.27","5,442"
05/23/2023,"..47.54","..47.85","..47.00","..47.27","13,383"
05/22/2023,"..48.92","..49.24","..47.05","..47.54","34,524"
05/18/2023,"..48.19","..49.44","..47.90","..48.95","14,337"
05/17/2023,"..47.94","..48.99","..47.62","..48.19","10,484"
05/16/2023,"..48.75","..48.80","..47.80","..47.94","23,346"
05/15/2023,"..50.16","..51.80","..48.21","..48.75","23,546"
05/11/2023,"..47.93","..49.80","..48.00","..49.40","50,528"
05/10/2023,"..48.04","..49.00","..47.11","..47.93","43,464"
05/09/2023,"..47.93","..50.95","..47.55","..48.04","59,998"
05/08/2023,"..47.44","..49.50","..47.00","..47.93","9,242"
05/03/2023,"..47.58","..48.50","..46.40","..47.94","16,107"
05/02/2023,"..48.40","..49.25","..45.01","..47.58","10,016"
05/01/2023,"..49.82","..50.50","..48.10","..48.40","23,935"
04/27/2023,"..50.62","..51.45","..49.60","..49.94","38,279"
04/26/2023,"..50.42","..52.00","..50.00","..50.62","32,826"
04/19/2023,"..50.02","..51.75","..49.41","..50.42","26,221"
04/18/2023,"..49.83","..50.75","..48.00","..50.02","30,726"
04/13/2023,"..50.39","..50.96","..49.00","..49.83","29,413"
04/12/2023,"..51.86","..51.80","..50.10","..50.39","12,424"
04/11/2023,"..50.43","..52.13","..50.12","..51.86","23,724"
04/10/2023,"..52.03","..53.70","..50.12","..50.43","23,693"
04/06/2023,"..52.15","..57.33","..52.50","..54.31","89,284"
04/05/2023,"..48.10","..54.00","..47.75","..52.15","51,163"
04/04/2023,"..48.02","..48.50","..47.22","..48.10","8,701"
04/03/2023,"..47.78","..48.98","..47.50","..48.02","8,015"
03/30/2023,"..49.50","..50.00","..47.65","..47.78","13,062"
03/29/2023,"..49.33","..50.47","..49.00","..49.50","11,814"
03/28/2023,"..49.46","..50.75","..48.15","..49.33","14,549"
03/27/2023,"..50.45","..51.90","..47.00","..49.46","14,822"
03/23/2023,"..50.58","..52.78","..49.60","..50.14","22,195"
03/22/2023,"..53.06","..54.95","..50.01","..50.58","34,156"
03/21/2023,"..49.10","..53.85","..48.52","..53.06","63,987"
03/20/2023,"..47.09","..51.00","..46.30","..49.10","30,863"
03/16/2023,"..47.33","..49.00","..43.70","..46.39","51,918"
03/15/2023,"..51.62","..55.46","..43.00","..47.33","60,730"
03/14/2023,"..50.02","..54.00","..49.10","..51.62","38,584"
03/13/2023,"..57.55","..57.50","..48.53","..50.02","62,430"
03/09/2023,"..59.70","..60.39","..58.00","..58.61","57,656"
03/08/2023,"..59.04","..61.50","..58.95","..59.70","26,068"
03/07/2023,"..61.30","..61.94","..59.00","..59.04","45,481"
03/06/2023,"..62.62","..64.00","..61.09","..61.30","29,085"
03/02/2023,"..61.97","..65.49","..61.53","..64.20","73,080"
03/01/2023,"..63.00","..65.80","..61.64","..61.97","31,922"
02/28/2023,"..63.44","..66.85","..62.50","..63.00","66,464"
02/27/2023,"..66.96","..69.00","..63.00","..63.44","72,017"
02/23/2023,"..58.13","..64.43","..58.00","..63.08","91,007"
02/22/2023,"..57.76","..62.44","..56.55","..58.13","129,467"
02/21/2023,"..59.62","..60.78","..57.10","..57.76","49,386"
02/20/2023,"..60.79","..62.49","..59.04","..59.62","66,944"
02/16/2023,"..64.31","..65.79","..60.10","..61.76","76,023"
02/15/2023,"..64.93","..66.00","..64.02","..64.31","72,876"
02/14/2023,"..65.87","..68.50","..64.27","..64.93","67,424"
02/13/2023,"..68.88","..69.99","..65.25","..65.87","86,384"
02/09/2023,"..63.73","..67.00","..64.00","..64.16","70,971"
02/08/2023,"..65.55","..68.20","..62.60","..63.73","97,579"
02/07/2023,"..66.57","..73.00","..65.12","..65.55","143,053"
02/06/2023,"..70.16","..71.45","..66.00","..66.57","121,658"
02/01/2023,"..58.00","..69.00","..57.00","..68.27","214,134"
01/31/2023,"..54.57","..58.25","..53.61","..58.00","93,348"
01/30/2023,"..57.33","..58.95","..54.31","..54.57","67,303"
01/25/2023,"..54.13","..58.90","..54.00","..56.67","105,626"
01/24/2023,"..48.51","..58.00","..48.00","..54.13","103,222"
01/23/2023,"..53.12","..54.49","..47.54","..48.51","59,487"
01/19/2023,"..42.06","..50.47","..42.44","..50.47","179,468"
01/18/2023,"..37.71","..43.90","..37.84","..42.06","60,293"
01/17/2023,"..37.71","..38.78","..37.76","..37.71","3,281"
01/16/2023,"..37.10","..38.60","..37.12","..37.71","11,920"
01/12/2023,"..37.54","..37.99","..36.81","..37.54","6,658"
01/11/2023,"..37.54","..39.95","..37.51","..37.54","5,321"
01/10/2023,"..37.91","..39.30","..37.42","..37.54","30,382"
01/09/2023,"..39.43","..41.28","..37.70","..37.91","57,686"
01/05/2023,"..36.25","..39.96","..36.00","..39.43","88,282"
01/04/2023,"..34.72","..36.50","..34.11","..36.25","79,339"
01/03/2023,"..35.25","..35.99","..34.50","..34.72","68,332"
01/02/2023,"..33.38","..35.40","..34.00","..35.25","34,434"
12/29/2022,"..32.48","..34.00","..32.19","..33.38","29,034"
12/28/2022,"..31.84","..33.49","..32.21","..32.48","10,508"
12/27/2022,"..31.84","..34.00","..32.49","..31.84","6,943"
12/26/2022,"..31.84","..32.70","..31.65","..31.84","7,989"
12/22/2022,"..33.33","..33.88","..32.01","..32.47","9,346"
12/21/2022,"..33.96","..35.00","..33.01","..33.33","39,282"
12/20/2022,"..32.41","..34.25","..32.30","..33.96","34,652"
12/19/2022,"..32.84","..33.48","..32.28","..32.41","25,180"
12/15/2022,"..32.16","..34.25","..32.61","..32.98","45,009"
12/14/2022,"..32.10","..32.42","..31.70","..32.16","13,095"
12/13/2022,"..31.86","..33.90","..32.00","..32.10","42,328"
12/12/2022,"..33.55","..34.30","..31.71","..31.86","36,768"
12/08/2022,"..34.27","..34.94","..33.55","..34.02","23,508"
12/07/2022,"..33.81","..34.99","..33.00","..34.27","20,685"
12/06/2022,"..34.55","..36.00","..33.02","..33.81","51,662"
12/05/2022,"..34.40","..38.00","..34.00","..34.55","84,446"
12/01/2022,"..30.41","..31.24","..30.00","..30.44","11,717"
11/30/2022,"..30.41","..30.20","..30.01","..30.41","5,543"
11/29/2022,"..30.41","..30.99","..30.03","..30.41","9,655"
11/28/2022,"..30.41","..30.99","..30.30","..30.41","3,719"
11/24/2022,"..31.24","..30.94","..30.22","..31.24","1,887"
11/23/2022,"..31.24","..31.00","..30.00","..31.24","7,080"
11/22/2022,"..31.24","..31.01","..30.70","..31.24","6,364"
11/21/2022,"..31.24","..31.24","..31.11","..31.24","4,366"
11/17/2022,"..31.11","..31.05","..30.90","..31.11","7,895"
11/16/2022,"..33.00","..31.99","..31.00","..31.11","14,421"
11/15/2022,"..33.00","..31.60","..30.99","..33.00","4,912"
11/14/2022,"..33.00","..32.45","..31.68","..33.00","5,105"
11/10/2022,"..30.50","..31.39","..30.22","..30.50","7,561"
11/09/2022,"..30.50","..31.45","..30.16","..30.50","5,687"
11/08/2022,"..32.53","..31.22","..30.06","..30.50","18,623"
11/07/2022,"..32.53","..32.20","..31.20","..32.53","365"
11/03/2022,"..32.53","..32.53","..31.00","..32.53","7,570"
11/02/2022,"..32.53","..32.53","..31.34","..32.53","3,717"
11/01/2022,"..32.09","..33.45","..32.50","..32.53","17,775"
10/31/2022,"..32.09","..32.50","..30.75","..32.09","6,602"
10/27/2022,"..32.40","..33.00","..32.00","..32.09","10,889"
10/26/2022,"..32.40","..32.50","..31.22","..32.40","4,579"
10/25/2022,"..32.40","..32.00","..31.80","..32.40","790"
10/24/2022,"..32.70","..33.65","..31.70","..32.40","13,424"
10/20/2022,"..33.91","..35.00","..33.52","..33.76","28,597"
10/19/2022,"..34.16","..34.94","..33.00","..33.91","78,453"
10/18/2022,"..33.53","..34.88","..33.00","..34.16","34,523"
10/17/2022,"..33.08","..35.00","..33.00","..33.53","112,273"
10/13/2022,"..30.77","..31.42","..30.08","..30.49","24,052"
10/12/2022,"..30.86","..32.00","..30.65","..30.77","49,000"
10/11/2022,"..31.60","..34.00","..29.90","..30.86","121,718"
