Date,Open,High,Low,Close,Volume
09/21/2023,"..1,232.75","..1,245.00","..1,230.02","..1,240.03","5,249"
09/20/2023,"..1,235.50","..1,238.50","..1,231.02","..1,232.75","1,429"
09/19/2023,"..1,239.22","..1,237.00","..1,230.10","..1,235.50","4,442"
09/18/2023,"..1,202.51","..1,240.00","..1,220.00","..1,239.22","8,838"
09/14/2023,"..1,199.80","..1,209.98","..1,197.01","..1,205.63","307"
09/13/2023,"..1,200.00","..1,203.97","..1,195.12","..1,199.80","387"
09/12/2023,"..1,204.05","..1,207.00","..1,197.00","..1,200.00","756"
09/11/2023,"..1,206.97","..1,210.00","..1,201.00","..1,204.05","427"
09/07/2023,"..1,200.86","..1,208.50","..1,194.00","..1,200.50","1,076"
09/06/2023,"..1,211.33","..1,217.00","..1,200.01","..1,200.86","1,470"
09/05/2023,"..1,219.98","..1,217.00","..1,210.01","..1,211.33","695"
09/04/2023,"..1,219.98","..1,220.00","..1,213.45","..1,219.98","89"
08/31/2023,"..1,216.69","..1,220.00","..1,215.10","..1,219.98","1,090"
08/30/2023,"..1,217.52","..1,219.95","..1,215.00","..1,216.69","483"
08/29/2023,"..1,217.97","..1,219.00","..1,215.10","..1,217.52","957"
08/28/2023,"..1,215.93","..1,219.00","..1,215.01","..1,217.97","402"
08/24/2023,"..1,217.32","..1,218.00","..1,214.00","..1,217.32","190"
08/23/2023,"..1,197.90","..1,218.00","..1,195.01","..1,217.32","3,243"
08/22/2023,"..1,193.06","..1,199.00","..1,193.05","..1,197.90","3,653"
08/21/2023,"..1,198.85","..1,198.99","..1,190.00","..1,193.06","2,111"
08/17/2023,"..1,195.15","..1,197.00","..1,188.00","..1,197.00","1,062"
08/16/2023,"..1,192.84","..1,195.90","..1,185.00","..1,195.15","1,039"
08/15/2023,"..1,191.75","..1,194.99","..1,190.00","..1,192.84","604"
08/14/2023,"..1,195.75","..1,196.96","..1,191.31","..1,191.75","725"
08/10/2023,"..1,197.00","..1,204.99","..1,190.00","..1,192.93","1,227"
08/09/2023,"..1,200.00","..1,208.99","..1,196.00","..1,197.00","10,014"
08/08/2023,"..1,195.79","..1,200.00","..1,194.00","..1,200.00","4,595"
08/07/2023,"..1,195.75","..1,200.00","..1,194.07","..1,195.79","5,229"
08/03/2023,"..1,195.11","..1,199.50","..1,192.75","..1,198.77","5,591"
08/02/2023,"..1,199.94","..1,200.00","..1,194.00","..1,195.11","1,434"
08/01/2023,"..1,199.54","..1,200.00","..1,193.00","..1,199.94","1,144"
07/31/2023,"..1,190.52","..1,200.00","..1,190.00","..1,199.54","1,906"
07/27/2023,"..1,190.90","..1,193.00","..1,176.10","..1,180.87","2,416"
07/26/2023,"..1,194.03","..1,199.00","..1,180.00","..1,190.90","694"
07/25/2023,"..1,159.85","..1,200.00","..1,159.00","..1,194.03","2,431"
07/24/2023,"..1,150.18","..1,161.00","..1,150.25","..1,159.85","1,553"
07/19/2023,"..1,153.87","..1,157.99","..1,149.15","..1,150.18","4,035"
07/18/2023,"..1,148.80","..1,158.00","..1,146.00","..1,153.87","1,669"
07/17/2023,"..1,147.83","..1,151.89","..1,143.20","..1,148.80","1,683"
07/13/2023,"..1,162.57","..1,165.00","..1,146.00","..1,150.89","2,520"
07/12/2023,"..978.87","..1,174.64","..1,111.00","..1,162.57","8,097"
07/11/2023,"..978.87","..978.87","..900.00","..978.87","10,846"
07/10/2023,"..820.12","..828.00","..800.05","..815.73","743"
07/06/2023,"..809.57","..839.00","..810.01","..818.55","543"
