Date,Open,High,Low,Close,Volume
09/20/2023,"..11.42","..11.99","..11.99","..11.99","143,648"
09/13/2023,"..10.37","..10.88","..10.45","..10.88","925,363"
09/06/2023,"..9.41","..9.88","..9.70","..9.88","713,560"
08/30/2023,"..8.55","..8.97","..8.13","..8.97","3,346,162"
08/23/2023,"..7.77","..8.15","..8.15","..8.15","311,996"
08/16/2023,"..7.05","..7.40","..7.37","..7.40","481,669"
08/09/2023,"..6.40","..6.72","..6.49","..6.72","601,771"
08/02/2023,"..5.81","..6.10","..5.72","..6.10","980,544"
07/26/2023,"..5.61","..5.70","..5.52","..5.60","407,768"
07/19/2023,"..5.61","..5.79","..5.55","..5.61","205,601"
07/12/2023,"..5.57","..5.80","..5.60","..5.67","340,554"
07/05/2023,"..5.90","..6.00","..5.79","..5.82","394,453"
06/21/2023,"..6.15","..6.22","..5.91","..5.92","423,713"
06/14/2023,"..5.86","..5.98","..5.80","..5.86","488,843"
06/07/2023,"..6.13","..6.15","..5.91","..5.97","542,728"
05/31/2023,"..6.05","..6.19","..6.00","..6.01","753,320"
05/24/2023,"..6.28","..6.33","..6.15","..6.23","369,214"
05/17/2023,"..6.32","..6.63","..6.40","..6.50","799,576"
05/10/2023,"..6.20","..6.25","..5.98","..6.02","266,031"
05/03/2023,"..6.42","..6.41","..6.25","..6.36","509,842"
04/26/2023,"..6.52","..6.64","..6.40","..6.48","293,206"
04/19/2023,"..6.46","..6.76","..6.30","..6.52","557,643"
04/12/2023,"..6.34","..6.58","..6.30","..6.46","302,186"
04/05/2023,"..6.84","..6.88","..6.53","..6.61","499,291"
03/29/2023,"..6.79","..6.77","..6.50","..6.68","718,840"
03/22/2023,"..6.38","..6.69","..6.39","..6.69","523,767"
03/15/2023,"..7.06","..7.19","..6.71","..6.71","591,914"
03/08/2023,"..6.58","..6.90","..6.58","..6.90","1,087,471"
03/01/2023,"..5.98","..6.27","..5.85","..6.27","612,607"
02/22/2023,"..6.38","..6.35","..6.07","..6.07","572,455"
02/15/2023,"..6.60","..6.70","..6.50","..6.55","404,861"
02/08/2023,"..6.52","..6.76","..6.45","..6.64","1,062,929"
02/01/2023,"..7.02","..6.90","..6.70","..6.73","437,192"
01/25/2023,"..7.20","..7.24","..6.92","..7.01","830,794"
01/18/2023,"..7.08","..7.43","..6.91","..7.22","1,574,234"
01/11/2023,"..6.73","..6.94","..6.40","..6.75","1,447,266"
01/04/2023,"..6.73","..7.00","..6.65","..6.73","825,910"
12/28/2022,"..6.76","..6.95","..6.60","..6.73","457,447"
12/21/2022,"..7.10","..7.19","..6.77","..6.82","445,716"
12/14/2022,"..6.66","..6.99","..6.66","..6.99","643,958"
12/07/2022,"..6.68","..6.58","..6.35","..6.35","571,207"
11/30/2022,"..7.09","..7.34","..6.81","..7.02","771,125"
11/23/2022,"..6.44","..6.76","..6.76","..6.76","51,106"
11/16/2022,"..5.85","..6.14","..5.56","..6.14","1,602,269"
11/09/2022,"..6.47","..6.15","..6.15","..6.15","310,226"
11/02/2022,"..7.16","..6.81","..6.81","..6.81","577,410"
10/26/2022,"..7.92","..7.53","..7.53","..7.53","552,062"
10/19/2022,"..8.76","..9.19","..8.33","..8.33","3,446,535"
10/12/2022,"..7.96","..8.35","..8.35","..8.35","221,361"
10/05/2022,"..7.23","..7.59","..7.59","..7.59","49,247"
09/28/2022,"..6.57","..6.89","..6.89","..6.89","46,022"
