Date,Open,High,Low,Close,Volume
09/21/2023,"..9.76","..10.22","..9.70","..9.90","1,668,426"
09/20/2023,"..10.35","..10.68","..9.72","..9.76","2,394,210"
09/19/2023,"..11.10","..11.16","..10.33","..10.35","4,242,930"
09/18/2023,"..9.59","..11.10","..9.58","..11.10","7,383,063"
09/14/2023,"..9.94","..10.07","..9.71","..9.76","1,075,003"
09/13/2023,"..9.79","..9.97","..9.63","..9.94","1,138,005"
09/12/2023,"..9.89","..10.12","..9.73","..9.79","1,466,921"
09/11/2023,"..10.07","..10.32","..9.05","..9.89","2,379,504"
09/07/2023,"..9.75","..10.30","..9.43","..10.17","3,414,168"
09/06/2023,"..10.02","..10.16","..9.39","..9.75","1,582,120"
09/05/2023,"..10.38","..10.68","..9.93","..10.02","2,347,469"
09/04/2023,"..10.10","..10.75","..9.74","..10.38","3,238,443"
08/31/2023,"..11.20","..11.30","..10.85","..10.86","2,837,974"
08/30/2023,"..11.29","..11.65","..11.11","..11.20","3,559,641"
08/29/2023,"..10.78","..11.46","..10.85","..11.29","5,459,740"
08/28/2023,"..10.91","..11.17","..10.52","..10.78","4,119,720"
08/24/2023,"..9.42","..10.98","..8.85","..10.71","6,322,387"
08/23/2023,"..9.80","..10.20","..9.35","..9.42","3,244,064"
08/22/2023,"..10.03","..10.30","..9.70","..9.80","3,528,563"
08/21/2023,"..8.72","..10.10","..9.11","..10.03","6,348,947"
08/17/2023,"..9.00","..9.35","..8.72","..8.72","5,834,512"
08/16/2023,"..8.34","..9.08","..8.05","..9.00","8,192,628"
08/15/2023,"..6.31","..7.57","..6.33","..7.57","5,638,103"
08/14/2023,"..6.13","..6.45","..6.21","..6.31","2,328,064"
08/10/2023,"..6.06","..6.14","..6.00","..6.02","293,525"
08/09/2023,"..6.09","..6.14","..6.01","..6.06","333,536"
08/08/2023,"..6.12","..6.24","..6.04","..6.09","506,000"
08/07/2023,"..6.14","..6.18","..5.96","..6.12","811,388"
08/03/2023,"..5.99","..6.10","..5.93","..6.06","493,339"
08/02/2023,"..6.14","..6.20","..5.97","..5.99","713,873"
08/01/2023,"..6.19","..6.33","..6.13","..6.14","933,857"
07/31/2023,"..6.35","..6.45","..6.15","..6.19","1,673,892"
07/27/2023,"..5.91","..6.04","..5.85","..5.87","422,261"
07/26/2023,"..6.02","..6.18","..5.90","..5.91","855,739"
07/25/2023,"..5.79","..6.17","..5.75","..6.02","1,988,670"
07/24/2023,"..5.61","..6.04","..5.66","..5.79","713,515"
07/19/2023,"..5.58","..5.65","..5.53","..5.61","255,043"
07/18/2023,"..5.55","..5.67","..5.54","..5.58","91,870"
07/17/2023,"..5.58","..5.64","..5.52","..5.55","104,219"
07/13/2023,"..5.37","..5.58","..5.38","..5.52","140,515"
07/12/2023,"..5.51","..5.53","..5.34","..5.37","228,637"
07/11/2023,"..5.49","..5.59","..5.49","..5.51","88,985"
07/10/2023,"..5.46","..5.55","..5.35","..5.49","128,413"
07/06/2023,"..5.81","..5.88","..5.65","..5.70","190,436"
07/05/2023,"..5.84","..5.90","..5.80","..5.81","114,242"
07/04/2023,"..5.80","..5.93","..5.81","..5.84","248,439"
06/26/2023,"..5.77","..5.86","..5.72","..5.80","127,437"
06/22/2023,"..5.93","..5.97","..5.82","..5.86","256,759"
06/21/2023,"..6.04","..6.13","..5.90","..5.93","283,409"
06/20/2023,"..5.99","..6.20","..5.99","..6.04","946,808"
06/19/2023,"..6.14","..6.19","..5.95","..5.99","377,410"
06/15/2023,"..5.98","..6.24","..6.00","..6.04","634,727"
06/14/2023,"..5.97","..6.11","..5.96","..5.98","351,277"
06/13/2023,"..5.91","..6.10","..5.90","..5.97","711,377"
06/12/2023,"..5.88","..5.95","..5.85","..5.91","124,998"
06/08/2023,"..6.00","..6.10","..5.90","..5.91","333,669"
06/07/2023,"..6.21","..6.27","..5.97","..6.00","647,756"
06/06/2023,"..6.26","..6.37","..6.20","..6.21","730,941"
06/05/2023,"..6.21","..6.47","..6.16","..6.26","1,857,144"
06/01/2023,"..6.20","..6.32","..6.18","..6.20","930,891"
05/31/2023,"..6.14","..6.36","..6.11","..6.20","1,342,446"
05/30/2023,"..6.05","..6.20","..6.00","..6.14","611,482"
05/29/2023,"..6.03","..6.15","..5.95","..6.05","489,775"
05/25/2023,"..5.79","..6.05","..5.77","..5.91","930,044"
05/24/2023,"..5.75","..5.86","..5.70","..5.79","283,057"
05/23/2023,"..5.64","..5.77","..5.64","..5.75","186,259"
05/22/2023,"..5.64","..5.74","..5.62","..5.64","121,762"
