Date,Open,High,Low,Close,Volume
09/21/2023,"..2.07","..2.07","..2.02","..2.05","3,216,512"
09/20/2023,"..2.09","..2.11","..2.03","..2.07","5,406,193"
09/19/2023,"..2.11","..2.14","..2.09","..2.09","4,751,278"
09/18/2023,"..2.12","..2.16","..2.10","..2.11","10,596,150"
09/14/2023,"..2.10","..2.12","..2.08","..2.09","6,688,436"
09/13/2023,"..2.09","..2.12","..2.07","..2.10","7,759,371"
09/12/2023,"..2.12","..2.15","..2.07","..2.09","9,857,756"
09/11/2023,"..2.06","..2.18","..2.08","..2.12","41,672,520"
09/07/2023,"..2.03","..2.05","..2.02","..2.02","5,596,573"
09/06/2023,"..2.03","..2.06","..2.02","..2.03","4,718,712"
09/05/2023,"..2.03","..2.08","..2.02","..2.03","11,072,220"
09/04/2023,"..2.04","..2.05","..2.02","..2.03","7,517,076"
08/31/2023,"..2.09","..2.11","..2.07","..2.09","3,460,311"
08/30/2023,"..2.12","..2.14","..2.09","..2.09","8,199,808"
08/29/2023,"..2.04","..2.13","..2.04","..2.12","17,531,850"
08/28/2023,"..2.05","..2.10","..2.03","..2.04","7,354,333"
08/24/2023,"..2.08","..2.10","..1.99","..2.02","11,258,700"
08/23/2023,"..2.14","..2.16","..2.07","..2.08","10,666,490"
08/22/2023,"..2.13","..2.16","..2.12","..2.14","11,048,270"
08/21/2023,"..2.17","..2.19","..2.10","..2.13","7,594,959"
08/17/2023,"..2.18","..2.22","..2.15","..2.17","7,515,102"
08/16/2023,"..2.16","..2.27","..2.15","..2.18","21,274,939"
08/15/2023,"..2.19","..2.21","..2.16","..2.16","7,169,448"
08/14/2023,"..2.16","..2.24","..2.17","..2.19","13,174,120"
08/10/2023,"..2.17","..2.19","..2.14","..2.15","9,592,797"
08/09/2023,"..2.19","..2.23","..2.17","..2.17","7,110,555"
08/08/2023,"..2.22","..2.24","..2.17","..2.19","7,534,886"
08/07/2023,"..2.19","..2.25","..2.20","..2.22","14,996,690"
08/03/2023,"..2.10","..2.12","..2.06","..2.12","6,974,722"
08/02/2023,"..2.17","..2.19","..2.08","..2.10","12,851,050"
08/01/2023,"..2.21","..2.24","..2.15","..2.17","8,966,520"
07/31/2023,"..2.12","..2.25","..2.09","..2.21","19,728,160"
07/27/2023,"..2.16","..2.22","..2.15","..2.18","6,041,015"
07/26/2023,"..2.16","..2.19","..2.15","..2.16","4,348,128"
07/25/2023,"..2.23","..2.29","..2.15","..2.16","12,021,370"
07/24/2023,"..2.30","..2.32","..2.23","..2.23","8,059,258"
07/19/2023,"..2.32","..2.34","..2.29","..2.30","11,915,830"
07/18/2023,"..2.23","..2.33","..2.23","..2.32","21,346,910"
07/17/2023,"..2.24","..2.26","..2.22","..2.23","11,313,300"
07/13/2023,"..2.17","..2.24","..2.14","..2.17","15,155,050"
07/12/2023,"..2.22","..2.25","..2.13","..2.17","16,460,939"
07/11/2023,"..2.26","..2.28","..2.19","..2.22","17,628,471"
07/10/2023,"..2.10","..2.27","..2.06","..2.26","16,151,670"
07/06/2023,"..2.50","..2.53","..2.38","..2.40","16,488,500"
07/05/2023,"..2.57","..2.60","..2.49","..2.50","13,739,710"
07/04/2023,"..2.59","..2.65","..2.56","..2.57","16,588,350"
06/26/2023,"..2.51","..2.59","..2.47","..2.59","19,023,000"
06/22/2023,"..2.41","..2.51","..2.39","..2.50","21,389,381"
06/21/2023,"..2.51","..2.55","..2.41","..2.41","18,707,061"
06/20/2023,"..2.51","..2.57","..2.49","..2.51","22,125,240"
06/19/2023,"..2.57","..2.63","..2.49","..2.51","20,388,660"
06/15/2023,"..2.59","..2.65","..2.52","..2.55","13,157,800"
06/14/2023,"..2.57","..2.71","..2.58","..2.59","37,080,020"
06/13/2023,"..2.54","..2.61","..2.53","..2.57","18,401,150"
