Date,Open,High,Low,Close,Volume
09/21/2023,"..4.38","..4.50","..4.33","..4.36","3,579,455"
09/20/2023,"..4.54","..4.70","..4.35","..4.38","7,016,290"
09/19/2023,"..4.65","..4.68","..4.49","..4.54","2,830,965"
09/18/2023,"..4.70","..4.75","..4.64","..4.65","1,456,809"
09/14/2023,"..4.64","..4.87","..4.64","..4.74","5,363,837"
09/13/2023,"..4.49","..4.66","..4.49","..4.64","3,238,527"
09/12/2023,"..4.61","..4.64","..4.48","..4.49","2,160,717"
09/11/2023,"..4.57","..4.62","..4.54","..4.61","877,757"
09/07/2023,"..4.58","..4.60","..4.50","..4.52","1,505,859"
09/06/2023,"..4.70","..4.80","..4.57","..4.58","2,404,816"
09/05/2023,"..4.51","..4.71","..4.49","..4.70","2,773,148"
09/04/2023,"..4.51","..4.56","..4.49","..4.51","523,593"
08/31/2023,"..4.52","..4.55","..4.40","..4.46","1,263,178"
08/30/2023,"..4.56","..4.60","..4.51","..4.52","2,258,582"
08/29/2023,"..4.65","..4.70","..4.55","..4.56","2,387,773"
08/28/2023,"..4.73","..4.78","..4.64","..4.65","1,655,186"
08/24/2023,"..4.70","..4.89","..4.32","..4.79","3,728,382"
08/23/2023,"..4.77","..4.84","..4.68","..4.70","4,536,965"
08/22/2023,"..4.90","..4.96","..4.75","..4.77","3,939,375"
08/21/2023,"..4.87","..4.92","..4.86","..4.90","1,511,840"
08/17/2023,"..4.82","..4.90","..4.72","..4.83","4,791,377"
08/16/2023,"..4.96","..4.98","..4.82","..4.82","2,506,034"
08/15/2023,"..5.02","..5.04","..4.94","..4.96","1,319,556"
08/14/2023,"..4.90","..5.11","..4.94","..5.02","3,379,235"
08/10/2023,"..5.03","..5.06","..4.88","..4.90","1,847,494"
08/09/2023,"..5.12","..5.17","..5.02","..5.03","2,610,325"
08/08/2023,"..5.05","..5.36","..5.08","..5.12","5,731,550"
08/07/2023,"..4.90","..5.06","..4.90","..5.05","2,174,751"
08/03/2023,"..4.73","..4.84","..4.68","..4.79","1,000,851"
08/02/2023,"..4.87","..4.94","..4.72","..4.73","2,038,897"
08/01/2023,"..4.90","..5.10","..4.86","..4.87","3,658,084"
07/31/2023,"..4.96","..5.00","..4.87","..4.90","3,261,577"
07/27/2023,"..4.89","..5.02","..4.88","..4.96","1,649,589"
07/26/2023,"..5.12","..5.16","..4.84","..4.89","2,857,596"
07/25/2023,"..5.19","..5.27","..5.08","..5.12","2,007,684"
07/24/2023,"..5.41","..5.44","..5.16","..5.19","1,698,179"
07/19/2023,"..5.36","..5.43","..5.28","..5.41","5,903,697"
07/18/2023,"..5.12","..5.60","..5.20","..5.36","8,627,965"
07/17/2023,"..5.17","..5.20","..5.10","..5.12","731,480"
07/13/2023,"..4.96","..5.28","..4.88","..5.26","4,118,452"
07/12/2023,"..4.93","..5.02","..4.90","..4.96","778,771"
07/11/2023,"..4.92","..5.00","..4.86","..4.93","909,174"
07/10/2023,"..4.46","..4.95","..4.44","..4.92","1,192,995"
07/06/2023,"..4.84","..4.89","..4.58","..4.61","1,633,429"
07/05/2023,"..5.02","..5.05","..4.80","..4.84","635,640"
07/04/2023,"..5.03","..5.10","..4.96","..5.02","1,271,115"
06/26/2023,"..5.05","..5.13","..4.97","..5.03","1,199,981"
06/22/2023,"..5.06","..5.18","..4.96","..5.10","337,222"
06/21/2023,"..5.21","..5.26","..5.04","..5.06","521,065"
