Date,Open,High,Low,Close,Volume
09/21/2023,"..13.74","..13.95","..13.69","..13.78","83,944"
09/20/2023,"..14.23","..14.34","..13.62","..13.74","502,533"
09/19/2023,"..14.35","..14.50","..14.10","..14.23","57,648"
09/18/2023,"..14.48","..14.60","..14.30","..14.35","276,999"
09/14/2023,"..14.14","..14.47","..14.21","..14.39","1,333,470"
09/13/2023,"..14.35","..14.42","..14.00","..14.14","256,483"
09/12/2023,"..14.30","..14.70","..14.25","..14.35","51,566"
09/11/2023,"..14.63","..14.72","..14.10","..14.30","150,170"
09/07/2023,"..14.65","..14.80","..14.51","..14.66","58,866"
09/06/2023,"..14.49","..14.80","..14.52","..14.65","29,843"
09/05/2023,"..14.64","..15.00","..14.40","..14.49","155,633"
09/04/2023,"..14.75","..14.80","..14.51","..14.64","55,323"
08/31/2023,"..14.98","..15.20","..14.85","..14.91","57,189"
08/30/2023,"..15.05","..15.23","..14.90","..14.98","70,122"
08/29/2023,"..15.02","..15.28","..14.97","..15.05","113,081"
08/28/2023,"..15.28","..15.60","..15.02","..15.02","114,056"
08/24/2023,"..15.45","..15.90","..15.14","..15.30","66,070"
08/23/2023,"..15.05","..15.80","..15.06","..15.45","71,842"
08/22/2023,"..15.22","..15.60","..15.00","..15.05","211,353"
08/21/2023,"..15.56","..15.90","..15.20","..15.22","63,642"
08/17/2023,"..17.04","..17.00","..15.45","..15.68","351,027"
08/16/2023,"..14.23","..17.04","..14.22","..17.04","3,003,917"
08/15/2023,"..14.13","..14.24","..14.10","..14.20","32,424"
08/14/2023,"..14.04","..14.25","..14.00","..14.13","655,172"
08/10/2023,"..14.10","..14.15","..13.97","..14.10","2,332,082"
08/09/2023,"..13.96","..14.15","..13.90","..14.10","511,303"
08/08/2023,"..14.10","..14.20","..13.86","..13.96","43,847"
08/07/2023,"..14.04","..14.30","..14.01","..14.10","46,410"
08/03/2023,"..14.13","..14.24","..13.86","..13.99","142,874"
08/02/2023,"..14.39","..14.39","..13.83","..14.13","458,489"
08/01/2023,"..14.19","..14.42","..14.05","..14.39","150,845"
07/31/2023,"..13.91","..14.20","..13.57","..14.19","794,365"
07/27/2023,"..13.14","..13.25","..13.02","..13.14","69,096"
07/26/2023,"..13.00","..13.24","..13.00","..13.14","1,025,125"
07/25/2023,"..12.95","..13.05","..12.90","..13.00","3,388,126"
07/24/2023,"..13.03","..13.05","..12.86","..12.95","27,534"
07/19/2023,"..12.98","..13.05","..12.85","..13.03","684,721"
07/18/2023,"..12.72","..13.07","..12.80","..12.98","434,223"
07/17/2023,"..12.28","..13.39","..12.25","..12.72","1,182,101"
