Date,Open,High,Low,Close,Volume
09/21/2023,"..0.48","..0.49","..0.48","..0.48","909,114"
09/20/2023,"..0.48","..0.49","..0.48","..0.48","4,351,538"
09/19/2023,"..0.48","..0.48","..0.48","..0.48","5,017,525"
09/18/2023,"..0.48","..0.49","..0.48","..0.48","819,633"
09/14/2023,"..0.48","..0.49","..0.48","..0.48","1,647,215"
09/13/2023,"..0.48","..0.49","..0.48","..0.48","1,767,528"
09/12/2023,"..0.48","..0.49","..0.48","..0.48","2,968,956"
09/11/2023,"..0.47","..0.51","..0.47","..0.48","5,644,112"
09/07/2023,"..0.47","..0.48","..0.47","..0.47","736,672"
09/06/2023,"..0.47","..0.48","..0.47","..0.47","2,753,158"
09/05/2023,"..0.48","..0.49","..0.47","..0.47","4,099,932"
09/04/2023,"..0.45","..0.52","..0.47","..0.48","10,402,350"
08/31/2023,"..0.45","..0.46","..0.45","..0.45","315,731"
08/30/2023,"..0.45","..0.46","..0.45","..0.45","784,994"
08/29/2023,"..0.45","..0.46","..0.45","..0.45","271,261"
08/28/2023,"..0.46","..0.46","..0.45","..0.45","4,415,685"
08/24/2023,"..0.46","..0.46","..0.46","..0.46","1,072,665"
08/23/2023,"..0.46","..0.46","..0.45","..0.46","1,045,009"
08/22/2023,"..0.46","..0.46","..0.46","..0.46","471,512"
08/21/2023,"..0.46","..0.46","..0.45","..0.46","682,805"
08/17/2023,"..0.46","..0.46","..0.45","..0.46","1,544,916"
08/16/2023,"..0.46","..0.46","..0.45","..0.46","2,024,559"
08/15/2023,"..0.46","..0.46","..0.45","..0.46","1,735,296"
08/14/2023,"..0.47","..0.48","..0.44","..0.46","7,436,583"
08/10/2023,"..0.47","..0.49","..0.47","..0.48","1,098,056"
08/09/2023,"..0.47","..0.50","..0.47","..0.47","10,321,300"
08/08/2023,"..0.47","..0.48","..0.47","..0.47","4,596,743"
08/07/2023,"..0.47","..0.49","..0.47","..0.47","2,052,779"
08/03/2023,"..0.47","..0.48","..0.47","..0.47","5,052,463"
08/02/2023,"..0.48","..0.48","..0.47","..0.47","1,383,687"
08/01/2023,"..0.46","..0.48","..0.46","..0.48","2,183,431"
07/31/2023,"..0.45","..0.47","..0.45","..0.46","3,796,489"
07/27/2023,"..0.42","..0.44","..0.42","..0.44","6,591,831"
07/26/2023,"..0.42","..0.42","..0.42","..0.42","4,448,757"
07/25/2023,"..0.42","..0.42","..0.42","..0.42","2,637,861"
07/24/2023,"..0.42","..0.43","..0.42","..0.42","1,982,036"
07/19/2023,"..0.41","..0.43","..0.42","..0.42","3,408,617"
07/18/2023,"..0.42","..0.42","..0.41","..0.41","3,783,942"
07/17/2023,"..0.41","..0.42","..0.41","..0.42","5,182,937"
07/13/2023,"..0.40","..0.41","..0.40","..0.41","2,339,587"
07/12/2023,"..0.40","..0.41","..0.40","..0.40","4,545,392"
07/11/2023,"..0.41","..0.43","..0.40","..0.40","20,777,070"
07/10/2023,"..0.40","..0.41","..0.40","..0.41","6,256,865"
07/06/2023,"..0.40","..0.44","..0.40","..0.41","9,843,425"
