Date,Open,High,Low,Close,Volume
09/20/2023,"..10.26","..10.00","..10.00","..10.26","50"
09/19/2023,"..10.26","..10.00","..10.00","..10.26","2,000"
09/18/2023,"..10.26","..11.50","..9.98","..10.26","2,250"
09/12/2023,"..10.26","..11.50","..10.90","..10.26","1,662"
09/11/2023,"..10.26","..10.90","..8.44","..10.26","2,556"
09/07/2023,"..10.26","..11.50","..9.50","..10.26","1,402"
09/06/2023,"..10.26","..9.22","..9.05","..10.26","1,002"
09/05/2023,"..10.26","..10.90","..8.25","..10.26","4,050"
09/04/2023,"..10.26","..10.00","..10.00","..10.26","2,001"
08/31/2023,"..10.26","..10.01","..9.50","..10.26","3,097"
08/30/2023,"..10.26","..10.00","..10.00","..10.26","2,100"
08/28/2023,"..10.26","..10.00","..10.00","..10.26","2,000"
08/24/2023,"..10.26","..10.10","..10.10","..10.26","10"
08/21/2023,"..10.26","..8.55","..8.55","..10.26","1"
08/15/2023,"..10.26","..10.00","..10.00","..10.26","1,810"
08/14/2023,"..10.26","..8.25","..8.25","..10.26","29"
08/10/2023,"..10.26","..10.00","..10.00","..10.26","1,000"
08/09/2023,"..10.26","..10.10","..9.50","..10.26","38"
08/08/2023,"..10.26","..9.50","..9.50","..10.26","100"
08/07/2023,"..10.26","..10.00","..10.00","..10.26","2,000"
08/03/2023,"..10.26","..10.00","..9.02","..10.26","6,504"
08/02/2023,"..10.26","..10.00","..10.00","..10.26","2,000"
07/31/2023,"..10.26","..10.90","..10.90","..10.26","109"
07/26/2023,"..10.26","..10.00","..10.00","..10.26","80"
07/25/2023,"..10.26","..10.00","..10.00","..10.26","1,420"
07/19/2023,"..10.26","..10.00","..10.00","..10.26","4,031"
07/18/2023,"..10.26","..10.00","..10.00","..10.26","1,611"
07/17/2023,"..10.26","..9.98","..9.98","..10.26","443"
07/13/2023,"..8.21","..8.21","..8.21","..10.26","523"
07/11/2023,"..10.26","..9.95","..9.95","..10.26","1,500"
07/10/2023,"..10.26","..8.71","..8.70","..10.26","1,630"
07/06/2023,"..10.26","..11.00","..10.00","..10.26","4,050"
07/04/2023,"..10.26","..9.95","..9.95","..10.26","1,000"
06/26/2023,"..10.26","..9.00","..8.50","..10.26","3,535"
06/22/2023,"..10.26","..10.01","..10.01","..10.26","1,000"
06/21/2023,"..10.26","..10.74","..10.00","..10.26","1,010"
06/20/2023,"..10.26","..10.01","..10.01","..10.26","1,500"
06/19/2023,"..10.26","..10.01","..10.00","..10.26","3,150"
06/15/2023,"..10.26","..10.01","..10.00","..10.26","1,736"
06/14/2023,"..10.26","..10.20","..10.02","..10.26","4,321"
06/13/2023,"..10.26","..10.91","..10.04","..10.26","2,289"
06/12/2023,"..10.26","..10.04","..10.02","..10.26","521"
06/08/2023,"..10.26","..10.95","..10.01","..10.26","4,491"
06/07/2023,"..10.26","..10.73","..8.72","..10.26","6,940"
06/06/2023,"..10.26","..10.75","..10.00","..10.26","2,875"
06/05/2023,"..10.26","..10.10","..10.00","..10.26","9,079"
06/01/2023,"..10.26","..10.99","..8.21","..10.26","2,513"
05/31/2023,"..10.26","..10.00","..9.15","..10.26","6,569"
05/30/2023,"..10.26","..10.99","..9.12","..10.26","18,637"
05/29/2023,"..10.26","..10.00","..9.05","..10.26","1,690"
05/25/2023,"..10.26","..8.30","..8.23","..10.26","208"
05/24/2023,"..10.26","..8.26","..8.23","..10.26","550"
05/23/2023,"..10.26","..8.70","..8.21","..10.26","10,518"
05/22/2023,"..10.26","..8.50","..8.21","..10.26","580"
05/18/2023,"..10.26","..8.50","..8.21","..10.26","32,514"
05/17/2023,"..10.26","..8.21","..8.21","..10.26","29,343"
05/16/2023,"..10.26","..8.21","..8.21","..10.26","430"
05/11/2023,"..10.26","..8.21","..8.21","..10.26","1,000"
05/10/2023,"..8.21","..8.21","..8.21","..10.26","2"
05/09/2023,"..10.26","..8.21","..8.21","..10.26","1,226"
05/03/2023,"..10.26","..8.21","..8.21","..10.26","219"
05/01/2023,"..10.26","..8.21","..8.21","..10.26","176"
04/18/2023,"..10.26","..8.21","..8.21","..10.26","110"
04/04/2023,"..10.26","..8.21","..8.21","..10.26","7"
03/29/2023,"..10.26","..8.21","..8.21","..10.26","3,822"
03/28/2023,"..10.26","..8.50","..8.21","..10.26","1,748"
03/27/2023,"..10.26","..8.21","..8.21","..10.26","6,070"
03/23/2023,"..8.30","..8.30","..8.21","..10.26","32"
03/22/2023,"..8.24","..8.65","..8.21","..10.26","3,800"
03/21/2023,"..10.26","..8.24","..8.21","..10.26","2,004"
03/20/2023,"..10.26","..8.21","..8.21","..10.26","2,717"
03/16/2023,"..10.26","..8.21","..8.21","..10.26","1,773"
03/15/2023,"..10.26","..8.21","..8.21","..10.26","8"
03/14/2023,"..10.26","..8.21","..8.21","..10.26","50"
03/09/2023,"..8.48","..8.49","..8.21","..10.26","1,815"
03/08/2023,"..10.26","..8.21","..8.21","..10.26","2,004"
03/07/2023,"..8.21","..8.21","..8.21","..10.26","100"
03/06/2023,"..10.26","..8.21","..8.21","..10.26","3,085"
03/02/2023,"..8.21","..8.51","..8.21","..10.26","2,716"
03/01/2023,"..10.26","..8.70","..8.21","..10.26","6,023"
02/28/2023,"..10.26","..8.30","..8.21","..10.26","4,654"
02/27/2023,"..8.21","..8.59","..8.21","..10.26","1,321"
02/23/2023,"..8.21","..8.60","..8.21","..10.26","540"
02/22/2023,"..8.21","..9.35","..8.21","..10.26","4,738"
02/21/2023,"..8.21","..8.50","..8.21","..10.26","4,291"
02/20/2023,"..8.30","..8.75","..8.21","..10.26","6,173"
02/16/2023,"..8.25","..9.70","..8.22","..10.26","8,548"
02/15/2023,"..8.24","..8.60","..8.21","..10.26","4,443"
02/14/2023,"..8.21","..10.26","..8.21","..10.26","3,558"
02/13/2023,"..8.50","..8.80","..8.21","..10.26","3,642"
02/09/2023,"..10.26","..8.40","..8.21","..10.26","6,500"
02/07/2023,"..10.26","..8.46","..8.21","..10.26","529"
02/06/2023,"..10.26","..10.26","..8.21","..10.26","3,650"
02/02/2023,"..10.26","..8.78","..8.21","..10.26","1,900"
01/30/2023,"..10.26","..8.80","..8.21","..10.26","13,228"
01/18/2023,"..10.26","..8.21","..8.21","..10.26","3,328"
01/16/2023,"..10.26","..8.21","..8.21","..10.26","159"
01/12/2023,"..10.26","..8.21","..8.21","..10.26","171"
01/11/2023,"..10.26","..8.21","..8.21","..10.26","50"
01/09/2023,"..10.26","..8.21","..8.21","..10.26","174"
01/05/2023,"..10.26","..8.21","..8.21","..10.26","1,309"
01/04/2023,"..10.26","..8.30","..8.21","..10.26","942"
01/03/2023,"..10.26","..8.30","..8.21","..10.26","5,658"
01/02/2023,"..10.26","..8.21","..8.21","..10.26","725"
12/29/2022,"..10.26","..8.21","..8.21","..10.26","523"
12/28/2022,"..10.26","..8.22","..8.21","..10.26","663"
12/27/2022,"..10.26","..8.21","..8.21","..10.26","611"
12/26/2022,"..10.26","..8.21","..8.21","..10.26","827"
12/22/2022,"..10.26","..8.65","..8.24","..10.26","837"
12/21/2022,"..10.26","..8.43","..8.23","..10.26","1,812"
12/20/2022,"..10.26","..8.55","..8.23","..10.26","442"
12/19/2022,"..10.26","..8.77","..8.21","..10.26","3,200"
12/15/2022,"..10.26","..8.85","..8.31","..10.26","3,328"
12/14/2022,"..10.26","..8.80","..8.26","..10.26","6,115"
12/13/2022,"..10.26","..8.90","..8.26","..10.26","7,037"
