Date,Open,High,Low,Close,Volume
09/21/2023,"..6.97","..7.22","..6.90","..7.18","1,230,713"
09/20/2023,"..7.21","..7.43","..6.94","..6.97","2,980,479"
09/19/2023,"..6.87","..7.45","..6.85","..7.21","4,443,912"
09/18/2023,"..6.72","..6.91","..6.75","..6.87","701,296"
09/14/2023,"..6.65","..6.85","..6.65","..6.71","644,629"
09/13/2023,"..6.66","..6.80","..6.63","..6.65","422,697"
09/12/2023,"..6.63","..6.80","..6.64","..6.66","494,197"
09/11/2023,"..6.79","..6.87","..6.62","..6.63","1,121,771"
09/07/2023,"..6.65","..7.07","..6.60","..6.77","2,386,590"
09/06/2023,"..6.90","..6.96","..6.51","..6.65","2,166,712"
09/05/2023,"..6.29","..7.24","..6.31","..6.90","5,708,657"
09/04/2023,"..6.08","..6.35","..6.06","..6.29","1,370,788"
08/31/2023,"..6.22","..6.26","..6.16","..6.19","736,399"
08/30/2023,"..6.19","..6.29","..6.16","..6.22","349,549"
08/29/2023,"..6.21","..6.30","..6.16","..6.19","284,643"
08/28/2023,"..6.24","..6.34","..6.20","..6.21","317,402"
08/24/2023,"..6.22","..6.40","..6.21","..6.28","1,344,146"
08/23/2023,"..6.15","..6.45","..6.17","..6.22","1,803,694"
08/22/2023,"..6.10","..6.25","..6.11","..6.15","632,373"
08/21/2023,"..6.03","..6.29","..6.04","..6.10","1,419,333"
08/17/2023,"..5.99","..6.06","..5.90","..5.93","234,338"
08/16/2023,"..5.97","..6.12","..5.96","..5.99","714,177"
08/15/2023,"..6.06","..6.10","..5.91","..5.97","437,766"
08/14/2023,"..6.13","..6.25","..6.05","..6.06","809,446"
08/10/2023,"..5.93","..6.12","..5.88","..6.00","1,270,699"
08/09/2023,"..5.90","..5.97","..5.88","..5.93","145,957"
08/08/2023,"..5.90","..5.99","..5.85","..5.90","330,723"
08/07/2023,"..5.86","..5.96","..5.85","..5.90","223,240"
08/03/2023,"..5.81","..5.85","..5.75","..5.83","214,345"
08/02/2023,"..5.83","..5.90","..5.79","..5.81","261,012"
08/01/2023,"..5.83","..5.94","..5.81","..5.83","141,584"
07/31/2023,"..5.87","..5.97","..5.79","..5.83","282,609"
07/27/2023,"..5.97","..5.98","..5.85","..5.90","438,376"
07/26/2023,"..5.98","..6.05","..5.92","..5.97","261,191"
07/25/2023,"..6.09","..6.25","..5.95","..5.98","553,655"
